日期,Open,High,Low,Close
2021-02-05,336.85,343.85,298.85,298.85
2021-02-11,300.65,399.65,281.85,396.85
2021-02-19,402.45,416.65,361.25,386.85
2021-02-26,395.85,400.85,303.85,307.65
2021-03-05,319.65,338.85,280.85,283.85
2021-03-12,287.45,321.85,248.85,302.85
2021-03-19,303.45,325.85,285.85,314.65
2021-03-26,309.85,318.05,247.05,278.85
2021-04-01,272.05,284.85,257.85,283.85
2021-04-09,284.65,286.65,266.85,275.25
2021-04-16,275.85,276.85,233.85,240.85
2021-04-23,240.85,256.65,231.25,255.65
2021-04-30,262.65,278.05,257.65,261.85
2021-05-07,261.85,263.25,241.05,243.05
2021-05-14,243.05,244.85,212.05,220.65
2021-05-21,224.65,239.25,219.25,238.65
2021-05-28,234.05,234.45,197.35,199.25
2021-06-04,199.25,217.65,189.05,205.25
2021-06-11,204.85,213.45,198.85,207.65
2021-06-18,205.85,206.85,187.05,190.85
2021-06-25,188.35,205.65,184.55,205.65
2021-07-02,205.65,209.85,178.85,182.05
2021-07-09,181.35,181.65,147.25,151.65
2021-07-16,152.85,166.45,143.85,149.85
2021-07-23,148.85,149.15,126.25,128.35
2021-07-30,120.95,126.85,103.85,108.95
2021-08-06,108.35,111.45,77.45,83.75
2021-08-13,81.85,90.05,77.9,78.9
2021-08-20,78.9,80.55,63.35,66.9
2021-08-27,69.65,84.4,66.65,70.3
2021-09-03,70.35,92.35,70.25,89.0
2021-09-10,87.35,103.85,86.85,96.3
2021-09-17,94.45,101.25,90.3,99.65
2021-09-24,97.15,101.35,84.3,85.7
2021-09-30,85.7,86.25,78.2,81.55
2021-10-08,79.75,87.7,76.6,82.6
2021-10-15,83.65,89.75,81.0,83.6
2021-10-22,83.6,103.35,77.9,101.05
2021-10-29,100.85,109.35,98.15,102.35
2021-11-05,102.45,106.75,90.7,94.1
2021-11-12,92.95,101.85,87.75,98.85
2021-11-19,99.25,101.55,90.9,95.15
2021-11-26,93.85,107.65,88.8,88.85
2021-12-03,88.35,89.85,75.95,80.1
2021-12-10,76.05,87.65,76.05,85.15
2021-12-17,87.85,89.0,77.6,80.3
2021-12-24,80.3,82.0,73.95,74.4
2021-12-31,74.15,74.85,65.95,70.9
2022-01-07,72.05,75.05,61.15,69.6
2022-01-14,69.8,88.4,69.55,88.4
2022-01-21,88.4,89.5,82.0,87.2
2022-01-28,85.05,88.35,77.65,81.35
2022-02-04,83.15,89.3,83.15,88.5
2022-02-11,87.3,95.85,84.65,91.2
2022-02-18,90.05,98.25,87.65,92.85
2022-02-25,90.85,92.75,82.7,85.5
2022-03-04,86.85,89.9,72.5,75.5
2022-03-11,72.65,76.35,62.85,68.0
2022-03-18,63.35,84.85,53.5,75.25
2022-03-25,78.25,81.35,69.45,69.6
2022-04-01,70.7,83.85,68.6,71.95
2022-04-08,73.35,78.45,67.95,69.1
2022-04-14,68.35,68.35,56.4,62.55
2022-04-22,59.95,62.55,56.45,58.15
2022-04-29,56.45,66.8,53.45,65.6
2022-05-06,65.1,67.15,58.45,58.95
2022-05-13,54.35,66.85,52.0,66.65
2022-05-20,68.85,70.85,65.1,70.1
2022-05-27,69.3,70.6,60.45,67.4
2022-06-02,69.85,80.6,68.95,78.75
2022-06-10,79.55,89.05,78.55,85.35
2022-06-17,81.85,88.75,77.05,82.1
2022-06-24,81.1,87.2,78.15,86.2
2022-06-30,87.25,89.65,84.4,86.25
2022-07-08,86.4,90.35,82.0,85.45
2022-07-15,85.15,85.15,75.95,76.85
2022-07-22,76.75,85.15,75.8,83.95
2022-07-29,83.45,85.05,75.4,77.85
2022-08-05,77.85,80.7,72.7,78.2
2022-08-12,75.95,77.8,71.45,74.55
2022-08-19,73.75,75.95,67.95,72.85
2022-08-26,71.25,75.15,66.0,69.6
2022-09-02,68.75,70.75,63.95,65.65
2022-09-09,65.15,65.45,60.25,63.35
2022-09-16,63.8,64.3,55.85,56.15
2022-09-23,55.95,57.45,52.5,53.6
2022-09-30,53.2,56.15,49.3,49.8
2022-10-07,49.35,55.8,49.35,52.7
2022-10-14,50.7,51.4,46.45,47.6
2022-10-21,46.9,50.5,38.7,38.85
2022-10-28,36.85,39.35,30.6,31.65
2022-11-04,31.5,41.9,30.85,40.75
2022-11-11,40.15,47.25,39.2,46.75
2022-11-18,49.15,56.25,44.7,53.15
2022-11-25,50.85,54.45,48.65,49.65
2022-12-02,46.85,60.45,46.25,58.85
2022-12-09,62.65,70.85,59.9,68.95
2022-12-16,68.05,72.05,65.6,68.35
2022-12-23,68.35,72.0,64.35,68.2
2022-12-30,70.0,72.85,68.95,69.9
2023-01-06,69.6,79.7,68.95,77.05
2023-01-13,78.85,79.25,70.7,73.25
2023-01-20,73.35,74.2,66.5,68.95
2023-01-27,71.05,72.05,69.15,71.55
2023-02-03,72.85,72.85,66.25,68.1
2023-02-10,66.15,66.8,59.9,60.15
2023-02-17,59.85,62.85,58.6,58.8
2023-02-24,58.3,60.2,51.6,51.7
2023-03-03,50.65,58.55,50.4,57.6
2023-03-10,57.6,58.35,48.55,49.05
2023-03-17,50.25,52.85,48.55,52.25
2023-03-24,51.9,56.85,50.6,55.75
2023-03-31,55.75,60.75,53.45,59.3
2023-04-06,59.1,59.7,53.2,55.0
2023-04-14,55.25,56.0,50.95,52.9
2023-04-21,51.85,54.05,47.05,47.4
2023-04-28,47.6,51.9,46.3,50.15
2023-05-05,51.35,51.6,48.25,50.6
2023-05-12,50.8,51.8,48.25,49.9
2023-05-19,49.1,53.6,48.15,48.9
2023-05-25,49.35,55.95,49.0,52.65
2023-06-02,53.6,56.4,49.7,55.95
2023-06-09,56.85,57.8,54.35,57.25
2023-06-16,57.8,60.85,57.05,58.75
2023-06-23,58.1,58.45,52.65,53.0
2023-06-30,53.0,55.85,51.95,52.4
2023-07-07,52.95,55.2,49.5,51.35
2023-07-14,52.6,59.85,52.4,58.45
2023-07-21,57.55,58.95,54.75,58.6
2023-07-28,57.3,65.4,56.9,64.3
2023-08-04,67.3,71.35,63.55,67.7
2023-08-11,67.4,68.35,64.1,65.95
2023-08-18,64.4,65.55,59.7,62.45
2023-08-25,61.3,67.1,59.05,64.1
2023-08-31,67.85,68.45,62.65,63.05
2023-09-07,64.9,65.8,62.7,63.15
2023-09-15,61.1,64.6,60.55,64.0
2023-09-22,63.0,63.8,58.25,62.35
2023-09-29,62.35,62.45,59.2,61.7
