日期,Open,High,Low,Close
2023-07-24,129.44,129.99,122.37,122.75
2023-07-25,124.98,125.78,122.64,123.13
2023-07-26,123.35,124.16,121.93,122.55
2023-07-27,122.76,123.7,121.5,122.29
2023-07-28,121.63,122.63,116.62,122.2
2023-07-31,122.28,127.27,122.28,125.28
2023-08-01,124.48,125.63,121.92,122.58
2023-08-02,121.12,122.98,118.93,119.55
2023-08-03,119.13,122.45,119.13,119.91
2023-08-04,120.14,121.42,119.12,120.55
2023-08-07,120.54,122.13,119.33,119.68
2023-08-08,117.28,117.99,108.7,110.7
2023-08-09,110.78,111.76,109.5,110.07
2023-08-10,111.73,118.38,111.2,116.55
2023-08-11,115.85,115.85,111.45,111.58
2023-08-14,110.15,110.85,107.99,110.81
2023-08-15,110.84,111.1,107.68,108.28
2023-08-16,108.35,110.98,107.06,107.21
2023-08-17,107.28,108.34,106.24,107.16
2023-08-18,109.42,111.13,107.3,107.42
2023-08-21,106.05,107.28,103.81,103.88
2023-08-22,103.85,104.99,100.43,103.31
2023-08-23,102.63,102.98,99.6,99.6
2023-08-24,100.61,106.13,100.33,102.1
2023-08-25,101.25,103.2,100.63,102.78
2023-08-28,107.99,108.62,95.08,95.3
2023-08-29,94.4,101.2,93.94,98.99
2023-08-30,98.43,102.05,98.37,99.25
2023-08-31,99.1,99.1,95.85,97.56
2023-09-01,98.67,98.67,95.85,96.28
2023-09-04,96.38,100.15,95.53,99.48
2023-09-05,99.4,100.11,97.12,98.49
2023-09-06,98.51,98.55,96.42,97.32
2023-09-07,97.66,97.79,93.94,94.2
2023-09-08,93.92,94.46,91.96,92.53
2023-09-11,92.8,97.18,91.6,95.77
2023-09-12,95.73,97.56,94.84,95.07
2023-09-13,94.78,95.5,92.7,93.28
2023-09-14,93.13,93.7,91.59,91.73
2023-09-15,92.2,92.97,89.89,90.47
2023-09-18,90.15,94.28,89.32,90.98
2023-09-19,91.05,91.4,88.48,88.75
2023-09-20,88.92,89.96,88.12,88.31
2023-09-21,88.37,89.45,87.35,87.99
2023-09-22,88.0,91.1,87.75,91.1
2023-09-25,90.71,91.48,88.53,90.78
2023-09-26,90.68,93.13,90.57,91.74
2023-09-27,91.48,95.54,90.85,92.93
2023-09-28,92.78,94.05,91.7,92.06
2023-10-09,92.28,92.69,90.09,90.69
2023-10-10,90.69,91.69,88.25,88.35
2023-10-11,89.25,92.83,88.93,89.23
2023-10-12,90.12,93.75,89.15,92.72
2023-10-13,91.6,92.18,88.58,89.59
2023-10-16,89.75,90.73,86.28,86.91
2023-10-17,86.68,88.28,86.29,86.83
2023-10-18,86.56,86.8,84.72,86.1
2023-10-19,85.45,86.55,84.66,85.35
2023-10-20,85.85,88.35,85.25,87.14
2023-10-23,86.56,86.7,82.57,82.99
2023-10-24,83.2,84.78,82.64,83.18
2023-10-25,82.99,85.48,80.7,80.7
2023-10-26,78.85,80.49,77.81,80.1
2023-10-27,80.1,85.3,79.71,84.67
2023-10-30,79.06,82.03,78.9,81.62
2023-10-31,81.48,82.03,79.43,80.05
2023-11-01,80.38,80.66,77.85,78.18
2023-11-02,78.12,78.99,75.05,75.07
2023-11-03,74.53,76.69,74.53,76.28
2023-11-06,76.48,80.81,76.48,80.23
2023-11-07,80.73,81.18,79.2,80.7
2023-11-08,80.13,81.55,79.9,80.69
2023-11-09,80.69,82.68,80.42,80.98
2023-11-10,80.49,80.75,79.6,80.13
2023-11-13,80.81,81.13,79.88,80.7
2023-11-14,80.7,81.8,79.9,80.55
2023-11-15,81.84,83.58,81.84,82.37
2023-11-16,81.92,82.27,79.47,79.47
2023-11-17,79.33,81.9,78.95,80.63
2023-11-20,80.72,82.06,79.5,81.29
2023-11-21,81.55,82.06,79.69,79.99
2023-11-22,79.57,80.13,77.13,77.13
2023-11-23,77.27,77.8,76.57,77.37
2023-11-24,77.27,77.28,75.14,75.34
2023-11-27,75.6,75.63,72.14,72.36
2023-11-28,72.36,72.83,71.42,72.83
2023-11-29,72.72,73.4,71.64,72.03
2023-11-30,71.88,72.98,70.63,71.51
2023-12-01,71.71,71.92,70.11,70.99
2023-12-04,71.03,71.03,69.58,69.9
2023-12-05,69.65,71.18,68.28,68.28
2023-12-06,67.87,73.39,67.85,71.03
2023-12-07,70.85,70.85,69.18,70.1
2023-12-08,70.46,70.92,69.2,70.5
2023-12-11,69.57,69.7,67.77,69.56
2023-12-12,69.14,69.78,68.0,68.15
2023-12-13,68.06,68.27,65.86,65.86
2023-12-14,66.53,67.78,65.7,65.78
2023-12-15,66.55,68.62,66.28,66.3
2023-12-18,66.28,67.08,64.3,64.55
2023-12-19,64.21,67.38,63.83,65.8
2023-12-20,65.78,66.45,64.63,64.65
2023-12-21,64.32,70.13,64.1,68.73
2023-12-22,67.99,74.97,66.92,71.98
2023-12-25,71.92,74.02,71.43,72.68
2023-12-26,72.43,73.57,71.25,72.92
2023-12-27,72.28,72.63,69.19,69.42
2023-12-28,69.41,77.19,69.13,76.36
2023-12-29,76.56,76.56,74.05,74.42
2024-01-02,74.41,74.78,72.55,72.63
2024-01-03,72.29,74.49,72.28,73.55
2024-01-04,73.13,73.98,70.21,70.93
2024-01-05,70.77,72.7,68.8,69.72
2024-01-08,69.13,70.85,68.03,68.13
2024-01-09,68.7,72.24,66.35,69.73
2024-01-10,69.35,73.45,68.91,72.28
2024-01-11,72.28,82.99,71.7,80.63
2024-01-12,80.1,81.36,78.4,79.03
2024-01-15,78.0,79.19,75.85,76.51
2024-01-16,76.2,78.52,75.5,78.08
2024-01-17,77.33,77.66,74.55,74.55
2024-01-18,74.42,77.26,74.18,77.06
2024-01-19,76.92,78.56,74.28,74.3
2024-01-22,72.82,73.09,67.88,68.63
2024-01-23,68.63,72.99,67.28,70.06
2024-01-24,70.85,71.06,66.8,69.63
2024-01-25,69.63,70.75,67.13,70.3
2024-01-26,69.99,72.28,68.1,68.6
2024-01-29,66.56,66.56,59.13,59.13
2024-01-30,57.08,59.98,56.68,57.13
2024-01-31,57.01,58.9,55.63,55.69
2024-02-01,55.12,57.05,54.98,55.58
2024-02-02,55.73,56.3,49.98,51.28
2024-02-05,51.28,51.73,44.9,47.2
2024-02-06,47.04,52.07,46.21,51.55
2024-02-07,52.33,56.92,52.28,56.45
2024-02-08,56.58,59.32,55.9,57.28
2024-02-19,57.28,57.6,55.37,56.24
2024-02-20,55.85,56.56,54.98,56.43
2024-02-21,55.85,59.39,55.26,57.68
2024-02-22,57.28,58.99,56.78,57.7
2024-02-23,57.7,59.23,57.67,58.91
2024-02-26,58.92,59.26,56.98,58.13
2024-02-27,57.49,59.78,57.42,59.78
2024-02-28,60.83,64.06,57.99,58.04
2024-02-29,56.71,60.76,56.65,59.28
2024-03-01,59.92,61.35,59.42,60.12
2024-03-04,59.77,61.38,59.24,59.43
2024-03-05,59.04,59.04,57.16,57.73
2024-03-06,57.72,60.78,56.74,58.85
2024-03-07,59.18,59.76,56.25,56.25
2024-03-08,56.63,58.8,56.25,57.99
2024-03-11,59.42,69.85,59.42,69.85
2024-03-12,70.7,72.05,68.42,69.93
2024-03-13,68.33,71.55,68.0,69.71
2024-03-14,69.39,70.06,66.65,67.5
2024-03-15,67.28,67.63,64.73,66.67
2024-03-18,67.63,69.55,67.0,68.62
2024-03-19,68.7,69.67,67.05,67.05
2024-03-20,66.52,68.27,66.2,66.85
2024-03-21,66.48,67.08,64.78,65.17
2024-03-22,65.05,65.48,62.48,63.24
2024-03-25,62.49,63.28,60.83,60.85
2024-03-26,61.28,66.4,61.28,64.85
2024-03-27,64.02,64.35,60.93,60.93
2024-03-28,60.85,62.85,60.28,60.81
2024-03-29,60.73,62.7,60.62,61.43
2024-04-01,61.43,65.06,61.43,64.33
2024-04-02,64.33,66.92,62.89,65.48
2024-04-03,64.78,66.2,63.35,63.83
2024-04-08,63.49,64.74,60.98,61.05
2024-04-09,60.85,63.7,60.49,63.05
2024-04-10,62.98,63.19,60.2,60.84
2024-04-11,60.12,61.57,59.19,61.31
2024-04-12,60.13,60.85,57.7,58.2
2024-04-15,58.03,60.28,56.28,57.55
2024-04-16,57.28,57.91,53.8,54.06
2024-04-17,54.63,56.11,54.58,55.27
2024-04-18,55.25,55.7,52.9,54.26
2024-04-19,54.39,54.4,52.11,52.63
2024-04-22,52.63,54.06,51.7,52.08
2024-04-23,52.28,53.5,51.56,51.6
2024-04-24,51.55,51.85,49.78,50.98
2024-04-25,50.71,52.85,50.28,51.85
2024-04-26,51.56,52.85,50.93,52.35
2024-04-29,52.32,57.14,52.27,56.25
2024-04-30,56.87,57.26,54.98,55.29
2024-05-06,56.3,57.94,56.3,56.84
2024-05-07,56.56,58.62,56.27,57.62
2024-05-08,57.62,58.32,56.73,56.92
2024-05-09,57.78,59.85,57.78,58.38
2024-05-10,58.39,58.39,56.48,56.63
2024-05-13,55.85,56.54,54.3,54.53
2024-05-14,54.59,55.08,53.26,53.43
2024-05-15,54.59,55.84,53.29,53.4
2024-05-16,53.35,54.03,52.38,52.47
2024-05-17,53.04,53.14,51.42,52.53
2024-05-20,48.58,48.58,44.42,45.0
2024-05-21,45.0,45.35,44.42,44.69
2024-05-22,44.58,46.72,44.57,46.28
2024-05-23,45.78,45.89,44.64,44.75
2024-05-24,44.63,45.42,44.35,44.36
2024-05-27,44.36,44.74,43.35,44.02
2024-05-28,43.85,44.57,43.44,43.5
2024-05-29,43.5,45.06,43.5,43.78
2024-05-30,44.1,44.34,43.63,43.75
2024-05-31,43.64,44.18,43.57,43.66
2024-06-03,43.6,43.98,42.95,43.4
2024-06-04,43.0,43.47,42.73,43.38
2024-06-05,43.38,44.34,43.13,43.68
2024-06-06,43.75,43.96,40.69,41.35
2024-06-07,41.61,42.03,40.63,41.56
2024-06-11,41.49,42.19,40.89,42.1
2024-06-12,42.19,42.33,41.62,41.83
2024-06-13,42.45,42.75,41.7,41.93
2024-06-14,42.28,42.28,41.14,41.64
2024-06-17,42.15,43.17,41.64,42.93
2024-06-18,43.05,43.49,42.7,43.04
2024-06-19,43.18,43.18,41.58,41.58
2024-06-20,41.52,41.78,40.14,40.14
2024-06-21,40.24,40.61,39.04,39.56
2024-06-24,38.36,40.72,38.24,39.72
2024-06-25,39.64,39.83,38.44,38.76
2024-06-26,38.44,40.93,38.07,40.57
2024-06-27,40.54,40.69,39.38,39.55
2024-06-28,39.57,40.35,38.94,39.15
2024-07-01,39.44,40.35,38.39,38.69
2024-07-02,38.62,39.12,37.21,37.29
2024-07-03,37.23,37.67,36.62,36.78
2024-07-04,36.98,37.11,35.87,35.9
2024-07-05,35.51,36.37,35.49,36.21
2024-07-08,36.04,36.61,35.34,35.44
2024-07-09,35.25,35.9,34.35,35.74
2024-07-10,35.2,36.74,34.84,35.35
2024-07-11,36.35,37.83,36.04,37.33
2024-07-12,37.21,39.53,37.14,38.39
2024-07-15,37.74,38.11,36.39,36.72
2024-07-16,36.72,37.54,36.44,37.34
2024-07-17,37.62,38.26,37.44,37.74
2024-07-18,37.54,39.14,36.75,38.73
2024-07-19,38.37,41.8,38.14,41.03
2024-07-22,41.35,42.19,40.64,41.74
2024-07-23,41.34,43.42,40.94,41.29
2024-07-24,40.68,41.82,40.24,40.35
2024-07-25,40.02,42.91,39.94,41.8
2024-07-26,41.37,41.74,40.64,41.08
2024-07-29,40.84,40.86,39.33,39.57
2024-07-30,39.58,39.98,38.94,39.29
2024-07-31,39.29,41.36,38.57,41.28
2024-08-01,41.15,41.36,40.5,40.52
2024-08-02,40.25,41.48,40.1,40.43
2024-08-05,39.45,41.54,39.0,39.24
2024-08-06,39.88,40.87,39.59,40.44
2024-08-07,40.5,40.76,39.35,39.68
2024-08-08,39.45,39.87,38.54,39.35
2024-08-09,39.39,39.64,37.92,37.96
2024-08-12,37.95,38.72,37.14,37.51
2024-08-13,37.54,38.63,37.0,38.17
2024-08-14,38.0,38.59,37.47,37.57
2024-08-15,37.34,38.4,37.05,37.85
2024-08-16,38.02,38.02,36.65,36.83
2024-08-19,36.84,37.4,36.23,36.56
2024-08-20,36.61,36.8,35.27,35.57
2024-08-21,35.42,36.57,35.1,35.66
2024-08-22,35.89,36.0,34.75,34.82
2024-08-23,34.66,35.74,34.38,35.64
2024-08-26,36.25,40.91,35.64,39.44
2024-08-27,39.19,39.92,38.4,38.73
2024-08-28,38.69,39.13,37.94,38.51
2024-08-29,38.4,41.42,38.1,41.22
2024-08-30,40.71,41.9,40.55,40.84
2024-09-02,40.8,41.4,38.85,38.86
2024-09-03,38.99,41.19,38.48,40.26
2024-09-04,40.15,41.07,39.74,40.1
2024-09-05,40.11,41.15,39.74,39.84
2024-09-06,39.82,39.84,37.73,37.78
2024-09-09,37.34,37.94,34.29,35.05
2024-09-10,35.29,35.3,33.85,34.56
2024-09-11,34.41,37.26,34.37,36.05
2024-09-12,36.24,37.54,35.99,36.73
2024-09-13,36.48,36.92,34.34,35.19
2024-09-18,34.63,34.82,32.65,33.25
2024-09-19,33.64,34.28,32.87,33.39
2024-09-20,33.44,33.44,31.97,32.34
2024-09-23,32.32,32.92,32.11,32.32
2024-09-24,32.49,34.54,32.29,34.49
2024-09-25,35.43,36.52,34.94,34.99
2024-09-26,34.94,37.39,34.5,37.34
2024-09-27,38.34,41.81,37.95,41.53
2024-09-30,45.44,49.95,43.94,49.95
2024-10-08,60.04,60.04,53.44,59.41
2024-10-09,56.09,56.74,50.75,50.93
2024-10-10,50.96,52.8,49.12,49.29
2024-10-11,48.44,49.34,45.13,45.99
2024-10-14,46.02,46.67,44.35,46.37
2024-10-15,45.97,46.36,44.32,44.4
2024-10-16,43.45,44.19,42.86,43.23
2024-10-17,43.54,44.37,42.94,43.1
2024-10-18,42.92,47.39,42.59,45.34
2024-10-21,45.83,48.42,45.34,46.65
2024-10-22,46.0,47.07,45.45,46.79
2024-10-23,46.89,50.44,46.32,48.36
2024-10-24,48.03,48.03,46.03,46.28
2024-10-25,46.44,51.43,46.44,50.96
2024-10-28,51.34,51.34,48.53,50.01
2024-10-29,50.62,51.93,47.84,47.86
2024-10-30,47.73,48.45,46.84,47.44
