日期,Open,High,Low,Close
2023-07-24,56.8,59.4,56.3,57.65
2023-07-25,62.35,65.75,62.35,65.0
2023-07-26,61.9,61.9,59.65,60.5
2023-07-27,69.55,81.45,69.55,81.0
2023-07-28,80.7,86.05,79.0,85.1
2023-07-31,94.9,96.3,85.85,86.75
2023-08-01,81.7,86.15,80.75,82.7
2023-08-02,79.8,79.8,68.05,70.6
2023-08-03,73.0,75.0,71.85,73.4
2023-08-04,76.5,77.4,72.05,74.95
2023-08-07,71.75,75.4,71.05,74.65
2023-08-08,73.5,73.9,71.2,71.7
2023-08-09,70.1,70.55,68.3,69.1
2023-08-10,66.75,68.25,65.85,67.9
2023-08-11,66.65,66.8,64.8,66.1
2023-08-14,63.4,64.6,61.0,64.1
2023-08-15,64.25,66.55,63.75,64.85
2023-08-16,63.7,63.85,62.35,62.55
2023-08-17,61.6,67.0,60.8,65.3
2023-08-18,62.85,63.45,60.65,61.0
2023-08-21,59.65,64.35,58.9,62.0
2023-08-22,65.8,66.1,62.85,65.1
2023-08-23,63.25,63.45,61.75,62.45
2023-08-24,63.5,65.75,62.45,65.5
2023-08-25,64.2,66.6,64.0,65.1
2023-08-28,74.3,75.8,71.05,72.2
2023-08-29,72.9,75.9,71.0,74.3
2023-08-30,75.5,76.6,72.3,73.05
2023-08-31,74.05,75.2,72.5,73.55
2023-09-04,73.95,76.95,73.4,75.3
2023-09-05,76.25,76.25,73.7,73.85
2023-09-06,73.75,73.85,70.75,73.3
2023-09-07,73.5,75.0,72.8,73.1
2023-09-11,68.7,72.55,68.4,71.75
2023-09-12,73.25,75.5,72.1,72.8
2023-09-13,73.15,73.5,70.35,71.0
2023-09-14,71.6,72.4,69.45,71.25
2023-09-15,72.0,74.3,70.6,72.8
2023-09-18,72.35,73.45,71.5,72.0
2023-09-19,72.0,72.6,70.5,72.15
2023-09-20,69.45,69.6,66.75,68.1
2023-09-21,64.6,65.4,63.3,63.4
2023-09-22,62.2,67.6,62.15,66.9
2023-09-25,65.35,68.2,65.25,65.7
2023-09-26,65.75,66.05,62.85,63.6
2023-09-27,63.6,65.4,62.7,63.9
2023-09-28,65.0,65.9,64.1,64.55
2023-09-29,67.75,70.9,67.1,69.95
2023-10-03,70.2,70.55,67.95,69.5
2023-10-04,67.95,68.15,66.35,66.8
2023-10-05,70.05,71.7,69.65,70.0
2023-10-06,69.5,71.35,69.2,69.7
2023-10-09,69.7,70.9,66.75,67.55
2023-10-10,64.4,65.8,63.65,64.45
2023-10-11,66.4,67.15,65.6,66.2
2023-10-12,66.5,68.1,66.2,67.1
2023-10-13,64.15,65.65,64.15,64.7
2023-10-16,64.15,64.3,60.85,61.6
2023-10-17,60.1,60.45,58.9,59.6
2023-10-18,59.9,60.9,58.25,58.8
2023-10-19,53.8,54.15,52.65,53.55
2023-10-20,53.55,55.0,53.2,53.65
2023-10-24,54.95,55.85,53.35,55.15
2023-10-25,59.45,60.8,57.2,57.85
2023-10-26,55.85,57.0,55.25,56.8
2023-10-27,58.0,60.1,57.5,59.65
2023-10-30,57.85,60.0,57.8,59.35
2023-10-31,58.55,58.85,57.25,57.8
2023-11-01,57.3,58.5,56.1,57.5
2023-11-02,60.6,63.5,60.6,61.85
2023-11-03,64.85,65.75,63.1,64.65
2023-11-06,66.65,70.3,66.6,69.7
2023-11-07,68.0,70.1,67.5,69.05
2023-11-08,66.8,67.1,62.95,63.95
2023-11-09,63.3,65.5,62.65,64.8
2023-11-10,62.05,62.65,60.4,60.65
2023-11-13,60.25,61.15,59.55,60.95
2023-11-14,61.9,63.5,61.8,63.0
2023-11-15,66.8,67.85,65.7,67.8
2023-11-16,66.5,67.05,64.55,65.15
2023-11-17,64.1,65.45,62.45,65.15
2023-11-20,66.8,68.9,65.6,68.45
2023-11-21,70.8,73.2,69.65,69.95
2023-11-22,69.0,69.2,67.5,68.3
2023-11-23,68.85,72.8,68.55,72.75
2023-11-24,71.6,74.3,71.05,72.25
2023-11-27,72.55,73.0,67.25,70.75
2023-11-28,70.0,71.1,69.05,69.65
2023-11-29,71.25,71.25,66.9,67.65
2023-11-30,67.65,67.85,64.3,67.2
2023-12-01,65.5,65.5,63.35,63.75
2023-12-04,63.2,63.65,61.7,62.2
2023-12-05,62.35,63.85,62.0,63.25
2023-12-06,63.4,65.45,62.0,64.35
2023-12-07,65.1,65.5,63.4,64.1
2023-12-08,63.1,63.15,59.85,60.4
2023-12-11,59.0,61.3,58.2,60.4
2023-12-12,61.6,63.7,61.55,62.95
2023-12-13,60.85,61.1,58.35,59.0
2023-12-14,60.5,61.0,57.95,58.85
2023-12-15,60.7,61.95,59.2,59.3
2023-12-18,56.15,57.0,55.05,55.35
2023-12-19,56.1,57.0,55.4,56.9
2023-12-20,57.55,58.45,56.35,56.7
2023-12-21,55.4,55.8,54.25,54.7
2023-12-22,55.2,55.35,52.65,53.45
2023-12-27,54.7,55.05,52.9,53.75
2023-12-28,52.95,55.5,52.5,54.3
2023-12-29,55.65,57.05,55.55,56.7
2024-01-02,59.05,60.95,55.8,56.4
2024-01-03,55.35,56.75,54.15,54.95
2024-01-04,55.4,55.5,53.3,54.95
2024-01-05,53.7,54.6,52.5,52.7
2024-01-08,51.85,51.85,47.5,48.6
2024-01-09,48.9,49.85,48.65,48.95
2024-01-10,48.95,49.55,48.0,48.45
2024-01-11,48.85,50.7,48.35,49.95
2024-01-12,47.85,48.45,47.0,47.35
2024-01-15,46.35,46.35,41.95,43.0
