日期,Open,High,Low,Close
2021-07-30,168.0,172.4,131.2,149.2
2021-08-31,160.7,176.7,140.0,159.9
2021-09-30,163.3,164.6,133.7,135.0
2021-10-29,138.3,197.6,131.0,181.8
2021-11-30,182.8,217.0,168.4,203.0
2021-12-31,213.2,220.0,154.1,186.3
2022-01-31,194.8,199.5,122.0,124.9
2022-02-28,136.6,161.8,126.1,135.1
2022-03-31,140.6,144.5,71.85,112.5
2022-04-29,108.8,124.6,87.05,103.0
2022-05-31,100.0,104.7,78.0,92.4
2022-06-30,92.9,142.8,89.5,126.4
2022-07-29,119.9,131.2,90.8,92.0
2022-08-31,93.5,99.5,70.3,73.7
2022-09-30,72.95,72.95,43.3,46.0
2022-10-31,46.2,47.65,24.8,25.4
2022-11-30,25.8,41.5,24.75,33.65
2022-12-30,38.65,50.4,36.55,38.35
2023-01-31,38.35,45.85,35.05,39.65
2023-02-28,41.5,44.55,33.3,34.35
2023-03-31,35.5,44.8,30.45,43.75
2023-04-28,43.75,46.9,35.1,37.6
2023-05-31,38.95,42.3,30.35,31.05
2023-06-30,31.0,52.5,30.3,50.0
2023-07-31,53.05,96.3,52.35,86.75
2023-08-31,81.7,86.15,58.9,73.55
2023-09-29,73.95,76.95,62.15,69.95
2023-10-31,70.2,71.7,52.65,57.8
2023-11-30,57.3,74.3,56.1,67.2
2023-12-29,65.5,65.5,52.5,56.7
2024-01-31,59.05,60.95,32.0,32.35
2024-02-29,33.0,38.25,30.5,35.9
2024-03-28,36.4,42.15,30.55,32.1
2024-04-30,30.45,32.75,25.7,31.55
2024-05-31,31.65,37.5,29.8,32.35
2024-06-28,32.8,33.5,27.85,29.55
2024-07-31,30.1,35.3,28.25,32.35
2024-08-30,32.1,32.8,25.5,31.85
2024-09-30,32.25,54.85,31.4,52.95
2024-10-31,51.15,57.35,39.85,45.15
2024-11-29,43.85,61.6,42.9,46.45
2024-12-31,47.1,55.8,45.85,46.65
2025-01-28,46.2,60.05,44.0,59.0
2025-02-28,57.9,90.0,55.2,79.8
2025-03-31,83.8,106.0,75.65,78.8
2025-04-30,81.9,86.25,60.6,72.85
2025-05-30,73.45,85.45,72.1,76.35
2025-06-30,75.15,81.9,69.75,70.6
2025-07-31,72.0,77.5,67.15,71.6
2025-08-29,71.85,96.3,71.1,83.9
2025-09-30,82.7,93.5,76.4,93.15
2025-10-31,92.45,95.75,78.6,87.2
2025-11-28,90.05,110.8,78.05,83.9
2025-12-31,84.5,84.5,70.05,79.35
2026-01-30,78.8,84.6,71.15,71.65
2026-02-27,68.0,73.55,64.6,68.35
2026-03-31,66.15,81.4,60.35,65.45
2026-04-30,67.0,70.9,60.85,61.0
2026-05-29,62.6,68.0,57.55,63.85
2026-06-30,63.85,72.35,45.32,50.65
