日期,Open,High,Low,Close
2020-07-24,87.47,89.45,85.23,86.42
2020-07-31,86.02,90.36,85.88,88.11
2020-08-07,88.55,89.83,86.75,88.7
2020-08-14,88.41,88.74,86.14,87.46
2020-08-21,87.77,90.01,87.22,89.87
2020-08-28,90.17,101.66,88.17,98.26
2020-09-04,98.17,99.21,89.89,91.63
2020-09-11,90.64,94.4,89.9,92.17
2020-09-18,93.06,95.46,91.86,94.33
2020-09-25,93.27,93.93,87.81,90.92
2020-10-02,91.71,97.8,91.29,93.97
2020-10-09,94.65,97.44,93.52,97.12
2020-10-16,97.72,99.04,94.14,97.5
2020-10-23,97.73,98.87,92.58,95.62
2020-10-30,95.4,97.58,90.96,92.94
2020-11-06,94.92,102.97,93.94,102.25
2020-11-13,99.63,101.04,94.02,100.43
2020-11-20,99.88,102.45,97.09,98.72
2020-11-27,99.26,99.35,93.46,95.45
2020-12-04,95.6,97.43,94.76,95.73
2020-12-11,95.55,96.13,93.15,94.85
2020-12-18,95.33,97.44,94.23,96.8
2020-12-24,95.39,97.51,93.2,96.18
2020-12-31,96.79,97.47,95.09,97.32
2021-01-08,97.36,100.38,95.09,99.44
2021-01-15,99.04,100.73,96.08,99.58
2021-01-22,100.02,101.82,98.54,101.12
2021-01-29,101.34,113.0,101.29,111.87
2021-02-05,111.52,113.1,107.07,112.31
2021-02-12,113.28,116.82,111.895,116.51
2021-02-19,116.77,116.78,110.95,111.32
2021-02-26,111.23,111.46,107.94,108.06
2021-03-05,109.27,111.38,103.02,105.53
2021-03-12,105.28,107.62,103.6,104.99
2021-03-19,105.47,109.27,104.82,108.53
2021-03-26,108.54,110.58,105.52,110.35
2021-04-01,109.28,111.02,107.06,107.22
2021-04-09,107.93,110.29,107.36,109.18
2021-04-16,108.84,113.41,108.76,113.08
2021-04-23,112.33,114.15,107.74,112.04
2021-04-30,112.12,112.13,108.075,108.81
2021-05-07,109.28,109.39,105.16,107.68
2021-05-14,107.93,108.675,104.98,107.04
2021-05-21,106.73,107.68,103.885,105.86
2021-05-28,106.77,107.97,104.34,105.38
2021-06-04,98.88,100.03,94.09,98.02
2021-06-11,98.71,99.61,96.33,98.64
2021-06-18,98.81,100.72,98.36,99.06
