日期,Open,High,Low,Close
2023-07-24,106.88,108.87,106.22,107.66
2023-07-25,106.15,106.54,105.55,105.97
2023-07-26,105.54,107.335,105.42,107.12
2023-07-27,107.5,107.63,105.55,105.69
2023-07-28,106.22,106.56,105.36,105.77
2023-07-31,105.89,105.93,103.74,104.37
2023-08-01,103.75,104.29,103.34,103.57
2023-08-02,103.06,103.24,101.1,101.66
2023-08-03,100.75,101.35,100.18,100.58
2023-08-04,100.36,101.82,100.32,100.69
2023-08-07,101.03,101.63,100.67,101.49
2023-08-08,100.64,100.64,96.71,98.62
2023-08-09,98.54,99.94,98.22,98.34
2023-08-10,98.52,100.04,97.66,97.78
2023-08-11,97.26,98.45,96.73,98.35
2023-08-14,98.18,99.26,98.18,99.14
2023-08-15,99.19,99.19,97.59,97.98
2023-08-16,97.5,98.42,97.48,97.57
2023-08-17,98.24,98.95,97.52,97.97
2023-08-18,97.6,98.1,96.32,96.75
2023-08-21,96.82,97.445,96.4,96.91
2023-08-22,96.92,98.57,96.76,98.19
2023-08-23,98.74,99.151,97.835,98.17
2023-08-24,97.95,98.89,96.67,96.79
2023-08-25,97.06,97.82,96.33,97.25
2023-08-28,98.11,98.26,94.925,95.83
2023-08-29,96.28,96.98,96.02,96.91
2023-08-30,97.12,98.12,97.12,97.45
2023-08-31,97.56,97.62,95.9,95.94
2023-09-01,96.44,96.829,95.6,95.89
2023-09-05,95.82,95.89,93.91,93.92
2023-09-06,94.05,95.095,92.81,94.6
2023-09-07,95.03,95.32,93.55,93.71
2023-09-08,93.64,93.86,92.88,93.77
2023-09-11,93.84,96.17,93.59,95.49
2023-09-12,95.41,95.96,94.64,95.44
2023-09-13,95.11,96.48,95.1,95.73
2023-09-14,96.26,96.66,95.56,95.69
2023-09-15,95.89,95.93,94.52,94.78
2023-09-18,95.11,95.11,93.79,94.04
2023-09-19,94.42,95.0,93.18,93.71
2023-09-20,94.23,94.39,93.31,93.32
2023-09-21,93.04,93.24,91.89,91.97
2023-09-22,91.94,91.97,91.055,91.19
