日期,Open,High,Low,Close
2020-07-24,239.05,247.3,230.24,232.88
2020-07-31,234.96,240.6,231.42,236.43
2020-08-07,239.42,246.36,233.2,236.24
2020-08-14,236.4,243.25,227.52,234.35
2020-08-21,236.3,250.62,235.65,248.27
2020-08-28,250.1,254.35,237.19,247.39
2020-09-04,246.33,261.94,228.18,233.88
2020-09-11,224.16,239.01,223.27,227.48
2020-09-18,231.03,240.05,219.89,225.13
2020-09-25,220.8,230.33,215.83,227.8
2020-10-02,232.5,238.61,223.51,225.56
2020-10-09,226.86,238.14,225.04,237.5
2020-10-16,243.46,261.45,239.92,259.97
2020-10-23,262.67,268.44,247.02,254.42
2020-10-30,251.59,254.65,233.32,235.54
2020-11-06,237.2,261.6,236.21,259.41
2020-11-13,274.24,276.68,244.3,251.0
2020-11-20,249.37,260.6,246.86,254.89
2020-11-27,255.57,282.49,251.6,272.81
2020-12-04,275.0,282.0,272.21,278.0
2020-12-11,278.18,289.45,274.24,279.68
2020-12-18,281.57,305.95,280.05,305.0
2020-12-24,302.84,307.22,296.7,301.39
2020-12-31,304.25,305.85,296.03,305.34
2021-01-08,304.11,320.43,293.05,319.85
2021-01-15,317.43,321.13,308.03,308.51
2021-01-22,314.83,315.47,296.51,299.17
2021-01-29,301.76,302.49,272.7,277.43
2021-02-05,280.41,307.86,279.33,305.86
2021-02-12,308.33,310.07,295.32,305.14
2021-02-19,307.95,316.31,292.855,305.4
2021-02-26,301.46,303.15,274.82,276.0
2021-03-05,279.86,286.9,255.02,267.39
2021-03-12,265.21,276.0,252.6,268.11
2021-03-19,267.98,277.7,258.85,261.5
2021-03-26,261.03,274.83,257.315,269.01
2021-04-01,266.97,285.64,264.47,283.9
2021-04-09,285.74,297.9,283.24,297.57
2021-04-16,294.0,303.69,293.0,300.16
2021-04-23,297.27,299.46,282.82,295.27
2021-04-30,294.67,301.5,290.5,291.91
2021-05-07,292.99,293.5,274.5,285.76
2021-05-14,285.89,286.0,265.75,277.63
2021-05-21,275.0,285.0,266.79,281.68
2021-05-28,285.29,293.49,282.15,285.86
2021-06-04,287.0,287.41,271.7,284.78
2021-06-11,283.97,283.97,274.337,277.51
2021-06-18,278.29,281.715,271.151,277.98
2021-06-25,278.47,289.895,275.867,288.74
2021-07-02,290.22,298.31,289.27,297.74
2021-07-09,298.19,301.0,290.04,295.38
2021-07-16,297.62,300.725,290.31,293.33
2021-07-23,289.58,314.92,284.42,312.65
2021-07-30,312.0,322.68,304.31,321.13
2021-08-06,321.41,334.06,319.15,332.77
2021-08-13,333.175,335.67,325.35,332.78
2021-08-20,332.31,335.27,322.23,334.38
2021-08-27,336.0,344.39,308.025,315.64
2021-09-03,316.94,318.72,284.5,288.75
2021-09-10,290.76,292.5,284.11,284.43
2021-09-17,284.51,292.2,278.46,288.15
2021-09-24,282.52,295.34,279.84,294.67
2021-10-01,294.0,295.29,279.79,284.06
2021-10-08,282.87,285.443,271.09,278.94
2021-10-15,276.65,291.88,275.105,291.19
2021-10-22,290.21,312.48,289.36,308.58
2021-10-29,308.69,318.74,307.27,317.61
2021-11-05,318.5,325.64,302.01,324.52
2021-11-12,327.15,334.51,319.29,329.32
2021-11-19,330.74,335.48,320.98,322.52
2021-11-26,324.14,325.21,245.05,254.17
2021-12-03,257.21,266.43,249.41,259.02
2021-12-10,259.53,280.0,254.16,269.0
2021-12-17,267.89,279.7,260.945,277.65
2021-12-23,270.0,284.515,268.04,280.99
2021-12-31,282.95,285.38,279.26,281.19
2022-01-07,280.73,284.96,258.49,262.32
2022-01-14,256.54,274.945,250.6,259.1
2022-01-21,253.9,262.487,238.82,239.19
2022-01-28,234.25,246.29,226.4,239.54
2022-02-04,239.71,252.34,235.51,241.24
2022-02-11,242.54,251.42,226.61,227.13
2022-02-18,227.66,234.82,216.19,216.84
2022-02-25,216.5,226.71,199.632,219.62
2022-03-04,218.19,222.62,206.52,207.66
2022-03-11,207.9,209.69,192.11,192.31
2022-03-18,192.31,215.31,186.29,213.3
2022-03-25,211.73,218.87,204.58,212.14
2022-04-01,212.87,223.81,210.56,213.04
2022-04-08,213.88,220.41,198.2,202.25
2022-04-14,198.41,206.23,195.24,196.73
2022-04-22,195.09,209.0,187.07,187.31
2022-04-29,186.65,198.04,180.19,189.28
2022-05-06,189.23,204.79,186.76,193.77
2022-05-13,189.33,197.5,175.41,197.07
2022-05-20,194.45,198.99,185.575,191.41
2022-05-27,182.945,211.85,173.9,211.38
2022-06-03,209.69,214.24,204.06,208.37
2022-06-10,211.27,212.29,184.45,187.08
2022-06-17,179.61,182.28,163.2,167.77
2022-06-24,170.09,192.99,165.01,192.48
2022-07-01,191.48,193.332,170.35,173.86
2022-07-08,171.7,182.55,170.22,179.83
2022-07-15,177.84,181.36,166.94,176.21
2022-07-22,178.34,203.55,175.61,195.95
2022-07-29,194.76,217.65,192.17,216.32
2022-08-05,212.01,223.12,211.88,221.7
2022-08-12,222.96,233.15,215.12,233.01
2022-08-19,232.38,235.005,221.49,222.59
