日期,Open,High,Low,Close
2020-07-24,58.19,62.82,57.98,62.7
2020-07-31,64.9,70.45,61.76,70.39
2020-08-07,70.16,75.56,68.05,73.25
2020-08-14,74.03,74.91,66.69,69.95
2020-08-21,72.88,75.37,69.06,70.4
2020-08-28,71.25,73.35,67.93,73.13
2020-09-04,73.6,75.01,68.18,69.96
2020-09-11,67.8,75.67,66.78,73.28
2020-09-18,74.48,80.33,71.7,71.82
2020-09-25,69.39,70.78,64.79,69.24
2020-10-02,70.05,73.05,68.84,70.68
2020-10-09,70.7,73.83,68.07,73.79
2020-10-16,73.77,76.56,72.04,72.41
2020-10-23,72.4,73.39,69.85,70.34
2020-10-30,69.85,71.89,67.0,70.39
2020-11-06,71.25,75.53,70.11,75.26
2020-11-13,70.1,70.84,62.81,65.37
2020-11-20,64.46,65.23,57.93,58.73
2020-11-27,58.09,58.42,53.59,55.77
2020-12-04,55.61,60.99,54.96,60.36
2020-12-11,60.4,64.44,60.34,61.46
2020-12-18,61.27,66.2,59.71,62.87
2020-12-24,63.3,63.88,60.78,62.79
2020-12-31,63.99,64.31,61.57,61.81
2021-01-08,64.75,67.99,62.27,63.42
2021-01-15,61.54,62.37,59.62,59.95
2021-01-22,60.14,63.28,59.4,61.99
2021-01-29,62.62,63.77,59.02,61.15
2021-02-05,63.3,63.49,57.95,62.29
2021-02-12,63.29,64.8,56.93,57.98
2021-02-19,57.55,57.84,50.54,51.09
2021-02-26,51.35,53.82,47.32,47.52
2021-03-05,48.35,49.38,46.31,48.82
2021-03-12,48.82,51.175,47.97,50.76
2021-03-19,51.17,53.26,50.24,52.29
2021-03-26,52.1,52.65,49.08,50.51
2021-04-01,50.0,51.39,48.19,51.32
2021-04-09,51.17,53.06,50.97,52.42
2021-04-16,52.03,56.44,51.4,56.23
2021-04-23,56.01,59.46,55.9,57.76
2021-04-30,57.75,58.04,54.04,54.09
2021-05-07,55.28,61.65,55.0,60.82
2021-05-14,62.13,62.13,58.7,61.67
2021-05-21,62.28,66.15,61.99,63.73
