日期,Open,High,Low,Close
2023-07-24,207.18,208.31,206.098,207.6
2023-07-25,206.54,208.745,206.46,207.49
2023-07-26,206.13,207.92,204.615,207.39
2023-07-27,206.66,210.66,206.488,208.23
2023-07-28,209.0,210.36,207.27,208.55
2023-07-31,208.66,208.66,205.2,206.33
2023-08-01,207.11,207.56,202.77,204.3
2023-08-02,204.9,205.21,200.88,202.59
2023-08-03,202.97,203.279,200.39,202.88
2023-08-04,210.09,218.6,209.18,215.46
2023-08-07,216.43,226.0,215.635,225.12
2023-08-08,229.7,235.97,228.68,232.98
2023-08-09,232.1,235.95,231.3,231.5
2023-08-10,233.72,236.96,232.64,234.24
2023-08-11,233.88,236.29,233.01,234.69
2023-08-14,234.4,235.65,232.03,233.15
2023-08-15,233.5,238.81,232.14,238.19
2023-08-16,238.51,240.42,236.76,237.2
2023-08-17,238.18,240.89,237.58,238.16
2023-08-18,236.92,237.3,235.38,236.13
2023-08-21,235.89,236.78,233.32,235.01
2023-08-22,234.55,234.71,231.66,231.93
2023-08-23,233.81,234.16,230.29,231.67
2023-08-24,231.04,234.5,230.48,230.93
2023-08-25,231.42,232.05,229.12,230.69
2023-08-28,231.27,232.43,229.45,230.86
2023-08-29,231.67,234.16,231.13,233.95
2023-08-30,234.31,235.175,231.26,232.19
2023-08-31,232.53,233.31,230.6,230.65
2023-09-01,232.99,233.34,230.41,231.02
2023-09-05,231.02,231.7,228.23,228.32
2023-09-06,228.75,228.75,222.69,223.32
2023-09-07,224.85,229.01,224.71,228.7
2023-09-08,230.06,234.65,229.28,233.74
2023-09-11,232.52,237.12,231.72,236.03
2023-09-12,236.99,237.325,232.17,234.62
2023-09-13,233.65,234.53,231.33,231.54
2023-09-14,233.21,237.45,232.85,236.61
2023-09-15,238.07,238.24,234.13,235.03
2023-09-18,237.69,239.53,236.24,237.46
2023-09-19,237.45,240.08,236.75,238.62
2023-09-20,239.31,247.385,238.28,245.77
2023-09-21,246.38,246.79,242.01,243.72
2023-09-22,241.98,243.805,240.83,242.01
2023-09-25,241.85,242.115,239.32,241.17
2023-09-26,240.99,244.195,239.98,243.35
2023-09-27,246.04,247.92,241.07,243.29
2023-09-28,242.1,245.69,240.849,245.13
2023-09-29,245.31,245.31,241.53,243.07
2023-10-02,242.02,242.8,238.69,240.62
2023-10-03,238.35,240.335,233.98,235.32
2023-10-04,236.41,240.45,235.22,239.75
2023-10-05,240.5,242.228,236.85,239.39
2023-10-06,237.46,242.901,236.54,241.78
2023-10-09,245.35,246.91,242.89,245.85
2023-10-10,245.2,246.4,242.429,245.56
2023-10-11,249.17,258.644,248.46,257.91
2023-10-12,258.285,262.16,257.91,259.35
2023-10-13,262.01,262.77,254.31,258.41
2023-10-16,258.81,262.12,258.12,261.19
2023-10-17,259.5,261.65,256.81,258.73
2023-10-18,257.61,259.56,255.3,257.89
2023-10-19,256.4,257.52,252.41,254.91
2023-10-20,254.91,255.37,250.06,253.12
2023-10-23,254.43,254.43,247.01,247.37
2023-10-24,246.4,251.37,245.44,250.43
2023-10-25,249.4,251.0,246.4,246.47
2023-10-26,245.81,247.75,243.45,244.02
2023-10-27,243.26,243.67,234.47,235.88
2023-10-30,239.31,240.655,236.81,237.5
2023-10-31,230.2,231.73,224.01,230.01
2023-11-01,230.58,235.495,229.4,235.15
2023-11-02,237.61,242.41,236.77,240.9
2023-11-03,242.83,244.86,239.81,244.17
2023-11-06,245.08,249.26,245.06,247.14
2023-11-07,247.28,248.31,243.69,245.42
2023-11-08,246.73,249.08,245.055,247.57
2023-11-09,246.44,247.54,238.01,238.37
2023-11-10,240.95,242.25,236.82,241.62
2023-11-13,239.99,241.53,237.835,241.0
2023-11-14,243.53,247.26,242.665,244.33
