日期,Open,High,Low,Close
2015-03-31,21.487,21.553,21.469,21.487
2015-04-30,21.185,23.546,21.1,21.223
2015-05-29,21.421,22.205,21.157,22.177
2015-06-30,21.912,22.668,21.601,21.771
2015-07-31,21.95,22.639,21.119,21.516
2015-08-31,21.516,21.638,17.626,19.949
2015-09-30,19.354,20.987,17.182,17.702
2015-10-30,17.381,18.853,17.381,18.721
2015-11-30,19.174,19.703,18.429,19.514
2015-12-31,19.429,19.967,18.174,19.788
2016-01-29,18.948,19.212,15.596,15.672
2016-02-29,15.851,15.898,14.161,15.436
2016-03-31,15.908,16.937,15.238,16.559
2016-04-29,16.88,17.805,16.484,16.484
2016-05-31,16.691,16.927,15.247,16.927
2016-06-30,16.927,17.418,15.247,15.908
2016-07-29,15.861,17.881,15.861,17.683
2016-08-31,17.938,18.211,16.927,16.994
2016-09-30,16.994,19.325,16.994,18.797
2016-10-31,18.57,19.042,15.776,15.776
2016-11-30,15.691,18.391,14.964,16.861
2016-12-30,16.805,17.182,15.964,15.974
2017-01-31,16.238,17.617,16.219,17.173
2017-02-28,17.182,19.354,17.135,18.731
2017-03-31,18.938,19.713,18.646,19.524
2017-04-28,19.382,19.769,18.702,19.344
2017-05-31,19.552,19.967,18.702,19.033
2017-06-30,19.212,22.564,19.203,21.129
2017-07-31,21.119,21.827,20.6,21.044
2017-08-31,20.912,23.866,20.506,23.744
2017-09-29,23.98,24.782,23.366,24.773
2017-10-31,24.877,25.651,23.479,24.508
2017-11-30,24.575,24.631,22.101,24.244
2017-12-29,24.376,25.018,22.479,23.247
2018-01-31,23.398,27.945,23.303,26.284
2018-02-28,26.237,26.626,22.781,25.8
2018-03-29,25.8,28.961,23.778,24.443
2018-04-30,24.651,25.99,23.379,24.12
2018-05-31,24.091,27.974,23.835,27.746
2018-06-29,28.012,30.185,26.816,27.584
2018-07-31,27.727,30.271,27.081,27.907
2018-08-31,28.031,32.91,27.679,32.701
2018-09-28,32.701,32.929,30.423,31.733
