日期,Open,High,Low,Close
2015-03-31,19.007,19.062,18.989,19.016
2015-04-30,18.797,20.304,18.797,19.126
2015-05-29,19.025,19.71,18.788,19.71
2015-06-30,19.601,20.294,19.318,19.491
2015-07-31,19.537,20.057,18.934,19.628
2015-08-31,19.272,19.445,15.985,18.35
2015-09-30,17.802,18.943,17.063,17.154
2015-10-30,16.917,18.277,16.917,18.167
2015-11-30,18.195,19.418,18.094,19.354
2015-12-31,19.418,19.719,18.249,19.096
2016-01-29,18.648,18.891,15.316,15.624
2016-02-29,15.745,15.96,13.692,15.96
2016-03-31,16.315,17.948,16.315,17.855
2016-04-29,18.228,18.685,17.621,17.621
2016-05-31,17.715,18.237,16.735,18.191
2016-06-30,18.219,18.676,17.033,18.004
2016-07-29,18.153,19.32,17.911,19.217
2016-08-31,19.329,19.992,18.807,19.236
2016-09-30,19.105,20.701,19.105,20.701
2016-10-31,20.729,20.916,18.564,18.583
2016-11-30,18.723,19.665,17.911,18.769
2016-12-30,18.331,19.591,18.331,18.713
2017-01-31,19.087,20.841,19.068,20.617
2017-02-28,20.916,21.868,20.72,21.579
2017-03-31,21.737,22.381,21.345,22.363
2017-04-28,22.503,23.94,22.055,23.492
2017-05-31,23.781,27.141,23.66,26.46
2017-06-30,26.581,28.933,25.853,27.02
2017-07-31,27.216,28.476,26.451,27.645
2017-08-31,27.673,32.032,27.328,31.864
2017-09-29,32.079,32.256,30.753,32.004
2017-10-31,32.144,33.264,31.332,33.143
2017-11-30,33.376,35.653,31.715,34.72
2017-12-29,34.767,37.296,33.656,35.055
2018-01-31,35.301,40.226,35.216,38.988
2018-02-28,38.468,40.217,34.374,38.676
2018-03-29,38.761,42.873,35.858,36.936
2018-04-30,36.615,39.574,35.168,36.955
2018-05-31,36.898,41.54,36.464,41.105
2018-06-29,41.446,45.917,41.19,42.523
2018-07-31,42.334,45.331,41.134,42.117
2018-08-31,42.211,47.146,41.928,46.986
2018-09-28,46.73,46.797,43.658,44.755
2018-10-31,45.709,45.832,37.239,40.254
2018-11-30,40.822,43.696,37.711,42.022
2018-12-31,43.488,43.488,32.994,36.289
2019-01-31,35.391,42.192,35.04,42.007
2019-02-28,41.968,45.705,41.109,45.432
2019-03-29,45.715,46.983,42.329,45.598
2019-04-30,46.174,47.891,45.286,46.076
2019-05-31,46.349,47.676,39.694,39.743
2019-06-28,39.743,46.886,38.914,46.818
2019-07-31,47.579,48.711,45.939,47.286
2019-08-30,47.286,47.569,41.617,43.246
2019-09-30,42.885,44.778,41.256,41.851
2019-10-31,42.095,43.676,39.148,43.158
2019-11-29,43.519,49.247,43.324,49.208
2019-12-31,49.101,50.84,46.964,49.018
2020-01-31,49.596,53.278,48.411,50.732
2020-02-28,51.231,59.478,48.577,51.75
2020-03-31,52.446,54.404,32.319,43.093
2020-04-30,41.545,55.825,38.597,54.189
2020-05-29,52.71,63.562,50.467,61.525
2020-06-30,62.053,71.935,59.36,69.839
2020-07-31,69.996,83.198,69.859,78.713
2020-08-31,79.633,93.707,79.526,93.364
2020-09-30,94.461,96.861,79.653,90.103
2020-10-30,91.464,103.961,88.095,88.918
2020-11-30,90.073,111.414,87.547,110.053
2020-12-31,111.649,134.253,107.34,123.471
2021-01-29,125.187,148.624,121.438,136.315
2021-02-26,138.834,158.393,125.038,129.293
2021-03-31,133.439,137.238,105.38,118.968
2021-04-30,121.954,129.214,115.586,119.782
2021-05-28,120.218,120.416,96.424,111.183
2021-06-30,111.926,131.416,106.511,129.71
2021-07-30,129.68,130.473,112.343,119.018
2021-08-31,119.554,125.217,112.611,121.031
2021-09-30,121.498,125.286,108.703,109.625
2021-10-29,110.111,123.432,105.48,120.287
2021-11-30,120.932,124.83,102.732,104.825
2021-12-31,105.876,106.105,88.301,94.59
2022-01-31,96.0,97.17,64.35,75.43
2022-02-28,76.69,78.25,57.5,70.47
2022-03-31,70.2,72.005,51.85,66.29
2022-04-29,66.765,70.84,45.89,47.13
2022-05-31,47.0,52.71,35.1,44.09
2022-06-30,44.18,46.94,35.65,39.88
2022-07-29,40.37,49.34,39.84,45.13
2022-08-31,44.49,53.86,41.18,41.88
2022-09-30,41.16,45.68,37.09,37.73
2022-10-31,38.0,40.969,33.74,38.28
2022-11-30,39.47,41.29,32.51,37.48
2022-12-30,37.7,38.375,29.43,31.24
2023-01-31,31.84,40.69,30.02,39.93
2023-02-28,40.1,45.46,38.05,39.62
2023-03-31,39.46,40.98,34.81,40.34
2023-04-28,39.78,40.02,34.97,35.92
2023-05-31,35.76,41.28,34.72,40.49
2023-06-30,40.15,45.0,39.81,44.14
2023-07-31,44.52,51.33,42.749,50.45
2023-08-31,49.81,49.83,39.32,43.75
2023-09-29,44.11,45.16,38.135,39.67
2023-10-31,39.69,40.81,33.76,35.08
2023-11-30,35.25,48.015,34.54,46.11
2023-12-29,46.55,54.52,46.07,52.37
2024-01-31,51.8,51.84,45.02,45.41
2024-02-29,45.8,52.33,44.625,51.25
2024-03-28,51.07,52.428,47.45,50.08
2024-04-30,50.07,50.11,41.575,43.46
2024-05-31,43.1,46.66,41.78,42.45
2024-06-28,43.0,45.9,42.34,43.95
2024-07-31,44.05,49.555,44.05,45.53
2024-08-30,45.37,46.405,36.85,44.82
2024-09-30,44.54,48.11,41.355,47.53
2024-10-31,47.66,48.915,45.115,45.89
2024-11-29,46.06,58.38,45.97,57.98
2024-12-31,58.64,63.44,56.475,56.77
2025-01-31,57.1,64.725,55.25,62.87
2025-02-28,60.24,68.43,53.1,55.64
2025-03-31,56.95,57.14,45.55,47.58
2025-04-30,47.68,52.02,38.569,50.84
2025-05-30,52.04,58.56,48.53,56.37
2025-06-30,56.1,71.294,55.64,70.29
2025-07-31,69.4,79.19,68.192,75.33
2025-08-29,72.35,78.76,70.385,74.96
2025-09-30,73.21,86.98,72.43,86.3
2025-10-31,85.64,92.65,83.57,88.98
2025-11-28,89.41,89.43,70.44,79.68
2025-12-31,77.9,84.02,76.92,76.92
2026-01-30,78.14,83.75,74.47,74.87
2026-02-27,74.14,75.34,65.98,72.91
2026-03-31,70.9,75.68,62.945,67.59
2026-04-30,68.705,80.525,65.71,75.84
2026-05-29,75.85,82.45,72.96,81.95
2026-06-30,80.765,82.145,72.1,80.82
2026-07-22,80.4,84.34,73.84,76.03
