日期,Open,High,Low,Close
2020-07-24,89.766,94.893,86.796,88.82
2020-07-31,90.003,94.533,89.066,94.108
2020-08-07,94.817,98.355,93.682,94.95
2020-08-14,95.574,95.668,90.769,93.673
2020-08-21,94.798,100.398,94.694,99.358
2020-08-28,101.259,105.146,97.976,104.333
2020-09-04,104.815,110.898,92.424,98.516
2020-09-11,92.348,99.31,92.112,94.6
2020-09-18,96.378,100.909,95.64,97.56
2020-09-25,95.924,101.325,95.006,100.266
2020-10-02,102.857,106.036,101.041,104.106
2020-10-09,105.515,111.607,104.863,111.465
2020-10-16,113.716,115.561,110.907,111.91
2020-10-23,113.035,113.726,109.431,112.127
2020-10-30,111.408,112.733,104.068,104.815
2020-11-06,106.083,118.616,103.633,118.389
2020-11-13,120.47,120.688,104.068,111.976
2020-11-20,111.56,120.479,110.311,119.619
2020-11-27,121.236,127.403,120.054,127.328
2020-12-04,128.907,131.613,123.951,131.547
2020-12-11,132.965,137.591,128.756,135.992
2020-12-18,138.007,143.096,135.803,142.67
2020-12-24,142.273,146.615,141.412,143.191
2020-12-31,145.319,145.726,137.164,140.24
2021-01-08,141.533,153.693,137.174,152.725
2021-01-15,149.63,155.571,147.33,150.119
2021-01-22,152.361,158.033,152.006,157.918
2021-01-29,160.496,162.805,150.167,152.169
2021-02-05,154.517,168.621,153.673,168.449
2021-02-12,171.984,179.659,170.518,179.631
2021-02-19,182.323,183.138,170.576,177.312
2021-02-26,173.431,174.811,149.429,154.162
2021-03-05,159.058,163.351,127.151,139.962
2021-03-12,139.09,153.559,132.125,150.895
2021-03-19,151.805,156.088,142.386,146.928
2021-03-26,148.231,149.716,131.271,136.474
2021-04-01,136.167,146.899,131.386,143.728
2021-04-09,147.081,148.547,143.105,147.838
2021-04-16,147.589,155.025,145.625,148.911
2021-04-23,146.066,147.196,138.438,145.644
2021-04-30,146.71,151.144,141.198,142.357
2021-05-07,142.932,143.162,126.921,131.511
2021-05-14,129.738,129.738,115.739,123.222
2021-05-21,121.249,127.87,117.54,125.062
2021-05-28,125.848,134.797,125.235,131.856
2021-06-04,132.938,134.194,128.665,130.064
2021-06-11,129.853,134.721,129.029,134.586
2021-06-18,135.305,139.109,131.195,137.911
2021-06-25,137.289,147.551,134.769,145.213
2021-07-02,146.363,149.956,144.015,144.389
2021-07-09,144.647,145.96,136.455,142.674
2021-07-16,143.248,144.513,133.005,134.443
2021-07-23,131.223,142.271,130.572,141.993
2021-07-30,142.635,145.213,136.244,141.38
2021-08-06,141.792,145.96,139.55,143.086
2021-08-13,144.053,147.072,142.166,143.057
2021-08-20,142.194,142.367,135.372,139.368
2021-08-27,140.604,145.625,140.403,144.609
2021-09-03,144.801,148.442,143.9,147.876
2021-09-10,148.231,149.247,142.817,143.517
2021-09-17,143.728,144.207,138.486,144.207
2021-09-24,138.822,143.009,135.976,140.978
2021-10-01,140.192,140.527,131.52,134.73
2021-10-08,134.404,139.272,129.69,136.608
2021-10-15,136.407,143.262,135.995,143.076
2021-10-22,142.606,150.143,142.386,146.593
2021-10-29,147.781,154.344,146.813,150.406
2021-11-05,151.403,155.197,149.937,151.115
2021-11-12,151.086,155.264,145.395,150.061
2021-11-19,150.55,151.249,143.411,143.66
2021-11-26,144.36,144.427,131.923,135.708
2021-12-03,137.959,138.41,116.381,118.997
2021-12-10,115.959,129.364,113.104,120.175
2021-12-17,119.236,120.175,109.76,116.467
2021-12-23,113.918,121.191,112.5,120.817
2021-12-31,120.731,121.747,114.845,116.775
2022-01-07,118.912,119.641,103.274,105.135
2022-01-14,102.909,111.329,98.458,100.969
2022-01-21,99.078,101.777,89.685,89.851
2022-01-28,85.134,92.549,80.565,85.942
2022-02-04,86.867,95.819,84.937,90.737
2022-02-11,91.171,98.645,88.797,90.787
2022-02-18,90.403,95.267,80.456,81.175
2022-02-25,79.097,84.12,72.096,84.11
2022-03-04,84.346,89.349,75.887,76.478
2022-03-11,76.616,78.615,70.431,70.579
2022-03-18,70.096,84.927,66.827,84.74
2022-03-25,84.1,88.413,80.88,83.942
2022-04-01,85.164,93.229,84.691,86.601
2022-04-08,87.655,91.317,78.792,78.999
2022-04-14,77.463,81.776,75.956,76.478
2022-04-22,76.054,79.225,68.58,69.043
2022-04-29,68.403,71.623,61.686,63.095
2022-05-06,62.809,69.23,58.259,60.042
2022-05-13,57.649,58.387,44.413,55.502
2022-05-20,54.921,56.359,50.952,53.552
2022-05-27,53.749,57.275,49.003,57.275
2022-06-03,57.925,58.86,53.828,54.803
2022-06-10,56.339,59.51,50.972,51.435
2022-06-17,47.614,50.273,45.251,47.348
2022-06-24,48.638,55.994,48.54,55.758
2022-07-01,55.797,56.349,47.141,49.524
2022-07-08,48.796,56.575,47.821,55.187
2022-07-15,54.261,54.37,48.284,50.893
2022-07-22,52.183,58.378,50.844,54.941
2022-07-29,54.685,54.763,50.184,53.651
2022-08-05,53.168,62.395,52.469,60.869
2022-08-12,61.618,64.758,57.964,62.908
2022-08-19,62.208,63.528,54.951,55.157
2022-08-26,53.818,54.852,51.612,51.711
2022-09-02,50.627,52.641,47.9,49.19
2022-09-09,49.387,54.078,47.84,53.917
2022-09-16,54.192,55.433,50.627,51.071
2022-09-23,50.352,51.196,44.571,45.418
2022-09-30,45.536,47.722,44.581,44.945
2022-10-07,45.142,49.199,43.892,45.211
2022-10-14,45.142,45.201,40.405,41.046
2022-10-21,42.828,46.285,42.424,44.167
2022-10-28,43.852,48.343,42.237,47.821
2022-11-04,47.476,49.337,41.764,42.729
2022-11-11,43.163,47.407,38.446,47.003
2022-11-18,46.304,48.55,42.779,43.212
2022-11-25,42.493,43.635,40.573,43.074
2022-12-02,42.513,45.704,41.528,45.536
2022-12-09,45.241,45.704,40.455,41.804
2022-12-16,41.479,45.989,39.202,39.696
2022-12-23,39.588,39.696,36.457,37.195
2022-12-30,36.644,37.993,35.472,37.963
2023-01-06,38.682,39.106,35.974,37.894
2023-01-13,38.653,43.34,38.584,43.281
2023-01-20,43.874,45.723,41.735,44.463
2023-01-27,44.955,49.928,43.647,49.485
2023-02-03,48.599,55.908,47.151,52.873
2023-02-10,51.967,53.424,47.742,48.146
2023-02-17,48.471,54.901,47.614,52.272
2023-02-24,50.943,51.947,47.969,48.55
2023-03-03,49.199,50.972,47.378,50.726
2023-03-10,51.071,51.75,45.221,46.107
2023-03-17,45.339,51.376,44.512,50.578
2023-03-24,50.509,53.001,48.55,49.17
2023-03-31,49.83,52.843,48.165,52.794
2023-04-06,52.045,52.459,48.845,50.49
2023-04-14,49.879,52.662,49.337,51.002
2023-04-21,50.273,51.681,48.796,48.983
2023-04-28,48.815,49.318,45.841,46.944
2023-05-05,46.659,48.196,44.807,48.097
2023-05-12,48.028,50.066,47.448,47.722
2023-05-19,47.653,50.204,47.575,49.367
2023-05-26,49.367,51.804,49.111,50.302
2023-06-02,51.701,54.005,50.913,53.276
2023-06-09,53.267,55.749,52.464,53.798
2023-06-16,54.054,56.969,53.784,56.428
2023-06-23,56.132,57.216,53.798,55.039
2023-06-30,54.754,58.453,54.323,57.718
2023-07-07,58.368,59.52,56.516,58.072
2023-07-14,57.885,66.817,57.442,64.129
2023-07-21,64.139,67.29,62.543,63.026
2023-07-28,62.799,64.641,61.174,64.513
2023-08-04,65.123,66.285,60.524,60.712
2023-08-11,61.115,61.115,56.635,57.078
2023-08-18,56.447,57.56,52.272,53.631
2023-08-25,53.887,55.926,53.144,54.222
2023-09-01,54.567,58.218,54.005,57.422
2023-09-08,56.989,58.954,56.723,57.767
2023-09-15,58.506,59.5,56.349,56.792
2023-09-22,56.585,56.615,51.888,51.898
2023-09-29,51.602,54.025,51.051,53.336
2023-10-06,53.601,54.126,51.336,53.976
2023-10-13,52.971,55.689,51.662,51.839
2023-10-20,52.4,54.458,50.874,51.179
2023-10-27,50.864,54.31,49.16,49.278
2023-11-03,49.83,57.678,49.377,57.235
2023-11-10,57.511,59.136,55.858,58.003
2023-11-17,57.531,61.965,57.014,61.322
2023-11-24,61.401,63.558,61.214,63.331
2023-12-01,62.947,68.442,62.75,68.442
2023-12-08,68.491,70.865,67.881,70.805
2023-12-15,70.047,74.577,69.122,73.011
2023-12-22,72.198,75.828,71.958,75.306
2023-12-29,75.434,77.248,74.498,74.745
2024-01-05,74.233,74.252,68.757,69.939
2024-01-12,70.431,72.703,69.043,69.102
2024-01-19,68.334,69.279,66.344,68.895
2024-01-26,69.624,71.308,67.802,68.954
2024-02-02,69.171,71.731,68.028,70.648
2024-02-09,70.274,75.631,68.107,75.345
2024-02-16,75.267,77.935,72.401,75.916
2024-02-23,74.912,75.139,70.855,73.829
2024-03-01,73.937,79.489,73.917,79.383
2024-03-08,80.013,83.647,76.419,81.087
2024-03-15,81.697,82.78,78.11,78.91
2024-03-22,79.097,82.956,76.291,80.171
2024-03-28,80.407,83.706,80.397,82.032
2024-04-05,81.815,81.993,77.305,78.782
2024-04-12,80.427,80.88,77.66,77.935
2024-04-19,78.142,78.177,71.387,71.711
2024-04-26,72.332,76.379,71.367,75.06
2024-05-03,75.72,77.059,71.968,75.572
2024-05-10,76.241,77.502,72.736,72.824
2024-05-17,73.455,77.019,73.455,77.0
2024-05-24,76.626,77.827,74.203,76.251
2024-05-31,75.966,76.626,72.342,73.455
2024-06-07,74.754,77.679,73.327,75.729
2024-06-14,75.395,78.241,74.848,75.601
2024-06-21,75.335,76.941,74.28,75.503
2024-06-28,74.774,77.65,73.839,76.842
2024-07-05,77.374,79.412,77.088,79.334
2024-07-12,79.54,80.934,78.053,79.718
2024-07-19,81.195,83.381,79.019,80.259
2024-07-26,80.919,82.091,74.902,77.285
2024-08-02,78.428,79.215,70.904,72.273
2024-08-09,64.079,72.962,63.026,72.667
2024-08-16,72.401,76.941,71.426,76.921
2024-08-23,76.872,80.653,76.773,80.476
2024-08-30,80.358,80.752,76.391,77.985
2024-09-06,77.778,77.778,72.746,72.874
2024-09-13,74.026,80.141,73.839,79.846
2024-09-20,79.275,83.686,78.703,82.751
2024-09-27,82.879,84.933,82.554,84.366
2024-10-04,84.002,84.554,80.05,83.056
2024-10-11,83.046,85.104,82.061,84.799
2024-10-18,85.232,87.474,84.357,87.31
2024-10-25,86.976,88.347,83.389,87.153
2024-11-01,88.374,90.156,85.346,85.951
2024-11-08,85.597,97.483,85.08,97.227
2024-11-15,100.349,106.1,99.305,100.851
2024-11-22,101.599,106.996,100.772,106.691
2024-11-29,107.961,108.001,104.466,106.622
2024-12-06,107.351,117.021,107.351,116.883
2024-12-13,117.11,117.169,111.456,115.317
2024-12-20,115.938,118.557,107.331,110.975
2024-12-27,111.004,113.505,108.71,109.98
2025-01-03,107.774,111.615,105.883,111.496
2025-01-10,113.072,114.898,105.509,107.774
2025-01-17,105.164,115.052,104.327,113.821
2025-01-24,115.317,118.586,113.062,117.001
2025-01-31,112.678,121.753,111.91,118.607
2025-02-07,113.978,121.512,113.348,119.207
2025-02-14,120.3,124.2,116.007,123.727
2025-02-21,123.885,124.027,112.934,113.171
2025-02-28,112.895,113.249,101.511,105.43
2025-03-07,108.631,109.212,95.043,99.285
2025-03-14,95.848,96.075,89.207,94.814
2025-03-21,94.47,98.655,92.165,98.586
2025-03-28,101.206,104.633,94.406,94.893
2025-04-04,91.673,98.586,81.185,84.08
