日期,Open,High,Low,Close
2020-10-30,29.5,44.44,29.05,36.85
2020-11-30,37.74,50.99,34.13,45.58
2020-12-31,42.56,46.87,33.46,43.14
2021-01-29,43.5,54.78,40.2,40.76
2021-02-26,41.7,46.3,33.62,37.08
2021-03-31,39.8,40.81,26.13,29.82
2021-04-30,30.358,31.0,25.71,28.16
2021-05-28,28.623,28.623,13.22,16.3
2021-06-30,16.49,17.32,14.57,15.6
2021-07-30,15.84,16.325,12.72,13.54
2021-08-31,13.6,19.849,12.94,19.07
2021-09-30,19.25,20.43,16.95,18.52
2021-10-29,18.55,21.4,16.405,21.35
2021-11-30,21.49,27.671,17.695,18.015
2021-12-31,17.84,18.625,15.28,15.69
2022-01-31,15.89,16.16,8.7,10.54
2022-02-28,10.69,11.38,8.021,11.24
2022-03-31,11.37,13.96,9.0,11.27
2022-04-29,11.3,12.75,6.305,6.53
2022-05-31,6.52,11.48,5.445,11.08
2022-06-30,11.28,14.63,10.305,11.01
2022-07-29,11.0,17.17,9.24,16.85
2022-08-31,16.37,24.0,15.02,20.9
2022-09-30,20.69,22.875,16.03,16.58
2022-10-31,16.79,18.79,13.86,18.1
2022-11-30,18.5,23.5,15.67,20.94
2022-12-30,20.835,24.24,17.98,19.33
2023-01-31,19.72,24.59,16.355,22.23
2023-02-28,22.14,23.165,18.32,18.74
2023-03-31,18.91,22.22,16.26,21.88
2023-04-28,21.9,22.49,19.37,20.45
2023-05-31,20.39,24.99,17.505,22.17
2023-06-30,22.2,24.34,20.25,22.6
2023-07-31,22.62,23.36,18.44,19.05
2023-08-31,18.88,25.99,17.27,24.87
2023-09-29,25.12,26.64,21.95,22.19
2023-10-31,21.99,22.52,16.6,17.33
2023-11-30,17.28,18.92,13.34,15.47
2023-12-29,15.41,20.15,15.28,16.8
2024-01-31,16.54,17.755,12.52,13.24
2024-02-29,14.12,16.22,12.81,13.64
2024-03-28,13.68,15.35,11.38,14.91
2024-04-30,15.02,15.12,10.82,12.34
2024-05-31,12.38,14.85,10.595,14.18
2024-06-28,14.12,14.445,10.05,10.26
2024-07-31,10.43,12.06,9.34,10.52
2024-08-30,10.5,10.79,6.25,6.71
2024-09-30,6.66,7.465,5.56,6.6
2024-10-31,6.6,7.25,6.01,6.53
2024-11-29,6.64,7.785,5.76,6.71
2024-12-31,6.77,6.88,5.15,6.04
2025-01-31,6.15,7.65,6.052,7.33
2025-02-28,7.15,7.77,4.89,5.28
2025-03-31,5.31,6.6,4.73,4.87
2025-04-30,4.83,5.435,3.76,4.78
2025-05-30,4.83,8.87,4.83,6.6
2025-06-30,6.64,8.19,5.68,5.9
2025-07-31,5.9,7.99,5.725,6.5
2025-08-29,6.5,9.99,5.39,9.01
2025-09-30,8.82,9.425,7.341,8.15
2025-10-31,8.23,10.37,8.175,8.66
2025-11-28,8.65,9.58,6.537,7.51
2025-12-31,7.31,10.465,7.13,9.22
2026-01-30,9.39,12.0,8.81,11.325
2026-02-27,11.135,12.23,6.79,7.58
2026-03-31,7.2,7.861,6.505,7.23
2026-04-30,7.35,8.406,6.61,7.74
2026-05-29,7.69,9.47,7.495,9.08
2026-06-30,8.97,9.545,6.745,7.41
2026-07-22,7.24,7.545,5.79,5.82
