日期,Open,High,Low,Close
2014-09-30,86.99,93.99,80.91,83.14
2014-10-31,82.99,94.96,77.1,92.89
2014-11-28,93.96,114.29,93.34,105.93
2014-12-31,104.31,105.97,95.49,98.23
2015-01-30,98.53,99.63,81.65,83.37
2015-02-27,85.42,86.17,78.17,79.41
2015-03-31,79.29,81.33,74.32,77.53
2015-04-30,77.66,81.98,74.73,75.58
2015-05-29,75.32,89.35,72.06,83.61
2015-06-30,84.38,85.89,75.09,76.56
2015-07-31,76.89,79.67,70.5,72.63
2015-08-31,72.49,75.28,52.29,60.41
2015-09-30,58.67,62.37,51.49,53.26
2015-10-30,53.79,78.73,52.49,78.12
2015-11-30,77.81,80.71,69.93,78.37
2015-12-31,78.06,80.11,73.28,75.56
2016-01-29,72.47,72.97,59.63,61.32
2016-02-29,60.79,64.87,53.54,63.1
2016-03-31,64.31,74.13,64.15,73.32
2016-04-29,72.53,80.18,69.95,71.23
2016-05-31,71.18,76.32,68.41,76.29
2016-06-30,73.44,74.43,69.14,73.82
2016-07-29,73.41,79.29,71.97,76.77
2016-08-31,77.08,93.15,76.88,91.48
2016-09-30,91.59,104.16,91.29,100.08
2016-10-31,99.74,103.29,93.29,95.98
2016-11-30,94.72,98.39,82.17,88.31
2016-12-30,88.29,88.34,80.3,82.1
2017-01-31,83.29,98.86,82.37,95.6
2017-02-28,96.36,99.49,94.31,97.19
2017-03-31,97.97,104.74,96.39,102.12
2017-04-28,103.14,110.28,101.05,109.79
2017-05-31,109.92,120.69,108.29,116.75
2017-06-30,117.11,142.58,116.55,135.19
2017-07-31,136.04,154.68,133.78,149.24
2017-08-31,150.46,171.29,141.79,166.03
2017-09-29,166.28,175.16,161.08,167.0
2017-10-31,168.86,179.41,162.87,179.18
2017-11-30,182.17,186.04,167.91,171.37
2017-12-29,169.56,174.97,158.54,166.72
2018-01-31,170.69,200.49,169.99,198.58
2018-02-28,187.04,193.78,163.17,180.43
2018-03-29,180.47,195.79,169.74,177.83
2018-04-30,177.1,177.92,160.42,172.83
2018-05-31,171.87,196.57,170.06,192.3
2018-06-29,193.79,205.99,176.33,179.82
2018-07-31,175.95,192.64,175.35,181.52
2018-08-31,180.29,183.35,159.68,169.3
2018-09-28,167.79,168.24,147.14,159.05
2018-10-31,160.21,160.24,124.35,136.57
2018-11-30,139.27,155.15,132.91,155.15
2018-12-31,162.93,163.09,124.06,131.36
2019-01-31,128.42,164.02,124.12,162.78
2019-02-28,162.29,179.22,158.04,177.32
2019-03-29,179.38,182.37,165.86,176.74
2019-04-30,179.38,184.08,171.05,179.86
2019-05-31,181.04,190.01,142.24,143.55
2019-06-28,143.89,166.27,143.14,163.74
2019-07-31,170.16,174.17,159.29,167.4
2019-08-30,168.83,173.09,146.14,169.32
2019-09-30,167.29,178.42,157.44,161.52
2019-10-31,162.3,173.93,155.97,170.96
2019-11-29,173.3,195.27,170.35,194.29
2019-12-31,192.87,212.4,184.14,206.39
2020-01-31,210.89,225.43,193.79,200.88
2020-02-28,202.96,220.99,192.85,202.29
2020-03-31,202.88,209.44,164.24,188.77
2020-04-30,183.79,210.39,179.33,196.96
2020-05-29,190.04,215.45,183.82,201.68
2020-06-30,200.19,225.32,198.23,209.99
2020-07-31,210.1,262.29,209.03,245.31
2020-08-31,248.31,286.77,240.39,281.32
2020-09-30,283.49,293.29,258.85,288.27
2020-10-30,289.55,313.61,279.17,298.98
2020-11-30,305.24,305.73,246.84,257.65
2020-12-31,259.76,265.59,205.52,227.02
2021-01-29,220.79,263.29,214.38,248.12
2021-02-26,253.09,268.58,231.94,232.05
2021-03-31,235.34,237.08,214.71,221.02
2021-04-30,224.97,239.98,215.61,225.24
2021-05-28,225.56,230.46,198.68,208.25
2021-06-30,217.31,225.18,202.516,221.07
