日期,Open,High,Low,Close
2011-07-29,2.8,2.96,1.22,1.53
2011-08-31,1.86,1.87,-2.17,0.0
2011-09-30,0.01,0.01,-2.17,-2.05
2011-10-31,-2.09,-0.74,-3.04,-1.34
2011-11-30,-1.79,-1.19,-3.14,-2.72
2011-12-30,-2.79,-2.21,-3.24,-2.61
2012-01-31,-2.41,-0.66,-2.54,-1.03
2012-02-29,-0.91,0.19,-0.95,-0.18
2012-03-30,-0.06,1.95,-0.49,1.42
2012-04-30,1.39,1.63,-0.2,-0.04
2012-05-31,-0.04,0.25,-1.43,-0.79
2012-06-29,-1.02,0.08,-1.29,0.04
2012-07-31,0.06,0.07,-1.24,-0.8
2012-08-31,-0.79,0.26,-1.04,-0.15
2012-09-28,-0.14,1.66,-0.2,0.7
2012-10-31,0.74,1.52,0.72,1.19
2012-11-30,1.21,1.84,0.79,1.73
2012-12-31,1.8,3.57,1.64,3.49
2013-01-31,3.93,4.08,2.9,3.2
2013-02-28,3.29,4.3,2.86,3.12
2013-03-28,3.02,4.83,2.91,4.07
2013-04-30,4.04,4.43,3.12,4.2
2013-05-31,4.09,5.88,3.94,5.55
2013-06-28,5.58,5.62,4.03,4.76
2013-07-31,4.85,6.93,4.63,6.5
2013-08-30,6.74,6.87,5.88,6.02
2013-09-30,6.2,6.74,5.51,5.71
2013-10-31,5.76,6.63,5.59,5.88
2013-11-29,5.9,7.89,5.71,7.73
2013-12-31,7.75,7.88,6.98,7.49
2014-01-31,7.61,9.34,7.6,8.67
2014-02-28,8.69,8.84,8.05,8.45
2014-03-31,8.22,9.96,8.11,9.13
2014-04-30,9.21,9.33,6.79,7.07
2014-05-30,7.07,7.24,6.29,7.07
2014-06-30,7.09,7.87,6.98,7.31
2014-07-31,7.32,8.17,7.07,7.19
2014-08-29,7.12,8.4,6.78,8.03
2014-09-30,8.08,9.19,7.89,9.04
2014-10-31,9.06,9.4,7.42,9.15
2014-11-28,9.17,9.45,8.82,9.03
2014-12-31,8.91,10.25,8.63,9.93
2015-01-30,10.03,10.07,7.01,7.19
2015-02-27,7.31,8.83,7.16,7.85
2015-03-31,7.83,8.71,7.35,7.48
2015-04-30,7.51,8.14,7.34,8.02
2015-05-29,8.09,8.94,8.01,8.59
2015-06-30,8.67,9.86,8.56,9.16
2015-07-31,9.39,10.62,8.36,10.02
2015-08-31,10.05,10.21,6.74,8.48
2015-09-30,8.09,8.67,7.44,7.77
2015-10-30,7.71,9.63,6.82,8.97
2015-11-30,9.09,10.28,9.06,9.62
2015-12-31,9.71,10.13,8.73,9.07
2016-01-29,8.69,8.83,5.18,6.38
2016-02-29,6.29,6.33,3.23,4.76
2016-03-31,4.88,6.32,4.86,5.81
2016-04-29,5.76,7.59,5.04,6.85
2016-05-31,6.87,7.44,6.09,7.08
2016-06-30,6.94,7.32,4.69,5.61
2016-07-29,5.53,7.04,4.79,6.83
2016-08-31,6.86,8.655,6.43,8.555
2016-09-30,8.565,8.565,7.225,8.065
2016-10-31,8.005,9.515,7.915,8.915
2016-11-30,8.975,13.68,8.695,13.61
2016-12-30,13.91,15.88,13.51,14.59
2017-01-31,15.09,16.04,14.5,15.13
2017-02-28,15.46,17.44,14.94,17.17
2017-03-31,17.935,18.365,14.725,16.155
2017-04-28,16.215,16.915,14.825,15.905
2017-05-31,16.085,16.875,14.73,15.05
2017-06-30,15.12,17.31,14.71,16.9
2017-07-31,17.1,17.75,16.25,16.76
2017-08-31,16.91,17.99,15.76,16.65
2017-09-29,16.66,18.4,15.51,18.1
2017-10-31,18.22,20.74,17.88,20.15
2017-11-30,20.4,21.6,18.57,21.05
2017-12-29,21.13,22.91,20.38,22.4
2018-01-31,22.63,25.33,22.49,24.88
2018-02-28,24.88,25.73,22.01,24.98
2018-03-29,25.07,26.05,22.01,22.99
2018-04-30,22.8,24.17,21.75,22.92
2018-05-31,22.92,24.36,21.43,22.16
2018-06-29,22.61,23.53,21.13,21.31
2018-07-31,21.2,24.57,20.75,24.0
2018-08-31,24.34,25.03,23.28,24.05
2018-09-28,24.03,24.64,22.69,22.73
2018-10-31,22.95,24.06,19.15,20.77
2018-11-30,21.04,22.39,20.05,21.67
2018-12-31,22.26,22.31,16.08,18.06
2019-01-31,17.5,23.14,17.43,21.89
2019-02-28,22.02,23.12,21.28,22.65
2019-03-29,22.9,23.71,20.18,21.16
2019-04-30,21.47,24.74,21.42,24.15
2019-05-31,24.13,24.46,20.05,20.17
2019-06-28,20.16,22.99,19.97,22.72
2019-07-31,23.2,24.78,22.58,24.4
2019-08-30,24.27,24.79,19.93,21.23
2019-09-30,20.93,24.22,20.33,23.07
2019-10-31,23.34,26.13,21.06,25.17
2019-11-29,25.6,27.5,25.27,27.22
2019-12-31,27.35,29.8,26.45,29.3
2020-01-31,29.43,29.75,26.55,26.91
2020-02-28,27.08,29.53,21.78,22.58
2020-03-31,22.43,23.83,12.21,15.49
2020-04-30,14.19,19.58,13.77,18.31
2020-05-29,17.64,20.43,14.36,18.38
2020-06-30,18.54,23.45,17.46,18.19
2020-07-31,18.47,19.73,16.83,19.32
2020-08-31,19.47,22.19,19.13,20.18
2020-09-30,20.02,21.38,17.57,18.71
2020-10-30,18.89,20.45,17.74,18.32
2020-11-30,18.51,23.72,17.89,22.78
2020-12-31,23.36,25.35,22.94,25.11
2021-01-29,25.26,29.17,24.39,24.45
2021-02-26,24.67,31.83,24.37,29.51
2021-03-31,30.32,34.948,30.04,33.67
2021-04-30,33.81,36.11,32.39,35.51
2021-05-28,35.85,38.235,34.76,37.37
2021-06-30,37.93,38.65,33.65,36.39
2021-07-30,36.72,36.86,31.67,33.52
2021-08-31,33.56,38.0,32.71,36.91
2021-09-30,36.91,39.41,33.73,37.82
2021-10-29,37.85,43.795,37.7,43.15
2021-11-30,43.47,44.06,39.73,39.84
