日期,Open,High,Low,Close
2018-06-29,16.813,16.904,14.095,14.542
2018-07-31,14.459,14.708,13.805,14.037
2018-08-31,13.946,13.946,12.239,12.636
2018-09-28,12.429,13.117,11.692,12.794
2018-10-31,12.893,12.926,10.399,10.706
2018-11-30,10.987,11.866,10.3,10.813
2018-12-31,11.261,11.335,9.322,9.707
2019-01-31,9.582,10.719,9.582,10.652
2019-02-28,10.602,11.329,10.293,11.054
2019-03-29,11.137,11.154,10.301,10.502
2019-04-30,10.719,11.112,9.908,9.941
2019-05-31,9.916,10.109,8.696,9.114
2019-06-28,9.08,9.507,9.055,9.482
2019-07-31,9.582,9.724,9.239,9.239
2019-08-30,9.164,9.206,8.311,8.537
2019-09-30,8.721,9.532,8.687,8.938
2019-10-31,8.863,9.005,8.604,8.855
2019-11-29,8.98,9.406,8.612,8.704
2019-12-31,8.687,9.482,8.52,9.473
2020-01-31,9.62,10.362,8.981,8.998
2020-02-28,8.912,10.0,7.97,8.143
2020-03-31,8.212,8.463,5.103,5.768
2020-04-30,5.734,6.874,5.622,6.727
2020-05-29,6.546,7.331,6.425,7.271
2020-06-30,7.34,8.359,7.34,7.824
2020-07-31,7.875,9.067,7.875,8.644
2020-08-31,8.713,9.473,8.713,9.179
2020-09-30,9.214,9.715,8.247,8.92
2020-10-30,8.972,9.801,8.722,9.395
2020-11-30,9.637,12.357,9.637,11.83
2020-12-31,12.262,13.786,11.658,13.682
2021-01-29,14.513,16.27,14.366,14.772
2021-02-26,15.119,16.971,13.847,14.193
2021-03-31,14.66,14.901,12.358,13.258
2021-04-30,13.647,14.167,13.154,13.847
2021-05-28,13.777,14.331,12.721,14.227
2021-06-30,14.547,15.56,14.305,15.551
2021-07-30,15.551,15.967,14.539,15.906
2021-08-31,16.01,16.348,14.374,15.378
2021-09-30,15.214,15.647,14.283,14.902
2021-10-29,14.963,17.092,14.348,17.023
2021-11-30,17.126,17.983,16.685,17.083
2021-12-31,17.36,17.36,15.002,15.942
2022-01-31,16.12,16.279,13.666,14.614
2022-02-28,14.694,15.221,13.294,14.933
2022-03-31,14.853,15.593,12.754,15.225
2022-04-29,15.517,15.942,12.471,12.896
2022-05-31,12.843,13.719,11.426,13.551
2022-06-30,13.657,14.16,12.497,12.958
2022-07-29,12.807,13.339,12.134,13.33
2022-08-31,13.392,14.322,12.905,12.954
2022-09-30,12.763,13.409,11.293,11.328
2022-10-31,11.328,12.037,10.558,11.133
2022-11-30,11.496,12.524,10.933,12.258
2022-12-30,12.338,12.4,10.571,10.801
2023-01-31,10.949,13.144,10.654,12.932
2023-02-28,13.015,13.319,11.521,11.825
2023-03-31,12.019,12.222,10.681,11.871
2023-04-28,11.871,12.074,10.912,11.345
2023-05-31,11.345,11.65,10.976,11.124
2023-06-30,11.096,12.637,11.087,12.083
2023-07-31,12.268,12.96,11.977,12.923
2023-08-31,12.812,12.904,10.801,11.318
2023-09-29,11.401,11.457,10.156,10.403
2023-10-31,10.377,10.469,9.021,9.127
2023-11-30,9.03,10.072,9.002,9.408
2023-12-29,9.408,10.204,9.085,10.039
2024-01-31,9.895,10.0,8.429,8.429
2024-02-29,8.467,8.857,8.152,8.848
2024-03-28,8.857,9.133,8.543,9.0
2024-04-30,8.972,9.157,8.343,8.762
2024-05-31,8.724,9.286,8.705,8.924
2024-06-28,9.048,9.048,8.297,8.372
2024-07-31,8.4,9.162,8.2,8.41
2024-08-30,8.372,8.41,7.352,8.105
2024-09-30,8.01,9.362,7.533,9.191
2024-10-31,9.21,9.712,8.667,8.762
2024-11-29,8.819,9.095,8.567,8.991
2024-12-31,8.962,9.378,8.486,8.641
2025-01-31,8.582,9.157,8.445,8.651
2025-02-28,8.376,9.0,8.346,8.415
2025-03-31,8.523,8.857,8.032,8.199
2025-04-30,8.17,8.271,6.659,8.013
2025-05-30,8.052,8.778,8.032,8.451
2025-06-30,8.445,9.309,8.405,9.171
2025-07-31,9.171,10.408,9.102,9.633
2025-08-29,9.535,10.949,9.495,10.899
2025-09-30,10.742,12.765,10.618,12.755
2025-10-31,12.628,13.884,12.372,13.492
2025-11-28,13.403,13.727,12.029,13.148
2025-12-31,13.187,14.336,13.011,13.8
2026-01-30,14.11,16.68,13.84,15.17
2026-02-27,15.11,16.63,14.52,16.26
2026-03-31,15.93,16.22,13.68,14.89
2026-04-30,14.99,17.2,14.63,16.96
2026-05-29,16.86,18.08,15.675,17.3
2026-06-30,17.19,17.88,14.81,15.37
2026-07-22,15.26,15.71,13.82,14.49
