日期,Open,High,Low,Close
2024-01-31,26.8,28.5,21.05,23.22
2024-02-29,23.03,35.11,23.03,33.83
2024-03-28,34.1,40.16,32.53,38.71
2024-04-30,38.21,39.4,32.12,32.19
2024-05-31,31.44,38.9,30.82,36.85
2024-06-28,38.02,39.19,32.14,32.69
2024-07-31,34.3,38.01,29.98,35.55
2024-08-30,35.18,35.68,27.02,31.95
2024-09-30,32.18,36.28,28.99,34.59
2024-10-31,34.51,40.13,32.045,38.08
2024-11-29,38.23,54.39,36.56,52.93
2024-12-31,52.33,59.07,49.65,50.85
2025-01-31,52.54,58.42,48.54,55.26
2025-02-28,51.68,55.615,44.12,45.84
2025-03-31,50.73,50.78,42.08,44.88
2025-04-30,45.51,52.22,41.17,51.23
2025-05-30,52.63,60.98,50.77,56.93
2025-06-30,56.6,60.1,54.24,58.59
2025-07-31,58.01,66.49,57.31,63.49
2025-08-29,62.84,66.9,58.7,58.87
2025-09-30,59.53,64.17,59.02,62.22
2025-10-31,63.5,68.74,56.845,59.67
2025-11-28,58.44,58.78,44.71,49.32
2025-12-31,46.9,51.455,45.56,47.56
2026-01-30,48.26,53.24,44.435,45.51
2026-02-27,42.39,43.11,33.81,35.63
2026-03-31,35.66,40.71,35.58,36.81
2026-04-30,37.23,43.18,35.685,41.48
2026-05-29,42.55,44.605,39.3,39.87
2026-06-30,38.92,39.055,31.49,31.86
2026-07-22,31.9,36.33,31.76,35.78
