日期,Open,High,Low,Close
2023-07-24,112.479,113.011,111.064,111.974
2023-07-25,111.644,114.649,111.644,113.921
2023-07-26,113.921,114.872,113.155,114.55
2023-07-27,115.201,115.919,114.311,114.46
2023-07-28,115.744,116.873,115.474,116.714
2023-07-31,116.224,116.928,114.842,115.056
2023-08-01,113.912,114.273,112.779,112.796
2023-08-02,111.824,112.626,111.024,111.621
2023-08-03,108.823,110.224,107.998,109.82
2023-08-04,122.424,122.894,114.224,118.75
2023-08-07,119.606,126.096,119.404,125.944
2023-08-08,123.928,125.82,123.039,125.263
2023-08-09,126.283,126.283,123.768,124.41
2023-08-10,124.824,126.292,124.424,125.152
2023-08-11,124.159,124.923,122.933,124.473
2023-08-14,124.224,125.702,123.444,125.597
2023-08-15,125.204,125.378,124.026,124.246
2023-08-16,123.556,125.289,123.481,124.038
2023-08-17,124.352,124.526,120.542,120.706
2023-08-18,118.578,119.535,117.607,118.561
2023-08-21,118.907,119.196,116.995,118.304
2023-08-22,118.488,119.678,118.345,119.18
2023-08-23,118.855,121.45,118.855,120.166
2023-08-24,119.702,120.623,117.074,117.28
2023-08-25,117.28,118.311,116.546,117.924
2023-08-28,118.88,119.586,118.508,119.008
2023-08-29,118.654,121.014,118.624,120.658
2023-08-30,120.155,122.183,120.155,121.448
2023-08-31,121.213,121.836,119.824,120.425
2023-09-01,121.643,121.643,119.942,120.82
2023-09-05,119.809,122.65,119.809,122.01
2023-09-06,121.157,122.567,120.834,121.872
2023-09-07,120.654,121.094,118.94,120.362
2023-09-08,120.824,122.142,120.544,121.948
2023-09-11,122.3,123.696,122.015,123.531
2023-09-12,122.792,124.302,122.254,123.161
2023-09-13,122.913,123.176,120.617,120.85
2023-09-14,122.974,125.287,121.293,124.126
2023-09-15,124.254,124.919,121.995,122.63
2023-09-18,122.384,124.351,122.026,122.557
2023-09-19,121.503,121.853,119.868,120.734
2023-09-20,121.62,121.62,118.941,118.98
2023-09-21,117.868,118.255,116.806,117.675
2023-09-22,118.024,120.091,117.699,118.726
2023-09-25,117.156,120.403,116.824,120.14
2023-09-26,119.424,119.957,117.838,118.647
2023-09-27,118.957,120.265,118.238,119.53
2023-09-28,119.53,120.911,118.691,120.417
2023-09-29,121.078,121.702,118.936,119.582
2023-10-02,119.096,120.725,118.899,119.974
2023-10-03,118.424,119.721,116.102,116.656
2023-10-04,116.814,118.598,116.685,118.083
2023-10-05,117.784,118.065,115.83,116.974
2023-10-06,116.124,118.407,116.124,118.202
2023-10-09,117.081,117.081,113.602,116.613
2023-10-10,117.004,119.582,116.828,118.64
2023-10-11,119.544,120.024,117.803,119.102
2023-10-12,118.926,119.674,117.381,118.184
2023-10-13,117.936,118.923,114.028,114.227
2023-10-16,115.172,116.23,114.671,114.883
2023-10-17,115.178,116.281,114.646,115.36
2023-10-18,114.056,114.224,109.903,110.234
2023-10-19,109.702,109.72,106.999,107.632
2023-10-20,107.416,107.95,106.104,106.49
2023-10-23,106.374,109.882,105.904,109.006
2023-10-24,109.702,110.58,108.914,109.639
2023-10-25,109.129,110.285,108.499,108.741
2023-10-26,108.046,108.973,105.546,105.932
2023-10-27,106.122,107.608,105.714,106.07
2023-10-30,106.953,108.74,106.89,107.754
2023-10-31,108.175,108.38,106.825,107.806
2023-11-01,108.344,108.749,106.469,106.873
2023-11-02,108.504,109.982,106.48,109.769
2023-11-03,107.424,110.983,106.722,110.574
2023-11-06,111.766,116.319,111.762,115.081
2023-11-07,115.081,117.632,114.774,116.7
2023-11-08,117.624,117.853,116.379,117.038
2023-11-09,117.475,117.557,116.165,116.634
2023-11-10,117.145,119.439,116.743,119.193
2023-11-13,119.325,122.076,119.286,120.992
2023-11-14,122.854,123.475,122.038,123.164
2023-11-15,124.104,124.517,120.916,121.057
2023-11-16,120.791,122.656,120.314,121.378
2023-11-17,122.422,122.422,120.36,121.634
2023-11-20,121.899,122.982,121.582,122.542
2023-11-21,122.464,123.064,121.888,122.026
2023-11-22,122.881,122.975,121.422,121.424
2023-11-24,121.711,121.711,120.494,120.848
2023-11-27,120.184,121.938,119.824,121.456
2023-11-28,121.675,122.137,121.046,121.9
2023-11-29,122.326,123.184,120.386,121.276
2023-11-30,121.36,121.36,119.404,121.252
2023-12-01,121.236,123.396,120.186,122.606
2023-12-04,122.121,123.734,120.846,121.603
2023-12-05,120.403,122.624,120.403,122.144
2023-12-06,123.435,123.776,121.316,122.224
2023-12-07,123.353,125.837,123.31,125.755
2023-12-08,125.062,127.321,125.062,127.224
2023-12-11,127.73,131.636,127.73,130.092
2023-12-12,130.622,132.42,130.166,132.324
2023-12-13,132.794,133.56,131.429,133.193
2023-12-14,134.38,136.023,132.964,133.836
2023-12-15,133.9,136.024,133.634,135.389
2023-12-18,135.579,135.824,134.642,135.045
2023-12-19,135.726,137.4,135.381,136.836
2023-12-20,137.668,137.909,134.775,134.992
2023-12-21,135.503,137.189,135.503,137.006
2023-12-22,137.024,138.802,137.024,137.652
2023-12-26,137.323,139.196,137.236,138.89
2023-12-27,139.449,139.449,137.392,137.61
2023-12-28,138.467,138.731,137.831,138.243
2023-12-29,138.511,139.22,137.433,138.113
2024-01-02,137.024,137.504,134.813,135.446
2024-01-03,134.725,135.451,132.425,132.595
2024-01-04,132.224,134.171,131.588,133.022
2024-01-05,133.014,134.204,131.994,132.55
2024-01-08,132.689,134.824,132.497,134.738
2024-01-09,133.864,135.844,133.864,135.793
2024-01-10,135.973,137.734,135.973,137.07
2024-01-11,136.326,138.342,135.662,138.315
2024-01-12,139.112,139.293,136.181,136.32
2024-01-16,136.136,136.624,134.89,136.372
2024-01-17,136.094,136.658,134.686,135.82
2024-01-18,136.144,137.845,135.486,137.376
2024-01-19,138.7,141.128,138.284,140.884
2024-01-22,142.347,143.01,135.448,136.465
2024-01-23,137.154,137.464,135.666,135.849
2024-01-24,136.224,137.126,135.284,136.094
2024-01-25,137.024,137.835,135.882,136.354
2024-01-26,136.062,137.692,135.424,137.008
2024-01-29,137.124,138.79,136.095,138.379
2024-01-30,137.264,139.243,137.212,138.43
2024-01-31,137.424,138.372,136.267,136.523
2024-02-01,139.914,140.206,136.692,138.562
2024-02-02,137.782,139.561,136.684,138.68
2024-02-05,137.864,141.372,137.64,141.224
2024-02-06,141.624,142.632,140.441,142.022
2024-02-07,142.228,146.042,142.077,144.581
2024-02-08,146.224,150.014,145.262,149.833
2024-02-09,144.224,146.699,142.744,146.551
2024-02-12,146.508,149.304,146.21,147.833
2024-02-13,146.024,147.736,144.309,146.128
2024-02-14,145.872,147.032,144.024,145.756
2024-02-15,146.33,146.733,144.697,146.25
2024-02-16,146.392,146.471,144.583,144.898
2024-02-20,144.584,145.431,143.766,144.258
2024-02-21,144.886,146.335,144.607,145.869
