日期,Open,High,Low,Close
2011-07-29,1.65,2.43,1.2,1.36
2011-08-31,1.76,2.62,-1.61,2.45
2011-09-30,2.45,4.6,1.07,4.08
2011-10-31,4.0,6.3,3.65,4.62
2011-11-30,4.1,5.76,3.13,5.75
2011-12-30,5.31,8.47,5.3,8.32
2012-01-31,8.36,8.47,5.26,5.61
2012-02-29,5.9,6.63,4.68,5.54
2012-03-30,5.42,7.29,5.42,7.12
2012-04-30,7.02,8.71,5.99,7.08
2012-05-31,7.26,7.47,6.07,7.05
2012-06-29,6.58,9.66,6.54,9.66
2012-07-31,9.45,10.23,8.42,9.65
2012-08-31,9.78,10.05,5.42,7.06
2012-09-28,7.09,8.29,6.87,7.8
2012-10-31,7.84,9.98,7.09,7.64
2012-11-30,7.86,8.25,5.03,7.02
2012-12-31,7.1,7.94,6.24,6.98
2013-01-31,7.58,11.45,7.24,10.88
2013-02-28,11.16,11.96,10.77,11.71
2013-03-28,11.63,15.99,11.17,15.93
2013-04-30,15.86,17.96,14.27,14.81
2013-05-31,14.56,23.92,14.27,21.1
2013-06-28,22.19,24.66,19.41,19.78
2013-07-31,20.15,21.58,18.4,18.68
2013-08-30,19.14,19.83,16.55,17.13
2013-09-30,17.45,23.03,16.76,21.72
2013-10-31,21.89,29.47,21.86,28.31
2013-11-29,28.42,29.4,26.8,27.17
2013-12-31,27.08,30.28,25.9,29.3
2014-01-31,28.67,32.98,25.6,26.12
2014-02-28,26.28,31.11,23.67,29.92
2014-03-31,29.32,33.64,26.31,28.1
2014-04-30,28.38,28.54,23.93,26.6
2014-05-30,26.46,29.0,24.61,26.25
2014-06-30,26.41,26.51,22.81,25.02
2014-07-31,25.38,28.21,24.21,27.49
2014-08-29,27.66,27.84,25.38,27.52
2014-09-30,27.49,29.04,26.57,28.05
2014-10-31,28.24,36.26,24.77,35.42
2014-11-28,35.54,36.94,34.58,36.28
2014-12-31,36.44,39.0,34.83,36.63
2015-01-30,37.03,42.04,35.64,37.87
2015-02-27,38.31,39.2,36.25,38.52
2015-03-31,38.72,46.8,38.64,42.1
2015-04-30,42.17,45.5,40.63,41.7
2015-05-29,42.25,47.83,41.13,42.57
2015-06-30,44.6,46.11,42.23,44.51
2015-07-31,44.79,48.88,42.16,43.98
2015-08-31,44.29,44.47,30.16,37.81
2015-09-30,36.89,43.02,34.66,37.91
2015-10-30,37.97,47.19,37.1,44.66
2015-11-30,45.27,47.71,42.28,45.72
2015-12-31,46.25,49.58,44.85,47.88
2016-01-29,46.54,47.99,39.09,41.25
2016-02-29,40.96,43.63,37.03,41.02
2016-03-31,41.4,45.77,40.07,43.35
2016-04-29,43.13,52.53,42.97,51.65
2016-05-31,51.66,52.48,49.03,51.17
2016-06-30,51.18,54.59,49.6,53.4
2016-07-29,53.51,56.97,52.72,54.66
2016-08-31,54.98,56.15,36.77,37.24
2016-09-30,37.45,37.47,33.61,33.77
2016-10-31,33.79,36.13,29.26,31.14
2016-11-30,31.16,37.78,30.33,36.67
2016-12-30,36.17,40.15,34.59,38.67
2017-01-31,39.01,41.07,26.63,29.78
2017-02-28,29.75,37.83,28.94,37.33
2017-03-31,37.62,39.16,34.78,35.0
2017-04-28,35.15,37.34,33.52,37.06
2017-05-31,37.35,37.84,34.33,34.96
2017-06-30,35.01,38.91,32.57,36.73
2017-07-31,37.28,38.6,33.46,38.3
2017-08-31,38.45,42.15,36.5,41.88
2017-09-29,41.76,45.15,40.79,45.14
2017-10-31,45.2,47.89,41.58,43.45
2017-11-30,43.65,45.59,41.94,44.98
2017-12-29,44.95,45.76,42.38,43.07
2018-01-31,43.19,47.15,41.61,44.79
2018-02-28,44.37,52.24,40.63,48.39
2018-03-29,48.29,50.41,43.92,45.44
2018-04-30,45.12,45.78,33.15,34.72
2018-05-31,34.57,36.04,32.55,35.21
2018-06-29,35.5,38.44,32.56,37.93
2018-07-31,37.76,43.98,37.07,41.74
2018-08-31,41.85,44.58,41.63,43.54
2018-09-28,43.49,45.61,42.51,45.07
2018-10-31,45.36,47.08,30.33,33.93
2018-11-30,34.07,38.2,33.25,36.85
2018-12-31,36.97,37.64,31.28,35.37
2019-01-31,34.73,36.23,28.1,33.17
2019-02-28,32.81,36.6,32.38,35.46
2019-03-29,35.47,38.18,30.32,31.51
2019-04-30,31.85,31.9,28.75,30.64
2019-05-31,30.53,33.01,29.07,29.58
2019-06-28,29.47,33.76,28.75,29.56
2019-07-31,29.92,31.29,27.1,29.03
2019-08-30,29.17,33.76,29.03,32.69
2019-09-30,32.51,36.05,31.88,35.33
2019-10-31,35.71,43.25,33.33,42.4
2019-11-29,43.02,44.21,40.33,41.97
2019-12-31,42.37,49.78,41.71,49.22
2020-01-31,49.33,53.82,47.99,48.43
2020-02-28,48.58,53.28,41.85,44.54
2020-03-31,45.05,47.33,31.24,41.22
2020-04-30,39.1,49.11,39.0,46.74
2020-05-29,46.78,51.27,45.04,45.65
2020-06-30,45.39,48.1,40.0,44.73
2020-07-31,45.12,47.06,43.54,45.04
2020-08-31,45.49,50.65,44.91,48.58
2020-09-30,48.58,48.64,43.28,46.67
2020-10-30,47.21,49.25,43.58,45.28
2020-11-30,46.02,53.06,45.67,49.23
2020-12-31,49.98,50.57,46.75,49.35
2021-01-29,49.06,54.48,47.79,48.75
2021-02-26,49.23,51.96,46.69,48.65
2021-03-31,49.22,51.735,45.945,50.94
2021-04-30,50.99,54.74,49.32,50.23
2021-05-28,50.51,55.77,50.46,53.53
2021-06-30,54.21,55.75,51.03,54.63
2021-07-30,54.72,57.57,54.08,56.17
2021-08-31,56.5,58.05,54.81,55.16
