日期,Open,High,Low,Close
2019-10-31,14.368,19.858,10.398,14.688
2019-11-29,14.668,21.268,13.988,19.848
2019-12-31,20.528,36.618,18.588,31.748
2020-01-31,33.618,46.718,26.368,27.078
2020-02-28,27.668,32.968,26.558,32.968
2020-03-31,32.878,102.868,25.868,56.268
2020-04-30,54.218,56.068,34.868,45.348
2020-05-29,43.868,58.298,40.868,47.398
2020-06-30,47.868,69.248,44.418,64.608
2020-07-31,75.568,102.858,60.168,79.978
2020-08-31,80.858,83.348,58.208,59.118
2020-09-30,56.578,67.868,51.968,67.098
2020-10-30,67.868,95.158,67.178,83.228
2020-11-30,85.768,122.778,81.048,122.108
2020-12-31,122.368,128.868,78.418,79.388
2021-01-29,83.318,116.038,80.868,114.808
2021-02-26,115.718,118.858,104.068,106.898
2021-03-31,107.868,109.318,88.158,107.058
2021-04-30,108.378,191.718,107.868,186.148
2021-05-28,200.118,211.018,142.868,201.868
2021-06-30,202.438,250.648,197.368,221.748
2021-07-30,222.368,328.868,191.908,326.218
2021-08-31,343.128,461.868,317.868,327.058
2021-09-30,332.118,372.718,266.698,270.858
2021-10-29,248.868,302.218,227.898,276.598
2021-11-30,279.868,372.448,205.378,349.608
2021-12-31,333.518,344.668,229.598,255.668
2022-01-31,251.738,254.008,132.998,169.948
2022-02-28,180.048,181.998,136.434,148.678
2022-03-31,148.138,186.942,119.188,168.428
2022-04-29,167.368,184.108,135.378,136.648
2022-05-31,137.538,168.118,131.488,161.228
2022-06-30,162.868,164.788,117.08,149.1
2022-07-29,148.0,172.75,147.2,165.15
2022-08-31,163.59,185.09,139.03,144.64
2022-09-30,145.62,152.675,126.56,134.88
2022-10-31,135.24,142.09,118.31,137.64
2022-11-30,143.89,167.293,133.95,167.02
2022-12-30,167.51,188.985,146.0,150.22
2023-01-31,152.94,156.275,138.05,143.41
2023-02-28,142.02,147.66,129.02,130.05
2023-03-31,128.29,136.915,119.98,124.57
2023-04-28,124.15,131.52,109.43,114.24
2023-05-31,112.5,119.005,100.08,105.08
2023-06-30,104.22,116.365,103.26,107.93
2023-07-31,107.42,112.37,104.76,108.87
2023-08-31,108.61,125.83,95.5,120.93
2023-09-29,122.82,123.49,100.83,108.64
2023-10-31,109.25,113.04,88.0,93.54
2023-11-30,93.0,104.5,88.66,100.41
2023-12-29,96.79,108.363,92.02,105.54
2024-01-31,105.17,114.695,92.68,95.04
2024-02-29,94.83,96.02,88.83,88.96
2024-03-28,89.7,97.5,85.213,92.25
2024-04-30,92.37,93.24,85.4,88.82
2024-05-31,86.77,103.57,86.36,100.6
2024-06-28,100.0,104.33,80.02,80.36
2024-07-31,80.22,88.98,78.02,86.2
2024-08-30,82.72,90.78,76.53,88.22
2024-09-30,88.08,131.49,86.45,118.77
2024-10-31,119.91,124.14,108.75,113.1
2024-11-29,113.32,121.8,94.31,118.39
2024-12-31,118.39,125.4,109.52,113.95
2025-01-31,114.93,129.27,111.12,123.77
2025-02-28,120.44,124.487,105.45,112.92
2025-03-31,113.11,115.1,85.55,91.06
2025-04-30,92.27,120.62,81.2,104.15
2025-05-30,103.17,106.99,89.77,95.81
2025-06-30,106.66,122.9,101.87,106.47
2025-07-31,107.13,115.54,105.345,107.5
2025-08-29,105.02,115.51,99.99,100.0
2025-09-30,99.97,114.89,90.12,98.62
2025-10-31,99.25,109.74,98.8,103.91
2025-11-28,104.8,113.39,94.0,103.15
2025-12-31,101.0,101.84,91.11,95.2
2026-01-30,96.42,124.0,95.85,113.75
2026-02-27,109.78,112.68,105.41,110.23
2026-03-31,108.18,110.1,79.52,88.88
2026-04-30,89.78,113.26,87.45,103.45
2026-05-29,98.48,100.21,87.53,95.95
2026-06-30,97.0,97.44,84.955,93.05
2026-07-22,93.29,98.81,88.35,91.83
