日期,Open,High,Low,Close
2015-01-30,20.2,24.73,18.22,18.81
2015-02-27,19.18,21.0,16.41,18.66
2015-03-31,18.66,20.65,16.6,19.75
2015-04-30,19.69,19.69,16.81,17.11
2015-05-29,17.11,17.99,16.6,17.64
2015-06-30,17.74,20.6,16.76,18.64
2015-07-31,18.96,19.14,16.15,16.33
2015-08-31,16.21,16.35,11.69,13.48
2015-09-30,13.27,14.8,11.9,12.58
2015-10-30,12.67,13.87,10.93,12.48
2015-11-30,12.47,14.14,12.21,14.0
2015-12-31,14.0,14.52,12.2,13.96
2016-01-29,13.46,14.36,8.82,10.76
2016-02-29,10.73,12.3,8.96,11.51
2016-03-31,11.63,14.4,11.37,12.26
2016-04-29,12.31,13.48,11.82,12.93
2016-05-31,13.1,13.16,11.41,12.56
2016-06-30,12.55,12.93,9.98,10.34
2016-07-29,10.3,11.78,9.86,11.65
2016-08-31,11.61,13.77,11.46,13.74
2016-09-30,13.25,15.85,13.2,15.76
2016-10-31,15.76,16.59,14.29,14.42
2016-11-30,14.41,16.12,13.62,15.22
2016-12-30,15.6,15.89,13.56,13.86
2017-01-31,14.05,17.48,13.9,17.07
2017-02-28,17.08,18.36,16.82,17.62
2017-03-31,17.82,18.31,15.73,16.31
2017-04-28,16.26,17.6,16.26,17.24
2017-05-31,17.26,19.18,16.76,18.7
2017-06-30,19.82,20.91,17.4,18.24
2017-07-31,18.32,20.2,17.73,18.85
2017-08-31,18.97,20.06,17.76,19.62
2017-09-29,19.52,19.62,17.25,19.32
2017-10-31,19.29,22.07,18.74,21.95
2017-11-30,22.08,24.1,20.41,21.03
2017-12-29,21.04,21.74,19.55,21.12
2018-01-31,21.24,23.32,20.65,22.24
2018-02-28,22.1,24.5,19.25,24.06
2018-03-29,20.6,23.3,17.53,20.55
2018-04-30,20.5,23.95,19.59,22.86
2018-05-31,22.83,28.68,22.7,25.68
2018-06-29,25.91,29.79,24.15,24.99
2018-07-31,24.59,27.56,23.35,23.96
2018-08-31,23.85,27.19,23.35,24.56
2018-09-28,24.32,25.4,23.02,23.91
2018-10-31,24.0,24.1,16.89,18.0
2018-11-30,18.14,19.44,15.71,18.79
2018-12-31,19.27,19.66,15.64,16.88
2019-01-31,16.53,21.07,16.3,20.92
2019-02-28,21.0,24.93,19.1,20.24
2019-03-29,20.65,20.78,18.43,19.31
2019-04-30,19.43,21.19,18.37,20.62
2019-05-31,20.79,20.88,18.29,18.49
2019-06-28,18.45,18.76,15.3,17.61
2019-07-31,17.84,17.99,16.35,16.54
2019-08-30,16.53,16.81,12.46,14.63
2019-09-30,14.55,17.96,14.46,16.56
2019-10-31,16.66,17.32,15.71,16.92
2019-11-29,16.99,18.8,15.48,18.24
2019-12-31,18.19,18.43,16.46,16.78
2020-01-31,16.95,17.38,14.76,15.03
2020-02-28,15.03,16.97,14.78,16.75
2020-03-31,16.72,16.89,8.64,14.04
2020-04-30,13.35,16.89,12.95,16.14
2020-05-29,15.75,21.08,14.9,19.98
2020-06-30,20.0,22.09,17.7,20.76
2020-07-31,20.77,21.68,17.07,17.95
2020-08-31,18.0,21.23,16.77,19.63
2020-09-30,19.5,20.59,16.84,17.36
2020-10-30,17.47,18.19,15.41,15.5
2020-11-30,15.5,18.96,15.08,18.69
2020-12-31,18.79,20.18,16.62,18.05
2021-01-29,18.05,19.8,17.18,17.34
2021-02-26,17.55,19.5,16.85,18.35
2021-03-31,18.61,26.47,17.63,22.96
2021-04-30,23.3,24.76,21.09,21.3
2021-05-28,21.52,23.861,20.36,23.31
2021-06-30,23.4,26.77,23.26,25.55
2021-07-30,25.49,27.407,22.46,23.92
2021-08-31,24.11,26.48,22.94,25.78
2021-09-30,25.85,26.38,22.18,23.67
2021-10-29,23.77,26.66,23.43,25.83
2021-11-30,25.94,26.98,23.21,23.41
2021-12-31,26.435,28.13,24.965,26.19
2022-01-31,26.1,26.735,23.95,26.13
2022-02-28,26.07,27.726,23.5,25.61
2022-03-31,25.64,29.665,25.03,29.06
2022-04-29,29.0,33.04,27.291,30.62
2022-05-31,30.5,31.99,24.61,26.11
