日期,Open,High,Low,Close
2020-07-24,17.051,17.451,16.571,16.841
2020-07-31,17.081,18.001,15.411,15.791
2020-08-07,15.751,16.101,14.991,15.461
2020-08-14,15.461,17.031,15.441,15.701
2020-08-21,15.941,16.411,15.361,16.061
2020-08-28,16.541,17.031,15.971,16.581
2020-09-04,16.431,17.041,15.891,16.381
2020-09-11,15.981,17.471,15.661,16.291
2020-09-18,16.571,17.501,16.321,16.831
2020-09-25,16.131,18.401,15.691,18.291
2020-10-02,18.641,19.011,17.751,18.381
2020-10-09,19.201,19.341,18.131,18.181
2020-10-16,18.231,18.631,16.581,17.001
2020-10-23,16.971,17.131,16.241,16.571
2020-10-30,16.831,16.831,14.531,14.811
2020-11-06,14.881,16.711,14.721,15.721
2020-11-13,17.261,19.931,16.451,19.931
2020-11-20,20.021,21.241,19.671,19.821
2020-11-27,19.241,19.501,18.431,18.781
2020-12-04,18.551,19.931,18.131,19.851
2020-12-11,20.751,22.391,20.511,21.651
2020-12-18,21.691,21.949,21.081,21.409
2020-12-24,19.859,20.969,19.729,20.899
2020-12-31,21.119,22.039,20.849,21.139
2021-01-08,21.569,22.389,20.949,21.859
2021-01-15,20.909,22.069,20.639,21.529
2021-01-22,21.149,21.859,21.069,21.579
2021-01-29,21.319,22.329,20.189,20.199
2021-02-05,20.289,21.039,20.059,20.889
2021-02-12,21.049,22.004,20.899,21.679
2021-02-19,22.149,22.379,19.869,19.919
2021-02-26,19.749,20.909,18.629,18.709
2021-03-05,19.349,20.579,19.234,20.409
2021-03-12,19.919,21.14,19.914,21.109
2021-03-19,21.319,23.009,21.129,22.919
2021-03-26,22.729,24.009,22.557,23.797
2021-04-01,23.527,24.052,22.367,22.737
2021-04-09,22.947,24.237,22.917,23.307
2021-04-16,23.137,24.997,22.847,24.917
2021-04-23,25.377,25.547,21.841,22.607
2021-04-30,22.447,22.537,21.287,21.917
2021-05-07,22.017,24.377,22.017,24.227
2021-05-14,24.187,24.637,23.519,24.237
