日期,Open,High,Low,Close
2011-07-29,-16.263,-12.533,-16.353,-13.933
2011-08-31,-13.533,-13.393,-19.803,-13.903
2011-09-30,-13.793,-12.883,-16.863,-16.663
2011-10-31,-16.823,-13.753,-18.633,-15.973
2011-11-30,-16.493,-15.013,-18.053,-15.013
2011-12-30,-15.233,-12.413,-15.233,-12.453
2012-01-31,-12.043,-7.873,-12.713,-8.853
2012-02-29,-8.453,-4.523,-8.763,-5.523
2012-03-30,-5.333,-1.343,-5.593,-3.993
2012-04-30,-3.953,0.447,-5.473,-0.723
2012-05-31,-0.643,-0.213,-4.753,-2.733
2012-06-28,-3.413,1.777,-4.493,0.647
2012-07-31,1.557,5.857,0.267,4.547
2012-08-31,4.647,6.407,3.647,6.127
2012-09-28,6.147,8.777,5.507,6.767
2012-10-31,6.867,10.307,6.087,9.417
2012-11-30,9.637,11.357,6.407,10.187
2012-12-31,10.517,14.967,8.637,14.827
2013-01-31,15.947,18.167,12.657,13.187
2013-02-28,13.407,14.387,8.797,12.467
2013-03-28,12.377,15.297,11.697,12.307
2013-04-30,12.357,21.667,12.027,19.667
2013-05-31,19.737,23.827,12.537,13.917
2013-06-28,13.917,15.957,9.617,15.057
2013-07-31,15.167,20.667,12.027,12.917
2013-08-30,13.207,13.507,9.397,12.087
2013-09-30,11.987,16.177,11.357,15.697
2013-10-31,15.877,19.887,12.537,18.687
2013-11-29,18.607,19.567,15.257,16.897
2013-12-31,16.767,18.747,13.097,16.097
2014-01-31,15.807,17.667,12.837,13.627
2014-02-28,13.627,19.207,11.107,18.567
2014-03-31,17.747,18.587,15.787,16.797
2014-04-30,17.147,18.497,14.307,15.747
2014-05-30,15.877,20.967,15.647,19.747
2014-06-30,19.857,20.127,15.767,17.627
2014-07-31,17.897,20.177,16.377,17.547
2014-08-29,17.607,23.887,15.897,22.877
2014-09-30,23.137,24.507,21.387,24.247
2014-10-31,24.487,28.687,19.877,21.837
2014-11-28,22.427,27.297,21.407,26.807
