日期,Open,High,Low,Close
2023-07-24,91.612,95.362,90.922,95.202
2023-07-25,95.392,95.532,93.782,94.262
2023-07-26,94.732,96.942,94.522,96.192
2023-07-27,97.062,98.402,93.702,93.832
2023-07-28,94.692,95.038,92.542,92.672
2023-07-31,92.852,93.617,91.682,92.022
2023-08-01,92.232,92.952,91.422,91.982
2023-08-02,91.502,91.632,89.162,90.732
2023-08-03,90.422,90.692,87.952,88.662
2023-08-04,88.292,89.545,86.922,87.542
2023-08-07,87.652,88.082,86.802,87.582
2023-08-08,86.732,88.012,85.927,87.772
2023-08-09,87.432,88.762,87.222,88.362
2023-08-10,87.532,89.092,87.532,88.422
2023-08-11,88.012,88.69,87.782,88.142
2023-08-14,87.792,88.012,86.592,86.852
2023-08-15,85.932,86.892,85.332,86.422
2023-08-16,86.632,86.632,82.882,83.582
2023-08-17,83.772,85.112,83.382,83.522
2023-08-18,82.792,84.562,82.572,83.962
2023-08-21,83.792,83.792,81.672,82.972
2023-08-22,83.062,83.302,81.832,82.442
2023-08-23,83.192,83.742,82.572,83.232
2023-08-24,83.772,84.817,82.652,83.292
2023-08-25,83.392,84.297,82.732,83.432
2023-08-28,83.702,84.432,83.472,83.602
2023-08-29,83.872,85.167,83.312,84.332
2023-08-30,84.792,85.022,83.772,84.552
2023-08-31,85.102,85.332,83.722,84.232
2023-09-01,84.732,84.872,83.042,83.502
2023-09-05,83.502,84.642,83.282,83.722
2023-09-06,83.522,83.802,82.062,82.732
2023-09-07,82.482,84.092,82.482,83.802
2023-09-08,84.102,84.132,82.892,82.972
2023-09-11,82.982,83.472,81.952,82.262
2023-09-12,81.852,82.002,79.682,81.682
2023-09-13,82.242,82.242,80.463,81.172
2023-09-14,81.087,84.097,81.027,83.927
2023-09-15,83.537,84.817,83.117,83.707
2023-09-18,83.867,84.702,82.777,82.827
2023-09-19,82.457,82.857,81.517,82.267
2023-09-20,82.887,83.287,81.837,82.037
2023-09-21,81.597,81.917,78.157,78.197
2023-09-22,78.797,78.797,76.92,77.277
2023-09-25,76.597,77.777,76.107,77.607
2023-09-26,76.507,77.357,76.107,76.377
2023-09-27,76.407,76.697,74.065,74.997
2023-09-28,75.597,77.707,75.437,77.377
2023-09-29,78.837,79.137,76.797,77.327
2023-10-02,76.987,77.487,75.807,76.227
2023-10-03,75.697,76.257,73.347,73.737
2023-10-04,74.037,75.297,73.267,74.567
2023-10-05,74.277,75.532,73.667,75.107
2023-10-06,74.097,76.777,73.407,76.477
2023-10-09,76.037,78.806,76.037,78.477
2023-10-10,78.157,79.005,77.857,78.407
2023-10-11,78.807,79.967,77.867,79.837
2023-10-12,79.757,80.107,78.597,79.607
2023-10-13,80.157,80.637,79.467,79.837
2023-10-16,79.197,80.515,78.467,79.877
2023-10-17,79.297,80.177,78.137,78.697
2023-10-18,78.537,78.893,75.957,76.227
2023-10-19,73.337,74.207,70.297,71.187
2023-10-20,71.357,73.027,71.217,71.437
2023-10-23,70.587,73.032,70.017,71.907
2023-10-24,72.147,73.557,72.147,73.417
2023-10-25,72.597,73.052,71.787,72.557
2023-10-26,72.937,77.401,72.681,76.767
2023-10-27,76.737,76.737,74.307,75.167
2023-10-30,75.457,76.297,73.907,75.477
2023-10-31,76.327,78.508,76.107,78.277
2023-11-01,78.287,78.667,76.847,77.727
2023-11-02,79.317,83.627,79.317,82.847
2023-11-03,84.297,86.412,83.617,83.697
2023-11-06,83.287,83.717,82.137,82.427
2023-11-07,82.467,82.857,81.707,81.857
2023-11-08,82.167,82.467,81.187,81.977
2023-11-09,82.197,82.452,80.407,80.917
2023-11-10,81.807,81.977,79.027,80.937
2023-11-13,80.507,81.137,79.197,80.837
2023-11-14,84.037,87.777,83.807,86.667
2023-11-15,86.067,89.193,86.067,88.557
2023-11-16,89.067,89.817,88.517,89.417
2023-11-17,90.097,90.097,88.402,89.217
2023-11-20,88.797,89.882,88.167,89.727
2023-11-21,89.597,90.327,88.707,88.897
2023-11-22,90.167,90.167,87.937,88.397
2023-11-24,88.367,89.132,87.177,88.877
2023-11-27,93.187,94.33,92.167,92.447
2023-11-28,92.187,97.027,92.187,96.427
2023-11-29,97.507,101.657,97.487,101.277
2023-11-30,101.297,102.877,100.857,102.577
2023-12-01,102.627,104.132,100.897,103.867
2023-12-04,103.447,104.177,101.927,103.727
2023-12-05,104.777,104.797,102.987,103.247
2023-12-06,103.717,104.287,102.307,102.387
2023-12-07,102.657,104.417,102.307,102.937
2023-12-08,103.547,104.467,99.787,101.367
2023-12-11,100.947,101.257,99.397,99.817
2023-12-12,99.597,99.777,98.567,99.267
2023-12-13,99.447,102.452,98.057,102.057
2023-12-14,103.862,104.522,100.392,101.412
2023-12-15,101.152,101.152,98.542,99.702
2023-12-18,99.672,100.942,99.129,99.282
2023-12-19,99.712,101.562,99.422,100.852
2023-12-20,101.882,103.332,100.912,101.272
2023-12-21,102.292,103.412,100.202,101.462
2023-12-22,102.032,103.182,101.262,101.692
2023-12-26,101.862,102.832,101.302,102.452
2023-12-27,102.582,103.262,101.852,102.952
2023-12-28,102.772,103.612,102.272,102.972
2023-12-29,101.892,102.922,101.222,102.052
2024-01-02,101.392,103.892,101.202,103.482
2024-01-03,102.342,102.812,100.332,100.352
2024-01-04,100.132,101.872,99.682,100.862
2024-01-05,99.862,101.727,99.537,100.632
2024-01-08,99.982,102.382,99.372,101.622
2024-01-09,100.722,101.316,100.017,100.622
2024-01-10,100.302,101.142,99.882,100.272
2024-01-11,99.782,100.152,98.452,99.582
2024-01-12,100.722,101.372,99.492,99.572
2024-01-16,98.862,99.672,97.432,97.692
2024-01-17,96.022,97.782,94.212,95.362
2024-01-18,95.472,96.592,94.249,94.652
2024-01-19,95.412,95.802,93.744,94.832
2024-01-22,95.272,96.962,94.852,95.622
2024-01-23,95.872,96.972,94.682,94.812
2024-01-24,95.342,95.832,92.192,92.422
2024-01-25,95.832,97.972,94.572,97.672
2024-01-26,97.632,98.032,95.223,95.462
2024-01-29,95.322,95.932,93.762,95.812
2024-01-30,95.382,95.682,94.432,94.842
2024-01-31,94.902,97.582,94.102,95.112
2024-02-01,94.832,97.972,94.682,97.922
2024-02-02,96.302,96.632,92.802,95.182
2024-02-05,93.722,94.037,91.812,92.452
2024-02-06,92.302,94.702,91.872,94.522
2024-02-07,94.782,94.862,93.522,93.732
2024-02-08,93.162,94.372,92.842,94.362
2024-02-09,94.072,95.392,93.622,95.262
