日期,Open,High,Low,Close
2011-07-29,25.08,26.03,20.48,20.5
2011-08-31,21.09,21.09,16.16,20.48
2011-09-30,20.28,22.52,17.14,17.75
2011-10-31,17.45,24.76,15.97,22.66
2011-11-30,21.06,22.06,17.91,20.9
2011-12-30,21.1,22.35,19.44,20.29
2012-01-31,21.17,22.93,16.92,17.9
2012-02-29,18.06,19.97,17.1,18.24
2012-03-30,18.54,20.88,17.17,20.03
2012-04-30,19.96,21.1,17.99,20.44
2012-05-31,20.47,21.18,18.64,20.29
2012-06-29,19.75,23.81,18.85,22.47
2012-07-31,22.72,22.75,19.85,21.48
2012-08-31,21.88,23.85,20.84,23.13
2012-09-28,23.05,27.45,22.86,24.88
2012-10-31,25.1,27.85,24.36,26.32
2012-11-30,26.53,27.82,25.44,27.36
2012-12-31,27.53,29.15,25.22,25.97
2013-01-31,26.45,28.46,25.91,27.92
2013-02-28,28.38,28.82,23.82,25.22
2013-03-28,25.04,26.01,22.53,23.75
2013-04-30,23.8,24.41,22.1,23.96
2013-05-31,23.88,25.19,22.21,22.8
2013-06-28,22.43,24.75,21.76,23.99
2013-07-31,24.26,27.08,24.14,26.73
2013-08-30,27.1,27.77,25.5,26.04
2013-09-30,25.89,27.91,22.44,22.59
2013-10-31,22.63,24.96,21.39,24.6
2013-11-29,24.62,26.63,24.44,26.31
2013-12-31,26.1,30.66,25.02,30.37
2014-01-31,29.84,32.09,29.22,29.39
2014-02-28,29.62,31.08,28.16,30.11
2014-03-31,29.13,30.86,27.51,28.31
2014-04-30,28.28,30.19,26.24,29.76
2014-05-30,29.75,31.0,28.26,30.73
2014-06-30,30.79,31.35,28.16,28.35
2014-07-31,28.46,28.65,26.58,26.92
2014-08-29,26.84,29.07,26.4,28.83
2014-09-30,28.68,33.26,28.55,31.12
2014-10-31,30.95,31.47,24.06,31.1
2014-11-28,31.1,35.64,30.56,35.36
2014-12-31,34.95,37.51,33.06,36.53
2015-01-30,37.11,38.64,35.03,35.16
