日期,Open,High,Low,Close
2012-05-31,1.51,1.57,-0.49,0.63
2012-06-28,0.17,1.67,-0.18,1.67
2012-07-31,1.96,4.03,1.91,3.94
2012-08-31,3.97,5.93,2.75,5.83
2012-09-28,7.52,7.52,4.96,5.86
2012-10-31,5.83,6.53,5.0,5.61
2012-11-30,5.76,6.03,4.3,4.86
2012-12-31,4.94,6.23,4.29,5.81
2013-01-31,6.04,11.51,5.89,11.02
2013-02-28,12.4,17.67,9.48,12.31
2013-03-28,11.94,14.87,10.49,10.88
2013-04-30,11.44,14.1,10.53,13.11
2013-05-31,13.23,13.52,9.69,9.95
2013-06-28,10.41,11.07,4.64,6.42
2013-07-31,6.68,9.91,5.62,8.78
2013-08-30,9.09,9.89,5.61,7.13
2013-09-30,7.43,7.7,5.9,6.67
2013-10-31,6.79,12.82,6.42,11.87
2013-11-29,11.73,14.57,10.45,13.61
2013-12-31,13.82,17.82,12.19,16.73
2014-01-31,16.57,19.24,14.81,15.92
2014-02-28,15.91,20.49,13.22,18.78
2014-03-31,18.51,18.51,13.8,17.7
2014-04-30,17.87,18.5,14.26,14.59
2014-05-30,14.62,15.76,11.29,13.64
2014-06-30,14.47,18.14,13.94,16.63
2014-07-31,16.65,18.66,15.28,16.05
2014-08-29,15.46,16.56,12.94,16.09
2014-09-30,16.16,16.46,11.9,13.31
2014-10-31,13.23,13.51,9.16,10.61
2014-11-28,10.28,13.14,10.28,11.62
2014-12-31,11.39,12.07,8.2,10.49
2015-01-30,10.7,11.28,7.41,9.29
2015-02-27,9.44,12.17,9.2,10.45
2015-03-31,10.59,12.41,10.31,11.7
2015-04-30,11.78,15.28,11.71,14.79
2015-05-29,14.9,16.48,14.23,15.76
2015-06-30,15.88,15.99,12.72,13.09
2015-07-31,13.24,13.89,10.43,11.57
2015-08-31,11.6,11.6,5.53,6.98
2015-09-30,6.62,7.13,2.42,2.6
2015-10-30,2.59,5.77,2.26,4.57
2015-11-30,4.68,6.47,3.43,4.41
2015-12-31,4.42,4.53,1.16,2.02
2016-01-29,1.49,2.23,-2.07,0.06
2016-02-29,0.08,2.47,-2.37,2.1
2016-03-31,2.26,4.07,1.82,3.55
2016-04-29,3.34,4.64,2.54,3.41
2016-05-31,3.38,4.02,2.16,2.99
2016-06-30,2.94,3.52,2.23,3.16
2016-07-29,3.14,4.37,2.23,4.21
2016-08-31,4.22,4.28,2.95,3.05
2016-09-30,3.19,3.76,2.38,3.13
2016-10-31,3.17,3.81,1.91,3.06
2016-11-30,3.26,4.36,2.36,3.61
2016-12-30,3.81,4.51,2.91,3.31
2017-01-31,3.56,5.51,3.26,5.36
2017-02-28,5.56,5.56,4.06,4.27
2017-03-31,4.52,4.87,3.67,4.17
2017-04-28,4.22,5.92,3.82,5.92
2017-05-31,5.97,7.12,5.17,5.97
2017-06-30,6.02,8.32,5.47,8.07
2017-07-31,8.17,9.57,7.17,8.82
2017-08-31,8.92,10.45,8.64,9.49
2017-09-29,9.59,13.44,8.79,12.34
2017-10-31,12.49,13.59,9.99,10.79
2017-11-30,11.04,11.89,9.2,9.4
2017-12-29,9.45,12.5,8.8,12.2
2018-01-31,12.3,15.2,12.06,14.5
2018-02-28,14.45,15.15,10.65,12.48
2018-03-29,12.43,13.28,10.53,10.98
2018-04-30,10.98,10.98,9.58,10.13
2018-05-31,10.18,12.3,9.98,11.8
2018-06-29,11.85,13.1,11.0,11.2
2018-07-31,11.05,14.35,11.05,14.25
2018-08-31,14.4,15.15,13.12,13.32
2018-09-28,13.32,14.37,11.92,12.67
2018-10-31,12.73,13.45,8.18,10.39
2018-11-30,10.49,11.56,7.36,8.85
2018-12-31,9.09,9.3,5.63,6.29
2019-01-31,6.12,9.49,6.08,9.43
2019-02-28,9.57,11.21,8.65,8.68
2019-03-29,8.81,10.51,8.3,9.25
2019-04-30,9.25,12.64,9.07,11.92
2019-05-31,11.24,12.33,10.6,10.86
2019-06-28,10.68,14.16,10.66,13.77
2019-07-31,14.12,17.15,13.37,15.01
2019-08-30,15.6,15.6,12.33,14.37
2019-09-30,14.05,18.61,13.44,17.15
2019-10-31,17.23,19.55,15.04,18.87
2019-11-29,19.09,22.2,18.8,21.7
2019-12-31,21.58,24.4,20.37,23.98
2020-01-31,24.15,26.88,22.5,24.38
2020-02-28,24.54,25.76,19.09,20.61
2020-03-31,20.73,23.19,7.36,13.8
2020-04-30,13.11,18.51,11.0,15.59
2020-05-29,15.19,21.4,13.51,20.06
2020-06-30,20.06,24.26,18.67,20.3
2020-07-31,20.44,22.23,19.29,20.87
2020-08-31,20.89,21.27,18.14,18.46
2020-09-30,18.46,20.01,16.13,17.32
2020-10-30,17.6,20.89,16.86,17.57
2020-11-30,17.78,21.93,17.62,21.31
2020-12-31,21.65,24.93,21.29,24.34
2021-01-29,24.5,27.69,23.31,25.17
2021-02-26,25.45,30.71,25.33,27.4
2021-03-31,28.14,30.91,27.43,29.91
2021-04-30,30.2,36.09,29.94,35.81
2021-05-28,36.18,38.465,34.69,37.04
2021-06-30,37.4,40.677,35.86,39.88
2021-07-30,39.99,44.42,36.765,43.87
2021-08-31,44.48,44.95,39.71,43.03
2021-09-30,43.18,45.15,40.1,40.93
2021-10-29,40.642,51.15,39.95,49.8
2021-11-30,50.27,54.52,48.09,48.59
2021-12-31,49.4,50.61,43.2,48.8
2022-01-31,48.94,49.9,38.88,44.95
2022-02-28,45.11,47.96,36.12,41.02
2022-03-31,40.99,44.55,34.2,43.06
2022-04-29,43.35,44.235,30.341,30.44
2022-05-31,30.32,34.83,29.095,33.005
2022-06-30,33.365,35.205,25.115,26.135
2022-07-29,26.095,33.855,24.485,33.385
2022-08-31,32.935,33.57,27.06,27.33
2022-09-30,27.04,28.521,20.59,20.64
2022-10-31,21.28,23.62,19.39,23.08
2022-11-30,23.5,26.335,20.22,26.295
2022-12-30,26.295,27.126,23.145,24.965
2023-01-31,24.885,31.125,24.64,31.095
2023-02-28,31.025,33.445,28.81,29.85
2023-03-31,29.69,31.25,23.92,26.51
2023-04-28,26.25,27.105,24.09,25.78
2023-05-31,25.78,26.43,20.65,23.21
2023-06-30,23.18,28.0,22.925,27.75
2023-07-31,27.75,31.9,26.33,31.45
2023-08-31,31.21,31.515,25.118,28.5
2023-09-29,28.81,29.78,25.43,26.31
2023-10-31,26.18,27.07,23.415,23.69
2023-11-30,23.76,31.8,23.28,30.78
2023-12-29,30.69,38.985,30.63,37.19
2024-01-31,36.83,37.9,34.12,36.52
2024-02-29,36.82,43.36,35.75,42.7
2024-03-28,42.85,45.37,41.1,43.76
2024-04-30,43.66,44.89,40.02,41.65
2024-05-31,37.96,42.29,36.738,40.16
2024-06-28,40.7,40.75,35.64,37.35
2024-07-31,37.53,48.12,36.66,46.94
2024-08-30,46.7,47.28,35.34,37.68
2024-09-30,37.12,42.51,34.2,40.61
2024-10-31,40.68,50.28,39.955,47.58
2024-11-29,48.08,53.01,46.48,51.13
2024-12-31,51.24,52.82,46.515,48.39
2025-01-31,48.36,55.4,47.15,54.06
2025-02-28,51.93,52.8,45.675,48.09
2025-03-31,48.38,48.71,37.685,41.84
2025-04-30,41.83,44.65,31.27,36.89
2025-05-30,37.23,46.55,36.61,43.8
2025-06-30,43.75,50.72,42.58,50.0
2025-07-31,49.66,62.345,49.652,59.26
2025-08-29,57.112,64.57,55.51,63.51
2025-09-30,62.01,68.798,59.96,61.65
2025-10-31,61.83,63.45,49.91,52.27
2025-11-28,51.97,54.58,49.34,53.83
2025-12-31,53.17,61.33,52.545,58.41
2026-01-30,58.55,66.6,57.625,58.08
2026-02-27,58.1,60.78,48.63,51.64
2026-03-31,49.62,52.78,44.48,48.04
2026-04-30,48.69,53.5,44.932,49.72
2026-05-29,49.96,52.54,44.23,45.43
2026-06-30,44.96,47.63,39.6,42.11
2026-07-22,42.13,48.025,41.84,44.08
