日期,Open,High,Low,Close
2023-07-24,157.65,159.64,156.76,159.44
2023-07-25,159.4,159.76,158.255,159.62
2023-07-26,160.53,167.86,159.84,167.15
2023-07-27,168.2,170.755,166.255,167.06
2023-07-28,168.31,169.21,167.31,167.82
2023-07-31,168.21,168.4,166.48,167.36
2023-08-01,167.71,168.67,166.9,168.225
2023-08-02,167.92,168.98,167.22,168.07
2023-08-03,167.53,171.66,166.405,171.24
2023-08-04,174.48,176.83,172.9,173.47
2023-08-07,174.37,177.64,173.935,176.76
2023-08-08,176.44,176.44,173.01,173.49
2023-08-09,173.41,177.71,173.19,174.92
2023-08-10,175.0,175.4,172.29,173.2
2023-08-11,172.99,175.03,172.56,174.17
2023-08-14,175.14,175.93,173.68,174.85
2023-08-15,174.41,174.82,172.88,173.57
2023-08-16,173.4,175.08,173.225,174.4
2023-08-17,174.88,175.16,172.37,172.43
2023-08-18,171.35,173.235,170.517,172.13
2023-08-21,171.0,171.85,169.42,171.0
2023-08-22,170.23,170.58,167.4,167.89
2023-08-23,168.42,169.74,168.26,169.15
2023-08-24,168.47,170.535,168.1,168.51
2023-08-25,168.71,172.96,168.12,171.62
2023-08-28,171.71,172.19,170.92,171.72
2023-08-29,172.17,173.17,170.01,171.11
2023-08-30,171.81,172.2,170.136,170.85
2023-08-31,171.23,171.63,170.3,171.08
2023-09-01,171.2,171.84,170.14,171.29
2023-09-05,171.37,171.94,169.92,170.93
2023-09-06,171.4,174.51,170.37,172.06
2023-09-07,173.16,175.81,171.27,174.79
2023-09-08,175.45,175.54,173.63,174.49
2023-09-11,174.05,176.28,173.85,175.42
2023-09-12,175.23,176.31,174.93,175.65
2023-09-13,176.02,177.1,175.31,176.92
2023-09-14,176.05,177.78,176.05,177.31
2023-09-15,177.31,178.07,175.93,176.32
2023-09-18,176.82,177.16,175.54,176.05
2023-09-19,176.5,177.39,175.45,175.98
2023-09-20,175.95,176.585,174.59,175.41
2023-09-21,175.59,176.47,171.46,171.71
2023-09-22,171.86,173.264,170.25,171.22
2023-09-25,170.99,171.26,169.51,170.35
2023-09-26,170.11,170.11,168.38,169.33
2023-09-27,169.33,170.34,167.56,169.86
2023-09-28,170.18,171.37,169.36,171.16
2023-09-29,171.46,172.0,168.85,169.72
2023-10-02,169.13,169.85,167.43,169.65
2023-10-03,170.53,173.265,168.91,171.16
2023-10-04,171.16,173.04,170.35,172.74
2023-10-05,173.11,177.29,172.59,176.9
2023-10-06,177.41,181.93,177.2,181.43
2023-10-09,181.19,185.31,181.19,185.26
