日期,Open,High,Low,Close
2020-07-24,66.43,68.45,64.39,67.51
2020-07-31,66.81,67.36,63.83,65.25
2020-08-07,65.65,65.92,62.31,64.28
2020-08-14,64.38,65.34,62.72,64.64
2020-08-21,64.54,64.99,61.91,62.47
2020-08-28,62.8,62.8,58.37,60.48
2020-09-04,60.38,62.78,58.56,59.67
2020-09-11,59.34,59.47,55.67,56.44
2020-09-18,56.7,61.34,56.7,61.13
2020-09-25,58.0,58.03,53.6,55.41
2020-10-02,56.21,60.91,55.24,59.98
2020-10-09,60.49,65.26,60.28,64.2
2020-10-16,64.69,66.85,63.89,66.21
2020-10-23,66.3,68.64,65.21,67.42
2020-10-30,66.67,67.01,58.19,59.1
2020-11-06,60.02,68.3,59.84,67.93
2020-11-13,69.85,72.31,67.85,69.05
2020-11-20,69.85,69.85,62.23,62.96
2020-11-27,63.25,65.14,61.9,63.17
2020-12-04,63.28,64.61,61.42,64.6
2020-12-11,64.27,65.55,59.97,60.71
2020-12-18,61.4,62.4,59.53,61.15
2020-12-24,59.75,60.06,57.56,58.02
2020-12-31,58.32,60.45,57.91,60.03
2021-01-08,60.61,70.26,59.91,68.21
2021-01-15,66.85,69.82,63.51,63.99
2021-01-22,64.6,64.84,61.48,61.51
2021-01-29,61.37,62.16,57.8,60.3
2021-02-05,60.25,61.2,58.57,58.88
2021-02-12,59.17,62.33,57.77,59.2
2021-02-19,59.4,59.505,57.71,57.97
2021-02-26,57.5,60.27,57.16,58.54
2021-03-05,59.01,60.675,58.365,60.52
2021-03-12,60.96,62.99,60.22,62.9
2021-03-19,63.0,65.175,61.26,64.24
2021-03-26,63.59,65.28,63.015,64.86
2021-04-01,64.79,66.32,62.38,63.25
2021-04-09,63.84,64.607,61.295,62.61
2021-04-16,62.75,65.15,61.71,64.96
2021-04-23,64.99,66.12,63.87,65.37
2021-04-30,65.5,66.68,59.33,61.74
2021-05-07,61.45,70.51,61.45,70.45
2021-05-14,70.11,71.04,67.66,69.2
2021-05-21,69.31,73.96,69.2,73.73
2021-05-28,73.96,74.52,73.18,73.6
2021-06-04,73.87,74.1,71.125,71.44
2021-06-11,71.77,72.29,70.37,70.81
2021-06-18,70.58,75.25,68.46,71.69
2021-06-25,71.86,74.32,71.29,73.9
2021-07-02,73.64,74.805,72.453,73.88
2021-07-09,73.635,74.205,72.02,73.51
2021-07-16,73.24,75.59,72.54,72.66
2021-07-23,72.17,73.87,70.76,73.46
2021-07-30,73.17,73.44,68.25,68.61
2021-08-06,68.62,70.46,65.45,66.8
2021-08-13,66.75,67.045,62.38,63.07
2021-08-20,62.84,65.77,62.41,64.31
2021-08-27,64.77,65.09,63.334,63.98
2021-09-03,63.89,64.86,62.15,64.37
2021-09-10,64.11,64.36,59.67,59.73
2021-09-17,59.98,65.05,59.84,64.64
2021-09-24,64.04,64.91,61.98,62.82
2021-10-01,63.16,64.91,61.24,63.05
2021-10-08,63.25,64.62,60.81,64.33
2021-10-15,64.14,65.55,61.21,65.32
2021-10-22,65.11,69.61,63.99,69.24
2021-10-29,69.03,72.82,67.79,71.24
2021-11-05,70.39,74.92,68.45,74.17
2021-11-12,74.14,76.165,73.42,75.86
2021-11-19,75.68,77.645,72.63,73.01
2021-11-26,72.99,76.26,72.42,73.9
2021-12-03,73.83,74.26,69.51,71.05
2021-12-10,72.0,79.74,71.69,78.45
2021-12-17,78.9,84.75,77.42,83.02
2021-12-23,82.23,85.44,80.95,84.72
2021-12-31,84.96,85.2,82.355,82.4
2022-01-07,83.14,83.14,75.15,76.34
2022-01-14,76.685,80.76,75.589,80.55
2022-01-21,79.86,80.21,76.89,77.14
2022-01-28,76.46,77.88,74.465,77.27
2022-02-04,76.82,82.59,76.025,80.57
2022-02-11,80.66,86.81,80.09,83.32
2022-02-18,83.32,84.55,81.54,82.06
2022-02-25,82.35,83.65,79.13,83.52
2022-03-04,81.49,86.16,80.89,86.05
2022-03-11,85.84,86.24,81.34,83.41
2022-03-18,84.6,88.275,83.45,87.74
2022-03-25,87.64,88.61,82.41,85.59
2022-04-01,86.24,86.61,84.16,85.51
2022-04-08,85.37,89.79,83.69,88.48
2022-04-14,89.06,89.06,85.3,86.54
2022-04-22,86.57,89.92,84.26,84.41
2022-04-29,84.13,86.02,80.17,80.55
2022-05-06,80.99,85.93,78.13,84.03
2022-05-13,83.27,84.46,78.66,82.32
2022-05-20,83.08,85.98,80.58,84.96
2022-05-27,85.63,87.34,81.01,84.41
2022-06-03,83.92,84.06,79.89,81.97
2022-06-10,82.79,83.71,77.66,79.51
2022-06-17,77.99,79.3,74.86,76.32
2022-06-24,78.19,84.28,77.94,82.95
2022-07-01,83.25,86.98,82.79,86.21
2022-07-08,85.12,88.77,81.75,88.01
2022-07-15,87.15,89.84,84.145,89.66
2022-07-22,89.85,91.62,88.01,90.94
2022-07-29,91.2,94.58,91.035,92.97
2022-08-05,93.15,94.25,91.32,93.05
2022-08-12,93.25,96.8,92.95,96.64
2022-08-19,96.14,98.53,94.39,96.9
2022-08-26,96.035,96.98,89.1,89.94
2022-09-02,89.27,92.69,87.16,90.05
2022-09-09,89.34,92.75,87.39,91.99
2022-09-16,92.39,93.58,82.1,84.28
2022-09-23,83.84,84.98,76.97,78.71
2022-09-30,78.05,79.53,76.605,77.81
2022-10-07,78.44,81.489,74.07,74.82
2022-10-14,75.11,76.29,73.195,74.3
2022-10-21,75.01,77.26,73.54,73.85
2022-10-28,74.72,86.61,74.72,85.8
2022-11-04,85.31,86.62,80.83,81.73
2022-11-11,82.38,85.96,79.48,82.07
2022-11-18,82.0,83.37,79.01,82.68
2022-11-25,82.58,85.19,81.68,84.86
2022-12-02,84.86,87.84,83.81,85.79
2022-12-09,85.29,87.79,85.1,86.25
2022-12-16,86.54,87.19,79.76,81.4
2022-12-23,81.1,82.96,79.39,81.63
2022-12-30,81.95,82.81,81.13,82.01
2023-01-06,82.0,83.61,76.71,78.66
2023-01-13,78.89,79.98,75.54,77.04
2023-01-20,77.44,78.35,74.97,76.15
2023-01-27,76.39,77.39,74.77,75.25
2023-02-03,75.37,77.39,70.8,71.01
2023-02-10,71.19,73.92,68.73,72.74
2023-02-17,72.99,74.445,72.12,73.36
2023-02-24,73.12,73.415,70.125,70.28
2023-03-03,70.88,70.97,67.42,69.07
2023-03-10,69.03,69.82,64.82,65.1
2023-03-17,64.8,65.87,61.82,62.55
2023-03-24,62.95,65.63,61.71,64.05
2023-03-31,64.81,65.31,62.72,63.21
2023-04-06,64.61,66.71,63.81,66.02
2023-04-14,65.81,69.64,65.6,68.07
2023-04-21,68.01,69.085,65.28,65.99
2023-04-28,66.22,70.665,65.725,68.93
2023-05-05,68.905,69.417,66.755,68.39
2023-05-12,68.19,68.8,66.33,67.17
2023-05-19,67.42,67.47,64.97,65.4
2023-05-26,65.33,65.77,62.58,62.72
2023-06-02,61.99,66.68,61.34,66.46
2023-06-09,66.82,69.265,65.84,69.0
2023-06-16,68.84,69.82,63.04,65.66
2023-06-23,65.4,67.07,64.99,66.33
2023-06-30,66.3,67.95,65.38,67.45
2023-07-07,67.12,67.81,66.41,66.5
2023-07-14,66.61,67.89,63.55,65.63
2023-07-21,65.5,71.66,65.02,70.63
2023-07-28,70.51,71.08,64.93,66.18
2023-08-04,66.26,68.83,65.51,65.8
2023-08-11,66.14,67.21,65.045,65.76
2023-08-18,65.63,67.27,62.94,63.7
2023-08-25,63.86,64.62,62.92,63.48
2023-09-01,63.97,64.53,60.83,61.27
2023-09-08,61.41,67.13,61.31,65.41
2023-09-15,65.635,69.17,65.13,67.81
2023-09-22,68.12,69.99,67.2,68.68
2023-09-29,68.85,70.97,68.7,68.88
2023-10-06,68.67,70.52,67.625,70.21
2023-10-13,69.79,72.94,69.79,71.07
2023-10-20,71.46,73.47,71.0,71.89
2023-10-27,71.73,72.845,67.21,67.48
2023-11-03,67.61,70.1,67.05,69.32
2023-11-10,69.49,72.51,68.99,71.87
2023-11-17,71.96,74.18,71.625,72.61
2023-11-24,72.51,74.58,72.175,74.36
2023-12-01,74.4,74.97,68.151,74.88
2023-12-08,74.84,75.31,73.41,73.77
2023-12-15,74.03,77.83,72.86,74.22
2023-12-22,74.49,75.25,72.05,73.34
2023-12-29,73.17,74.58,72.95,74.21
2024-01-05,75.0,77.92,75.0,77.38
2024-01-12,77.59,79.83,75.32,78.81
2024-01-19,79.135,79.555,74.12,74.15
2024-01-26,74.535,77.29,71.81,73.77
2024-02-02,73.51,75.88,73.28,75.41
2024-02-09,75.3,77.36,71.48,77.33
2024-02-16,77.19,79.01,76.49,78.74
2024-02-23,78.7,80.7,78.4,80.22
2024-03-01,80.69,81.415,76.57,77.98
2024-03-08,78.01,79.75,77.025,78.14
2024-03-15,78.16,78.66,74.725,75.47
2024-03-22,75.48,78.97,74.8,76.93
2024-03-28,77.41,78.91,76.61,78.48
2024-04-05,78.27,78.47,71.238,72.78
2024-04-12,72.41,73.61,70.3,70.73
2024-04-19,75.73,75.73,71.83,75.15
2024-04-26,75.5,76.44,71.25,74.0
2024-05-03,74.34,75.15,70.06,74.81
2024-05-10,75.21,78.58,74.68,77.79
2024-05-17,77.71,78.82,76.545,78.06
2024-05-24,78.1,79.02,74.235,74.63
2024-05-31,74.485,74.58,66.79,71.59
2024-06-07,71.4,71.95,68.97,69.81
2024-06-14,69.62,69.99,66.87,68.93
2024-06-21,68.43,68.82,65.66,67.93
2024-06-28,68.35,68.9,65.82,66.3
2024-07-05,66.31,67.08,64.97,66.37
2024-07-12,66.59,68.33,65.3,67.86
2024-07-19,67.57,69.285,65.54,66.24
2024-07-26,65.92,74.715,63.45,73.1
2024-08-02,73.39,78.89,71.48,78.09
2024-08-09,77.2,78.44,74.72,76.0
2024-08-16,76.265,78.78,75.44,78.11
2024-08-23,78.3,79.19,77.82,78.55
2024-08-30,78.86,79.075,77.31,78.83
2024-09-06,78.83,80.59,70.74,70.83
2024-09-13,71.28,75.43,70.55,75.35
2024-09-20,75.97,77.29,75.15,75.61
2024-09-27,75.9,76.083,73.19,74.58
2024-10-04,74.82,75.35,71.08,72.08
2024-10-11,71.91,73.5,71.105,72.44
2024-10-18,72.47,73.14,61.62,62.02
2024-10-25,61.97,70.11,59.77,64.22
2024-11-01,63.65,63.915,60.39,63.52
2024-11-08,64.0,65.4,59.94,60.15
2024-11-15,61.42,62.24,57.25,57.46
2024-11-22,57.37,60.72,57.2,60.37
2024-11-29,60.85,61.91,59.44,60.0
2024-12-06,60.31,60.4,56.44,56.76
2024-12-13,57.0,60.34,55.03,59.42
2024-12-20,59.021,60.7,57.345,59.58
2024-12-27,59.402,61.27,58.88,60.6
2025-01-03,60.35,62.05,59.75,61.48
2025-01-10,61.76,63.95,60.38,61.83
2025-01-17,62.55,64.1,61.71,62.25
2025-01-24,62.79,65.75,62.12,64.58
2025-01-31,65.51,66.52,63.3,64.03
2025-02-07,63.8,66.81,57.9,58.94
2025-02-14,59.04,59.327,55.17,56.86
2025-02-21,57.05,58.87,55.72,57.68
2025-02-28,57.68,61.495,56.39,58.16
2025-03-07,58.33,60.88,57.79,60.03
2025-03-14,60.29,61.345,56.915,58.19
2025-03-21,57.84,60.0,57.8,58.9
2025-03-28,58.97,61.08,58.47,60.04
2025-04-04,60.1,65.9,59.705,61.93
2025-04-11,61.635,66.03,59.66,63.86
2025-04-17,63.61,63.86,58.53,60.7
2025-04-25,60.71,62.42,56.06,57.69
2025-05-02,57.95,60.56,57.71,60.16
2025-05-09,60.35,63.42,59.05,62.79
2025-05-16,63.4,64.15,56.79,61.78
2025-05-23,61.7,62.205,55.785,56.41
2025-05-30,57.06,57.98,55.73,56.44
2025-06-06,55.1,55.79,54.01,55.16
2025-06-13,55.56,56.1,54.29,55.22
2025-06-20,55.23,55.753,53.99,54.4
2025-06-27,54.585,55.15,52.93,53.99
2025-07-03,53.83,57.463,33.3,33.31
2025-07-11,33.34,33.83,31.4,31.44
2025-07-18,31.46,31.62,27.88,27.95
2025-07-25,28.08,29.51,26.25,28.39
2025-08-01,28.16,28.37,25.115,25.91
2025-08-08,25.96,26.795,25.075,25.59
2025-08-15,25.4,28.68,25.23,28.49
2025-08-22,28.87,30.17,28.555,29.41
2025-08-29,29.395,29.485,28.24,29.04
2025-09-05,29.13,30.06,28.24,28.98
2025-09-12,29.02,36.135,28.325,33.26
2025-09-19,33.235,33.44,31.73,31.77
2025-09-26,31.67,35.42,31.649,34.86
2025-10-03,34.7,38.86,34.41,38.7
2025-10-10,38.68,39.28,35.55,35.76
2025-10-17,36.22,36.66,35.03,35.27
2025-10-24,35.23,36.53,33.0,34.07
2025-10-31,34.055,37.57,32.865,35.37
2025-11-07,35.28,37.92,33.755,37.56
2025-11-14,35.52,37.07,33.61,36.38
2025-11-21,36.375,38.145,34.39,36.5
2025-11-28,39.31,39.93,37.33,39.34
2025-12-05,39.03,39.335,37.41,38.34
2025-12-12,38.67,41.74,37.25,40.85
2025-12-19,41.105,41.25,38.02,39.02
2025-12-26,38.79,40.53,38.582,40.51
2026-01-02,40.545,42.07,40.51,41.78
2026-01-09,42.99,47.47,42.62,46.61
2026-01-16,45.5,47.68,44.79,45.75
2026-01-23,44.99,46.27,43.28,46.09
2026-01-30,46.05,46.53,40.12,43.32
2026-02-06,42.67,43.45,36.06,38.46
2026-02-13,38.425,40.83,37.71,40.58
2026-02-20,40.78,43.789,40.5,43.24
2026-02-27,42.83,44.925,41.75,44.88
2026-03-06,44.23,45.195,42.61,43.65
2026-03-13,43.37,43.82,33.85,34.45
2026-03-20,34.73,37.05,33.985,34.4
2026-03-27,34.72,34.78,31.77,32.0
2026-04-02,32.4,35.19,31.63,35.11
2026-04-10,35.2,37.75,35.05,37.3
2026-04-17,36.85,39.46,36.42,38.17
2026-04-24,38.41,41.88,38.07,41.82
2026-05-01,41.78,54.62,41.68,53.34
2026-05-08,53.02,56.353,52.0,55.96
2026-05-15,56.45,59.74,55.62,58.27
2026-05-22,58.11,60.76,57.22,59.14
2026-05-29,58.98,59.97,56.74,59.6
2026-06-05,59.9,63.5,58.23,62.33
2026-06-12,62.32,66.55,62.0,65.19
2026-06-18,64.62,65.114,59.9,61.02
2026-06-26,62.0,65.76,61.715,65.73
2026-07-02,65.2,69.29,63.71,67.86
2026-07-10,67.45,68.94,65.04,67.35
2026-07-17,67.9,69.355,63.2,66.44
2026-07-22,66.65,67.635,65.11,65.89
