日期,Open,High,Low,Close
2011-07-29,10.38,11.675,8.825,9.205
2011-08-31,9.635,10.015,4.155,8.765
2011-09-30,8.705,10.315,6.295,6.445
2011-10-31,6.365,10.48,5.135,9.31
2011-11-30,8.4,12.38,8.07,11.82
2011-12-30,11.64,14.31,9.42,14.01
2012-01-31,14.28,16.312,13.99,14.892
2012-02-29,15.122,18.502,15.072,18.242
2012-03-30,18.212,19.022,17.072,17.942
2012-04-30,17.342,18.545,16.385,17.925
2012-05-31,17.905,19.525,17.645,18.245
2012-06-29,18.705,20.235,16.605,20.035
2012-07-31,20.195,21.995,17.807,18.717
2012-08-31,19.017,19.467,17.117,19.017
2012-09-28,18.967,21.927,18.897,21.887
2012-10-31,21.977,22.697,19.22,20.03
2012-11-30,20.1,21.41,17.96,20.14
2012-12-31,20.16,23.43,19.44,21.98
2013-01-31,22.65,26.585,22.63,25.055
2013-02-28,25.485,26.625,24.065,24.975
2013-03-28,24.925,29.915,24.735,28.845
2013-04-30,28.605,32.58,27.795,32.26
2013-05-31,33.05,34.78,31.28,31.66
2013-06-28,31.84,34.41,29.74,31.26
2013-07-31,31.8,36.665,31.4,35.795
2013-08-30,36.315,36.525,31.375,32.355
2013-09-30,32.745,35.625,30.975,31.055
2013-10-31,31.065,37.43,30.625,36.79
2013-11-29,36.95,42.17,36.45,41.49
2013-12-31,41.63,46.52,39.98,46.1
2014-01-31,45.69,45.9,40.875,42.525
2014-02-28,42.325,48.425,39.755,47.945
2014-03-31,47.395,51.165,46.855,49.665
2014-04-30,49.365,50.805,47.175,47.8
2014-05-30,47.52,53.57,47.51,53.4
2014-06-30,53.44,54.51,49.72,50.45
2014-07-31,50.97,54.565,48.46,51.715
2014-08-29,51.555,55.175,50.045,54.805
2014-09-30,54.825,57.925,54.575,54.945
2014-10-31,54.805,62.79,52.755,61.44
2014-11-28,61.66,67.63,59.24,66.99
2014-12-31,67.05,74.25,64.57,71.94
2015-01-30,72.15,77.57,69.31,74.14
2015-02-27,74.32,80.5,73.04,79.85
2015-03-31,80.08,81.44,77.48,79.19
2015-04-30,78.64,80.43,75.23,75.62
2015-05-29,77.26,81.26,74.2,78.71
2015-06-30,79.23,83.21,75.47,81.21
2015-07-31,82.08,90.33,79.96,89.15
2015-08-31,89.85,90.26,58.05,79.08
2015-09-30,77.32,80.27,71.22,73.16
2015-10-30,73.17,83.03,71.71,75.81
2015-11-30,76.48,78.11,67.13,71.12
2015-12-31,71.7,76.63,69.4,74.8
2016-01-29,73.2,74.18,69.805,74.045
2016-02-29,73.345,76.245,63.955,74.625
2016-03-31,75.615,81.855,75.035,81.185
2016-04-29,80.815,82.455,77.75,78.38
2016-05-31,78.38,84.55,74.08,74.33
2016-06-30,74.34,76.55,69.63,73.62
2016-07-29,73.76,76.12,70.465,71.025
2016-08-31,70.885,76.955,70.555,71.705
2016-09-30,71.865,72.505,66.405,67.295
2016-10-31,67.095,67.31,61.28,62.83
2016-11-30,63.07,63.62,48.03,55.62
2016-12-30,55.35,59.97,54.84,57.64
2017-01-31,58.31,63.45,56.26,58.04
2017-02-28,57.88,61.09,53.28,59.81
2017-03-31,60.33,60.92,56.8,57.73
2017-04-28,57.61,62.62,55.78,62.17
2017-05-31,62.17,63.03,55.41,56.56
2017-06-30,56.57,61.88,55.19,60.19
2017-07-31,60.5,61.07,56.71,60.16
2017-08-31,60.1,60.53,54.82,57.57
2017-09-29,57.77,64.23,57.53,61.55
2017-10-31,61.58,61.84,48.74,49.26
2017-11-30,49.55,58.52,47.18,57.33
2017-12-29,56.35,57.32,50.25,53.23
2018-01-31,53.79,65.11,53.6,59.92
2018-02-28,59.53,60.43,48.54,48.96
2018-03-29,48.93,50.79,41.37,43.44
2018-04-30,43.29,52.81,41.68,51.56
2018-05-31,50.96,51.48,42.05,45.12
2018-06-29,45.58,54.65,44.39,46.08
2018-07-31,45.67,52.07,45.44,47.09
2018-08-31,47.23,57.54,45.46,57.47
2018-09-28,57.21,62.2,55.05,60.95
2018-10-31,61.28,62.79,51.9,55.12
2018-11-30,55.47,64.88,54.99,62.93
2018-12-31,62.93,63.4,44.79,48.25
2019-01-31,47.59,52.47,45.87,48.78
2019-02-28,47.73,53.55,40.79,41.06
2019-03-29,41.38,41.97,35.16,37.16
2019-04-30,37.39,38.62,35.0,38.11
2019-05-31,40.58,41.48,35.45,36.1
2019-06-28,36.27,39.48,36.19,38.22
2019-07-31,38.83,43.86,37.85,40.1
2019-08-30,40.03,46.81,37.23,45.15
2019-09-30,44.67,49.48,43.92,47.3
2019-10-31,47.43,52.06,44.37,51.12
2019-11-29,51.59,61.76,51.44,60.0
2019-12-31,59.95,60.64,57.37,59.02
2020-01-31,59.38,61.17,52.63,53.05
2020-02-28,53.63,60.48,42.33,44.41
2020-03-31,45.9,52.21,37.27,44.56
2020-04-30,42.98,50.73,39.3,47.28
2020-05-29,46.52,53.46,44.67,51.3
2020-06-30,51.17,56.37,47.55,50.7
2020-07-31,50.7,51.53,46.28,49.17
2020-08-31,49.68,53.53,48.12,48.35
2020-09-30,48.24,48.27,42.33,44.63
2020-10-30,44.66,47.33,42.09,42.82
2020-11-30,43.6,60.79,42.92,54.52
2020-12-31,55.12,61.37,53.79,55.03
2021-01-29,55.41,63.96,54.86,58.88
2021-02-26,59.31,62.624,55.25,55.36
2021-03-31,55.65,64.1,55.49,62.46
2021-04-30,62.46,64.86,60.53,64.13
2021-05-28,64.73,78.344,64.43,74.17
2021-06-30,74.23,75.03,70.06,71.17
2021-07-30,71.44,72.51,67.29,70.59
2021-08-31,70.59,75.11,67.565,74.62
2021-09-30,74.33,76.02,71.59,73.09
2021-10-29,73.03,78.26,70.01,78.01
2021-11-30,78.5,85.3,77.64,77.79
2021-12-31,78.91,93.29,77.5,91.89
2022-01-31,91.54,98.62,88.97,95.79
2022-02-28,95.55,100.53,87.74,92.93
2022-03-31,92.49,98.97,90.24,90.49
2022-04-29,90.49,97.01,85.72,85.96
2022-05-31,86.28,91.04,81.3,86.58
2022-06-30,87.21,87.6,78.25,82.49
2022-07-29,82.64,86.96,80.415,86.06
2022-08-31,85.38,97.64,85.215,88.53
2022-09-30,88.38,93.97,85.65,85.75
2022-10-31,86.36,91.46,76.66,85.63
2022-11-30,85.54,93.7,84.45,92.81
2022-12-30,93.12,95.76,83.06,84.12
2023-01-31,82.65,84.34,76.355,79.755
2023-02-28,79.545,82.155,74.675,75.075
2023-03-31,74.435,74.795,63.64,65.845
2023-04-28,66.565,70.015,64.08,65.45
2023-05-31,65.73,66.21,58.48,60.17
2023-06-30,60.48,64.97,58.78,61.27
2023-07-31,61.26,68.966,60.84,67.435
2023-08-31,67.505,70.125,57.365,57.915
2023-09-29,58.145,65.345,57.795,62.565
2023-10-31,62.285,66.085,59.36,62.36
2023-11-30,59.1,64.69,57.76,61.3
2023-12-29,61.26,72.74,60.715,72.31
2024-01-31,72.25,76.6,64.206,68.385
2024-02-29,68.445,72.315,65.605,68.385
2024-03-28,68.645,74.765,67.055,73.775
2024-04-30,73.745,73.995,61.43,62.39
2024-05-31,50.68,54.41,47.45,54.28
2024-06-28,53.81,56.745,51.9,53.74
2024-07-31,53.88,59.265,50.52,55.675
2024-08-30,56.225,56.895,50.945,52.585
2024-09-30,52.545,58.945,50.155,58.225
2024-10-31,58.345,63.14,51.95,52.47
2024-11-29,52.75,59.34,48.72,55.86
2024-12-31,55.71,56.06,39.57,40.9
2025-01-31,41.12,55.135,40.12,53.155
2025-02-28,52.755,64.015,50.035,62.395
2025-03-31,62.435,65.545,60.675,64.425
2025-04-30,64.515,68.125,57.002,64.05
2025-05-30,69.84,69.85,55.69,61.38
2025-06-30,60.85,66.51,59.945,66.32
2025-07-31,66.11,67.57,56.505,60.105
2025-08-29,60.325,71.235,59.195,71.155
2025-09-30,70.985,75.345,67.605,73.395
2025-10-31,73.305,83.82,73.255,76.82
2025-11-28,76.73,80.39,74.62,79.03
2025-12-31,78.64,79.749,72.81,78.03
2026-01-30,77.95,83.335,70.025,73.855
2026-02-27,73.695,79.235,72.255,79.235
2026-03-31,79.225,81.025,68.845,71.155
2026-04-30,71.395,83.93,71.155,83.29
2026-05-29,83.45,98.43,80.4,90.98
