日期,Open,High,Low,Close
2023-07-24,46.245,46.385,45.465,45.615
2023-07-25,44.795,44.925,43.58,44.575
2023-07-26,44.575,44.915,44.1,44.565
2023-07-27,44.16,44.295,43.525,43.885
2023-07-28,44.195,44.285,43.628,43.855
2023-07-31,43.945,44.465,43.853,44.395
2023-08-01,43.875,43.885,42.395,43.535
2023-08-02,43.045,43.218,42.765,42.935
2023-08-03,42.455,42.77,42.155,42.325
2023-08-04,42.605,42.945,42.345,42.725
2023-08-07,42.825,43.555,42.625,43.375
2023-08-08,42.755,44.075,42.735,43.925
2023-08-09,43.875,44.225,42.885,43.165
2023-08-10,43.565,43.845,42.625,42.995
2023-08-11,42.735,42.825,42.235,42.305
2023-08-14,42.135,42.475,41.835,42.365
2023-08-15,42.015,42.195,41.095,41.155
2023-08-16,41.175,41.885,40.695,40.805
2023-08-17,40.805,40.885,39.855,39.915
2023-08-18,39.475,39.765,39.23,39.625
2023-08-21,39.825,39.993,39.365,39.875
2023-08-22,40.155,40.295,39.365,39.745
2023-08-23,39.745,40.53,39.39,40.335
2023-08-24,40.135,40.615,39.845,40.035
2023-08-25,40.235,40.295,39.275,39.835
2023-08-28,39.865,40.575,39.865,40.545
2023-08-29,40.505,42.195,40.375,41.905
2023-08-30,41.915,41.985,41.355,41.365
2023-08-31,41.675,41.71,40.565,41.015
2023-09-01,41.235,41.325,40.475,40.995
2023-09-05,40.615,40.64,39.44,39.895
2023-09-06,39.625,40.845,39.625,39.845
2023-09-07,39.635,39.805,39.105,39.265
2023-09-08,39.285,39.635,38.885,38.955
2023-09-11,39.235,39.325,38.865,38.975
2023-09-12,39.045,39.385,38.74,38.825
2023-09-13,37.635,38.235,37.415,37.685
2023-09-14,38.335,38.415,37.065,37.465
2023-09-15,37.435,38.245,37.245,38.035
2023-09-18,37.715,37.965,36.865,37.025
2023-09-19,37.005,37.655,36.775,37.585
2023-09-20,37.905,38.005,36.905,37.015
2023-09-21,36.715,37.065,36.345,36.435
2023-09-22,36.515,36.555,35.655,35.805
2023-09-25,35.535,35.865,35.235,35.695
2023-09-26,35.335,35.835,34.855,34.905
2023-09-27,34.905,35.285,34.66,34.795
2023-09-28,34.835,35.6,34.545,35.085
2023-09-29,35.385,35.616,34.88,35.135
2023-10-02,35.105,35.335,34.435,34.585
2023-10-03,34.275,34.425,33.26,33.375
2023-10-04,33.605,34.395,33.495,34.195
2023-10-05,34.605,34.788,34.145,34.575
2023-10-06,34.465,35.465,34.395,35.135
2023-10-09,33.845,33.925,32.82,33.415
2023-10-10,33.875,34.805,33.845,33.965
2023-10-11,33.995,34.854,33.575,34.215
2023-10-12,35.245,35.3,33.155,33.385
2023-10-13,33.015,33.665,32.185,32.335
2023-10-16,32.345,32.985,32.125,32.655
2023-10-17,32.565,33.42,32.505,32.915
