日期,Open,High,Low,Close
2023-07-24,47.89,48.345,47.695,47.85
2023-07-25,48.12,48.78,48.12,48.49
2023-07-26,48.36,48.665,47.88,48.04
2023-07-27,48.55,48.9,47.71,47.83
2023-07-28,48.26,48.54,46.645,46.73
2023-07-31,46.66,47.28,46.48,47.04
2023-08-01,46.9,47.795,46.9,47.49
2023-08-02,47.165,47.38,46.585,47.07
2023-08-03,46.62,48.075,46.17,47.63
2023-08-04,47.71,48.68,47.18,47.36
2023-08-07,47.65,48.76,47.65,48.69
2023-08-08,49.16,52.84,48.94,51.7
2023-08-09,51.59,51.99,50.665,50.69
2023-08-10,51.31,51.5,49.54,50.12
2023-08-11,50.19,51.7,49.87,50.96
2023-08-14,50.64,51.08,50.41,50.88
2023-08-15,50.68,50.81,49.81,49.85
2023-08-16,49.8,50.425,49.28,49.34
2023-08-17,49.42,49.95,48.745,48.98
2023-08-18,48.63,49.47,48.45,49.05
2023-08-21,49.2,50.57,49.2,50.17
2023-08-22,50.55,50.68,49.67,49.92
2023-08-23,50.34,51.04,49.83,50.95
2023-08-24,51.56,51.78,50.34,50.83
2023-08-25,50.9,50.995,49.74,50.33
2023-08-28,50.48,51.62,50.19,51.31
2023-08-29,51.3,51.4,50.44,50.62
2023-08-30,48.8,50.07,47.74,49.81
2023-08-31,50.11,50.919,49.68,50.36
2023-09-01,58.21,64.4,57.98,62.31
2023-09-05,62.17,63.95,61.66,62.22
2023-09-06,62.12,64.6,61.95,64.59
2023-09-07,63.59,64.74,62.69,63.1
2023-09-08,63.49,65.01,63.21,64.62
2023-09-11,65.24,66.94,64.68,66.28
2023-09-12,65.77,66.39,64.71,64.85
2023-09-13,65.04,65.32,63.88,64.57
2023-09-14,64.59,65.28,64.24,65.28
2023-09-15,65.02,65.21,62.77,63.41
2023-09-18,63.13,63.57,62.52,63.27
2023-09-19,63.925,64.53,63.4,64.02
2023-09-20,64.03,64.574,62.99,63.06
2023-09-21,62.38,63.32,62.16,62.56
2023-09-22,62.85,64.71,62.74,64.17
2023-09-25,64.31,65.1,63.52,64.15
2023-09-26,63.92,64.155,63.05,63.05
2023-09-27,63.92,64.1,61.35,62.07
2023-09-28,62.33,63.39,62.18,62.62
2023-09-29,63.22,63.72,62.67,63.02
2023-10-02,62.73,63.45,61.46,61.82
2023-10-03,62.86,63.06,60.94,61.36
2023-10-04,61.43,61.99,60.58,61.32
2023-10-05,60.41,61.18,58.44,60.31
2023-10-06,60.84,61.19,60.01,60.53
2023-10-09,60.36,61.575,60.12,61.3
2023-10-10,61.46,62.665,61.46,62.1
2023-10-11,62.36,64.47,62.2,64.46
2023-10-12,64.15,64.89,62.77,63.17
2023-10-13,63.54,64.76,61.875,62.16
2023-10-16,62.0,62.73,61.38,61.88
2023-10-17,61.38,62.765,60.82,62.02
2023-10-18,61.37,62.455,60.99,61.01
2023-10-19,61.36,62.8,60.905,61.15
