日期,Open,High,Low,Close
2011-07-29,1.438,2.418,1.028,1.748
2011-08-31,1.908,1.988,-1.275,0.425
2011-09-30,0.455,0.525,-1.135,-1.055
2011-10-31,-1.075,1.905,-2.065,1.035
2011-11-30,0.715,1.975,0.645,1.853
2011-12-30,1.843,2.833,1.593,2.543
2012-01-31,2.833,4.663,2.683,3.863
2012-02-29,3.933,4.75,3.75,4.32
2012-03-30,4.42,6.43,3.43,5.15
2012-04-30,5.08,6.67,3.78,6.33
2012-05-31,6.28,7.89,5.648,6.618
2012-06-29,6.228,8.468,4.388,8.398
2012-07-31,8.468,9.368,7.528,7.648
2012-08-31,7.808,9.275,6.948,9.045
2012-09-28,9.055,12.845,8.965,10.675
2012-10-31,10.855,12.375,9.785,11.015
2012-11-30,11.155,12.355,7.765,9.553
2012-12-31,9.653,10.543,8.363,10.023
2013-01-31,10.583,14.273,10.263,13.903
2013-02-28,14.103,14.903,11.593,12.543
2013-03-28,12.383,15.803,11.993,14.543
2013-04-30,14.563,17.563,11.483,16.323
2013-05-31,16.213,17.983,14.553,14.603
2013-06-28,14.643,14.893,10.183,11.523
2013-07-31,11.623,13.443,9.373,10.343
2013-08-30,10.603,11.003,7.813,8.093
2013-09-30,8.153,11.843,7.763,9.673
2013-10-31,9.713,10.473,7.833,9.193
2013-11-29,9.233,10.673,7.913,10.123
2013-12-31,10.063,12.593,8.923,12.563
2014-01-31,12.053,14.243,10.443,13.723
2014-02-28,13.733,15.34,12.783,14.84
2014-03-31,14.07,15.02,11.23,11.93
2014-04-30,12.0,13.63,11.34,12.56
2014-05-30,12.63,14.358,11.788,13.998
2014-06-30,14.008,15.148,13.188,14.898
2014-07-31,14.888,15.548,10.788,11.018
2014-08-29,10.998,12.45,10.37,12.06
2014-09-30,12.05,12.87,10.78,10.9
2014-10-31,10.89,13.69,9.67,13.17
2014-11-28,13.17,16.32,12.7,15.933
2014-12-31,15.933,16.063,13.793,15.733
2015-01-30,15.923,17.263,12.563,14.963
2015-02-27,15.103,18.345,14.823,17.815
2015-03-31,17.855,19.275,16.275,18.985
2015-04-30,19.105,19.795,15.845,15.905
2015-05-29,16.035,18.038,15.415,16.688
2015-06-30,16.848,19.268,16.168,17.928
2015-07-31,18.288,20.368,16.708,20.258
2015-08-31,20.258,23.0,18.28,21.0
2015-09-30,20.27,23.69,19.21,19.99
2015-10-30,20.06,22.1,19.17,20.07
2015-11-30,20.06,23.66,19.08,23.02
2015-12-31,23.14,23.81,21.34,22.74
2016-01-29,22.31,22.35,16.12,18.22
2016-02-29,18.04,18.47,13.76,17.51
2016-03-31,17.78,21.79,17.69,21.02
2016-04-29,20.83,23.3,20.24,20.85
2016-05-31,21.07,21.8,19.69,21.43
2016-06-30,21.21,22.97,20.65,22.35
2016-07-29,22.35,25.43,22.14,23.75
2016-08-31,23.69,24.21,22.59,23.01
2016-09-30,23.06,23.17,20.58,21.15
2016-10-31,21.01,21.57,18.73,19.78
2016-11-30,19.78,20.39,17.64,18.77
2016-12-30,18.78,20.74,18.19,18.38
2017-01-31,18.76,22.95,18.26,20.96
2017-02-28,21.15,23.32,20.44,23.15
2017-03-31,23.38,25.2,23.06,24.46
2017-04-28,24.54,25.69,23.13,24.04
2017-05-31,24.16,25.64,23.38,23.94
2017-06-30,24.01,26.19,23.78,25.82
2017-07-31,26.15,28.69,25.31,26.94
2017-08-31,27.1,28.34,26.3,27.5
2017-09-29,27.61,31.36,26.64,31.28
2017-10-31,31.72,35.93,31.05,35.56
2017-11-30,35.81,43.005,34.45,42.475
2017-12-29,42.425,43.305,40.645,42.545
2018-01-31,42.845,44.795,38.615,40.525
2018-02-28,39.935,40.755,33.5,33.5
2018-03-29,33.74,36.8,32.94,35.44
2018-04-30,35.22,38.6,33.26,35.74
2018-05-31,35.6,36.89,31.695,33.935
2018-06-29,34.165,36.725,31.055,32.725
2018-07-31,32.505,36.645,30.305,35.425
2018-08-31,35.675,38.76,34.545,36.36
2018-09-28,36.32,37.57,33.41,34.03
2018-10-31,34.11,34.78,26.22,27.81
2018-11-30,27.9,29.78,24.38,29.22
2018-12-31,29.66,30.11,24.39,26.66
2019-01-31,26.15,32.13,26.08,30.45
2019-02-28,30.55,33.63,29.3,31.04
2019-03-29,31.32,35.51,29.96,33.53
2019-04-30,33.72,39.17,33.04,36.46
2019-05-31,36.76,37.78,34.67,35.06
2019-06-28,34.99,38.77,33.71,35.43
2019-07-31,36.03,39.56,35.23,38.23
2019-08-30,38.51,43.09,37.71,41.92
2019-09-30,41.6,45.51,40.92,45.16
2019-10-31,45.06,46.87,42.6,44.82
2019-11-29,44.95,48.425,42.65,47.975
2019-12-31,47.905,48.745,44.335,45.375
2020-01-31,45.575,54.395,44.755,51.825
2020-02-28,52.025,55.34,44.85,46.07
2020-03-31,46.62,51.39,18.31,26.8
2020-04-30,25.41,41.93,24.0,40.02
2020-05-29,38.64,52.815,36.795,48.275
2020-06-30,48.495,52.215,43.905,48.425
2020-07-31,48.535,63.265,46.475,59.135
2020-08-31,59.675,70.6,59.515,64.52
2020-09-30,64.62,69.75,59.66,68.78
2020-10-30,69.86,74.36,59.28,59.96
2020-11-30,61.81,71.4,57.97,67.65
2020-12-31,67.78,68.45,62.15,62.27
2021-01-29,62.59,76.6,57.67,70.15
2021-02-26,70.8,77.76,67.67,70.42
2021-03-31,71.96,84.6,66.12,82.67
2021-04-30,83.6,96.145,82.89,91.84
2021-05-28,93.168,100.64,82.785,89.04
2021-06-30,90.4,90.53,80.48,84.12
2021-07-30,84.27,90.305,78.54,89.18
2021-08-31,90.32,93.6,85.67,89.57
2021-09-30,89.67,91.65,77.89,77.92
2021-10-29,78.24,85.95,76.25,83.22
2021-11-30,83.28,98.29,82.02,91.65
2021-12-31,91.34,104.625,91.34,102.625
2022-01-31,102.085,102.815,74.825,83.395
2022-02-28,84.005,85.325,69.93,79.8
2022-03-31,79.53,83.06,68.87,68.91
2022-04-29,70.04,71.68,63.19,63.99
2022-05-31,63.71,70.399,58.755,69.775
2022-06-30,69.965,71.765,53.875,60.815
2022-07-29,61.505,74.025,61.375,72.655
2022-08-31,72.365,75.24,65.86,66.0
2022-09-30,65.23,69.725,61.67,62.2
2022-10-31,63.81,72.91,60.86,71.73
2022-11-30,73.35,80.94,66.89,80.85
2022-12-30,82.09,87.55,78.07,84.24
2023-01-31,85.74,94.03,84.49,93.79
2023-02-28,93.1,99.24,85.16,87.83
2023-03-31,87.42,94.75,84.4,93.04
2023-04-28,92.67,105.72,89.57,105.17
2023-05-31,104.99,108.475,100.62,102.44
2023-06-30,102.99,119.65,102.88,117.29
2023-07-31,117.2,127.9,109.8,122.62
2023-08-31,122.21,123.94,108.35,114.87
2023-09-29,115.07,116.83,102.45,103.32
2023-10-31,102.1,105.13,95.93,100.25
2023-11-30,100.43,126.64,99.5,123.82
2023-12-29,124.15,150.79,123.8,148.13
2024-01-31,146.05,154.075,134.98,139.06
2024-02-29,141.24,146.08,136.15,145.89
2024-03-28,145.95,161.66,144.826,161.0
2024-04-30,160.77,162.2,136.45,138.94
2024-05-31,139.05,154.475,137.17,144.55
2024-06-28,144.55,146.63,134.83,137.68
2024-07-31,138.28,182.176,129.77,176.68
2024-08-30,178.47,190.68,164.07,185.81
2024-09-30,185.86,196.9,178.321,187.82
2024-10-31,189.05,192.55,150.04,166.05
2024-11-29,168.48,173.37,156.08,166.23
2024-12-31,165.59,166.82,132.453,137.27
2025-01-31,138.81,151.668,133.68,139.35
2025-02-28,137.31,140.12,122.08,124.66
2025-03-31,124.85,135.98,122.23,124.98
2025-04-30,125.97,129.76,108.29,124.19
2025-05-30,124.3,126.61,115.25,116.31
2025-06-30,115.24,128.92,112.42,127.17
2025-07-31,126.78,152.442,126.25,141.09
2025-08-29,145.45,170.35,144.04,168.13
2025-09-30,166.33,183.195,161.47,168.12
2025-10-31,168.54,174.87,145.65,147.73
2025-11-28,147.24,158.18,133.84,158.11
2025-12-31,155.69,165.07,142.39,143.13
2026-01-30,143.44,161.025,136.8,147.94
2026-02-27,148.35,168.72,145.74,159.94
2026-03-31,156.43,156.43,131.3,136.77
2026-04-30,136.48,166.53,134.73,153.41
2026-05-29,153.71,153.98,133.84,147.09
2026-06-30,148.5,170.785,143.63,162.88
2026-07-22,160.79,163.99,140.07,142.52
