日期,Open,High,Low,Close
2023-07-24,106.13,108.57,105.61,108.48
2023-07-25,107.68,107.91,105.95,105.98
2023-07-26,106.46,106.57,103.01,104.0
2023-07-27,105.22,105.425,100.3,100.51
2023-07-28,108.58,112.16,106.91,108.14
2023-07-31,108.14,110.5,105.81,109.98
2023-08-01,109.4,110.385,107.81,108.75
2023-08-02,107.82,110.09,107.64,108.72
2023-08-03,107.38,107.66,103.82,106.21
2023-08-04,106.38,108.52,105.19,105.32
2023-08-07,105.59,107.06,105.197,106.25
2023-08-08,105.24,105.54,103.28,104.47
2023-08-09,103.99,105.34,103.48,104.67
2023-08-10,105.56,107.65,105.05,106.12
2023-08-11,104.89,105.84,104.36,105.69
2023-08-14,105.205,107.75,104.67,106.84
2023-08-15,105.81,108.02,105.56,106.99
2023-08-16,107.34,107.91,106.38,106.51
2023-08-17,106.59,108.51,106.54,107.21
2023-08-18,105.84,107.34,105.37,106.7
2023-08-21,106.7,107.66,104.74,106.32
2023-08-22,107.62,109.78,107.05,109.08
2023-08-23,109.79,111.46,109.09,111.13
2023-08-24,112.06,116.31,111.87,112.82
2023-08-25,111.51,112.56,110.14,111.31
2023-08-28,111.96,113.13,111.045,112.51
2023-08-29,112.54,115.79,111.75,115.73
2023-08-30,115.2,117.33,115.2,117.02
2023-08-31,117.04,117.61,116.31,117.08
2023-09-01,117.98,118.75,116.5,117.47
2023-09-05,117.34,117.41,115.201,116.06
2023-09-06,115.31,116.78,114.415,115.34
2023-09-07,115.21,117.545,114.91,117.16
2023-09-08,117.35,117.53,115.255,115.34
2023-09-11,116.18,116.73,115.015,116.47
2023-09-12,115.99,117.26,115.83,116.29
2023-09-13,116.07,116.42,112.9,113.57
2023-09-14,115.11,116.43,114.91,115.06
2023-09-15,114.82,116.29,114.03,115.33
2023-09-18,115.03,116.29,113.62,114.63
2023-09-19,114.12,115.25,113.21,113.57
2023-09-20,115.59,116.32,114.38,114.65
2023-09-21,113.25,113.37,110.4,110.52
2023-09-22,110.98,113.01,109.47,109.82
2023-09-25,109.42,110.535,108.99,110.18
2023-09-26,109.21,109.23,106.101,106.39
2023-09-27,107.03,107.17,103.0,103.42
