日期,Open,High,Low,Close
2023-07-24,48.27,49.345,48.15,48.86
2023-07-25,48.77,49.57,48.63,49.17
2023-07-26,48.58,49.25,48.49,48.92
2023-07-27,49.37,49.42,47.78,47.99
2023-07-28,48.32,48.79,47.85,48.77
2023-07-31,49.27,49.988,49.2,49.77
2023-08-01,49.43,49.71,48.83,49.45
2023-08-02,47.79,47.79,45.16,45.51
2023-08-03,45.82,47.52,45.66,46.6
2023-08-04,46.9,47.748,46.46,46.57
2023-08-07,46.57,47.115,46.27,46.58
2023-08-08,45.44,46.56,44.62,46.54
2023-08-09,47.16,47.76,46.6,46.96
2023-08-10,47.09,47.51,46.008,46.53
2023-08-11,46.25,46.95,45.98,46.18
2023-08-14,45.93,46.07,45.375,46.06
2023-08-15,45.7,45.77,44.72,44.96
2023-08-16,44.97,45.25,44.27,44.29
2023-08-17,45.02,45.59,44.715,44.83
2023-08-18,44.27,45.79,44.221,45.76
2023-08-21,46.36,46.65,45.38,45.94
2023-08-22,46.09,46.33,45.485,45.51
2023-08-23,44.92,45.155,44.26,45.11
2023-08-24,44.73,45.185,44.43,44.61
2023-08-25,45.19,46.6,44.905,46.2
2023-08-28,46.49,47.34,46.135,46.34
2023-08-29,46.46,46.78,45.93,46.5
2023-08-30,46.77,46.92,46.38,46.43
2023-08-31,46.78,47.06,46.28,46.86
2023-09-01,47.69,49.11,47.53,48.69
2023-09-05,49.17,50.24,48.96,49.27
2023-09-06,49.18,49.91,48.92,49.26
2023-09-07,49.07,49.54,48.125,48.27
2023-09-08,48.6,49.1,48.34,48.43
2023-09-11,48.93,48.93,46.13,46.55
2023-09-12,47.12,47.78,46.97,47.16
2023-09-13,47.37,47.38,46.12,46.42
2023-09-14,47.22,47.618,46.53,47.19
2023-09-15,46.76,46.78,45.73,45.94
2023-09-18,46.26,46.436,45.34,45.76
2023-09-19,46.36,46.51,45.13,45.25
2023-09-20,44.87,45.32,44.12,44.14
2023-09-21,44.01,44.19,42.37,42.67
2023-09-22,43.08,43.28,42.51,42.85
2023-09-25,42.83,43.89,42.76,43.77
2023-09-26,43.12,43.83,43.065,43.21
2023-09-27,44.04,45.47,43.91,45.1
2023-09-28,45.01,45.39,44.57,45.07
2023-09-29,45.26,45.3,43.86,43.96
2023-10-02,44.08,44.08,41.61,41.91
2023-10-03,41.78,42.05,41.345,42.01
2023-10-04,41.2,41.3,39.075,39.61
2023-10-05,39.26,39.705,38.99,39.11
2023-10-06,39.26,40.475,38.85,39.96
2023-10-09,41.4,42.66,41.13,42.36
2023-10-10,42.36,42.67,42.011,42.33
2023-10-11,42.13,43.06,41.84,43.01
2023-10-12,43.51,43.64,42.52,42.95
2023-10-13,43.91,44.88,43.65,44.65
2023-10-16,44.99,45.78,44.59,45.66
2023-10-17,45.33,46.2,45.24,46.19
2023-10-18,46.53,47.095,46.13,46.34
2023-10-19,45.48,46.08,44.683,45.51
2023-10-20,45.32,45.61,44.32,44.58
2023-10-23,43.93,44.25,43.21,43.97
2023-10-24,44.11,44.28,43.515,43.73
2023-10-25,43.5,44.165,43.19,44.11
2023-10-26,43.31,43.825,42.93,43.43
2023-10-27,43.44,43.54,42.21,43.03
2023-10-30,42.95,43.46,41.93,42.43
2023-10-31,42.34,42.86,41.905,42.83
2023-11-01,43.26,43.26,42.375,42.47
2023-11-02,42.59,43.57,42.1,43.53
2023-11-03,43.68,44.19,43.47,43.6
2023-11-06,43.98,44.01,42.59,42.98
2023-11-07,42.15,42.35,41.28,41.55
2023-11-08,40.96,41.36,39.96,40.44
2023-11-09,40.83,41.385,40.375,40.4
2023-11-10,40.88,42.22,40.79,41.88
2023-11-13,42.07,42.29,41.6,41.68
2023-11-14,42.04,42.455,41.71,42.0
2023-11-15,41.93,42.666,41.715,41.78
2023-11-16,40.93,41.14,39.715,40.55
2023-11-17,41.06,41.995,40.7,41.62
2023-11-20,42.09,42.46,41.79,41.91
2023-11-21,41.55,41.83,41.22,41.51
2023-11-22,40.31,41.49,39.95,41.42
2023-11-24,41.32,41.88,41.159,41.61
2023-11-27,41.24,41.29,40.61,41.19
2023-11-28,41.38,41.68,40.98,41.08
2023-11-29,41.31,41.47,40.9,41.14
2023-11-30,41.76,42.25,40.79,41.23
2023-12-01,41.14,42.12,40.9,41.43
2023-12-04,40.89,41.565,40.73,40.94
2023-12-05,40.94,41.11,39.98,40.04
2023-12-06,39.79,40.43,39.32,39.51
2023-12-07,39.81,40.055,39.395,39.72
2023-12-08,40.09,40.52,39.93,40.35
2023-12-11,40.51,40.87,40.315,40.67
2023-12-12,40.16,40.16,39.3,39.6
2023-12-13,39.59,40.51,39.21,40.48
2023-12-14,41.28,42.52,41.19,42.02
2023-12-15,41.54,41.935,41.17,41.9
2023-12-18,42.6,43.185,42.24,42.27
2023-12-19,42.37,42.755,42.05,42.71
2023-12-20,42.88,43.26,42.2,42.27
2023-12-21,42.42,42.89,42.185,42.88
2023-12-22,43.23,43.481,42.745,42.84
2023-12-26,43.29,43.97,43.22,43.69
2023-12-27,43.58,43.8,43.27,43.43
2023-12-28,43.14,43.38,42.78,42.79
2023-12-29,42.91,43.01,42.07,42.33
2024-01-02,42.65,43.52,42.58,42.87
2024-01-03,42.72,43.865,42.55,43.84
2024-01-04,44.07,44.38,42.59,42.66
2024-01-05,43.01,43.11,42.545,42.97
2024-01-08,42.18,42.56,41.36,42.56
2024-01-09,42.62,42.68,41.58,41.8
2024-01-10,41.8,41.845,40.87,40.97
2024-01-11,41.11,41.28,40.455,40.62
2024-01-12,41.47,41.56,39.7,39.8
2024-01-16,39.56,39.78,38.55,38.71
2024-01-17,38.32,38.515,37.84,38.12
2024-01-18,38.01,38.24,37.54,38.11
2024-01-19,38.08,38.14,37.65,38.0
