日期,Open,High,Low,Close
2011-07-29,15.08,18.81,14.97,16.77
2011-08-31,17.4,17.48,6.88,16.13
2011-09-30,15.98,17.03,5.667,7.157
2011-10-31,6.817,15.607,3.737,13.967
2011-11-30,11.827,14.737,7.387,10.477
2011-12-30,10.197,13.845,8.227,13.065
2012-01-31,13.625,15.705,9.415,15.405
2012-02-29,15.855,16.425,12.575,12.745
2012-03-30,12.695,18.982,12.645,18.812
2012-04-30,18.662,18.992,15.182,17.632
2012-05-31,17.702,20.032,16.332,17.292
2012-06-29,16.112,18.93,14.862,18.89
2012-07-31,19.37,22.25,18.51,19.84
2012-08-31,19.9,20.36,15.54,16.93
2012-09-28,17.02,18.0,13.627,14.397
2012-10-31,14.497,14.987,12.437,14.277
2012-11-30,14.107,16.477,10.117,12.377
2012-12-31,12.627,14.605,11.207,14.305
2013-01-31,15.175,16.445,12.975,13.025
2013-02-28,13.335,15.735,11.275,12.675
2013-03-28,12.665,14.175,12.085,13.095
2013-04-30,13.005,17.455,12.735,16.095
2013-05-31,15.715,19.005,13.935,14.585
2013-06-28,14.615,17.235,11.145,16.495
2013-07-31,16.775,17.835,13.515,14.435
2013-08-30,14.695,14.975,8.675,10.325
2013-09-30,10.695,15.785,9.205,12.405
2013-10-31,12.445,14.895,10.595,11.195
2013-11-29,11.285,12.225,8.915,10.375
2013-12-31,10.135,12.885,9.725,11.355
2014-01-31,11.225,15.095,11.035,14.865
2014-02-28,14.715,18.815,14.045,17.955
2014-03-31,17.845,18.895,16.495,17.975
2014-04-30,18.135,20.325,17.175,19.425
2014-05-30,17.985,22.555,17.985,21.785
2014-06-30,21.795,24.025,20.505,23.485
2014-07-31,23.695,27.255,23.235,25.135
2014-08-29,24.915,27.915,24.325,26.955
2014-09-30,27.115,28.395,21.425,22.565
2014-10-31,22.565,30.555,22.455,30.545
2014-11-28,30.665,32.895,29.925,31.825
2014-12-31,31.915,36.205,30.765,33.325
2015-01-30,33.765,42.515,33.545,39.095
2015-02-27,39.205,42.005,37.435,38.515
2015-03-31,38.765,44.567,36.305,39.897
2015-04-30,39.977,41.267,35.357,35.897
2015-05-29,36.157,37.987,34.057,36.357
2015-06-30,36.677,37.547,32.087,32.76
2015-07-31,33.09,39.59,32.63,37.4
2015-08-31,37.59,44.57,24.49,33.84
2015-09-30,32.64,38.482,31.04,38.262
2015-10-30,38.662,44.962,37.522,40.462
2015-11-30,40.302,44.742,38.512,42.962
2015-12-31,43.442,46.085,39.802,45.285
2016-01-29,44.485,45.455,38.625,40.785
2016-02-29,39.885,41.495,33.565,38.185
2016-03-31,38.855,47.499,38.315,47.229
2016-04-29,46.909,47.689,39.019,40.269
2016-05-31,40.919,45.249,38.789,41.409
2016-06-30,40.089,41.592,35.309,41.582
2016-07-29,41.712,44.232,38.082,40.692
2016-08-31,40.692,41.502,36.862,37.572
2016-09-30,37.602,42.066,35.092,40.536
2016-10-31,40.286,40.286,35.786,37.956
2016-11-30,37.846,39.026,34.486,36.216
2016-12-30,35.806,41.346,35.316,41.07
2017-01-31,41.58,42.42,37.09,37.48
2017-02-28,37.45,40.31,36.2,39.78
2017-03-31,39.64,40.774,38.07,39.434
2017-04-28,39.454,43.114,38.804,41.794
2017-05-31,41.984,43.194,40.704,42.304
2017-06-30,42.274,46.044,41.614,43.547
2017-07-31,43.757,45.817,41.697,45.777
2017-08-31,45.777,46.427,44.247,44.867
2017-09-29,44.867,46.487,43.661,44.151
2017-10-31,44.311,46.001,43.391,45.481
2017-11-30,45.541,48.671,44.231,45.041
2017-12-29,45.241,45.611,41.421,42.495
2018-01-31,42.695,42.745,38.235,40.335
2018-02-28,40.185,40.465,33.695,34.955
2018-03-29,34.805,41.485,34.225,40.885
2018-04-30,40.745,42.975,39.135,40.975
2018-05-31,41.045,43.515,38.555,43.255
2018-06-29,43.375,44.195,40.935,43.495
2018-07-31,43.485,45.745,42.445,45.235
2018-08-31,44.785,47.995,44.475,47.555
2018-09-28,47.255,48.645,45.205,46.605
2018-10-31,46.555,47.295,42.745,45.305
2018-11-30,45.615,51.635,43.965,51.595
2018-12-31,51.845,53.095,43.515,46.895
2019-01-31,46.305,53.565,44.295,53.445
2019-02-28,53.675,55.565,51.665,54.575
2019-03-29,54.535,57.162,53.525,56.772
2019-04-30,56.482,59.092,54.742,57.872
2019-05-31,57.712,59.282,55.302,58.022
2019-06-28,58.202,60.922,56.182,57.94
2019-07-31,58.39,63.9,56.85,60.91
2019-08-30,60.84,66.95,59.5,66.78
2019-09-30,66.66,69.307,65.04,68.847
2019-10-31,68.697,72.137,67.487,71.247
2019-11-29,71.257,71.787,65.867,67.687
2019-12-31,67.447,67.737,61.607,64.075
2020-01-31,64.475,70.685,62.505,66.235
2020-02-28,66.505,70.345,56.455,58.255
2020-03-31,58.715,64.335,33.377,45.467
2020-04-30,42.827,54.367,36.547,48.817
2020-05-29,47.097,48.827,39.247,44.317
2020-06-30,44.297,52.267,40.67,43.18
