Date,Open,High,Low,Close
2021-09-01,4527.75,4549.5,4293.75,4297.75
2021-10-01,4301.0,4603.5,4260.0,4597.0
2021-11-01,4608.0,4740.5,4557.0,4566.25
2021-12-01,4587.5,4799.75,4492.0,4758.5
2022-01-01,4771.0,4808.25,4212.75,4504.25
2022-02-01,4493.25,4586.0,4101.75,4368.0
2022-03-01,4367.5,4631.0,4138.0,4530.75
2022-04-01,4541.0,4588.75,4118.75,4127.5
2022-06-01,4138.5,4189.0,3639.0,3789.5
2022-07-01,3782.0,4144.0,3723.75,4133.5
2022-08-01,4137.5,4327.5,3953.0,3956.5
2022-09-01,3958.0,4158.0,3595.25,3601.5
2022-10-01,3593.25,3924.25,3502.0,3883.0
2022-11-01,3884.0,4093.5,3704.25,4081.25
2022-12-01,4094.5,4145.0,3788.5,3861.0
2023-02-01,4085.75,4208.5,3947.5,3975.5
2023-03-01,3968.5,4142.5,3808.75,4137.75
2023-04-01,4127.0,4198.25,4068.75,4188.5
2023-05-01,4190.0,4243.25,4062.25,4190.5
2023-06-01,4188.5,4498.0,4178.0,4488.25
2023-07-01,4485.5,4634.5,4411.25,4614.5
2023-08-01,4617.75,4621.75,4350.0,4516.0
2023-09-01,4516.75,4547.75,4277.0,4325.5
2023-11-01,4205.0,4597.0,4191.25,4576.75
2023-12-01,4571.75,4841.5,4548.75,4820.0
2024-01-01,4818.0,4957.25,4702.0,4870.5
2024-02-01,4874.5,5123.5,4872.5,5103.75
2024-03-01,5101.5,5322.75,5063.0,5308.5
2024-04-01,5314.25,5333.5,4963.5,5067.0
2024-05-01,5050.0,5368.25,5036.25,5295.5
2024-06-01,5299.5,5585.0,5246.75,5521.5
2024-07-01,5534.25,5721.25,5432.5,5558.0
2024-08-01,5574.75,5669.0,5120.0,5661.0
2024-10-01,5807.0,5927.25,5724.0,5738.5
2024-11-01,5742.0,6060.0,5724.25,6051.5
2025-01-01,5949.25,6162.25,5809.0,6067.25
2025-02-01,5982.25,6166.5,5848.0,5963.25
2025-03-01,5967.5,6000.5,5509.25,5653.25
2025-04-01,5644.25,5773.25,4832.0,5587.0
2025-05-01,5617.5,6008.0,5596.0,5916.0
2025-07-01,6245.75,6468.5,6227.25,6374.25
2025-08-01,6359.5,6523.0,6239.5,6472.75
2025-09-01,6478.75,6756.75,6371.75,6738.75
2025-10-01,6725.5,6953.75,6540.25,6874.0
2025-11-01,6878.0,6909.5,6525.0,6859.5
2025-12-01,6854.75,6994.0,6720.25,6892.5
2026-01-01,6902.0,7043.0,6814.5,6965.75
2026-04-01,6562.0,7253.5,6503.75,7243.75
2026-05-01,7256.0,7611.5,7199.5,7595.75
2026-06-01,7595.0,7632.25,7232.25,7548.25
2026-07-01,7543.25,7632.0,7468.5,7544.5
