日期,Open,High,Low,Close
2023-07-24,196.49,197.84,195.16,195.52
2023-07-25,193.74,195.59,193.24,194.45
2023-07-26,193.0,194.14,189.02,191.2
2023-07-27,192.76,192.76,189.64,190.26
2023-07-28,192.07,192.73,190.41,191.46
2023-07-31,192.85,193.69,191.41,193.48
2023-08-01,199.55,208.06,199.16,207.16
2023-08-02,206.24,213.92,204.55,207.03
2023-08-03,205.9,207.6,203.804,205.26
2023-08-04,206.95,208.3,204.715,204.92
2023-08-07,206.34,210.75,206.02,210.11
2023-08-08,209.01,209.58,206.955,209.22
2023-08-09,208.93,209.58,205.94,206.85
2023-08-10,206.64,209.06,204.92,205.95
2023-08-11,206.71,208.741,206.07,207.38
2023-08-14,206.3,209.16,206.29,208.06
2023-08-15,206.82,207.66,205.81,206.96
2023-08-16,207.02,208.92,205.02,205.11
2023-08-17,205.88,207.485,202.88,203.4
2023-08-18,201.76,205.285,201.115,203.67
2023-08-21,204.5,205.25,202.08,204.76
2023-08-22,206.13,206.855,204.36,206.31
2023-08-23,206.79,211.81,206.79,210.32
2023-08-24,210.82,213.2,209.73,209.93
2023-08-25,211.02,214.52,208.66,213.27
2023-08-28,213.24,216.72,213.175,215.26
2023-08-29,214.11,217.862,214.11,217.1
2023-08-30,218.06,219.25,216.98,219.1
2023-08-31,219.02,221.26,218.41,219.39
2023-09-01,220.46,222.995,220.2,222.69
2023-09-05,222.02,222.59,217.55,218.59
2023-09-06,218.59,221.56,218.16,220.63
2023-09-07,219.82,224.218,219.135,223.83
2023-09-08,223.46,225.21,222.89,225.15
2023-09-11,225.43,227.155,224.02,227.06
2023-09-12,225.94,229.46,214.655,216.92
2023-09-13,213.82,215.42,208.89,210.43
2023-09-14,212.42,213.46,210.14,211.17
2023-09-15,208.71,208.71,203.83,206.66
2023-09-18,206.29,210.645,205.43,208.17
2023-09-19,207.27,207.987,201.33,205.18
2023-09-20,206.46,209.24,203.36,203.67
2023-09-21,203.02,203.02,199.15,199.67
2023-09-22,198.79,203.2,198.037,201.68
2023-09-25,201.69,205.95,200.75,204.92
2023-09-26,203.5,204.48,199.63,200.09
2023-09-27,201.92,204.285,201.17,203.38
2023-09-28,202.65,206.36,202.09,204.55
2023-09-29,205.91,206.02,201.75,202.3
2023-10-02,202.46,203.63,196.96,199.26
2023-10-03,199.72,202.51,196.25,198.07
2023-10-04,197.87,199.365,195.57,198.36
2023-10-05,197.74,198.15,191.93,192.2
2023-10-06,193.02,200.645,191.86,199.21
2023-10-09,199.3,202.49,197.34,202.3
2023-10-10,202.43,205.24,201.35,202.26
2023-10-11,203.27,205.01,202.39,204.89
2023-10-12,205.47,209.475,204.37,206.47
2023-10-13,204.45,206.46,196.165,197.62
2023-10-16,200.1,203.62,197.93,200.65
2023-10-17,199.66,202.455,197.83,200.79
2023-10-18,195.93,195.93,190.14,191.43
2023-10-19,191.12,193.76,188.03,188.93
2023-10-20,188.39,189.01,180.84,183.01
2023-10-23,183.29,186.82,182.28,184.49
2023-10-24,186.5,188.87,184.69,188.66
2023-10-25,190.92,192.105,184.09,184.25
2023-10-26,185.17,189.172,184.32,185.57
2023-10-27,185.46,187.45,182.79,184.33
2023-10-30,186.67,188.12,185.14,186.8
2023-10-31,188.62,197.9,187.7,196.93
2023-11-01,198.35,204.74,197.865,203.85
2023-11-02,205.62,208.67,203.16,205.18
2023-11-03,208.59,209.42,204.595,204.67
2023-11-06,204.4,206.48,201.87,206.31
2023-11-07,204.69,208.1,203.91,205.72
2023-11-08,206.73,208.37,205.52,207.48
2023-11-09,209.38,213.15,207.49,208.26
2023-11-10,209.97,212.14,207.79,211.7
2023-11-13,211.45,212.91,210.12,212.45
2023-11-14,214.99,218.885,213.75,217.98
2023-11-15,217.88,218.86,215.11,215.53
