日期,Open,High,Low,Close
2020-11-20,9.75,9.93,9.75,9.81
2020-11-27,9.9,10.43,9.75,10.03
2020-12-04,10.53,10.9,9.88,10.14
2020-12-11,10.36,10.76,9.99,10.49
2020-12-18,10.74,10.8,10.15,10.4
2020-12-24,10.59,11.38,10.46,10.93
2020-12-31,11.23,11.24,10.48,10.71
2021-01-08,10.92,11.34,10.44,10.83
2021-01-15,11.26,13.49,11.0,12.55
2021-01-22,12.62,24.0,12.47,22.0
2021-01-29,22.49,24.34,19.5,20.9
2021-02-05,21.85,21.95,19.69,21.2
2021-02-12,21.71,21.79,18.72,20.03
2021-02-19,20.0,20.15,17.28,18.1
2021-02-26,18.09,18.4,13.71,15.48
2021-03-05,16.79,16.8,10.56,13.05
2021-03-12,12.9,15.0,11.86,14.54
2021-03-19,14.75,14.99,11.5,11.9
2021-03-26,12.2,12.46,11.0,12.02
2021-04-01,12.0,14.5,11.45,13.65
2021-04-09,14.1,14.46,13.1,13.73
2021-04-16,13.7,13.74,11.02,11.04
2021-04-23,11.84,13.368,11.15,13.2
2021-04-30,13.27,14.57,12.54,13.05
2021-05-07,13.28,13.29,11.1,11.65
2021-05-14,11.72,11.72,10.55,11.05
2021-05-21,11.0,11.69,10.71,11.21
2021-05-28,11.29,11.48,11.0,11.08
2021-06-04,11.22,14.14,11.09,14.02
2021-06-11,13.98,14.885,12.6,13.73
2021-06-18,13.8,14.48,13.36,14.0
2021-06-25,14.0,16.49,13.51,16.17
2021-07-02,16.45,16.64,14.243,15.1
2021-07-09,16.21,16.24,11.87,11.93
2021-07-16,12.2,13.5,10.4,11.77
2021-07-23,11.5,12.98,10.76,11.74
2021-07-30,11.9,12.45,11.11,11.88
2021-08-06,11.54,11.6,8.77,10.25
2021-08-13,10.35,11.25,10.09,10.3
2021-08-20,10.28,10.29,8.12,8.48
2021-08-27,8.49,9.467,8.26,9.05
2021-09-03,9.11,9.585,8.85,9.51
2021-09-10,9.71,9.71,8.35,8.46
2021-09-17,8.43,8.475,7.51,7.59
2021-09-24,7.45,8.93,7.17,8.76
2021-10-01,8.8,9.25,7.87,8.28
2021-10-08,8.2,8.205,7.62,7.65
2021-10-15,7.745,8.13,7.71,7.8
2021-10-22,7.77,8.24,7.64,7.85
2021-10-29,7.87,9.481,7.81,9.32
2021-11-05,9.71,10.57,9.58,9.98
2021-11-12,12.105,19.589,11.12,18.9
2021-11-19,18.0,18.11,14.0,14.72
2021-11-26,14.81,14.93,12.76,13.69
2021-12-03,13.85,14.09,11.02,11.18
2021-12-10,11.015,13.76,10.44,12.31
2021-12-17,12.274,12.81,9.96,10.53
2021-12-23,10.09,10.62,9.51,10.47
2021-12-31,10.55,10.77,8.86,9.94
2022-01-07,10.24,10.85,8.97,9.52
2022-01-14,9.344,9.83,8.24,8.59
2022-01-21,8.345,8.79,7.7,7.99
2022-01-28,7.455,8.33,7.0,7.46
2022-02-04,7.45,8.87,7.36,7.9
2022-02-11,8.049,10.79,7.79,9.4
2022-02-18,9.3,10.68,9.28,10.0
2022-02-25,9.6,9.87,8.5,9.62
2022-03-04,9.6,10.96,9.565,10.6
2022-03-11,10.54,12.77,10.01,11.86
2022-03-18,11.8,13.19,10.58,12.42
2022-03-25,12.35,13.2,11.06,12.19
2022-04-01,12.3,13.35,11.46,12.75
2022-04-08,12.96,14.23,11.88,12.48
2022-04-14,12.16,13.4,12.03,12.38
2022-04-22,12.27,12.34,9.68,9.97
2022-04-29,9.79,10.47,8.975,9.06
2022-05-06,9.02,9.51,8.43,8.83
2022-05-13,8.48,9.16,6.9,8.78
2022-05-20,8.8,9.63,8.4,9.15
2022-05-27,9.1,10.02,8.56,9.78
2022-06-03,9.8,10.04,9.1,9.59
2022-06-10,9.71,9.95,8.608,8.75
2022-06-17,8.172,8.694,7.87,8.18
2022-06-24,8.315,8.59,7.53,7.68
2022-07-01,7.83,7.94,5.405,5.63
2022-07-08,5.47,6.71,5.28,6.64
2022-07-15,6.64,7.37,6.02,7.25
2022-07-22,7.38,9.265,7.26,8.205
2022-07-29,8.3,9.03,7.16,8.97
2022-08-05,8.79,9.88,8.17,9.35
2022-08-12,10.02,12.12,8.84,11.72
2022-08-19,12.04,12.65,9.44,9.49
2022-08-26,9.11,10.01,8.88,9.21
2022-09-02,9.03,9.83,8.7,8.88
2022-09-09,8.9,9.56,8.7,9.47
2022-09-16,9.57,10.55,8.7,9.05
2022-09-23,8.96,9.5,7.945,8.14
2022-09-30,7.95,8.77,7.73,7.91
2022-10-07,8.08,8.82,7.62,7.94
2022-10-14,8.0,8.0,6.81,7.04
2022-10-21,7.28,7.74,7.087,7.44
2022-10-28,7.39,7.835,6.99,7.51
2022-11-04,7.49,7.73,6.76,7.21
2022-11-11,7.18,7.6,6.43,7.47
2022-11-18,7.38,7.52,6.51,6.59
2022-11-25,6.45,6.59,6.11,6.22
2022-12-02,6.21,6.47,5.94,6.09
2022-12-09,6.05,6.135,5.56,5.57
2022-12-16,5.55,6.03,4.99,5.18
2022-12-23,5.18,5.18,3.91,4.09
2022-12-30,4.08,4.63,3.65,4.47
2023-01-06,4.72,4.76,3.64,3.89
2023-01-13,3.92,6.09,3.86,5.86
2023-01-20,5.86,6.07,5.1,5.32
2023-01-27,5.31,6.665,5.31,6.27
2023-02-03,6.18,7.66,5.91,6.7
2023-02-10,6.61,6.835,6.04,6.32
2023-02-17,6.28,6.99,5.88,6.52
2023-02-24,6.46,6.46,5.75,5.83
2023-03-03,5.89,6.38,5.63,6.37
2023-03-10,6.39,6.58,5.68,5.95
2023-03-17,5.77,6.11,5.23,5.5
2023-03-24,5.5,6.08,5.17,5.5
2023-03-31,5.69,8.16,5.38,7.79
2023-04-06,7.89,7.9,6.199,6.515
2023-04-14,6.52,6.77,6.02,6.16
2023-04-21,6.13,6.425,6.0,6.21
2023-04-28,6.25,6.25,5.724,5.99
2023-05-05,5.99,6.18,5.42,6.18
2023-05-12,6.16,6.48,5.59,5.72
2023-05-19,5.74,5.88,3.86,3.96
2023-05-26,3.945,4.14,3.67,3.7
2023-06-02,3.82,4.209,3.71,4.03
2023-06-09,4.085,4.4,3.6,3.84
2023-06-16,3.78,4.63,3.655,4.39
2023-06-23,4.3,4.53,3.45,3.68
2023-06-30,3.71,4.23,3.68,4.0
2023-07-07,4.07,4.44,3.965,4.23
2023-07-14,4.22,4.57,4.01,4.03
2023-07-21,4.03,4.695,4.01,4.2
2023-07-28,4.18,4.35,4.01,4.22
2023-08-04,4.25,5.95,4.13,5.24
2023-08-11,5.4,5.43,4.45,4.49
2023-08-18,4.44,4.46,4.081,4.18
2023-08-25,4.2,4.37,3.72,3.86
2023-09-01,3.88,4.21,3.853,4.07
2023-09-08,4.02,4.235,3.47,3.62
2023-09-15,3.69,4.07,3.57,3.94
2023-09-22,3.91,3.97,3.55,3.59
2023-09-29,3.56,3.64,3.13,3.38
2023-10-06,3.35,3.4,2.99,3.13
2023-10-13,3.04,3.321,2.82,2.87
2023-10-20,2.88,3.135,2.47,2.51
2023-10-27,2.48,2.52,2.11,2.19
2023-11-03,2.19,2.54,1.88,2.49
2023-11-10,2.58,2.99,2.21,2.52
2023-11-17,2.52,3.37,2.471,2.95
2023-11-24,2.9,3.21,2.852,3.18
2023-12-01,3.15,3.37,2.82,3.37
2023-12-08,3.41,3.51,2.95,3.04
2023-12-15,3.04,3.735,2.88,3.49
2023-12-22,3.46,3.76,3.281,3.52
2023-12-29,3.55,3.83,3.54,3.58
2024-01-05,3.51,3.52,3.03,3.09
2024-01-12,3.09,3.21,2.71,2.71
2024-01-19,2.7,2.76,2.48,2.66
2024-01-26,2.7,2.885,2.51,2.52
2024-02-02,2.51,2.63,2.03,2.12
2024-02-09,2.09,2.34,1.93,2.31
2024-02-16,2.31,2.69,2.27,2.59
2024-02-23,2.57,2.585,2.295,2.39
2024-03-01,2.38,2.99,2.35,2.86
2024-03-08,2.91,3.37,2.69,2.9
2024-03-15,2.9,2.95,2.41,2.5
2024-03-22,2.49,2.56,2.27,2.28
2024-03-28,2.31,2.62,2.235,2.51
2024-04-05,2.535,2.55,2.11,2.14
2024-04-12,2.16,2.22,1.95,1.95
2024-04-19,1.98,1.99,1.7,1.73
2024-04-26,1.75,1.845,1.65,1.81
2024-05-03,1.83,2.02,1.765,1.99
2024-05-10,2.0,2.08,1.73,1.86
2024-05-17,1.86,2.5,1.86,2.28
2024-05-24,2.26,2.32,2.03,2.14
2024-05-31,2.15,2.19,1.98,2.03
2024-06-07,2.05,2.19,1.92,2.04
2024-06-14,2.04,2.305,2.01,2.04
2024-06-21,2.01,2.12,1.95,2.03
2024-06-28,2.03,2.58,2.02,2.45
2024-07-05,2.44,2.8,2.29,2.79
2024-07-12,2.82,4.05,2.695,4.0
2024-07-19,4.06,4.17,3.39,3.54
2024-07-26,3.53,4.01,3.32,3.89
2024-08-02,3.93,4.7,3.35,3.77
2024-08-09,3.32,4.02,3.3,3.65
2024-08-16,3.66,3.95,3.48,3.76
2024-08-23,3.78,4.24,3.56,4.21
2024-08-30,4.25,4.6,4.07,4.53
2024-09-06,4.46,4.515,3.9,3.94
2024-09-13,4.0,4.585,3.74,4.48
2024-09-20,4.5,4.8,4.1,4.2
2024-09-27,4.18,4.39,3.97,4.19
2024-10-04,4.16,7.69,3.81,7.2
2024-10-11,7.09,7.94,6.31,7.23
2024-10-18,7.19,8.795,7.082,8.26
2024-10-25,8.15,9.07,7.69,8.81
2024-11-01,8.85,8.9,7.815,7.97
2024-11-08,7.83,8.09,5.49,5.54
2024-11-15,5.56,6.63,4.75,5.06
2024-11-22,5.07,6.45,5.042,6.36
2024-11-29,6.41,6.92,6.175,6.51
2024-12-06,6.57,6.72,6.1,6.37
2024-12-13,6.5,7.15,5.94,6.09
2024-12-20,5.92,6.37,4.11,4.36
2024-12-27,4.35,4.45,4.11,4.2
2025-01-03,4.1,4.37,3.94,4.32
2025-01-10,4.39,4.51,3.92,4.06
2025-01-17,3.97,4.0,3.38,3.41
2025-01-24,3.38,3.46,3.01,3.44
2025-01-31,3.41,3.58,3.31,3.47
2025-02-07,3.22,3.59,3.01,3.09
2025-02-14,3.1,3.12,2.67,3.03
2025-02-21,3.03,3.2,2.83,2.91
2025-02-28,2.94,2.94,2.56,2.65
2025-03-07,2.695,2.735,2.195,2.58
2025-03-14,2.52,2.56,2.32,2.4
2025-03-21,2.43,2.816,2.425,2.76
2025-03-28,2.83,3.055,2.71,2.82
2025-04-04,2.73,2.76,2.295,2.57
2025-04-11,2.43,2.79,2.3,2.71
2025-04-17,2.74,2.845,2.46,2.53
2025-04-25,2.53,2.755,2.39,2.73
2025-05-02,2.76,2.96,2.72,2.85
2025-05-09,2.8,4.165,2.66,3.66
2025-05-16,3.83,4.15,3.6,3.85
2025-05-23,3.74,3.94,3.33,3.84
2025-05-30,3.88,4.5,3.725,3.95
2025-06-06,3.93,4.12,3.68,4.0
2025-06-13,4.04,4.48,4.03,4.29
2025-06-20,4.35,4.8,3.91,3.91
2025-06-27,3.83,4.1,3.63,3.72
2025-07-03,3.73,3.8,3.46,3.54
2025-07-11,3.48,3.6,3.27,3.45
2025-07-18,3.45,3.77,3.33,3.77
2025-07-25,3.83,4.2,3.6,3.6
2025-08-01,3.68,3.87,3.213,3.3
2025-08-08,3.365,4.2,3.31,3.46
2025-08-15,3.49,4.1,3.49,3.81
2025-08-22,3.78,4.335,3.78,4.04
2025-08-29,3.97,4.21,3.86,3.87
2025-09-05,3.8,3.94,3.69,3.93
2025-09-12,3.955,4.14,3.78,4.11
2025-09-19,4.15,4.73,4.12,4.45
2025-09-26,4.41,4.869,4.28,4.57
2025-10-03,4.65,5.18,4.56,4.98
2025-10-10,5.03,5.15,4.26,4.27
2025-10-17,4.35,4.82,4.14,4.25
2025-10-24,4.33,4.46,4.05,4.11
2025-10-31,4.19,4.29,3.805,4.11
2025-11-07,4.1,4.11,3.25,3.42
2025-11-14,3.61,3.68,2.88,2.94
2025-11-21,2.95,3.02,2.78,2.92
2025-11-28,2.92,3.24,2.87,3.24
2025-12-05,3.18,3.545,3.08,3.41
2025-12-12,3.43,3.485,3.18,3.21
2025-12-19,3.25,3.275,3.0,3.05
2025-12-26,3.05,3.26,3.04,3.14
2026-01-02,3.1,3.175,2.86,3.08
2026-01-09,3.09,3.215,2.95,3.06
2026-01-16,3.04,3.2,2.91,3.07
2026-01-23,3.0,3.23,2.93,3.09
2026-01-30,3.08,3.35,3.01,3.01
2026-02-06,3.01,3.32,2.77,3.23
2026-02-13,3.22,3.265,2.85,2.92
2026-02-20,2.91,2.91,2.67,2.8
2026-02-27,2.78,2.89,2.67,2.74
2026-03-06,2.68,3.04,2.13,2.21
2026-03-13,2.16,2.3,2.05,2.08
2026-03-20,2.13,2.17,1.892,1.94
2026-03-27,1.99,2.035,1.69,1.72
2026-04-02,1.73,1.83,1.64,1.71
2026-04-10,1.71,2.1,1.71,1.94
2026-04-17,1.9,2.3,1.84,2.21
2026-04-24,2.19,2.28,2.11,2.27
2026-05-01,2.26,2.28,2.06,2.17
2026-05-08,2.16,2.29,1.87,1.97
2026-05-15,1.95,2.11,1.85,1.9
2026-05-22,1.9,1.94,1.78,1.88
2026-05-29,1.92,2.29,1.9,2.22
2026-06-05,2.23,2.55,2.12,2.125
2026-06-12,2.15,2.16,1.87,2.0
2026-06-18,2.06,2.11,1.87,1.94
2026-06-26,1.93,1.995,1.71,1.76
2026-07-02,1.78,1.98,1.77,1.87
2026-07-10,1.88,1.98,1.77,1.81
2026-07-17,1.78,1.82,1.68,1.68
2026-07-22,1.69,1.71,1.52,1.58
