日期,Open,High,Low,Close
2011-07-29,10.745,10.95,10.175,10.5
2011-08-31,10.733,10.741,8.517,10.137
2011-09-30,10.083,10.187,8.18,8.355
2011-10-31,8.255,10.546,7.876,9.888
2011-11-30,9.442,10.012,8.613,9.688
2011-12-30,9.596,9.946,8.875,9.211
2012-01-31,9.434,10.225,9.275,10.061
2012-02-29,10.139,10.388,9.898,10.203
2012-03-30,10.25,10.311,9.713,10.1
2012-04-30,10.053,10.323,9.688,10.242
2012-05-31,10.207,10.336,8.807,8.919
2012-06-29,8.807,9.802,8.742,9.789
2012-07-31,9.852,10.452,9.511,10.385
2012-08-31,10.461,10.86,10.25,10.515
2012-09-28,10.376,11.07,10.25,10.658
2012-10-31,10.766,11.222,10.654,11.012
2012-11-30,10.922,11.214,10.51,11.187
2012-12-31,11.267,11.678,11.182,11.669
2013-01-31,11.799,12.198,11.669,12.124
2013-02-28,12.208,12.658,12.027,12.477
2013-03-28,12.463,12.853,12.347,12.551
2013-04-30,12.528,13.066,12.138,13.043
2013-05-31,12.909,12.997,11.33,11.33
2013-06-28,11.442,11.59,10.37,10.993
2013-07-31,10.92,11.713,10.72,11.324
2013-08-30,11.324,11.82,11.158,11.431
2013-09-30,11.859,12.77,11.752,12.302
2013-10-31,12.322,13.3,12.156,12.984
2013-11-29,12.979,13.169,12.336,12.346
2013-12-31,12.229,12.53,11.416,12.494
2014-01-31,12.474,12.622,11.694,11.812
2014-02-28,11.905,13.073,11.628,12.791
2014-03-31,12.663,13.279,12.566,13.263
2014-04-30,13.222,13.76,13.202,13.561
2014-05-30,13.417,13.76,13.294,13.617
2014-06-30,13.622,13.982,13.355,13.808
2014-07-31,13.813,14.331,13.766,14.051
2014-08-29,13.966,14.373,13.655,14.352
2014-09-30,14.342,14.537,12.54,12.651
2014-10-31,12.693,13.528,12.244,13.438
2014-11-28,13.237,13.285,12.455,12.487
2014-12-31,12.249,12.775,11.615,12.505
2015-01-30,12.539,12.775,12.262,12.364
