日期,Open,High,Low,Close
2020-07-24,15.826,16.399,15.77,15.945
2020-07-31,16.104,16.343,15.674,15.85
2020-08-07,15.881,16.375,15.85,16.232
2020-08-14,16.383,16.725,16.319,16.375
2020-08-21,16.494,16.797,16.287,16.399
2020-08-28,16.566,16.685,16.423,16.638
2020-09-04,16.63,16.845,15.81,16.152
2020-09-11,16.088,16.367,15.881,16.041
2020-09-18,16.216,16.478,15.953,16.025
2020-09-25,15.69,15.897,15.452,15.826
2020-10-02,15.937,15.977,15.579,15.802
2020-10-09,16.009,16.598,15.858,16.574
2020-10-16,16.614,16.733,16.319,16.518
2020-10-23,16.566,16.622,16.303,16.622
2020-10-30,16.463,16.494,15.579,15.738
2020-11-06,15.865,17.028,15.754,16.908
2020-11-13,17.903,17.911,17.378,17.665
2020-11-20,17.872,18.206,17.8,18.15
2020-11-27,18.19,18.691,18.071,18.548
2020-12-04,18.285,18.795,18.079,18.763
2020-12-11,18.699,19.042,18.66,18.906
2020-12-18,19.124,19.581,18.955,19.26
2020-12-24,18.883,19.244,18.826,19.22
2020-12-31,19.3,19.477,19.18,19.228
2021-01-08,19.573,19.967,19.188,19.934
2021-01-15,19.493,19.942,19.469,19.629
2021-01-22,19.758,20.159,19.669,19.967
2021-01-29,19.958,20.111,18.947,19.067
2021-02-05,19.413,19.926,19.284,19.918
2021-02-12,20.023,20.215,19.926,20.175
2021-02-19,20.36,20.396,20.088,20.304
2021-02-26,20.312,20.785,19.677,19.677
2021-03-05,20.183,20.472,19.822,20.191
2021-03-12,20.087,20.276,19.979,20.183
2021-03-19,20.167,20.32,19.726,19.814
2021-03-26,20.023,20.135,19.605,20.111
2021-04-01,19.942,20.215,19.73,20.175
2021-04-09,20.336,20.488,20.175,20.488
2021-04-16,20.384,21.082,20.344,21.082
2021-04-23,21.074,21.111,20.537,21.066
2021-04-30,21.107,21.267,20.721,20.777
2021-05-07,20.97,21.52,20.729,21.484
2021-05-14,21.765,21.797,20.906,21.275
2021-05-21,21.099,21.323,20.56,21.115
2021-05-28,21.211,21.56,21.187,21.468
2021-06-04,21.612,21.998,21.54,21.982
2021-06-11,21.95,22.023,21.749,21.974
2021-06-18,22.006,22.141,21.127,21.176
2021-06-25,21.257,21.518,21.217,21.461
2021-07-02,21.42,21.42,20.94,21.29
2021-07-09,21.168,21.306,20.752,21.265
2021-07-16,21.151,21.31,20.801,20.842
2021-07-23,20.5,21.117,20.281,21.078
2021-07-30,21.021,21.257,20.883,20.98
2021-08-06,21.217,21.501,21.103,21.444
2021-08-13,21.428,21.672,21.339,21.664
2021-08-20,21.42,21.469,20.463,20.622
2021-08-27,20.663,21.192,20.663,21.176
2021-09-03,21.176,21.656,21.094,21.607
2021-09-10,21.575,21.599,21.005,21.005
2021-09-17,21.282,21.296,20.643,20.712
2021-09-24,20.15,20.904,19.951,20.622
2021-10-01,20.647,20.761,20.052,20.305
2021-10-08,20.484,20.826,20.15,20.736
2021-10-15,20.818,21.298,20.752,21.298
2021-10-22,21.094,21.717,21.062,21.607
2021-10-29,21.697,21.86,21.404,21.542
2021-11-05,21.469,21.55,21.265,21.518
2021-11-12,21.575,21.615,21.017,21.225
2021-11-19,21.347,21.355,20.622,20.622
2021-11-26,20.671,20.875,19.93,19.995
2021-12-03,20.191,20.248,19.609,19.792
2021-12-10,19.979,20.655,19.906,20.549
2021-12-17,20.454,20.471,20.078,20.111
2021-12-23,20.153,20.922,19.998,20.906
2021-12-31,20.805,21.216,20.805,20.946
2022-01-07,20.828,21.414,20.549,20.769
2022-01-14,20.558,21.228,20.355,20.752
2022-01-21,20.49,20.705,19.765,19.773
2022-01-28,19.343,19.782,18.719,19.039
2022-02-04,19.031,19.689,19.005,19.495
2022-02-11,19.621,20.591,19.596,19.959
2022-02-18,20.052,20.583,19.857,20.229
2022-02-25,20.423,20.583,19.63,20.431
2022-03-04,20.22,20.912,19.959,20.895
2022-03-11,20.735,20.899,20.085,20.566
2022-03-18,20.575,21.705,20.246,21.671
2022-03-25,21.604,22.354,21.549,22.354
2022-04-01,22.186,22.688,22.085,22.515
2022-04-08,22.515,22.911,22.177,22.388
2022-04-14,22.27,22.443,22.085,22.262
2022-04-22,22.068,22.65,21.3,21.334
2022-04-29,20.794,21.292,20.566,20.735
2022-05-06,20.693,21.427,20.119,20.321
2022-05-13,19.976,20.102,19.048,19.933
