日期,Open,High,Low,Close
2020-07-24,23.867,24.382,23.814,23.929
2020-07-31,24.107,24.559,23.885,24.24
2020-08-07,24.382,25.154,24.222,24.808
2020-08-14,24.923,25.376,24.861,25.083
2020-08-21,25.341,25.545,25.048,25.225
2020-08-28,25.456,25.935,25.225,25.678
2020-09-04,25.713,25.838,24.675,25.039
2020-09-11,24.622,25.207,24.338,24.746
2020-09-18,24.95,25.243,24.453,24.595
2020-09-25,24.249,24.462,23.627,24.151
2020-10-02,24.48,24.551,24.125,24.444
2020-10-09,24.666,25.483,24.48,25.385
2020-10-16,25.545,25.562,24.684,25.03
2020-10-23,25.136,25.172,24.639,24.95
2020-10-30,24.666,24.71,23.228,23.494
2020-11-06,23.743,25.154,23.574,25.039
2020-11-13,25.926,26.059,25.332,25.554
2020-11-20,25.829,26.335,25.758,26.29
2020-11-27,26.379,27.089,26.308,27.071
2020-12-04,27.089,27.817,26.743,27.817
2020-12-11,27.728,28.074,27.613,27.897
2020-12-18,28.108,28.252,27.632,27.839
2020-12-24,27.335,27.92,27.255,27.911
2020-12-31,28.072,28.225,27.695,27.713
2021-01-08,28.099,28.989,27.569,28.854
2021-01-15,28.468,29.025,28.396,28.602
2021-01-22,28.701,29.043,28.36,28.432
2021-01-29,28.441,28.728,27.362,27.497
2021-02-05,27.785,28.818,27.605,28.791
2021-02-12,28.935,29.645,28.935,29.546
2021-02-19,29.663,29.829,29.151,29.69
2021-02-26,29.6,30.319,28.881,28.908
2021-03-05,29.366,29.941,28.971,29.744
2021-03-12,29.762,30.993,29.69,30.984
2021-03-19,31.029,31.482,30.66,30.912
2021-03-26,30.948,31.002,30.058,30.66
2021-04-01,30.552,31.128,30.328,31.128
2021-04-09,31.253,31.532,31.101,31.514
2021-04-16,31.415,31.882,31.366,31.792
2021-04-23,31.828,31.887,30.894,31.478
2021-04-30,31.559,32.583,31.559,31.999
2021-05-07,32.206,33.086,31.81,33.077
2021-05-14,33.239,33.329,32.377,33.104
2021-05-21,33.006,33.716,32.799,33.509
2021-05-28,33.716,34.127,33.522,34.03
2021-06-04,34.345,34.457,34.012,34.336
2021-06-11,34.336,34.389,34.086,34.195
2021-06-18,34.222,34.475,33.3,33.336
2021-06-25,33.544,34.141,33.453,34.086
2021-07-02,34.068,34.091,33.607,34.023
2021-07-09,33.906,33.982,32.992,33.689
2021-07-16,33.562,33.806,32.834,32.848
2021-07-23,32.341,33.39,31.844,33.39
2021-07-30,33.3,33.96,33.092,33.752
2021-08-06,33.824,33.987,33.417,33.896
2021-08-13,33.833,34.213,33.67,34.095
2021-08-20,33.842,33.896,32.558,32.983
2021-08-27,33.309,33.987,33.291,33.96
2021-09-03,34.041,34.525,33.761,34.448
2021-09-10,34.358,34.421,33.67,33.67
2021-09-17,34.032,34.048,33.196,33.236
2021-09-24,32.685,33.605,32.206,33.363
2021-10-01,33.462,33.679,32.685,33.119
2021-10-08,33.083,34.177,32.911,34.095
2021-10-15,34.204,35.262,33.96,35.253
2021-10-22,35.117,35.931,35.063,35.768
2021-10-29,35.768,35.949,35.262,35.424
2021-11-05,35.475,35.917,35.42,35.858
2021-11-12,36.03,36.211,35.632,36.166
2021-11-19,36.184,36.238,35.474,35.488
2021-11-26,35.533,35.551,34.439,34.529
2021-12-03,34.909,34.972,33.327,33.598
2021-12-10,33.924,35.104,33.661,34.385
2021-12-17,34.191,34.41,33.339,33.687
2021-12-23,33.385,34.772,32.977,34.749
2021-12-31,34.786,35.244,34.722,35.189
2022-01-07,35.253,35.482,34.383,35.079
2022-01-14,34.822,36.265,34.456,35.83
2022-01-21,35.903,36.072,34.328,34.429
2022-01-28,33.843,34.951,32.991,34.172
2022-02-04,34.117,35.628,34.117,35.152
2022-02-11,35.189,36.278,35.094,35.564
2022-02-18,35.436,35.582,34.557,34.566
2022-02-25,34.493,34.932,33.257,34.932
2022-03-04,34.493,35.505,34.419,35.289
2022-03-11,35.363,35.711,34.493,35.271
2022-03-18,35.18,36.507,34.342,36.425
2022-03-25,36.58,37.166,36.516,37.166
2022-04-01,37.047,37.409,36.58,36.828
2022-04-08,37.047,37.65,36.04,36.526
2022-04-14,36.443,36.553,36.022,36.333
2022-04-22,36.324,37.157,34.932,34.96
2022-04-29,34.474,34.919,33.673,33.925
2022-05-06,33.742,35.07,33.339,33.714
