日期,Open,High,Low,Close
2020-07-24,19.696,20.002,19.547,19.589
2020-07-31,19.473,19.713,18.595,18.736
2020-08-07,18.777,19.357,18.753,19.001
2020-08-14,19.042,19.878,19.042,19.448
2020-08-21,19.448,19.58,18.786,19.026
2020-08-28,19.324,19.63,19.084,19.531
2020-09-04,19.357,19.431,18.827,19.15
2020-09-11,18.711,19.282,18.686,18.869
2020-09-18,18.984,19.257,18.678,18.777
2020-09-25,18.198,18.256,17.561,17.784
2020-10-02,18.066,18.264,17.958,18.215
2020-10-09,18.389,18.968,18.389,18.918
2020-10-16,18.852,18.926,18.298,18.48
2020-10-23,18.554,19.009,18.397,18.835
2020-10-30,18.67,18.67,17.114,17.387
2020-11-06,17.677,18.976,17.602,18.844
2020-11-13,20.466,21.475,20.193,21.459
2020-11-20,21.897,21.931,21.558,21.815
2020-11-27,21.955,22.601,21.757,22.568
2020-12-04,22.609,23.313,22.121,23.279
2020-12-11,23.139,23.172,22.609,22.733
2020-12-18,23.012,23.129,22.692,22.751
2020-12-24,21.987,22.911,21.903,22.877
2020-12-31,23.003,23.314,22.748,22.774
2021-01-08,23.296,24.062,22.866,24.029
2021-01-15,23.624,23.852,23.068,23.178
2021-01-22,23.338,23.338,22.732,22.833
2021-01-29,22.437,22.782,21.83,21.915
2021-02-05,22.049,22.934,21.906,22.925
2021-02-12,22.976,23.056,22.496,22.732
2021-02-19,22.807,22.942,22.504,22.833
2021-02-26,22.622,23.464,22.597,22.765
2021-03-05,22.908,23.161,22.47,22.858
2021-03-12,22.622,23.553,22.605,23.548
2021-03-19,23.473,23.591,23.043,23.212
2021-03-26,22.917,23.111,22.534,23.068
2021-04-01,22.984,23.321,22.9,23.271
2021-04-09,23.532,23.692,23.346,23.481
2021-04-16,23.355,23.692,23.212,23.692
2021-04-23,23.995,24.058,23.178,23.818
2021-04-30,23.936,24.61,23.936,24.357
2021-05-07,24.525,25.359,24.256,25.351
2021-05-14,25.427,25.625,24.728,25.62
2021-05-21,25.418,25.801,25.149,25.78
2021-05-28,25.755,25.999,25.696,25.89
2021-06-04,25.94,26.008,25.439,25.502
2021-06-11,25.603,25.772,25.537,25.721
2021-06-18,25.806,25.977,24.602,24.73
2021-06-25,24.738,25.08,24.644,25.071
2021-07-02,24.73,24.73,24.157,24.405
2021-07-09,24.422,24.448,23.636,24.14
2021-07-16,24.046,24.251,23.021,23.132
2021-07-23,22.697,23.79,22.47,23.679
2021-07-30,23.739,24.136,23.551,23.73
2021-08-06,23.935,24.089,23.85,24.08
2021-08-13,24.021,24.405,23.918,24.405
2021-08-20,24.157,24.217,23.726,24.123
2021-08-27,24.192,24.337,23.944,24.209
2021-09-03,24.072,24.559,23.935,24.174
2021-09-10,24.08,24.2,23.457,23.474
2021-09-17,23.858,24.038,23.333,23.363
2021-09-24,22.927,23.686,22.675,23.594
2021-10-01,23.91,23.974,22.927,23.218
2021-10-08,23.295,23.828,23.064,23.756
2021-10-15,23.628,23.986,23.44,23.893
2021-10-22,23.662,24.179,23.594,23.85
2021-10-29,23.764,24.277,23.706,24.149
2021-11-05,24.405,24.576,23.858,24.192
2021-11-12,24.132,24.251,23.747,23.79
2021-11-19,23.816,23.837,22.603,22.628
2021-11-26,22.56,22.816,21.697,21.8
2021-12-03,22.064,22.082,21.351,21.475
2021-12-10,21.766,22.184,21.646,21.757
2021-12-17,21.727,21.988,21.414,21.527
2021-12-23,21.518,22.526,21.449,22.474
2021-12-31,22.648,22.987,22.561,22.831
2022-01-07,23.022,23.304,22.822,23.291
2022-01-14,23.196,23.687,23.039,23.647
2022-01-21,23.421,23.448,22.839,22.839
2022-01-28,22.474,23.009,22.135,22.804
2022-02-04,22.596,23.5,22.57,23.395
2022-02-11,23.143,24.056,22.917,22.996
2022-02-18,22.926,23.443,22.561,22.813
2022-02-25,22.552,22.778,21.275,22.718
2022-03-04,22.153,22.578,19.915,20.189
2022-03-11,20.145,21.666,19.372,20.919
2022-03-18,21.362,22.253,21.188,22.144
2022-03-25,22.109,22.253,21.579,21.796
2022-04-01,21.857,22.744,21.727,22.431
2022-04-08,22.17,22.609,22.014,22.379
2022-04-14,22.413,22.57,22.048,22.431
2022-04-22,22.439,22.966,22.109,22.127
2022-04-29,22.074,22.24,21.153,21.353
2022-05-06,21.327,22.04,20.962,21.127
2022-05-13,20.779,21.249,20.284,20.945
2022-05-20,20.971,21.772,20.858,21.692
2022-05-27,21.979,23.069,21.961,23.056
2022-06-03,22.857,22.942,22.344,22.535
2022-06-10,22.787,22.887,20.993,21.117
2022-06-17,20.579,20.707,19.944,20.5
2022-06-24,20.799,21.046,20.297,21.037
2022-07-01,20.852,21.196,20.076,20.843
2022-07-08,19.988,20.103,19.534,19.918
2022-07-15,19.688,19.794,18.622,19.256
2022-07-22,19.345,20.085,19.212,19.627
2022-07-29,19.865,20.239,19.574,20.226
2022-08-05,20.068,20.226,19.812,20.2
2022-08-12,20.332,21.073,20.288,21.02
2022-08-19,20.808,21.059,20.261,20.323
2022-08-26,20.059,20.076,19.446,19.45
2022-09-02,19.477,19.644,18.807,18.868
2022-09-09,19.001,19.856,18.815,19.838
2022-09-16,20.165,20.336,19.468,19.609
2022-09-23,19.424,19.715,17.996,18.145
