日期,Open,High,Low,Close
2023-07-24,26.568,26.659,26.514,26.55
2023-07-25,26.405,26.491,26.36,26.432
2023-07-26,26.541,27.003,26.523,26.976
2023-07-27,26.958,26.972,26.591,26.659
2023-07-28,26.858,26.931,26.754,26.795
2023-07-31,26.759,26.876,26.586,26.604
2023-08-01,26.36,26.387,26.02,26.051
2023-08-02,25.661,25.716,25.471,25.553
2023-08-03,25.462,25.589,25.371,25.562
2023-08-04,25.698,25.929,25.643,25.698
2023-08-07,25.797,25.875,25.643,25.825
2023-08-08,25.435,25.675,25.345,25.652
2023-08-09,25.661,25.797,25.652,25.689
2023-08-10,26.169,26.369,26.088,26.106
2023-08-11,25.97,26.048,25.915,25.988
2023-08-14,25.716,25.852,25.634,25.779
2023-08-15,25.598,25.625,25.38,25.435
2023-08-16,25.571,25.616,25.317,25.335
2023-08-17,25.353,25.371,25.054,25.072
2023-08-18,24.999,25.267,24.999,25.217
2023-08-21,25.299,25.344,25.145,25.317
2023-08-22,25.362,25.398,25.172,25.199
2023-08-23,25.235,25.394,25.217,25.362
2023-08-24,25.281,25.476,25.145,25.154
2023-08-25,25.417,25.453,25.163,25.371
2023-08-28,25.616,25.816,25.566,25.788
2023-08-29,25.797,26.278,25.77,26.269
2023-08-30,26.26,26.332,26.097,26.142
2023-08-31,26.042,26.06,25.743,25.825
2023-09-01,25.834,25.852,25.471,25.507
2023-09-05,25.326,25.344,25.108,25.172
2023-09-06,24.954,25.009,24.854,24.909
2023-09-07,24.954,25.009,24.85,24.873
2023-09-08,24.99,25.108,24.936,25.054
2023-09-11,25.244,25.417,25.208,25.38
2023-09-12,25.317,25.48,25.281,25.417
2023-09-13,25.326,25.394,25.167,25.199
2023-09-14,25.389,25.566,25.371,25.544
2023-09-15,25.453,25.58,25.435,25.453
2023-09-18,25.435,25.453,25.299,25.398
2023-09-19,25.553,25.652,25.525,25.58
2023-09-20,25.915,26.02,25.689,25.698
2023-09-21,25.471,25.571,25.371,25.398
2023-09-22,25.408,25.507,25.217,25.253
2023-09-25,24.9,24.972,24.759,24.963
2023-09-26,24.832,24.954,24.718,24.737
2023-09-27,24.746,24.746,24.442,24.601
2023-09-28,24.863,25.054,24.827,24.954
2023-09-29,25.244,25.281,24.859,24.936
2023-10-02,24.845,24.863,24.292,24.338
2023-10-03,24.102,24.156,23.902,23.993
2023-10-04,24.093,24.111,23.821,24.066
2023-10-05,24.129,24.283,24.093,24.229
2023-10-06,24.075,24.61,23.911,24.546
2023-10-09,24.138,24.356,24.138,24.356
2023-10-10,24.782,24.945,24.782,24.836
2023-10-11,25.036,25.117,24.909,25.072
2023-10-12,24.972,24.972,24.601,24.682
2023-10-13,24.628,24.7,24.392,24.446
2023-10-16,24.655,24.782,24.564,24.755
2023-10-17,24.528,24.9,24.528,24.764
2023-10-18,24.555,24.601,24.338,24.374
2023-10-19,24.328,24.591,24.27,24.328
2023-10-20,24.229,24.301,24.071,24.084
2023-10-23,23.911,24.183,23.848,24.02
2023-10-24,23.92,24.029,23.898,23.975
2023-10-25,23.957,24.075,23.83,23.884
2023-10-26,23.866,23.966,23.757,23.902
2023-10-27,24.047,24.047,23.676,23.739
2023-10-30,24.202,24.319,24.156,24.283
2023-10-31,24.183,24.275,24.129,24.265
2023-11-01,24.22,24.428,24.165,24.428
2023-11-02,24.945,25.104,24.891,25.099
2023-11-03,25.353,25.435,25.249,25.253
2023-11-06,25.299,25.299,25.077,25.135
2023-11-07,24.891,25.09,24.873,25.018
2023-11-08,25.163,25.253,25.108,25.208
2023-11-09,25.362,25.534,25.24,25.272
2023-11-10,25.426,25.553,25.217,25.516
2023-11-13,25.48,25.661,25.444,25.625
2023-11-14,26.251,26.505,26.251,26.496
2023-11-15,26.45,26.487,26.351,26.369
2023-11-16,26.586,26.731,26.55,26.614
2023-11-17,26.777,26.981,26.736,26.976
2023-11-20,27.076,27.194,27.058,27.176
2023-11-21,27.112,27.112,26.985,27.022
2023-11-22,27.031,27.13,26.967,27.103
2023-11-24,27.312,27.448,27.312,27.384
2023-11-27,27.475,27.484,27.366,27.475
2023-11-28,27.629,27.761,27.575,27.674
2023-11-29,27.91,27.964,27.793,27.838
2023-11-30,27.72,27.72,27.602,27.674
2023-12-01,27.638,27.86,27.547,27.82
2023-12-04,27.702,27.86,27.702,27.847
2023-12-05,27.883,27.983,27.829,27.847
2023-12-06,28.019,28.073,27.756,27.765
2023-12-07,27.629,27.79,27.557,27.756
2023-12-08,27.747,27.946,27.738,27.946
2023-12-11,27.747,27.797,27.665,27.774
2023-12-12,27.647,27.684,27.584,27.674
2023-12-13,27.647,28.105,27.538,28.082
2023-12-14,28.218,28.382,28.182,28.336
2023-12-15,27.747,27.956,27.747,27.747
2023-12-18,27.874,27.881,27.693,27.783
2023-12-19,27.91,28.064,27.91,28.037
2023-12-20,27.848,27.949,27.59,27.618
2023-12-21,27.986,28.06,27.876,28.051
2023-12-22,28.152,28.217,28.005,28.078
2023-12-26,28.097,28.35,28.097,28.263
2023-12-27,28.272,28.428,28.244,28.373
2023-12-28,28.198,28.295,28.143,28.161
2023-12-29,28.253,28.304,28.161,28.198
2024-01-02,28.106,28.253,28.055,28.088
2024-01-03,27.793,27.857,27.692,27.765
2024-01-04,28.051,28.29,28.051,28.161
2024-01-05,28.078,28.401,28.078,28.152
2024-01-08,28.272,28.419,28.263,28.401
2024-01-09,27.71,27.867,27.673,27.802
2024-01-10,27.848,28.046,27.839,27.996
2024-01-11,27.977,28.051,27.678,27.885
2024-01-12,27.996,28.106,27.894,27.94
2024-01-16,27.434,27.461,27.282,27.314
2024-01-17,26.918,27.047,26.854,27.019
2024-01-18,27.084,27.093,26.927,27.075
2024-01-19,26.983,27.102,26.826,27.102
2024-01-22,27.213,27.3,27.148,27.185
2024-01-23,26.927,26.973,26.762,26.918
2024-01-24,27.332,27.332,27.13,27.13
2024-01-25,26.992,26.992,26.826,26.983
2024-01-26,27.001,27.065,26.946,27.038
2024-01-29,26.706,26.904,26.651,26.9
2024-01-30,27.167,27.296,27.167,27.277
2024-01-31,27.517,27.553,27.157,27.204
2024-02-01,27.342,27.443,27.13,27.425
2024-02-02,27.332,27.351,27.227,27.342
2024-02-05,26.936,26.964,26.762,26.927
2024-02-06,26.89,27.056,26.89,27.038
2024-02-07,26.835,26.835,26.642,26.789
2024-02-08,26.743,26.771,26.692,26.752
2024-02-09,26.66,26.854,26.596,26.844
2024-02-12,26.854,26.992,26.837,26.927
2024-02-13,26.762,26.762,26.439,26.485
2024-02-14,26.66,26.729,26.596,26.715
2024-02-15,26.596,26.886,26.596,26.863
2024-02-16,26.559,26.66,26.467,26.531
2024-02-20,27.065,27.213,27.065,27.213
2024-02-21,27.296,27.434,27.277,27.415
2024-02-22,27.498,27.512,27.305,27.452
2024-02-23,27.332,27.448,27.314,27.369
2024-02-26,27.415,27.42,27.323,27.351
2024-02-27,27.277,27.397,27.259,27.323
2024-02-28,27.204,27.231,27.111,27.111
2024-02-29,27.204,27.204,26.808,26.946
2024-03-01,27.111,27.204,26.909,27.157
2024-03-04,27.093,27.228,27.093,27.194
2024-03-05,27.268,27.406,27.25,27.342
2024-03-06,27.71,27.774,27.608,27.627
2024-03-07,28.023,28.212,28.023,28.161
2024-03-08,28.272,28.327,28.068,28.115
2024-03-11,28.18,28.263,28.088,28.244
2024-03-12,28.235,28.345,28.17,28.318
2024-03-13,28.659,28.728,28.622,28.622
2024-03-14,28.474,28.493,28.088,28.207
2024-03-15,28.548,28.614,28.465,28.539
2024-03-18,28.594,28.603,28.438,28.474
2024-03-19,28.576,28.695,28.502,28.649
2024-03-20,28.576,29.147,28.576,29.119
2024-03-21,29.239,29.331,29.087,29.101
2024-03-22,29.285,29.303,29.202,29.248
2024-03-25,29.312,29.483,29.276,29.331
2024-03-26,29.515,29.543,29.377,29.377
2024-03-27,29.653,29.81,29.653,29.8
2024-03-28,29.672,29.754,29.579,29.626
2024-04-01,29.616,29.736,29.437,29.478
2024-04-02,29.395,29.395,29.266,29.358
2024-04-03,29.478,29.635,29.441,29.552
2024-04-04,29.966,29.994,29.492,29.497
2024-04-05,29.331,29.432,29.174,29.358
2024-04-08,29.469,29.575,29.418,29.487
2024-04-09,29.616,29.616,29.294,29.414
2024-04-10,28.824,28.981,28.668,28.852
2024-04-11,28.714,28.714,28.299,28.603
2024-04-12,28.382,28.548,28.231,28.299
2024-04-15,28.447,28.538,28.088,28.115
