日期,Open,High,Low,Close
2020-07-24,23.904,24.229,23.647,23.763
2020-07-31,23.888,24.179,23.056,23.239
2020-08-07,23.464,24.179,23.389,23.871
2020-08-14,23.854,24.811,23.805,24.22
2020-08-21,24.395,24.569,23.647,23.929
2020-08-28,24.436,24.727,24.27,24.603
2020-09-04,24.569,24.96,23.929,24.37
2020-09-11,23.979,24.777,23.879,24.445
2020-09-18,24.678,24.794,24.129,24.22
2020-09-25,23.43,23.43,22.466,22.865
2020-10-02,23.231,23.464,23.04,23.364
2020-10-09,23.613,24.237,23.505,24.187
2020-10-16,24.27,24.362,23.289,23.904
2020-10-23,24.079,24.295,23.63,24.154
2020-10-30,23.821,23.821,21.859,22.175
2020-11-06,22.532,24.403,22.391,24.287
2020-11-13,26.249,26.498,25.659,26.382
2020-11-20,26.839,27.006,26.615,26.873
2020-11-27,27.014,27.638,26.748,27.563
2020-12-04,27.663,28.037,26.997,27.995
2020-12-11,27.787,27.854,27.38,27.546
2020-12-18,27.783,28.15,27.524,27.833
2020-12-24,26.989,27.833,26.88,27.774
2020-12-31,28.05,28.401,27.724,27.791
2021-01-08,28.577,28.802,27.958,28.802
2021-01-15,28.167,28.585,27.799,27.967
2021-01-22,28.184,28.259,27.9,27.975
2021-01-29,27.549,27.941,26.956,27.064
2021-02-05,27.465,28.217,27.206,28.192
2021-02-12,28.384,28.56,28.226,28.56
2021-02-19,28.794,28.886,28.409,28.719
2021-02-26,28.668,29.262,28.267,28.301
2021-03-05,28.602,28.927,28.238,28.56
2021-03-12,28.535,29.73,28.501,29.73
2021-03-19,29.588,29.813,29.086,29.253
2021-03-26,29.178,29.245,28.56,29.111
2021-04-01,29.003,29.621,28.944,29.571
2021-04-09,29.872,30.181,29.679,30.181
2021-04-16,30.122,30.975,30.026,30.966
2021-04-23,31.083,31.113,30.36,31.008
2021-04-30,31.075,31.501,30.786,30.899
2021-05-07,31.133,31.977,30.749,31.977
2021-05-14,31.986,32.086,30.983,32.052
2021-05-21,31.844,32.136,31.167,32.094
2021-05-28,32.195,32.708,32.144,32.571
2021-06-04,32.905,32.934,32.504,32.763
2021-06-11,32.838,33.089,32.83,33.051
2021-06-18,33.017,33.246,32.05,32.147
2021-06-25,32.257,32.688,32.181,32.646
2021-07-02,32.494,32.494,31.826,32.164
2021-07-09,32.063,32.063,31.15,32.029
2021-07-16,32.012,32.189,31.315,31.429
2021-07-23,30.795,31.991,30.546,31.902
2021-07-30,31.995,32.603,31.826,32.392
2021-08-06,32.73,33.127,32.536,33.026
2021-08-13,32.984,33.423,32.874,33.423
2021-08-20,33.153,33.208,31.788,32.08
2021-08-27,32.333,32.578,32.189,32.544
2021-09-03,32.587,33.406,32.498,32.975
2021-09-10,33.119,33.191,32.612,32.637
2021-09-17,32.933,32.941,31.936,32.097
2021-09-24,31.387,32.903,31.201,32.451
2021-10-01,32.51,32.561,31.357,31.759
2021-10-08,31.784,31.961,31.209,31.708
2021-10-15,31.666,32.747,31.433,32.747
2021-10-22,32.392,32.95,32.312,32.924
2021-10-29,32.692,33.347,32.595,33.212
2021-11-05,33.372,34.133,33.296,34.133
2021-11-12,34.226,34.348,33.592,33.845
2021-11-19,34.014,34.04,33.372,33.415
2021-11-26,33.305,33.457,31.733,31.86
2021-12-03,32.181,32.595,31.539,31.944
