日期,Open,High,Low,Close
2011-07-29,47.604,49.625,46.692,47.911
2011-08-31,48.706,48.779,36.502,41.36
2011-09-30,41.338,41.732,32.971,33.971
2011-10-31,33.832,42.761,32.585,40.412
2011-11-30,39.617,41.484,36.079,40.893
2011-12-30,41.039,41.433,36.006,38.411
2012-01-31,39.653,42.887,38.065,42.159
2012-02-29,42.571,44.335,42.203,44.004
2012-03-30,44.1,44.754,42.093,43.762
2012-04-30,44.004,45.254,41.858,43.541
2012-05-31,43.453,44.159,37.624,38.675
2012-06-29,38.073,41.373,37.433,40.285
2012-07-31,40.131,41.255,37.433,40.858
2012-08-31,41.446,42.96,39.918,41.373
2012-09-28,41.108,45.004,40.219,43.46
2012-10-31,43.776,44.423,41.417,42.321
2012-11-30,42.299,44.056,41.152,43.835
2012-12-31,44.114,46.88,43.328,46.835
2013-01-31,47.811,48.055,43.442,44.041
2013-02-28,44.085,46.17,42.983,45.608
2013-03-28,45.357,46.118,42.237,43.937
2013-04-30,43.782,43.908,40.425,43.19
2013-05-31,43.043,43.782,41.801,42.614
2013-06-28,43.028,43.531,36.64,39.331
2013-07-31,39.886,41.764,37.978,41.276
2013-08-30,41.534,42.473,40.174,42.311
2013-09-30,43.102,47.685,42.666,45.468
2013-10-31,45.822,48.846,45.704,47.242
2013-11-29,47.648,48.203,45.135,48.077
2013-12-31,47.73,49.267,45.896,49.222
2014-01-31,47.502,47.54,43.848,44.937
2014-02-28,44.373,47.167,43.589,46.489
2014-03-31,45.941,47.022,44.084,46.817
2014-04-30,47.266,48.986,47.167,47.608
2014-05-30,47.669,49.869,47.273,49.191
2014-06-30,49.245,50.029,48.171,49.488
2014-07-31,49.595,51.574,48.605,50.31
2014-08-29,50.462,50.972,49.222,50.539
2014-09-30,49.815,49.937,46.017,46.055
2014-10-31,45.431,45.561,42.737,44.625
2014-11-28,44.099,44.145,42.547,43.293
2014-12-31,43.27,43.738,41.725,43.099
2015-01-30,43.247,44.907,41.844,43.379
2015-02-27,43.777,44.853,42.842,44.143
2015-03-31,44.432,45.523,42.53,44.619
2015-04-30,44.572,49.202,44.502,47.682
2015-05-29,47.636,48.134,44.923,45.055
2015-06-30,44.759,44.767,42.421,42.959
2015-07-31,43.902,43.902,39.303,39.895
2015-08-31,39.505,39.926,33.472,37.307
2015-09-30,36.637,40.254,35.927,38.024
2015-10-30,38.593,42.849,38.126,42.39
2015-11-30,42.647,43.824,39.809,41.173
2015-12-31,41.594,42.241,38.632,40.63
2016-01-29,39.526,40.09,36.335,39.051
2016-02-29,38.716,39.796,37.456,38.111
2016-03-31,38.871,43.812,38.65,43.207
2016-04-29,42.029,44.393,41.472,42.74
2016-05-31,42.929,43.043,39.787,40.704
2016-06-30,40.72,43.706,40.237,42.593
2016-07-29,43.174,45.562,41.366,45.53
2016-08-31,45.881,47.509,44.573,46.094
2016-09-30,45.996,48.376,44.622,47.55
2016-10-31,47.444,47.755,44.916,45.276
2016-11-30,45.423,46.266,42.487,43.567
2016-12-30,43.697,45.472,43.436,44.594
2017-01-31,45.214,48.616,45.08,48.499
2017-02-28,48.541,50.083,48.332,49.069
2017-03-31,49.077,52.605,47.938,51.842
2017-04-28,51.834,52.354,49.345,52.035
2017-05-31,52.018,57.389,51.993,56.744
2017-06-30,56.61,57.825,55.89,56.82
2017-07-31,56.769,60.113,55.756,58.403
2017-08-31,58.831,58.973,55.102,57.373
2017-09-29,57.431,58.864,55.688,57.867
2017-10-31,57.934,62.685,57.926,62.643
2017-11-30,63.842,65.023,61.931,62.97
2017-12-29,62.627,65.159,61.797,64.649
2018-01-31,65.262,68.221,65.159,67.505
2018-02-28,66.875,67.065,59.059,62.199
2018-03-29,62.38,66.263,61.164,65.098
2018-04-30,64.943,65.892,62.665,65.228
2018-05-31,65.167,65.193,61.75,62.242
2018-06-29,63.036,64.33,57.212,58.42
2018-07-31,56.807,58.092,55.987,58.032
2018-08-31,57.738,58.411,54.261,58.084
2018-09-28,57.6,59.412,55.676,58.903
2018-10-31,58.912,58.938,48.61,50.275
2018-11-30,50.767,53.519,50.456,52.303
2018-12-31,53.744,53.847,50.02,51.481
2019-01-31,50.501,57.192,49.557,56.606
2019-02-28,56.046,57.21,54.481,55.075
2019-03-29,55.39,55.504,52.626,53.309
2019-04-30,54.096,56.44,53.239,53.772
2019-05-31,53.965,54.341,47.632,48.603
2019-06-28,49.522,52.731,49.224,52.364
2019-07-31,52.259,52.277,48.043,48.455
2019-08-30,48.516,48.909,44.361,46.583
2019-09-30,46.145,50.834,46.119,49.277
2019-10-31,49.382,52.128,47.86,51.542
2019-11-29,52.259,54.096,51.087,51.14
2019-12-31,50.912,56.019,49.819,55.581
2020-01-31,55.224,57.351,51.175,51.524
2020-02-28,51.988,56.216,47.636,49.12
2020-03-31,49.414,51.676,34.194,41.934
2020-04-30,39.7,47.18,38.976,46.134
2020-05-29,44.874,48.056,44.186,47.868
2020-06-30,48.556,53.91,48.333,51.059
2020-07-31,51.023,55.045,50.978,53.856
2020-08-31,54.312,60.005,54.124,56.368
2020-09-30,56.966,60.005,55.501,58.396
2020-10-30,58.834,61.212,57.61,58.003
2020-11-30,58.96,69.774,58.709,68.299
2020-12-31,69.246,77.922,69.005,77.498
2021-01-29,80.434,86.73,79.11,79.344
2021-02-26,81.578,84.955,78.489,79.227
2021-03-31,80.542,81.731,77.115,80.785
2021-04-30,81.434,84.784,81.357,81.56
2021-05-28,81.326,85.433,79.349,82.884
2021-06-30,84.217,84.717,81.857,83.92
2021-07-30,83.397,83.87,79.597,79.93
2021-08-31,80.155,82.569,73.521,78.075
2021-09-30,78.507,79.047,72.054,72.644
