日期,Open,High,Low,Close
2024-01-12,41.99,50.7,37.95,38.35
2024-01-19,37.9,38.14,35.284,36.49
2024-01-26,35.61,36.965,33.77,36.75
2024-02-02,36.78,38.31,36.6,37.58
2024-02-09,37.95,42.25,37.01,41.64
2024-02-16,42.21,46.305,42.18,45.43
2024-02-23,45.81,45.86,44.32,44.75
2024-03-01,45.0,56.36,44.98,55.19
2024-03-08,57.34,61.64,52.13,60.73
2024-03-15,63.38,64.42,59.01,60.48
2024-03-22,59.43,60.0,54.32,55.91
2024-03-28,58.59,62.827,58.58,62.06
2024-04-05,61.34,61.4,56.46,58.94
2024-04-12,63.17,63.21,57.01,58.51
2024-04-19,57.98,58.23,52.16,56.32
2024-04-26,57.86,58.77,54.95,55.75
2024-05-03,54.67,55.27,49.43,54.38
2024-05-10,55.64,56.31,52.61,53.05
2024-05-17,54.95,59.12,53.43,58.79
2024-05-24,58.65,62.43,58.37,60.57
2024-05-31,59.83,60.91,58.22,59.11
2024-06-07,61.01,62.88,59.7,60.49
2024-06-14,60.59,61.4,56.834,57.25
2024-06-21,57.4,58.829,55.37,56.14
2024-06-28,53.57,54.58,51.56,52.46
2024-07-05,54.97,55.865,48.452,49.43
2024-07-12,50.03,51.6,48.09,50.43
2024-07-19,54.98,59.11,54.66,58.88
2024-07-26,59.2,59.77,55.43,59.52
2024-08-02,60.97,61.0,54.37,54.68
2024-08-09,43.53,53.5,43.34,53.1
2024-08-16,52.07,53.91,49.58,52.24
2024-08-23,51.38,55.92,50.81,55.73
2024-08-30,55.87,55.91,50.45,51.23
2024-09-06,51.69,51.69,46.49,46.74
2024-09-13,48.42,52.55,47.9,52.31
2024-09-20,51.17,55.9,50.25,54.945
2024-09-27,55.38,58.23,54.84,57.43
2024-10-04,55.95,56.045,52.35,54.56
2024-10-11,55.19,56.41,51.42,55.23
2024-10-18,56.63,60.42,56.55,60.03
2024-10-25,59.39,60.16,56.96,58.39
2024-11-01,60.28,64.43,59.82,60.47
2024-11-08,59.94,67.67,58.64,67.18
2024-11-15,71.64,81.79,71.43,80.06
2024-11-22,79.09,87.31,78.41,86.73
2024-11-29,85.05,86.54,79.17,84.91
2024-12-06,83.98,90.8,81.83,88.92
2024-12-13,86.64,89.75,82.38,88.94
2024-12-20,91.26,94.806,82.89,84.2
2024-12-27,83.42,86.62,80.65,82.52
2025-01-03,81.14,86.595,79.59,86.01
2025-01-10,86.59,89.74,80.51,82.69
2025-01-17,79.33,92.74,77.87,91.66
2025-01-24,91.92,93.78,89.33,91.67
2025-01-31,88.04,93.129,86.21,88.64
2025-02-07,82.79,89.265,82.456,83.64
2025-02-14,85.41,86.53,82.47,85.02
2025-02-21,84.31,86.825,81.43,82.81
2025-02-28,83.31,83.65,70.76,73.5
2025-03-07,81.42,81.47,71.11,75.95
2025-03-14,72.19,74.55,67.5,73.93
2025-03-21,72.42,75.58,70.81,73.28
2025-03-28,76.27,77.56,72.88,73.12
2025-04-04,72.02,76.33,70.85,73.39
2025-04-11,67.08,73.51,66.06,73.24
2025-04-17,74.2,75.54,72.71,74.16
2025-04-25,76.18,83.78,75.43,83.3
2025-05-02,83.1,85.57,81.04,84.7
2025-05-09,82.23,90.65,81.44,90.12
2025-05-16,90.96,91.74,87.94,90.88
2025-05-23,89.57,97.83,89.41,94.98
2025-05-30,96.49,96.758,90.44,91.38
2025-06-06,90.8,93.35,88.67,91.05
2025-06-13,93.95,96.435,90.89,91.79
2025-06-20,93.13,95.12,89.34,90.08
2025-06-27,88.31,94.5,87.015,93.28
2025-07-03,94.13,96.65,91.92,95.45
2025-07-11,94.66,103.26,93.79,103.16
2025-07-18,106.32,106.68,101.08,102.47
2025-07-25,103.25,105.01,100.37,101.97
2025-08-01,103.49,104.04,98.555,98.66
2025-08-08,99.59,102.715,98.222,101.6
2025-08-15,104.28,107.34,101.94,102.03
2025-08-22,100.95,102.51,97.61,101.79
2025-08-29,97.41,98.88,94.17,94.39
2025-09-05,95.44,98.86,95.12,97.36
2025-09-12,97.93,102.02,96.56,101.99
2025-09-19,100.36,102.95,99.73,100.43
2025-09-26,98.56,99.47,94.645,95.21
2025-10-03,97.91,108.266,97.79,107.17
2025-10-10,109.04,110.25,101.08,101.73
2025-10-17,99.8,101.17,91.09,92.86
2025-10-24,96.57,99.52,93.65,96.48
2025-10-31,100.4,101.31,92.6,95.69
2025-11-07,93.74,94.3,86.63,90.44
2025-11-14,92.61,92.705,82.01,82.15
2025-11-21,81.99,83.64,71.714,73.72
2025-11-28,74.87,81.26,74.26,79.08
2025-12-05,75.18,81.69,73.05,77.87
2025-12-12,79.62,82.52,77.82,78.67
2025-12-19,77.95,78.76,73.55,76.69
2025-12-26,78.39,78.8,75.24,76.28
2026-01-02,76.24,79.35,75.765,78.19
2026-01-09,80.815,82.66,77.68,78.59
2026-01-16,78.54,85.389,78.47,83.23
2026-01-23,79.15,79.535,75.91,77.92
2026-01-30,76.34,78.83,71.25,73.02
2026-02-06,68.02,69.14,54.205,60.96
2026-02-13,60.09,61.98,56.66,59.89
2026-02-20,59.24,59.52,57.15,59.01
2026-02-27,57.56,60.61,54.695,57.15
2026-03-06,57.09,64.56,57.09,59.31
2026-03-13,59.87,64.45,59.45,61.98
2026-03-20,64.37,65.27,59.9,61.12
2026-03-27,61.68,62.685,57.05,57.47
2026-04-02,59.09,60.23,57.2,58.36
2026-04-10,60.48,63.89,58.96,63.85
2026-04-17,62.01,68.28,61.665,67.48
2026-04-24,65.5,69.24,65.06,67.61
2026-05-01,67.67,68.8,65.22,68.3
2026-05-08,68.73,71.45,68.32,69.81
2026-05-15,70.59,71.525,68.385,68.84
2026-05-22,67.22,67.93,65.78,65.98
2026-05-29,66.76,67.95,63.015,63.9
2026-06-05,62.4,62.62,51.45,52.46
2026-06-12,55.32,56.03,52.84,55.35
2026-06-18,58.14,58.53,54.14,54.77
2026-06-26,56.53,57.05,50.48,51.98
2026-07-02,52.1,54.12,50.53,53.52
2026-07-10,53.43,56.31,53.29,55.615
2026-07-17,54.35,57.045,53.73,55.82
2026-07-22,56.12,58.255,55.7,57.38
