日期,Open,High,Low,Close
2023-07-24,38.92,40.818,38.88,40.3
2023-07-25,41.18,42.45,41.08,41.89
2023-07-26,41.43,42.15,41.1,41.61
2023-07-27,41.89,42.54,41.38,41.49
2023-07-28,42.08,42.08,41.21,41.83
2023-07-31,42.29,42.9,42.23,42.85
2023-08-01,41.88,42.29,41.61,41.95
2023-08-02,41.16,41.46,40.395,40.77
2023-08-03,40.725,41.6,40.36,41.25
2023-08-04,41.1,41.36,40.47,40.71
2023-08-07,40.9,40.9,40.32,40.49
2023-08-08,39.35,40.965,38.91,40.89
2023-08-09,41.16,41.57,40.58,40.63
2023-08-10,40.78,41.225,40.395,40.58
2023-08-11,39.87,40.159,39.26,39.62
2023-08-14,38.86,39.43,38.145,39.41
2023-08-15,38.59,38.66,37.805,38.05
2023-08-16,37.8,38.29,37.185,37.21
2023-08-17,38.19,38.55,37.79,37.82
2023-08-18,37.265,37.49,36.715,37.04
2023-08-21,37.25,37.465,36.65,36.93
2023-08-22,37.74,37.84,36.81,37.09
2023-08-23,37.12,37.96,37.02,37.46
2023-08-24,37.015,37.355,36.5,36.6
2023-08-25,36.81,36.95,35.94,36.53
2023-08-28,36.86,37.38,36.63,37.16
2023-08-29,37.08,38.42,36.91,38.39
2023-08-30,38.29,38.745,38.07,38.39
2023-08-31,38.46,38.54,37.88,38.11
2023-09-01,39.12,40.02,39.08,39.69
2023-09-05,39.55,40.05,38.925,39.0
2023-09-06,38.33,38.665,37.89,38.61
2023-09-07,37.8,38.03,37.49,37.96
2023-09-08,37.74,37.945,37.365,37.49
2023-09-11,38.59,38.81,38.0,38.31
2023-09-12,38.06,38.76,38.0,38.26
2023-09-13,38.17,38.45,37.805,37.94
2023-09-14,39.23,39.6,38.87,38.88
2023-09-15,38.87,39.18,38.43,38.57
2023-09-18,38.61,38.63,37.865,38.39
2023-09-19,38.4,38.68,36.86,37.02
2023-09-20,37.24,37.8,36.87,36.89
2023-09-21,36.08,36.13,35.4,35.43
2023-09-22,36.06,36.17,35.3,35.35
2023-09-25,34.95,35.435,34.62,35.4
2023-09-26,34.77,35.5,34.555,34.77
2023-09-27,34.97,35.16,34.24,34.75
2023-09-28,35.23,35.69,35.12,35.53
2023-09-29,36.17,36.42,35.22,35.49
2023-10-02,34.97,35.33,34.39,34.84
2023-10-03,34.3,34.975,34.205,34.54
2023-10-04,34.75,34.75,33.65,34.06
2023-10-05,34.0,34.235,33.235,33.57
2023-10-06,33.675,35.2,33.5,34.87
2023-10-09,34.53,35.36,34.44,35.03
2023-10-10,35.35,36.025,35.23,35.49
2023-10-11,35.82,35.82,34.96,35.35
2023-10-12,35.32,35.35,33.965,34.42
2023-10-13,34.66,34.73,33.67,33.8
2023-10-16,34.15,34.7,33.885,34.2
2023-10-17,33.78,35.015,33.56,34.83
2023-10-18,34.27,34.59,33.82,33.96
2023-10-19,33.86,34.38,33.18,33.58
