日期,Open,High,Low,Close
2023-07-24,191.967,196.654,191.512,195.003
2023-07-25,194.584,197.403,191.68,195.72
2023-07-26,196.775,203.498,196.735,202.541
2023-07-27,203.04,204.26,199.996,200.318
2023-07-28,201.832,203.95,200.978,203.12
2023-07-31,203.12,204.812,202.539,204.006
2023-08-01,203.467,204.516,200.532,202.565
2023-08-02,201.631,202.702,200.081,200.383
2023-08-03,199.706,200.978,197.902,198.828
2023-08-04,200.02,201.844,198.063,198.41
2023-08-07,199.014,201.437,197.798,199.505
2023-08-08,198.812,203.974,198.643,202.645
2023-08-09,202.049,202.678,199.996,200.407
2023-08-10,201.341,202.525,200.012,201.252
2023-08-11,200.366,201.252,199.215,200.64
2023-08-14,200.858,201.961,199.907,201.582
2023-08-15,201.413,201.76,199.956,200.463
2023-08-16,199.448,202.774,199.448,200.077
2023-08-17,200.141,201.534,198.812,199.948
2023-08-18,198.2,199.843,197.097,198.128
2023-08-21,197.459,198.721,195.108,195.945
2023-08-22,195.945,197.073,193.61,195.172
2023-08-23,194.995,197.218,193.795,196.356
2023-08-24,194.923,197.194,194.188,195.011
2023-08-25,195.486,196.026,191.565,194.971
2023-08-28,195.817,198.373,193.779,194.665
2023-08-29,193.876,196.501,193.716,196.461
2023-08-30,197.339,199.875,195.897,199.126
2023-08-31,198.949,199.722,196.477,196.815
2023-09-01,198.208,198.901,195.615,196.775
2023-09-05,196.139,196.259,193.091,193.272
2023-09-06,193.94,195.003,192.354,193.956
2023-09-07,193.892,193.928,191.589,192.901
2023-09-08,192.571,193.151,190.397,191.621
2023-09-11,193.071,193.642,191.621,192.74
2023-09-12,191.919,192.692,189.527,190.139
2023-09-13,189.696,192.736,188.883,190.695
2023-09-14,192.177,195.543,191.959,194.617
2023-09-15,195.889,195.897,191.065,192.241
2023-09-18,192.008,192.736,188.199,188.392
2023-09-19,188.15,189.91,185.775,188.948
2023-09-20,190.284,192.322,189.092,189.374
2023-09-21,198.619,203.757,196.388,198.498
2023-09-22,198.643,200.833,196.259,197.886
2023-09-25,197.242,203.795,197.188,202.186
2023-09-26,201.148,202.122,197.033,198.128
2023-09-27,198.538,199.489,197.049,199.191
2023-09-28,198.667,203.588,197.814,202.194
2023-09-29,204.57,205.432,199.952,200.97
2023-10-02,201.84,202.421,199.871,201.123
2023-10-03,200.495,201.437,196.445,197.161
2023-10-04,197.137,198.22,193.522,197.049
2023-10-05,195.962,197.073,194.983,196.332
2023-10-06,196.356,197.355,194.858,195.317
2023-10-09,192.982,194.488,191.275,193.562
2023-10-10,193.473,196.372,193.272,194.423
2023-10-11,194.19,194.528,191.033,193.352
2023-10-12,193.111,193.787,189.02,190.598
2023-10-13,190.308,192.016,181.74,183.19
2023-10-16,184.333,189.809,183.439,186.991
2023-10-17,185.219,188.513,184.752,187.369
2023-10-18,185.01,185.787,182.449,183.81
2023-10-19,184.245,186.757,182.787,183.552
2023-10-20,184.43,185.581,179.791,181.402
2023-10-23,180.661,182.401,178.447,179.268
2023-10-24,180.347,183.375,180.162,182.256
2023-10-25,181.474,182.014,176.337,177.045
2023-10-26,176.409,177.456,168.574,171.183
2023-10-27,171.61,175.419,170.507,171.916
2023-10-30,172.471,178.994,172.101,178.342
2023-10-31,179.437,181.45,178.245,180.983
2023-11-01,181.354,185.187,180.653,183.504
2023-11-02,185.106,188.335,185.106,186.741
2023-11-03,188.319,188.956,186.457,186.652
2023-11-06,186.83,187.103,182.441,185.195
2023-11-07,183.294,185.445,182.771,184.285
2023-11-08,184.921,185.38,183.214,185.227
2023-11-09,186.177,186.54,181.503,181.861
2023-11-10,182.65,186.371,181.507,185.759
2023-11-13,184.841,185.767,182.755,185.243
2023-11-14,188.11,193.703,187.554,192.322
2023-11-15,192.12,198.555,192.12,194.931
2023-11-16,194.496,195.192,190.185,192.934
2023-11-17,194.472,195.06,191.882,193.747
2023-11-20,193.272,194.27,190.872,193.417
2023-11-21,193.03,194.254,191.589,193.675
2023-11-22,195.044,195.044,193.079,194.158
2023-11-24,194.778,196.372,194.158,195.084
2023-11-27,193.65,194.464,190.292,191.855
2023-11-28,192.225,194.029,190.695,191.702
2023-11-29,193.457,194.801,191.718,192.12
2023-11-30,192.04,196.352,190.703,196.066
2023-12-01,196.324,201.276,195.825,200.568
2023-12-04,199.126,203.29,198.53,201.518
2023-12-05,200.407,202.871,199.03,201.905
2023-12-06,202.992,204.284,202.154,202.814
2023-12-07,203.451,204.24,201.458,203.153
2023-12-08,203.998,209.104,203.962,207.856
2023-12-11,207.654,209.216,206.954,207.187
2023-12-12,208.878,211.109,207.799,208.5
2023-12-13,207.719,209.998,204.916,209.16
2023-12-14,212.115,215.933,210.883,213.694
2023-12-15,212.397,217.769,211.62,215.168
2023-12-18,216.746,218.582,214.644,215.675
2023-12-19,214.99,217.012,212.921,214.129
2023-12-20,187.152,192.128,186.693,186.95
2023-12-21,188.448,188.963,185.646,187.844
2023-12-22,187.732,189.503,186.628,188.384
2023-12-26,189.97,192.62,189.326,191.573
2023-12-27,192.193,193.715,190.55,190.727
2023-12-28,190.598,193.175,190.453,192.853
2023-12-29,193.248,194.507,191.472,192.362
2024-01-02,191.186,192.338,190.155,191.774
2024-01-03,190.188,190.188,186.588,188.07
2024-01-04,187.756,188.15,186.008,186.177
2024-01-05,185.976,189.028,185.549,187.401
2024-01-08,188.577,189.841,186.838,188.835
2024-01-09,187.635,188.931,187.264,187.756
2024-01-10,187.385,190.848,186.773,190.623
2024-01-11,190.083,191.363,188.674,190.655
2024-01-12,190.188,191.202,188.038,188.819
2024-01-16,187.756,187.756,184.865,185.976
2024-01-17,183.528,185.775,183.125,184.567
2024-01-18,185.879,185.879,183.528,185.195
2024-01-19,185.775,187.273,183.54,187.176
2024-01-22,187.876,191.363,187.876,190.526
2024-01-23,190.92,191.452,189.407,190.655
2024-01-24,191.718,192.805,188.996,189.753
2024-01-25,191.46,193.872,191.145,192.491
2024-01-26,192.724,193.546,190.598,191.218
2024-01-29,190.663,190.784,186.757,188.384
2024-01-30,184.591,187.591,183.005,184.953
2024-01-31,184.663,185.501,182.352,182.956
2024-02-01,183.037,184.003,181.257,183.488
2024-02-02,183.125,184.993,181.386,183.818
2024-02-05,182.554,183.206,180.267,180.556
2024-02-06,181.032,184.961,180.879,182.98
2024-02-07,183.544,184.559,182.179,183.633
2024-02-08,183.447,184.607,182.248,183.327
2024-02-09,183.576,184.188,182.022,184.027
2024-02-12,184.1,185.622,183.415,185.493
2024-02-13,182.521,182.595,177.931,179.01
2024-02-14,179.84,180.065,178.141,179.365
2024-02-15,178.914,180.565,178.487,179.115
2024-02-16,178.543,180.46,177.448,179.977
2024-02-20,179.115,181.644,178.149,181.547
2024-02-21,181.692,183.158,180.476,183.053
2024-02-22,183.641,185.38,183.19,185.267
2024-02-23,185.324,185.904,183.947,184.704
2024-02-26,183.222,185.05,182.332,182.819
2024-02-27,182.98,184.011,182.642,183.045
2024-02-28,181.378,185.557,181.168,185.436
2024-02-29,186.572,189.535,186.109,189.141
2024-03-01,188.392,189.31,186.403,187.232
2024-03-04,185.976,188.44,185.562,187.369
2024-03-05,186.411,188.996,186.073,188.939
2024-03-06,189.817,191.299,187.901,188.682
2024-03-07,189.737,190.912,189.157,190.163
2024-03-08,191.041,191.218,188.964,189.117
2024-03-11,189.245,193.723,189.245,193.159
2024-03-12,193.602,197.596,193.554,194.383
2024-03-13,195.454,197.572,195.136,195.188
2024-03-14,194.746,196.102,193.84,195.438
2024-03-15,193.296,195.666,192.861,193.634
2024-03-18,193.658,194.959,192.338,193.546
2024-03-19,193.344,196.839,193.006,196.316
2024-03-20,196.316,199.183,195.019,199.03
2024-03-21,198.675,203.491,198.667,202.943
2024-03-22,219.975,224.219,216.269,218.622
2024-03-25,215.771,217.571,213.17,217.213
2024-03-26,217.664,223.897,217.442,222.383
2024-03-27,223.043,223.043,218.606,221.489
2024-03-28,221.006,223.551,220.345,222.987
2024-04-01,218.558,220.853,214.636,215.248
2024-04-02,212.333,213.476,210.183,211.35
2024-04-03,212.47,214.853,211.117,213.927
2024-04-04,215.49,216.102,210.634,211.528
2024-04-05,211.117,211.882,208.83,209.925
2024-04-08,211.101,212.341,210.521,211.576
2024-04-09,211.141,212.365,209.99,212.22
2024-04-10,208.886,210.207,205.287,207.332
2024-04-11,207.405,209.558,206.852,208.846
2024-04-12,207.984,208.476,203.789,205.319
2024-04-15,207.751,208.387,203.99,204.465
2024-04-16,204.336,204.55,201.582,203.016
2024-04-17,202.581,203.814,200.825,201.51
2024-04-18,202.347,203.225,200.713,201.752
2024-04-19,202.452,206.366,201.824,204.667
2024-04-22,206.02,208.653,204.691,207.211
2024-04-23,207.429,210.239,207.091,208.5
2024-04-24,207.501,208.162,201.921,203.926
2024-04-25,202.211,203.708,201.212,203.483
2024-04-26,202.364,205.037,201.703,203.741
2024-04-29,204.296,205.673,202.231,203.757
2024-04-30,202.935,203.04,200.374,200.471
2024-05-01,200.366,201.478,198.861,199.626
2024-05-02,201.687,202.161,199.046,200.672
2024-05-03,201.856,203.523,198.913,199.561
2024-05-06,201.325,201.454,199.175,199.271
2024-05-07,200.028,200.676,197.822,198.611
2024-05-08,197.25,198.232,195.664,197.435
2024-05-09,197.572,201.059,197.572,200.697
2024-05-10,200.697,203.829,200.697,203.652
2024-05-13,203.894,205.746,203.088,204.586
2024-05-14,204.852,205.178,197.709,198.265
2024-05-15,199.038,199.626,197.58,198.49
2024-05-16,197.878,199.835,196.952,198.055
2024-05-17,199.102,199.102,196.042,196.823
2024-05-20,196.614,196.952,194.262,194.778
2024-05-21,194.206,194.85,191.734,192.861
2024-05-22,192.595,193.127,190.816,192.652
2024-05-23,192.233,192.716,188.484,190.413
2024-05-24,190.985,191.702,188.013,189.044
2024-05-28,188.73,190.526,188.335,189.407
2024-05-29,187.635,188.593,186.403,187.047
2024-05-30,187.885,190.743,187.365,190.647
2024-05-31,190.985,194.468,189.471,194.174
2024-06-03,193.707,194.198,188.335,189.874
2024-06-04,189.374,189.64,186.363,187.723
2024-06-05,189.294,189.644,186.532,189.415
2024-06-06,189.415,192.024,188.819,191.202
2024-06-07,189.342,192.088,188.686,189.157
2024-06-10,188.569,194.375,187.695,193.981
2024-06-11,192.724,193.069,190.904,192.942
2024-06-12,193.707,194.448,189.479,189.857
2024-06-13,190.292,190.582,186.363,189.857
2024-06-14,188.207,189.302,185.283,188.11
2024-06-17,187.393,191.363,186.838,191.033
2024-06-18,191.146,192.926,189.052,189.447
2024-06-20,189.986,193.682,189.749,193.014
2024-06-21,193.385,195.728,192.281,193.932
2024-06-24,195.301,197.982,194.625,197.339
2024-06-25,197.049,197.572,194.19,197.234
2024-06-26,223.039,229.832,219.476,229.292
2024-06-27,226.82,229.018,223.027,228.712
2024-06-28,227.448,234.3,227.078,232.231
2024-07-01,230.846,233.391,230.114,231.297
2024-07-02,229.534,233.335,229.534,230.927
2024-07-03,231.748,231.958,226.446,227.295
2024-07-05,227.295,228.31,225.974,227.529
2024-07-08,227.939,230.664,227.219,228.761
2024-07-09,229.139,229.816,226.337,226.506
2024-07-10,226.506,227.255,223.873,226.941
2024-07-11,228.326,233.117,228.072,231.99
2024-07-12,231.201,233.174,230.492,231.571
2024-07-15,232.731,236.862,231.603,236.403
2024-07-16,237.063,243.505,237.011,243.248
2024-07-17,240.759,243.368,238.883,240.759
2024-07-18,239.592,242.958,236.902,237.691
2024-07-19,237.691,239.39,235.598,237.442
2024-07-22,237.997,238.593,233.488,238.344
2024-07-23,231.555,235.652,230.548,233.005
2024-07-24,233.013,233.013,229.606,230.975
2024-07-25,230.983,235.01,230.758,231.225
2024-07-26,232.24,234.116,230.323,232.473
2024-07-29,232.618,233.947,230.798,231.74
2024-07-30,232.328,234.776,231.801,233.069
2024-07-31,233.206,236.878,233.07,234.172
2024-08-01,234.953,237.089,229.373,230.613
2024-08-02,226.707,227.963,222.479,226.16
2024-08-05,219.967,223.647,215.933,218.743
2024-08-06,220.12,224.066,218.324,220.869
