日期,Open,High,Low,Close
2023-07-24,198.47,199.04,194.01,197.66
2023-07-25,199.3,202.25,196.68,200.01
2023-07-26,196.1,199.405,190.76,197.41
2023-07-27,199.5,200.65,194.35,198.8
2023-07-28,223.59,224.5,194.22,208.4
2023-07-31,210.08,218.515,205.69,207.4
2023-08-01,207.38,211.485,202.39,202.68
2023-08-02,198.88,200.0,190.098,194.28
2023-08-03,193.57,198.205,193.29,196.24
2023-08-04,196.58,200.35,193.0,194.38
2023-08-07,193.62,196.16,191.111,195.6
2023-08-08,193.76,198.15,193.48,196.1
2023-08-09,198.13,209.055,197.67,203.6
2023-08-10,204.13,209.29,204.12,205.01
2023-08-11,201.96,205.56,201.325,204.87
2023-08-14,204.76,213.43,198.002,211.43
2023-08-15,209.0,210.2,197.74,199.83
2023-08-16,199.3,199.45,191.642,191.89
2023-08-17,191.46,191.46,182.46,183.44
2023-08-18,180.76,184.87,179.32,181.91
2023-08-21,182.0,182.805,176.6,181.7
2023-08-22,182.52,183.68,174.23,176.5
2023-08-23,176.94,182.38,176.85,180.58
2023-08-24,180.89,181.08,173.74,174.42
2023-08-25,175.1,178.43,174.62,177.45
2023-08-28,177.99,179.415,174.91,176.76
2023-08-29,176.65,182.83,175.57,181.61
2023-08-30,181.06,186.9,181.06,184.96
2023-08-31,186.0,190.933,185.91,189.12
2023-09-01,191.27,193.48,183.645,186.37
2023-09-05,183.9,190.055,182.61,186.48
2023-09-06,189.1,189.7,177.73,182.09
2023-09-07,179.49,180.686,173.81,180.5
2023-09-08,185.18,187.69,181.17,183.21
2023-09-11,185.23,186.68,178.31,179.37
2023-09-12,178.0,183.06,177.66,180.94
2023-09-13,181.3,182.29,170.17,170.5
2023-09-14,175.0,177.59,170.57,177.0
2023-09-15,176.69,177.64,171.68,174.05
2023-09-18,174.05,174.97,167.41,167.74
2023-09-19,167.6,173.65,166.66,169.18
2023-09-20,169.45,173.47,168.16,169.24
2023-09-21,166.64,168.025,164.48,166.24
2023-09-22,168.0,168.38,161.9,162.45
2023-09-25,161.75,166.325,161.71,164.34
2023-09-26,162.89,164.74,160.726,161.39
2023-09-27,161.25,164.5,158.16,158.61
2023-09-28,159.1,162.91,157.495,161.5
2023-09-29,163.49,165.67,160.52,161.59
2023-10-02,160.5,161.99,156.09,156.34
2023-10-03,154.65,155.33,149.63,151.25
2023-10-04,151.4,152.88,146.61,151.82
2023-10-05,152.22,152.5,143.56,145.35
