日期,Open,High,Low,Close
2023-07-24,41.54,45.88,41.09,44.78
2023-07-25,46.9,47.8,45.66,46.66
2023-07-26,46.67,48.998,46.67,48.29
2023-07-27,49.25,50.996,48.29,49.82
2023-07-28,52.6,54.75,52.03,54.11
2023-07-31,54.13,56.35,53.348,55.6
2023-08-01,54.02,57.2,53.9,55.28
2023-08-02,53.21,53.48,50.245,50.84
2023-08-03,53.0,55.86,52.99,53.935
2023-08-04,54.1,54.25,52.35,52.71
2023-08-07,53.08,53.08,50.9,51.73
2023-08-08,49.33,50.22,48.87,49.68
2023-08-09,50.43,50.43,49.06,49.2
2023-08-10,50.82,51.0,49.08,49.13
2023-08-11,47.49,47.939,44.47,44.62
2023-08-14,43.57,45.05,43.21,44.52
2023-08-15,44.13,44.79,43.34,43.61
2023-08-16,42.85,45.1,42.57,44.54
2023-08-17,45.79,45.9,44.167,44.48
2023-08-18,42.51,43.59,42.44,43.54
2023-08-21,43.02,44.53,42.06,44.04
2023-08-22,45.4,45.58,43.28,43.77
2023-08-23,43.8,44.65,43.4,44.2
2023-08-24,43.51,47.7,43.51,44.8
2023-08-25,45.7,48.06,43.67,46.46
2023-08-28,48.27,50.632,47.55,50.4
2023-08-29,52.13,56.28,51.575,55.41
2023-08-30,54.09,56.74,53.7,56.08
2023-08-31,55.4,56.85,54.82,55.0
2023-09-01,56.4,61.475,55.95,58.79
2023-09-05,57.21,58.905,56.3,58.12
2023-09-06,58.66,60.9,58.5,59.59
2023-09-07,56.61,57.34,54.63,55.4
2023-09-08,54.53,55.58,52.19,53.35
2023-09-11,55.13,55.88,53.46,54.15
2023-09-12,54.14,55.54,53.73,54.51
2023-09-13,53.9,55.151,53.9,54.28
2023-09-14,55.69,55.77,54.69,55.0
2023-09-15,55.03,55.24,53.72,54.55
2023-09-18,53.94,54.89,53.1,54.39
2023-09-19,54.39,55.48,53.82,54.28
2023-09-20,54.31,55.66,54.18,54.88
2023-09-21,53.74,53.78,51.5,52.49
2023-09-22,55.54,55.61,54.38,54.43
2023-09-25,53.03,54.9,52.98,53.46
2023-09-26,52.84,55.04,52.65,52.9
2023-09-27,53.57,53.637,52.3,52.93
2023-09-28,52.7,54.08,52.36,53.36
2023-09-29,55.2,56.07,53.07,53.21
2023-10-02,53.17,53.82,51.8,52.51
2023-10-03,51.7,52.17,50.24,50.66
2023-10-04,49.98,50.51,49.26,49.87
2023-10-05,49.61,49.66,47.57,48.81
2023-10-06,48.81,53.2,48.81,52.77
2023-10-09,52.19,55.54,52.19,54.37
2023-10-10,55.6,58.79,54.965,58.16
2023-10-11,59.48,62.89,58.7,59.35
2023-10-12,58.36,58.66,56.25,56.92
2023-10-13,56.06,59.435,55.97,57.78
2023-10-16,56.95,58.965,55.35,57.49
2023-10-17,57.2,59.52,56.96,57.77
