日期,Open,High,Low,Close
2016-11-30,10.0,10.76,8.2,10.02
2016-12-30,10.12,10.17,7.54,8.6
2017-01-31,9.14,9.14,7.81,8.26
2017-02-28,8.08,9.0,7.7,7.77
2017-03-31,8.0,8.87,7.57,8.27
2017-04-28,8.32,8.59,8.0,8.12
2017-05-31,8.12,8.47,7.35,7.76
2017-06-30,7.83,9.6,6.9,9.27
2017-07-31,9.24,9.98,8.2,9.36
2017-08-31,9.64,9.64,8.5,9.35
2017-09-29,9.35,12.38,9.1,11.26
2017-10-31,11.37,16.55,11.18,15.7
2017-11-30,15.85,20.8,15.0,20.45
2017-12-29,20.51,23.76,17.08,22.53
2018-01-31,22.96,30.54,20.03,28.54
2018-02-28,28.31,31.17,22.6,26.2
2018-03-29,26.2,31.77,22.94,27.45
2018-04-30,27.34,29.48,24.1,29.17
2018-05-31,28.94,42.33,27.43,37.81
2018-06-29,38.0,45.88,36.6,40.09
2018-07-31,39.1,46.18,18.59,21.83
2018-08-31,27.36,39.93,22.15,38.17
2018-09-28,37.96,38.49,32.21,35.13
2018-10-31,35.48,35.5,21.19,23.47
2018-11-30,23.99,29.8,22.24,29.49
2018-12-31,30.0,31.78,21.26,23.09
2019-01-31,22.45,29.18,20.84,28.4
2019-02-28,28.21,34.81,26.8,33.27
2019-03-29,33.66,37.3,32.73,35.69
2019-04-30,36.0,40.96,35.96,39.13
2019-05-31,39.18,41.01,31.96,32.49
2019-06-28,32.58,37.58,30.9,37.57
2019-07-31,38.79,41.52,36.78,41.18
2019-08-30,41.39,43.15,34.15,40.34
2019-09-30,39.96,45.13,38.96,40.08
2019-10-31,40.18,43.49,38.04,41.68
2019-11-29,42.2,47.58,41.45,46.82
2019-12-31,47.23,54.0,44.94,51.58
2020-01-31,52.76,55.63,49.25,51.71
2020-02-28,52.3,62.5,52.09,57.97
2020-03-31,58.55,65.34,43.27,57.97
2020-04-30,56.48,61.41,49.72,57.32
2020-05-29,55.89,64.99,53.91,57.0
2020-06-30,57.8,84.0,57.49,79.66
2020-07-31,80.16,91.97,75.7,80.29
2020-08-31,81.46,85.88,75.3,80.94
2020-09-30,81.08,84.36,70.18,81.83
2020-10-30,82.71,89.68,79.85,84.04
2020-11-30,85.15,100.5,83.04,90.03
2020-12-31,90.73,96.48,87.87,93.64
2021-01-29,94.85,115.65,92.11,103.56
2021-02-26,106.0,116.76,100.12,102.16
2021-03-31,104.76,105.82,74.37,81.09
2021-04-30,82.95,87.694,75.41,82.97
2021-05-28,83.32,84.465,66.89,75.22
2021-06-30,76.37,81.809,70.84,78.49
2021-07-30,78.77,79.229,49.88,58.96
2021-08-31,59.06,60.75,49.16,58.48
2021-09-30,58.82,66.5,55.19,56.61
2021-10-29,56.7,65.84,52.11,59.4
2021-11-30,59.17,62.595,54.0,56.04
2021-12-31,56.88,57.925,41.435,47.16
2022-01-31,46.77,48.42,34.95,43.88
2022-02-28,42.11,47.38,37.77,44.52
2022-03-31,45.39,48.4,19.83,39.25
2022-04-29,42.7,44.8,26.57,31.42
2022-05-31,31.04,34.02,24.19,27.99
2022-06-30,29.36,35.93,26.52,33.39
2022-07-29,33.39,34.94,25.68,27.68
2022-08-31,25.86,30.78,24.52,27.24
2022-09-30,26.48,26.77,16.56,17.66
2022-10-31,17.66,19.05,8.408,8.63
2022-11-30,10.0,17.38,8.46,15.9
2022-12-30,14.85,21.875,14.702,20.62
2023-01-31,21.71,27.89,19.69,23.35
2023-02-28,24.57,26.5,18.8,19.25
2023-03-31,20.65,20.88,15.34,18.66
2023-04-28,18.66,18.875,14.55,15.53
2023-05-31,15.47,15.64,9.57,9.76
2023-06-30,9.9,13.79,9.85,10.99
2023-07-31,11.4,14.24,9.9,13.28
2023-08-31,13.03,13.11,10.07,11.96
2023-09-29,12.14,12.47,10.1,10.95
2023-10-31,10.93,11.56,9.54,10.3
2023-11-30,10.2,12.26,9.855,10.25
2023-12-29,10.02,10.285,7.81,9.12
2024-01-31,9.0,9.03,5.27,5.42
2024-02-29,5.55,7.415,5.01,6.83
2024-03-28,6.8,8.99,5.85,6.65
2024-04-30,6.77,8.57,5.86,8.16
2024-05-31,8.2,9.81,7.353,8.02
2024-06-28,8.1,9.72,8.035,9.29
2024-07-31,9.39,12.47,9.215,11.23
2024-08-30,11.21,17.36,9.88,17.03
2024-09-30,17.03,22.77,15.91,20.4
2024-10-31,20.95,24.5,19.11,21.91
2024-11-29,21.6,24.74,17.211,19.69
2024-12-31,19.56,24.25,18.81,23.76
2025-01-31,23.57,29.17,19.71,21.71
2025-02-28,21.91,52.5,21.75,38.05
2025-03-31,36.22,40.0,23.91,25.33
2025-04-30,25.22,26.66,16.925,25.21
2025-05-30,26.495,30.669,22.53,23.69
2025-06-30,24.35,30.95,23.67,30.57
2025-07-31,30.41,39.68,29.0,36.07
2025-08-29,34.68,39.0,30.53,34.56
2025-09-30,32.79,43.94,32.14,38.7
2025-10-31,39.28,43.88,32.11,35.7
2025-11-28,35.51,35.86,26.97,33.97
2025-12-31,33.59,36.955,33.09,34.9
2026-01-30,36.5,48.18,36.34,44.69
2026-02-27,43.25,48.61,40.03,41.31
2026-03-31,40.22,47.0,36.32,40.29
2026-04-30,42.08,45.97,38.04,42.28
2026-05-29,42.09,46.84,32.38,35.45
2026-06-30,35.45,38.07,28.45,30.03
2026-07-22,30.37,34.09,28.86,32.7
