日期,Open,High,Low,Close
2023-07-24,84.411,84.873,84.14,84.291
2023-07-25,87.68,90.439,86.986,89.801
2023-07-26,89.785,89.985,86.843,87.856
2023-07-27,88.526,89.881,88.023,88.414
2023-07-28,88.502,88.757,87.293,87.593
2023-07-31,87.632,87.88,87.058,87.473
2023-08-01,87.034,87.441,85.902,86.659
2023-08-02,86.46,86.883,85.631,85.663
2023-08-03,85.551,86.62,85.329,85.974
2023-08-04,86.341,87.178,85.527,86.532
2023-08-07,86.915,88.063,86.915,87.864
2023-08-08,87.593,87.939,86.58,86.923
2023-08-09,87.202,87.226,85.671,85.822
2023-08-10,86.045,88.111,86.045,86.939
2023-08-11,86.915,88.39,86.843,87.76
2023-08-14,87.68,88.754,87.441,88.518
2023-08-15,87.8,87.808,86.859,87.162
2023-08-16,87.066,88.35,86.855,86.939
2023-08-17,87.266,87.593,84.841,84.857
2023-08-18,84.331,85.631,84.108,85.519
2023-08-21,85.719,86.069,84.905,85.703
2023-08-22,85.806,86.524,84.762,85.415
2023-08-23,85.284,87.09,85.284,86.859
2023-08-24,86.644,87.25,84.905,84.921
2023-08-25,85.248,85.982,84.267,85.663
2023-08-28,86.125,87.505,85.806,87.25
2023-08-29,87.018,88.613,86.42,88.342
2023-08-30,87.959,88.541,87.242,87.529
2023-08-31,87.744,88.031,87.13,87.648
2023-09-01,88.095,88.446,86.907,87.473
2023-09-05,87.034,87.433,85.934,86.388
2023-09-06,86.364,87.337,85.631,86.229
2023-09-07,85.862,86.604,85.216,85.519
2023-09-08,85.288,85.711,85.065,85.463
2023-09-11,85.886,87.521,85.782,87.489
2023-09-12,87.481,89.53,87.282,88.079
2023-09-13,87.832,88.366,86.197,86.963
2023-09-14,87.577,89.841,87.537,88.597
2023-09-15,88.414,88.805,87.441,88.47
2023-09-18,88.701,90.017,88.015,89.331
2023-09-19,88.892,89.419,88.254,89.044
2023-09-20,89.299,90.208,87.935,87.959
2023-09-21,87.242,87.549,85.734,86.476
2023-09-22,86.404,86.644,84.945,85.089
2023-09-25,84.73,85.719,84.658,85.527
2023-09-26,84.953,85.703,83.956,84.1
2023-09-27,84.658,85.439,84.275,84.865
2023-09-28,85.001,86.536,84.817,86.022
2023-09-29,86.253,86.348,84.084,84.594
2023-10-02,84.514,85.112,82.64,83.191
2023-10-03,82.808,84.148,81.795,82.369
2023-10-04,82.537,83.526,82.05,83.238
2023-10-05,82.856,83.474,81.907,83.135
2023-10-06,82.84,85.671,82.521,85.328
2023-10-09,84.961,85.065,83.789,84.363
2023-10-10,85.12,86.54,84.833,85.336
2023-10-11,85.75,86.867,85.599,86.755
2023-10-12,86.947,87.138,84.762,85.216
2023-10-13,85.192,85.328,83.087,83.661
2023-10-16,84.068,84.89,82.553,83.47
2023-10-17,83.159,84.706,82.608,84.171
2023-10-18,83.374,83.821,82.09,82.218
2023-10-19,82.297,83.438,81.5,81.723
2023-10-20,81.524,81.955,80.591,81.03
2023-10-23,81.348,82.8,81.125,81.516
2023-10-24,84.993,88.055,82.816,87.042
2023-10-25,87.608,87.608,85.025,85.112
2023-10-26,85.567,86.006,81.739,83.199
2023-10-27,83.549,84.028,80.75,81.245
2023-10-30,82.178,84.538,82.098,84.004
2023-10-31,83.765,83.952,82.628,83.063
2023-11-01,82.8,82.824,80.83,81.963
2023-11-02,83.262,83.537,82.05,82.385
2023-11-03,82.999,83.717,82.632,83.294
2023-11-06,83.589,85.655,82.991,85.575
2023-11-07,85.24,86.492,84.837,85.591
2023-11-08,85.91,87.385,85.742,87.226
2023-11-09,87.624,87.955,86.492,86.62
2023-11-10,87.13,88.589,86.699,88.358
2023-11-13,88.254,89.383,87.911,88.557
2023-11-14,89.339,90.184,88.597,89.937
2023-11-15,89.706,90.136,88.719,89.179
2023-11-16,89.411,91.301,89.187,91.285
2023-11-17,91.596,92.194,91.285,92.074
2023-11-20,92.074,92.719,91.843,92.186
2023-11-21,91.971,92.329,91.364,92.042
2023-11-22,92.05,92.521,91.62,91.811
2023-11-24,92.114,92.405,91.875,92.106
2023-11-27,91.891,92.385,91.588,92.106
2023-11-28,92.106,92.218,90.982,91.213
2023-11-29,91.747,91.891,90.894,91.221
2023-11-30,91.372,93.597,91.253,93.565
2023-12-01,93.486,94.722,93.302,94.124
2023-12-04,93.573,94.052,93.055,93.35
2023-12-05,92.935,93.071,92.122,92.313
2023-12-06,92.991,94.187,91.891,91.978
2023-12-07,91.731,92.146,90.671,91.715
2023-12-08,91.412,92.78,91.316,92.6
2023-12-11,92.6,92.856,91.843,92.353
2023-12-12,92.919,94.104,92.616,93.98
2023-12-13,93.829,94.012,92.543,93.071
2023-12-14,93.031,94.044,92.05,93.207
2023-12-15,94.052,95.057,93.589,94.706
2023-12-18,95.057,95.188,94.602,95.033
2023-12-19,95.081,96.899,95.081,96.867
2023-12-20,96.46,97.09,94.698,94.817
2023-12-21,95.503,97.752,95.471,97.688
2023-12-22,98.023,98.533,97.058,97.465
2023-12-26,97.553,98.278,97.425,98.087
2023-12-27,97.696,98.9,97.656,98.733
2023-12-28,98.573,99.53,98.422,98.829
2023-12-29,98.765,98.956,97.744,98.278
2024-01-02,97.784,98.689,96.372,96.939
2024-01-03,96.277,96.356,95.104,95.431
2024-01-04,95.623,96.791,95.519,95.91
2024-01-05,96.101,97.25,95.966,97.21
2024-01-08,97.154,98.916,95.551,98.797
2024-01-09,97.991,99.195,97.736,99.195
2024-01-10,99.132,100.304,98.98,99.929
2024-01-11,100.264,100.328,98.422,100.033
2024-01-12,100.647,100.806,99.514,100.001
2024-01-16,99.53,100.049,97.967,98.549
2024-01-17,98.111,99.116,97.13,97.68
2024-01-18,97.935,99.108,97.593,99.012
2024-01-19,99.132,100.208,98.127,100.017
2024-01-22,100.392,101.978,100.372,101.149
2024-01-23,98.278,101.667,97.377,100.128
2024-01-24,100.384,100.478,97.337,100.112
2024-01-25,100.679,102.162,99.921,100.112
2024-01-26,100.591,101.955,100.479,101.117
2024-01-29,101.285,101.875,99.921,101.045
2024-01-30,101.348,103.577,101.141,103.302
2024-01-31,103.175,103.733,101.859,102.098
2024-02-01,102.585,104.522,102.138,104.482
2024-02-02,104.498,106.077,104.187,105.384
2024-02-05,104.937,107.058,104.754,106.317
2024-02-06,106.293,106.859,105.415,106.213
2024-02-07,107.042,107.21,106.492,106.947
2024-02-08,107.066,107.728,106.747,107.385
2024-02-09,107.353,107.688,106.715,107.569
2024-02-12,107.776,108.793,107.266,108.278
2024-02-13,108.007,109.57,107.098,109.554
2024-02-14,110.535,113.645,110.017,113.326
2024-02-15,113.725,115.232,113.553,114.817
2024-02-16,115.28,116.404,114.929,115.447
2024-02-20,115.336,116.388,114.375,115.017
2024-02-21,114.897,115.631,114.251,115.376
2024-02-22,115.998,117.911,115.998,117.449
2024-02-23,117.712,119.148,117.64,118.773
2024-02-26,119.036,120.248,118.956,119.921
2024-02-27,120.096,120.112,118.589,119.299
2024-02-28,119.435,121.628,119.163,120.591
2024-02-29,120.894,121.843,120.184,121.612
2024-03-01,121.699,123.549,121.596,123.015
2024-03-04,123.589,125.503,122.959,124.897
2024-03-05,125.304,125.806,121.364,122.385
2024-03-06,123.374,124.873,122.872,123.693
2024-03-07,125.719,129.459,125.344,129.275
2024-03-08,131.675,136.701,129.953,130.439
2024-03-11,129.746,130.806,126.468,129.323
2024-03-12,130.033,130.312,127.226,130.041
2024-03-13,128.486,132.904,128.486,132.194
2024-03-14,132.266,132.664,128.581,129.474
2024-03-15,128.597,132.465,127.991,131.181
2024-03-18,131.237,132.664,130.934,131.994
2024-03-19,131.915,135.2,131.269,134.825
2024-03-20,134.148,135.878,133.669,135.2
2024-03-21,135.75,137.688,134.53,137.361
2024-03-22,137.09,138.047,136.117,136.173
2024-03-25,135.782,136.46,134.291,134.849
2024-03-26,134.849,136.093,133.978,134.897
2024-03-27,136.069,140.328,135.798,140.136
2024-03-28,140.001,140.017,135.519,136.476
2024-04-01,136.532,136.876,134.506,136.341
2024-04-02,137.03,141.015,130.49,132.97
2024-04-03,134.65,144.435,134.51,142.12
2024-04-04,143.15,148.49,142.71,143.89
2024-04-05,145.03,152.97,145.03,152.8
2024-04-08,153.97,154.45,150.2,153.02
2024-04-09,152.63,154.37,147.427,150.99
2024-04-10,148.39,154.29,148.151,153.11
2024-04-11,153.57,154.94,151.249,154.18
2024-04-12,152.68,153.76,149.81,151.41
2024-04-15,153.98,155.465,149.47,150.48
2024-04-16,149.48,153.8,148.781,153.54
2024-04-17,154.78,155.46,150.41,152.45
2024-04-18,153.46,154.78,149.66,149.72
2024-04-19,150.23,150.305,143.56,144.84
2024-04-22,145.61,148.687,145.61,146.97
2024-04-23,154.61,160.43,149.6,159.4
2024-04-24,158.65,159.12,152.34,155.97
2024-04-25,154.87,158.26,153.9,158.04
2024-04-26,157.79,160.145,157.091,159.13
2024-04-29,159.78,162.85,159.78,161.27
2024-04-30,160.34,163.036,158.36,158.6
2024-05-01,159.35,160.08,155.6,156.48
2024-05-02,158.17,159.605,156.201,159.42
2024-05-03,162.08,162.08,158.79,160.89
2024-05-06,161.9,164.76,161.81,164.75
2024-05-07,164.59,167.58,164.0,165.56
2024-05-08,164.88,166.97,164.88,165.64
2024-05-09,165.54,166.12,163.91,164.28
2024-05-10,164.69,165.52,159.89,160.16
2024-05-13,159.86,159.89,155.64,156.28
2024-05-14,155.42,157.6,154.806,156.78
2024-05-15,156.78,160.52,156.01,160.25
2024-05-16,159.78,160.7,157.87,157.9
2024-05-17,158.6,158.66,155.88,156.67
2024-05-20,156.7,158.2,155.6,156.06
2024-05-21,154.72,158.0,154.14,157.78
2024-05-22,157.27,158.52,156.51,157.59
2024-05-23,158.77,163.05,158.53,162.04
2024-05-24,162.61,165.93,160.63,164.11
2024-05-28,163.78,165.43,162.089,165.34
2024-05-29,163.38,164.213,160.17,160.38
2024-05-30,160.26,161.8,159.97,160.98
2024-05-31,161.07,162.13,156.85,161.92
2024-06-03,162.9,163.57,155.81,158.24
2024-06-04,157.78,158.76,155.13,158.16
2024-06-05,158.61,159.72,157.3,159.33
2024-06-06,159.08,159.95,156.538,157.4
2024-06-07,157.48,160.58,156.88,158.7
2024-06-10,158.78,160.68,158.34,159.62
2024-06-11,158.81,159.035,156.39,157.14
2024-06-12,158.04,159.72,155.96,157.83
2024-06-13,157.37,157.41,150.96,152.47
2024-06-14,151.0,153.38,149.995,152.66
2024-06-17,152.92,164.28,152.23,160.01
2024-06-18,160.18,161.97,159.14,161.75
2024-06-20,161.75,163.08,159.83,161.78
2024-06-21,161.28,161.7,158.08,161.02
2024-06-24,160.88,161.535,155.98,157.32
2024-06-25,156.36,160.43,155.2,156.51
2024-06-26,155.35,157.8,154.297,157.42
2024-06-27,157.58,158.63,156.38,157.28
2024-06-28,157.04,158.4,154.68,155.75
2024-07-01,157.45,158.18,152.83,155.75
2024-07-02,155.6,159.72,155.03,158.23
2024-07-03,158.66,161.27,158.32,159.78
2024-07-05,160.02,160.02,156.44,157.28
2024-07-08,157.58,160.559,157.43,160.31
2024-07-09,160.76,162.36,159.81,159.91
2024-07-10,159.93,162.77,159.32,162.48
2024-07-11,162.25,162.74,158.85,158.98
2024-07-12,158.94,159.36,155.86,156.07
2024-07-15,157.66,157.81,155.66,156.62
2024-07-16,156.94,160.93,156.71,159.91
2024-07-17,158.71,159.012,153.57,153.72
2024-07-18,154.43,157.496,153.48,155.85
2024-07-19,156.72,157.5,154.675,156.19
2024-07-22,157.03,160.0,156.83,159.82
2024-07-23,163.06,174.26,161.675,169.06
2024-07-24,168.56,169.93,159.11,159.36
2024-07-25,160.36,165.26,158.98,161.73
2024-07-26,164.31,169.68,163.17,166.87
2024-07-29,168.31,169.79,165.46,166.93
2024-07-30,167.54,171.79,164.33,164.54
2024-07-31,167.93,168.81,165.015,167.26
2024-08-01,167.81,171.76,165.275,166.81
2024-08-02,162.63,164.49,155.42,157.34
2024-08-05,149.55,156.96,147.26,155.42
2024-08-06,156.99,162.51,156.82,159.33
2024-08-07,161.48,163.33,158.63,159.19
2024-08-08,161.54,163.389,160.62,162.67
2024-08-09,162.51,164.94,161.63,164.19
2024-08-12,164.69,165.84,161.68,163.93
2024-08-13,164.82,165.69,163.31,165.02
2024-08-14,165.56,166.24,162.68,165.01
2024-08-15,165.81,167.81,165.28,167.0
2024-08-16,167.11,167.39,165.92,166.48
2024-08-19,166.67,168.06,165.08,167.99
2024-08-20,167.97,167.97,166.245,167.05
2024-08-21,167.16,169.25,166.906,168.26
2024-08-22,168.8,169.04,165.831,166.74
2024-08-23,167.06,168.44,165.91,168.28
2024-08-26,167.6,168.985,166.641,168.28
2024-08-27,167.76,168.56,166.66,168.05
2024-08-28,168.26,170.23,167.35,168.93
2024-08-29,169.68,173.03,169.55,170.64
2024-08-30,171.02,171.88,168.83,171.68
2024-09-03,171.25,171.81,160.66,161.27
2024-09-04,160.56,163.68,160.46,163.42
2024-09-05,161.835,163.06,159.57,160.91
2024-09-06,161.57,163.095,157.65,158.29
2024-09-09,160.55,163.44,159.97,162.41
2024-09-10,164.51,164.79,161.31,164.04
2024-09-11,163.3,163.79,159.29,163.41
2024-09-12,163.57,168.03,163.285,166.76
2024-09-13,166.47,176.38,166.27,175.34
2024-09-16,175.78,178.58,173.323,178.5
2024-09-17,178.57,179.487,176.05,177.39
2024-09-18,178.26,182.83,177.49,180.61
2024-09-19,184.71,185.05,181.34,183.22
2024-09-20,182.06,184.9,181.38,184.49
2024-09-23,184.87,186.84,184.46,185.73
2024-09-24,185.73,186.86,184.064,186.72
2024-09-25,186.89,187.94,185.255,186.39
2024-09-26,186.74,186.89,181.87,181.93
2024-09-27,181.51,183.53,180.466,182.72
2024-09-30,182.42,186.05,180.43,185.92
2024-10-01,184.83,185.56,182.26,183.64
2024-10-02,182.91,185.54,182.065,183.78
2024-10-03,183.84,184.05,181.04,181.23
2024-10-04,183.92,184.5,182.2,184.42
2024-10-07,183.28,184.57,182.14,183.3
2024-10-08,184.96,187.22,183.901,184.81
2024-10-09,183.97,186.755,183.84,186.62
2024-10-10,185.49,187.09,184.732,185.46
2024-10-11,186.75,189.105,186.4,188.5
2024-10-14,189.32,191.27,189.0,189.97
2024-10-15,191.19,191.673,187.1,187.91
2024-10-16,187.84,189.56,187.26,189.52
2024-10-17,191.43,192.14,189.54,189.96
2024-10-18,190.44,190.78,188.48,189.95
2024-10-21,190.25,191.73,189.36,191.57
2024-10-22,181.84,182.34,173.09,174.0
2024-10-23,177.04,182.32,176.955,179.03
2024-10-24,179.24,179.55,176.97,177.08
2024-10-25,177.34,178.76,175.64,176.44
2024-10-28,177.32,177.92,172.55,172.7
2024-10-29,171.9,172.24,170.11,171.39
2024-10-30,170.32,173.87,169.845,171.98
2024-10-31,169.34,170.96,167.77,169.12
2024-11-01,170.1,172.61,168.925,169.04
2024-11-04,169.64,172.02,168.79,169.1
2024-11-05,169.7,172.81,169.11,172.6
2024-11-06,178.84,179.4,175.84,178.1
2024-11-07,178.36,178.36,174.11,176.19
2024-11-08,176.99,183.76,176.79,182.15
2024-11-11,183.97,184.81,181.04,181.9
2024-11-12,182.41,183.04,177.93,179.98
2024-11-13,180.29,183.64,180.1,180.9
2024-11-14,180.34,181.14,174.83,175.74
2024-11-15,174.09,175.258,173.23,174.27
2024-11-18,174.34,175.91,172.47,174.86
2024-11-19,173.84,175.22,173.04,174.9
2024-11-20,175.44,175.88,173.34,175.32
2024-11-21,175.75,178.28,174.68,176.04
2024-11-22,176.64,179.08,176.12,178.49
2024-11-25,179.58,181.04,176.89,177.55
2024-11-26,178.21,182.27,177.76,181.94
2024-11-27,181.98,182.03,177.78,177.94
2024-11-29,178.79,180.31,178.47,179.5
2024-12-02,178.14,178.98,176.76,177.78
2024-12-03,178.34,179.575,177.247,178.06
2024-12-04,177.84,180.24,175.34,179.99
2024-12-05,177.67,178.105,170.05,170.25
2024-12-06,170.64,173.17,169.78,172.92
2024-12-09,172.34,173.71,168.111,168.66
2024-12-10,168.35,170.495,167.95,168.61
2024-12-11,170.51,170.51,165.27,165.98
2024-12-12,165.98,166.624,161.79,162.17
2024-12-13,162.99,165.21,162.88,163.35
2024-12-16,163.66,166.54,162.79,163.13
2024-12-17,163.14,163.85,160.87,163.14
2024-12-18,163.34,163.97,156.94,157.29
2024-12-19,160.37,163.11,159.52,162.14
2024-12-20,161.31,166.42,160.5,165.71
2024-12-23,165.46,166.67,163.89,166.36
2024-12-24,166.58,168.83,166.19,168.83
2024-12-26,168.36,170.01,167.47,169.49
2024-12-27,168.34,169.085,166.6,167.7
2024-12-30,164.82,166.85,163.632,165.72
2024-12-31,166.12,166.167,163.77,164.41
2025-01-02,165.54,168.32,164.84,166.21
2025-01-03,166.84,170.25,166.62,169.58
2025-01-06,170.77,171.3,168.8,170.07
2025-01-07,169.84,171.32,168.4,169.93
2025-01-08,169.62,171.2,168.33,170.51
2025-01-10,170.02,171.08,168.36,169.31
2025-01-13,167.13,170.14,166.62,169.19
2025-01-14,170.73,175.52,170.015,174.48
2025-01-15,176.69,178.495,176.5,177.91
2025-01-16,179.3,180.5,176.236,177.36
2025-01-17,178.4,180.81,177.58,180.47
2025-01-21,182.52,186.94,182.13,185.12
2025-01-22,185.7,186.86,184.23,185.98
2025-01-23,199.02,205.27,195.72,198.42
2025-01-24,200.12,200.62,193.14,194.37
2025-01-27,191.96,194.25,190.36,192.08
2025-01-28,192.915,194.17,189.41,192.05
2025-01-29,192.55,197.56,192.545,196.72
2025-01-30,197.43,203.55,197.1,203.19
2025-01-31,203.46,203.49,200.69,201.19
2025-02-03,197.62,202.35,196.59,201.73
2025-02-04,200.55,202.16,198.05,199.8
2025-02-05,201.5,202.9,199.41,202.2
2025-02-06,202.62,203.72,201.68,203.68
2025-02-07,204.1,205.46,202.12,202.9
2025-02-10,203.76,204.28,201.02,202.84
2025-02-11,202.62,206.77,202.06,206.44
2025-02-12,204.32,209.04,203.76,207.26
2025-02-13,208.74,208.92,203.887,205.98
2025-02-14,206.28,206.78,202.59,205.89
2025-02-18,207.49,209.813,206.94,207.7
2025-02-19,206.66,209.401,206.5,208.12
2025-02-20,207.35,207.895,204.77,206.36
2025-02-21,205.98,206.74,196.06,197.45
2025-02-24,200.25,200.87,195.05,196.33
2025-02-25,196.6,197.7,192.46,196.89
2025-02-26,199.38,202.22,197.61,199.23
2025-02-27,202.04,203.09,198.72,199.05
2025-02-28,199.57,204.94,198.65,204.6
2025-03-03,204.71,206.1,198.431,199.58
2025-03-04,195.62,200.655,190.88,196.39
2025-03-05,196.49,202.089,196.31,200.12
2025-03-06,196.62,197.84,192.9,193.67
2025-03-07,192.69,193.37,185.3,191.47
2025-03-10,187.18,190.19,185.89,190.1
2025-03-11,187.91,191.66,186.3,189.7
2025-03-12,192.9,195.23,190.41,192.98
2025-03-13,192.53,193.603,189.65,190.4
2025-03-14,193.35,195.68,191.58,195.09
2025-03-17,194.98,201.58,194.31,200.01
2025-03-18,199.78,199.96,197.5,198.77
2025-03-19,199.3,204.8,199.3,203.55
2025-03-20,202.98,204.15,201.085,201.91
2025-03-21,200.58,202.29,198.8,202.11
2025-03-24,204.9,208.86,203.577,208.21
2025-03-25,208.75,210.74,208.23,210.11
2025-03-26,210.27,212.19,204.67,205.35
2025-03-27,204.34,205.67,200.78,203.86
2025-03-28,203.58,204.84,197.57,197.86
2025-03-31,195.51,199.55,192.43,198.13
2025-04-01,197.54,202.48,196.45,201.77
2025-04-02,197.46,200.17,196.405,197.75
2025-04-03,187.82,192.13,184.7,185.61
2025-04-04,177.66,181.14,163.4,164.79
2025-04-07,161.19,173.32,157.34,165.68
2025-04-08,173.98,176.33,164.34,167.35
2025-04-09,163.79,187.09,163.68,185.25
2025-04-10,179.88,183.39,173.94,179.49
2025-04-11,176.99,182.23,173.03,179.65
2025-04-14,183.33,185.587,181.81,183.98
2025-04-15,181.86,186.42,180.27,183.65
2025-04-16,182.05,183.86,179.26,180.43
2025-04-17,181.37,182.22,179.57,179.77
2025-04-21,177.27,178.77,174.0,176.33
2025-04-22,184.48,187.98,180.08,187.16
