日期,Open,High,Low,Close
2011-07-29,7.51,8.935,7.45,8.285
2011-08-31,8.845,9.025,5.575,8.845
2011-09-30,8.875,10.815,7.475,9.425
2011-10-31,9.195,11.49,8.305,9.77
2011-11-30,9.35,11.19,9.14,11.19
2011-12-30,11.15,12.04,9.76,11.69
2012-01-31,11.83,12.605,11.165,11.375
2012-02-29,11.705,11.955,9.305,9.855
2012-03-30,9.905,11.135,9.455,10.995
2012-04-30,10.705,11.445,10.26,10.74
2012-05-31,10.91,11.57,10.05,10.13
2012-06-29,9.94,10.81,8.6,10.39
2012-07-31,10.26,11.51,9.9,10.88
2012-08-31,10.97,11.94,10.08,11.51
2012-09-28,11.33,12.94,10.96,12.03
2012-10-31,11.97,13.13,11.58,12.59
2012-11-30,12.68,13.5,11.65,13.5
2012-12-31,13.54,14.39,12.26,12.93
2013-01-31,13.41,15.08,13.27,14.78
2013-02-28,15.15,19.31,14.56,19.09
2013-03-28,19.06,22.21,18.35,22.15
2013-04-30,21.09,24.07,20.97,23.59
2013-05-31,23.62,24.14,20.25,20.25
2013-06-28,20.31,23.19,19.35,21.7
2013-07-31,21.71,25.93,21.7,25.55
2013-08-30,26.58,26.62,21.8,22.87
2013-09-30,23.22,23.91,21.05,21.47
2013-10-31,21.28,25.05,20.91,24.35
2013-11-29,24.48,25.59,23.13,24.36
2013-12-31,24.15,25.89,22.17,23.84
2014-01-31,23.53,23.87,22.03,22.33
2014-02-28,22.38,24.63,21.01,24.34
2014-03-31,23.83,26.31,23.75,26.13
2014-04-30,25.96,28.11,25.52,27.74
2014-05-30,27.94,29.7,27.17,29.65
2014-06-30,29.59,30.36,26.22,27.26
2014-07-31,26.9,28.56,25.27,25.28
2014-08-29,25.41,28.77,25.37,28.51
2014-09-30,28.53,28.97,24.99,25.58
2014-10-31,24.84,27.54,23.86,27.5
2014-11-28,27.54,28.98,25.97,28.29
2014-12-31,28.07,30.15,26.62,28.87
2015-01-30,28.64,31.54,27.44,28.43
2015-02-27,28.6,29.78,27.85,29.74
2015-03-31,29.56,33.2,27.38,32.55
2015-04-30,32.34,33.68,31.49,31.73
2015-05-29,31.9,33.64,31.33,32.54
2015-06-30,32.71,33.45,30.53,32.11
2015-07-31,31.51,35.36,30.52,35.04
2015-08-31,35.12,36.7,24.26,33.59
2015-09-30,32.68,35.27,31.97,32.96
2015-10-30,32.72,36.62,32.12,35.38
2015-11-30,35.45,35.88,33.0,35.03
2015-12-31,35.47,36.6,33.5,34.93
2016-01-29,34.11,35.18,31.24,34.22
2016-02-29,34.27,37.89,32.55,36.56
2016-03-31,36.96,41.44,36.41,41.06
2016-04-29,40.61,43.2,38.21,39.51
2016-05-31,39.76,43.28,39.38,40.95
2016-06-30,40.94,49.95,40.82,49.49
2016-07-29,49.36,51.42,49.03,50.54
2016-08-31,50.63,50.8,47.88,49.47
2016-09-30,49.32,49.98,41.8,42.53
2016-10-31,42.41,42.67,39.57,41.11
2016-11-30,41.29,43.06,39.68,40.07
2016-12-30,40.05,43.19,39.5,40.9
2017-01-31,41.22,42.72,39.88,42.09
2017-02-28,41.93,43.34,38.31,39.98
2017-03-31,40.39,40.95,38.2,38.62
2017-04-28,38.66,38.83,37.23,37.6
2017-05-31,37.65,40.3,35.66,36.83
2017-06-30,36.98,39.67,34.98,35.49
2017-07-31,35.38,36.45,33.82,36.24
2017-08-31,36.15,38.42,33.34,33.84
2017-09-29,33.84,37.12,30.98,32.34
2017-10-31,32.15,33.55,31.2,32.99
2017-11-30,33.05,38.03,30.72,37.63
2017-12-29,37.58,41.66,36.36,40.36
2018-01-31,40.5,42.25,39.29,40.05
2018-02-28,40.46,40.57,31.83,32.11
2018-03-29,32.16,34.43,25.52,26.62
2018-04-30,26.56,27.63,25.23,25.79
2018-05-31,25.93,25.98,23.06,24.34
2018-06-29,24.44,29.19,23.87,26.31
2018-07-31,26.07,28.9,25.19,28.6
2018-08-31,28.59,30.31,26.94,28.55
2018-09-28,28.54,30.65,25.15,25.46
2018-10-31,25.51,28.59,25.02,26.83
2018-11-30,26.98,29.36,24.4,25.34
2018-12-31,25.09,25.37,19.45,21.97
2019-01-31,21.85,27.99,21.15,27.96
2019-02-28,28.22,30.84,26.32,30.65
2019-03-29,30.77,35.48,29.71,35.27
2019-04-30,35.26,36.18,33.67,35.48
2019-05-31,35.57,37.67,31.79,33.45
2019-06-28,33.44,38.4,32.58,36.53
2019-07-31,36.9,39.24,36.51,37.61
2019-08-30,37.83,39.93,35.75,38.3
2019-09-30,38.28,40.9,37.89,39.62
2019-10-31,39.63,39.93,34.96,35.85
2019-11-29,35.98,38.71,35.91,38.31
2019-12-31,38.09,38.98,36.26,38.55
2020-01-31,38.62,40.05,36.81,37.7
2020-02-28,38.09,40.66,32.07,34.48
2020-03-31,34.69,45.48,32.36,38.25
2020-04-30,37.22,47.63,36.99,45.86
2020-05-29,45.47,50.28,44.45,49.01
2020-06-30,48.9,49.97,44.93,47.62
2020-07-31,46.45,51.94,45.64,49.73
2020-08-31,50.28,52.6,48.47,50.41
2020-09-30,50.38,51.98,43.38,48.14
2020-10-30,48.27,49.96,45.64,46.09
2020-11-30,46.76,49.33,44.21,47.79
2020-12-31,47.67,48.81,45.07,45.77
2021-01-29,45.55,48.94,41.44,45.58
2021-02-26,45.6,45.97,42.35,42.49
2021-03-31,42.62,50.18,41.79,48.8
2021-04-30,48.69,51.16,47.63,48.85
2021-05-28,48.85,52.642,48.85,50.85
2021-06-30,51.15,52.39,46.818,48.92
2021-07-30,48.94,50.08,46.93,47.36
2021-08-31,47.34,49.505,45.452,46.31
2021-09-30,46.42,49.75,45.17,48.32
2021-10-29,49.31,52.077,48.395,50.81
2021-11-30,50.83,53.1,50.7,50.78
2021-12-31,50.97,58.69,50.42,56.39
2022-01-31,56.21,59.47,54.9,58.2
2022-02-28,58.24,59.11,53.97,56.95
2022-03-31,56.42,58.31,51.19,57.24
2022-04-29,57.44,63.83,56.98,60.76
2022-05-31,62.18,64.02,55.08,59.88
2022-06-30,59.83,65.77,54.97,65.48
2022-07-29,65.85,67.51,62.73,65.36
2022-08-31,65.39,69.105,65.38,67.37
2022-09-30,67.06,71.81,64.35,67.18
2022-10-31,67.63,73.21,65.53,72.69
2022-11-30,72.41,76.73,66.88,76.41
2022-12-30,76.35,79.45,73.551,74.96
2023-01-31,74.67,77.52,67.89,70.01
2023-02-28,69.6,73.22,65.89,71.16
