日期,Open,High,Low,Close
2023-07-24,30.0,30.105,29.81,29.83
2023-07-25,30.34,30.855,29.7,30.64
2023-07-26,30.34,31.05,30.025,31.04
2023-07-27,31.34,31.34,30.36,30.45
2023-07-28,30.79,30.82,30.225,30.4
2023-07-31,30.24,30.73,30.18,30.58
2023-08-01,30.54,30.755,30.3,30.38
2023-08-02,30.13,30.7,30.05,30.45
2023-08-03,30.22,30.48,29.79,30.21
2023-08-04,30.2,30.435,29.69,29.74
2023-08-07,30.0,30.18,29.62,29.75
2023-08-08,29.33,29.49,28.945,29.47
2023-08-09,29.51,29.56,29.18,29.2
2023-08-10,29.33,29.62,29.225,29.3
2023-08-11,29.06,29.215,28.951,29.07
2023-08-14,28.89,29.07,28.775,29.0
2023-08-15,28.74,28.85,28.45,28.53
2023-08-16,28.29,28.63,28.29,28.39
2023-08-17,28.62,28.9,28.58,28.67
2023-08-18,28.43,28.89,28.41,28.79
2023-08-21,28.78,28.87,28.485,28.64
2023-08-22,28.78,28.89,28.58,28.6
2023-08-23,28.63,28.96,28.54,28.84
2023-08-24,28.62,28.97,28.5,28.59
2023-08-25,28.76,29.205,28.56,29.07
2023-08-28,29.3,29.455,29.21,29.29
2023-08-29,29.38,29.58,29.26,29.54
2023-08-30,29.43,29.69,29.42,29.68
2023-08-31,29.86,30.035,29.695,29.74
2023-09-01,30.08,30.18,29.635,29.78
2023-09-05,29.72,29.74,29.12,29.12
2023-09-06,28.93,29.01,28.3,28.78
2023-09-07,28.3,28.76,28.3,28.44
2023-09-08,28.38,28.44,28.11,28.29
2023-09-11,28.52,28.58,27.85,27.95
2023-09-12,27.89,28.32,27.85,28.31
2023-09-13,28.32,28.415,28.105,28.18
2023-09-14,28.37,28.485,28.21,28.4
2023-09-15,28.2,28.45,28.04,28.15
2023-09-18,28.03,28.58,28.01,28.49
2023-09-19,28.56,28.92,28.47,28.8
2023-09-20,28.92,29.1,28.48,28.54
2023-09-21,28.31,28.37,27.99,28.1
2023-09-22,28.23,28.36,28.04,28.14
2023-09-25,27.87,28.18,27.8,27.89
2023-09-26,27.49,27.685,27.015,27.04
2023-09-27,27.19,27.25,26.81,26.98
2023-09-28,27.02,27.379,26.93,27.24
2023-09-29,27.42,27.71,27.274,27.39
2023-10-02,27.19,27.26,26.88,27.13
2023-10-03,26.93,27.26,26.81,26.94
2023-10-04,27.0,27.059,26.52,26.99
2023-10-05,26.93,26.99,26.415,26.6
2023-10-06,26.42,26.74,26.09,26.5
2023-10-09,26.2,26.495,26.13,26.36
2023-10-10,25.61,26.58,25.45,26.17
2023-10-11,26.33,26.43,25.885,26.02
2023-10-12,26.19,26.29,24.78,25.05
2023-10-13,25.02,25.16,24.72,24.85
2023-10-16,25.12,25.45,24.855,25.32
2023-10-17,25.04,25.34,24.86,25.11
2023-10-18,24.85,24.96,24.475,24.52
2023-10-19,24.48,24.845,24.29,24.35
2023-10-20,24.3,24.35,24.075,24.09
2023-10-23,24.06,24.14,23.79,23.85
2023-10-24,22.51,23.835,22.18,23.78
2023-10-25,23.38,23.905,23.31,23.7
2023-10-26,23.79,24.17,23.72,23.85
2023-10-27,23.9,23.99,23.4,23.51
2023-10-30,23.68,23.8,23.29,23.58
2023-10-31,23.64,23.81,23.54,23.68
2023-11-01,23.61,23.66,23.333,23.58
2023-11-02,23.75,24.319,23.63,24.3
2023-11-03,24.73,25.222,24.73,24.85
2023-11-06,24.89,24.92,24.595,24.64
2023-11-07,24.48,24.695,24.275,24.39
2023-11-08,24.34,24.51,24.16,24.23
2023-11-09,24.41,24.44,23.95,23.99
2023-11-10,24.16,24.67,23.86,24.6
2023-11-13,24.53,24.75,24.325,24.64
2023-11-14,25.02,25.45,25.0,25.38
2023-11-15,25.57,26.11,25.555,25.87
2023-11-16,25.66,25.84,25.325,25.58
2023-11-17,25.77,25.83,25.46,25.68
2023-11-20,25.5,25.65,25.22,25.49
2023-11-21,25.45,25.58,25.23,25.31
2023-11-22,25.5,25.575,25.28,25.36
2023-11-24,25.39,25.51,25.26,25.4
2023-11-27,25.26,25.34,25.05,25.07
2023-11-28,24.97,25.16,24.77,24.96
2023-11-29,25.24,25.61,25.24,25.42
2023-11-30,25.63,25.71,25.22,25.69
2023-12-01,25.52,26.1,25.45,26.04
2023-12-04,26.08,26.19,25.73,26.06
2023-12-05,25.92,25.98,25.5,25.66
2023-12-06,25.92,26.21,25.83,25.99
2023-12-07,26.11,26.4,25.96,26.21
2023-12-08,26.28,26.575,26.21,26.31
2023-12-11,26.4,26.725,26.37,26.7
2023-12-12,26.72,26.76,26.54,26.61
2023-12-13,26.67,26.964,26.335,26.88
2023-12-14,27.05,28.0,27.05,27.77
2023-12-15,27.68,27.875,27.475,27.66
2023-12-18,27.53,27.73,27.29,27.3
2023-12-19,27.45,27.61,27.36,27.58
2023-12-20,27.49,27.619,26.94,26.95
2023-12-21,27.17,27.395,27.02,27.38
2023-12-22,27.51,27.7,27.34,27.43
2023-12-26,27.35,27.75,27.35,27.65
2023-12-27,27.67,27.775,27.57,27.76
2023-12-28,27.81,27.875,27.71,27.83
2023-12-29,27.69,27.84,27.5,27.65
2024-01-02,27.39,27.93,27.28,27.69
2024-01-03,27.38,27.549,27.175,27.33
2024-01-04,27.28,27.58,27.045,27.48
2024-01-05,27.39,27.82,27.3,27.77
2024-01-08,27.83,28.61,27.77,28.52
2024-01-09,28.22,28.34,27.71,27.79
2024-01-10,27.7,28.025,27.53,27.89
2024-01-11,27.8,27.98,27.582,27.94
2024-01-12,28.11,28.21,27.78,27.8
2024-01-16,27.53,27.6,27.165,27.42
2024-01-17,27.15,27.28,26.91,27.05
2024-01-18,27.33,27.53,27.13,27.36
2024-01-19,27.41,27.755,27.02,27.64
2024-01-22,27.7,27.97,27.69,27.82
2024-01-23,27.81,28.025,27.5,27.5
2024-01-24,27.72,27.88,27.51,27.57
2024-01-25,27.8,28.27,27.71,28.02
2024-01-26,28.13,28.29,27.99,28.06
2024-01-29,28.0,28.38,27.97,28.35
2024-01-30,30.0,31.07,29.79,30.5
2024-01-31,30.52,30.59,29.56,29.69
2024-02-01,29.55,29.64,28.965,29.29
2024-02-02,29.15,29.615,29.05,29.45
2024-02-05,29.19,29.35,28.92,29.21
2024-02-06,29.31,29.395,29.15,29.24
2024-02-07,29.26,29.32,28.76,28.99
2024-02-08,28.91,29.01,28.73,28.93
2024-02-09,28.85,29.25,28.78,29.24
2024-02-12,29.23,29.575,29.11,29.38
2024-02-13,28.87,29.03,28.165,28.48
2024-02-14,28.79,29.01,28.605,28.95
2024-02-15,29.01,29.415,29.01,29.23
2024-02-16,29.13,29.41,28.93,29.11
2024-02-20,28.84,29.5,28.83,29.49
2024-02-21,29.4,29.66,29.25,29.45
2024-02-22,29.5,29.92,29.29,29.89
2024-02-23,29.97,29.97,29.66,29.89
2024-02-26,29.81,29.97,29.705,29.71
2024-02-27,29.86,29.96,29.54,29.63
2024-02-28,29.51,29.7,29.29,29.57
2024-02-29,29.74,29.88,29.605,29.72
2024-03-01,29.77,30.1,29.56,29.93
2024-03-04,29.84,31.04,29.76,30.86
2024-03-05,30.68,30.76,29.76,29.98
2024-03-06,30.2,30.64,30.135,30.29
2024-03-07,30.34,30.38,29.74,30.08
2024-03-08,30.21,30.365,29.99,30.19
2024-03-11,30.28,30.42,29.938,30.38
2024-03-12,30.38,30.475,30.18,30.37
2024-03-13,30.48,30.52,30.085,30.21
2024-03-14,30.14,30.22,29.7,30.01
2024-03-15,29.88,30.08,29.85,29.99
2024-03-18,30.12,30.16,29.745,29.81
2024-03-19,29.65,30.03,29.55,30.03
2024-03-20,30.06,30.27,29.89,30.15
2024-03-21,30.34,30.82,30.295,30.61
2024-03-22,30.46,30.495,30.02,30.05
2024-03-25,30.02,30.19,29.93,29.95
2024-03-26,30.06,30.17,29.77,29.79
2024-03-27,29.98,30.52,29.86,30.5
2024-03-28,30.58,30.8,30.36,30.44
2024-04-01,30.42,30.49,30.12,30.15
2024-04-02,30.02,30.18,29.92,29.99
2024-04-03,29.98,30.22,29.89,30.05
2024-04-04,30.45,30.475,29.75,29.85
2024-04-05,29.81,30.125,29.755,30.02
2024-04-08,30.27,30.27,29.67,29.67
2024-04-09,29.77,30.05,29.58,30.03
2024-04-10,29.55,29.66,29.22,29.43
2024-04-11,29.9,30.01,29.51,29.75
2024-04-12,29.4,29.53,28.86,28.97
2024-04-15,29.31,29.52,28.735,28.77
2024-04-16,28.87,28.92,28.38,28.4
2024-04-17,28.49,28.92,28.43,28.46
2024-04-18,28.53,28.61,28.2,28.39
2024-04-19,28.39,28.87,28.39,28.75
2024-04-22,28.98,29.25,28.76,29.03
2024-04-23,29.05,29.34,28.96,29.01
2024-04-24,29.02,29.19,28.8,29.0
2024-04-25,28.9,29.16,28.675,28.83
2024-04-26,28.8,29.22,28.76,28.81
2024-04-29,28.85,29.28,28.85,29.26
2024-04-30,30.6,31.95,30.54,30.86
2024-05-01,30.9,31.54,30.32,30.96
2024-05-02,31.24,31.28,30.555,31.05
2024-05-03,31.24,31.35,30.99,31.2
2024-05-06,31.18,31.33,30.4,30.92
2024-05-07,31.05,31.14,30.85,30.9
2024-05-08,30.78,31.43,30.78,31.41
2024-05-09,31.48,31.7,31.415,31.68
2024-05-10,31.83,31.86,31.56,31.65
2024-05-13,31.65,31.915,31.63,31.76
2024-05-14,31.84,32.51,31.81,32.43
2024-05-15,32.53,32.62,32.35,32.59
2024-05-16,32.55,32.8,32.49,32.7
2024-05-17,32.83,32.87,32.6,32.83
2024-05-20,32.85,33.08,32.78,33.0
2024-05-21,32.88,34.279,32.88,33.96
2024-05-22,33.95,34.22,33.81,34.06
2024-05-23,34.01,34.07,33.56,33.6
2024-05-24,33.84,34.015,33.72,33.76
2024-05-28,33.66,33.71,33.22,33.33
2024-05-29,32.95,33.28,32.881,33.03
2024-05-30,34.15,34.76,33.69,34.44
