日期,Open,High,Low,Close
2020-07-24,33.196,33.424,31.087,31.232
2020-07-31,31.638,32.656,30.536,31.264
2020-08-07,32.043,32.656,31.523,31.752
2020-08-14,31.97,33.424,31.669,32.015
2020-08-21,32.181,32.815,31.298,31.661
2020-08-28,32.025,32.077,30.768,31.028
2020-09-04,31.017,31.402,29.345,29.854
2020-09-11,30.55,31.578,30.093,30.519
2020-09-18,30.56,31.215,30.425,30.675
2020-09-25,29.916,30.02,28.42,29.158
2020-10-02,29.199,29.532,28.306,28.576
2020-10-09,28.721,29.251,27.807,28.919
2020-10-16,29.054,29.054,26.987,27.88
2020-10-23,27.932,28.088,26.135,26.55
2020-10-30,26.696,27.059,24.441,24.608
2020-11-06,25.418,28.773,25.231,28.16
2020-11-13,29.355,30.685,28.805,30.214
2020-11-20,30.328,30.463,28.365,28.895
2020-11-27,28.77,29.123,28.323,28.936
2020-12-04,29.196,29.757,28.583,29.383
2020-12-11,29.487,30.069,29.071,29.476
2020-12-18,29.549,29.559,28.417,28.874
2020-12-24,27.877,28.323,27.617,27.97
2020-12-31,28.645,29.258,28.001,28.656
2021-01-08,29.611,30.598,29.196,30.255
2021-01-15,29.715,30.588,29.144,30.391
2021-01-22,30.546,30.588,29.362,30.276
2021-01-29,30.328,31.263,28.905,29.123
2021-02-05,29.456,29.591,26.562,27.056
2021-02-12,27.17,27.684,26.796,27.586
2021-02-19,27.669,27.804,26.813,26.855
2021-02-26,26.969,27.224,25.92,26.003
2021-03-05,26.284,27.411,26.076,27.354
2021-03-12,27.229,28.226,27.073,28.008
2021-03-19,28.081,29.255,27.78,29.14
2021-03-26,28.839,29.255,27.967,29.182
2021-04-01,28.87,29.317,28.107,28.299
2021-04-09,28.341,29.182,28.32,29.161
2021-04-16,28.528,30.834,28.325,30.304
2021-04-23,30.346,30.901,29.992,30.294
2021-04-30,30.335,30.439,29.847,29.878
2021-05-07,29.92,31.0,29.909,30.927
2021-05-14,31.229,31.836,30.46,31.686
2021-05-21,31.862,32.423,31.738,31.993
2021-05-28,32.014,32.118,31.303,31.91
2021-06-04,31.962,32.102,31.393,32.045
2021-06-11,32.128,33.5,31.796,33.344
2021-06-18,33.469,34.684,32.959,33.022
2021-06-25,32.959,33.791,32.18,32.959
2021-07-02,33.157,33.64,32.824,33.614
2021-07-09,33.531,33.572,32.793,33.354
2021-07-16,33.448,33.843,32.71,33.032
2021-07-23,32.295,32.767,32.014,32.679
2021-07-30,32.336,33.603,32.076,33.333
2021-08-06,33.105,34.154,32.876,33.614
2021-08-13,33.905,35.245,33.656,35.235
2021-08-20,35.068,35.972,35.068,35.648
2021-08-27,35.544,35.627,34.578,34.578
2021-09-03,34.588,35.509,34.323,35.398
2021-09-10,35.035,35.076,33.372,33.466
2021-09-17,33.757,33.757,32.24,32.614
2021-09-24,32.053,33.362,31.97,32.053
2021-10-01,32.178,32.344,31.544,31.783
2021-10-08,31.928,32.682,31.44,32.386
2021-10-15,32.209,32.957,31.897,32.697
2021-10-22,32.5,33.528,32.261,33.487
2021-10-29,33.528,36.157,33.367,36.146
2021-11-05,36.188,37.476,36.141,37.351
2021-11-12,36.863,37.403,36.541,37.216
2021-11-19,36.998,37.237,35.54,35.914
2021-11-26,35.748,36.029,35.104,35.322
2021-12-03,35.561,36.164,35.229,35.561
2021-12-10,36.226,37.66,36.081,37.556
2021-12-17,37.452,38.304,37.057,37.483
2021-12-23,37.161,38.511,37.01,38.169
2021-12-31,38.345,38.995,38.192,38.522
2022-01-07,38.532,38.647,37.665,38.262
2022-01-14,38.283,40.152,38.262,39.945
2022-01-21,40.88,41.384,39.239,39.561
2022-01-28,39.021,40.329,37.971,39.717
2022-02-04,39.218,40.246,38.974,39.249
2022-02-11,39.218,39.981,38.615,38.73
2022-02-18,38.46,38.48,37.036,37.421
2022-02-25,37.005,37.93,35.476,37.674
2022-03-04,36.894,37.248,34.723,35.076
2022-03-11,34.557,36.505,34.074,35.471
2022-03-18,35.949,38.37,35.679,38.027
2022-03-25,38.1,38.546,37.746,38.297
2022-04-01,38.442,39.066,38.068,38.931
2022-04-08,38.733,41.891,38.525,41.787
2022-04-14,42.026,42.13,41.351,41.455
2022-04-22,41.237,41.621,39.907,39.949
2022-04-29,39.585,40.967,39.419,40.375
2022-05-06,40.24,40.473,38.832,39.138
2022-05-13,38.474,38.661,37.107,38.338
2022-05-20,38.827,39.985,38.423,39.94
2022-05-27,40.283,40.584,39.254,39.462
2022-06-03,39.327,39.524,38.033,38.07
2022-06-10,38.579,40.137,38.013,39.192
2022-06-17,38.475,38.569,36.35,36.564
2022-06-24,37.311,39.088,36.963,39.078
2022-07-01,39.005,39.348,38.267,39.14
2022-07-08,38.537,38.911,37.55,37.675
2022-07-15,37.571,37.941,35.099,36.543
2022-07-22,36.506,36.751,35.58,35.98
2022-07-29,36.3,37.39,35.65,35.86
2022-08-05,35.85,35.94,33.76,34.26
2022-08-12,34.25,34.346,28.19,29.72
2022-08-19,28.22,29.23,27.94,28.12
2022-08-26,28.08,28.31,27.16,27.25
2022-09-02,27.14,27.35,25.53,25.91
2022-09-09,25.71,26.03,24.89,25.95
2022-09-16,26.41,26.95,24.55,24.89
2022-09-23,24.72,24.915,23.15,23.42
2022-09-30,23.12,23.755,22.525,23.49
2022-10-07,23.96,25.074,23.82,24.17
2022-10-14,24.16,25.13,23.82,24.77
2022-10-21,25.43,26.085,24.99,25.93
2022-10-28,25.7,27.5,25.642,27.33
2022-11-04,27.2,28.16,26.58,27.05
2022-11-11,26.03,27.56,25.28,25.64
2022-11-18,26.54,27.424,26.125,27.284
2022-11-25,27.954,28.444,27.564,28.384
2022-12-02,28.164,29.864,28.099,29.744
2022-12-09,29.434,34.134,28.634,30.364
2022-12-16,30.274,31.164,29.264,29.344
2022-12-23,29.414,30.239,29.124,29.614
2022-12-30,29.634,29.724,29.154,29.534
2023-01-06,29.334,29.984,28.624,29.314
2023-01-13,29.354,29.864,28.809,29.774
2023-01-20,29.884,30.124,29.484,29.774
2023-01-27,29.754,29.929,28.909,29.694
2023-02-03,29.954,30.184,29.149,29.224
2023-02-10,29.794,31.224,29.599,30.234
2023-02-17,30.454,30.624,29.244,30.274
2023-02-24,30.294,30.474,29.266,29.306
2023-03-03,29.636,29.816,28.796,29.396
2023-03-10,29.316,29.466,28.106,28.236
2023-03-17,28.336,28.936,27.936,28.806
2023-03-24,29.276,30.266,28.496,29.116
2023-03-31,29.466,30.476,29.416,30.316
2023-04-06,30.356,32.945,30.316,32.736
2023-04-14,32.736,33.056,32.066,32.506
2023-04-21,32.416,32.421,31.166,31.446
2023-04-28,31.486,32.056,30.436,30.766
2023-05-05,30.726,31.956,30.681,31.716
2023-05-12,31.806,31.917,30.701,31.266
2023-05-19,31.366,31.586,30.172,30.707
2023-05-26,30.507,30.757,29.027,29.337
2023-06-02,29.397,29.397,28.427,29.207
2023-06-09,29.277,29.917,29.277,29.857
2023-06-16,29.667,30.572,29.357,30.247
2023-06-23,29.897,31.667,29.657,31.477
2023-06-30,31.487,31.547,30.122,30.737
2023-07-07,30.697,30.707,28.807,28.907
2023-07-14,28.877,30.221,28.797,29.627
2023-07-21,29.627,30.902,29.537,30.847
2023-07-28,30.657,31.477,30.497,30.537
2023-08-04,30.637,30.737,29.067,29.477
2023-08-11,29.597,30.647,29.537,30.427
2023-08-18,30.277,30.617,29.871,29.911
2023-08-25,30.001,30.491,29.851,30.211
2023-09-01,30.191,31.236,30.191,30.471
2023-09-08,30.411,32.041,29.756,31.991
2023-09-15,32.191,33.241,32.011,32.871
2023-09-22,33.141,33.651,32.646,32.871
2023-09-29,32.821,33.196,31.531,31.691
2023-10-06,31.531,32.241,31.211,32.091
2023-10-13,32.391,33.141,32.071,32.121
2023-10-20,31.751,32.431,30.687,31.021
2023-10-27,31.201,31.726,29.931,30.001
2023-11-03,30.791,31.151,29.116,29.881
2023-11-10,30.101,30.741,29.331,29.851
2023-11-17,29.941,31.097,29.766,30.997
2023-11-24,30.767,31.757,30.767,31.607
2023-12-01,31.717,32.387,31.147,32.367
2023-12-08,32.237,32.537,31.602,31.737
2023-12-15,32.027,33.187,31.667,31.677
2023-12-22,32.297,32.956,31.977,32.787
2023-12-29,32.677,33.142,32.612,32.857
2024-01-05,32.697,35.107,32.617,35.007
2024-01-12,35.087,36.137,35.037,35.897
2024-01-19,35.947,35.977,35.058,35.477
2024-01-26,35.207,35.527,34.357,34.867
2024-02-02,34.987,37.107,34.657,36.517
2024-02-09,37.562,38.007,37.102,37.707
2024-02-16,37.207,38.027,36.677,37.737
2024-02-23,38.057,38.652,37.547,38.422
2024-03-01,38.722,38.892,37.977,38.232
2024-03-08,38.242,40.042,38.222,39.342
2024-03-15,39.082,39.572,38.012,38.392
