日期,Open,High,Low,Close
2020-07-24,147.73,150.81,138.32,138.47
2020-07-31,137.1,141.18,133.3,134.96
2020-08-07,135.49,145.8,133.53,145.27
2020-08-14,146.59,153.95,143.61,144.97
2020-08-21,144.0,144.85,136.82,139.43
2020-08-28,140.11,150.0,138.32,144.71
2020-09-04,143.75,153.48,141.26,149.19
2020-09-11,147.76,148.21,137.2,139.17
2020-09-18,141.55,142.05,130.63,133.11
2020-09-25,128.15,135.71,124.12,133.2
2020-10-02,136.03,141.38,133.54,138.15
2020-10-09,140.18,148.06,137.84,145.79
2020-10-16,145.66,153.14,144.06,144.46
2020-10-23,145.64,149.63,140.26,143.29
2020-10-30,140.74,141.06,123.77,127.29
2020-11-06,130.25,142.64,126.48,139.51
2020-11-13,152.74,159.21,147.62,157.33
2020-11-20,161.78,165.97,156.58,161.6
2020-11-27,164.31,176.37,163.98,173.65
2020-12-04,170.3,179.25,168.61,179.08
2020-12-11,178.04,184.86,174.95,179.49
2020-12-18,182.78,185.43,176.69,181.63
2020-12-24,189.79,200.35,188.26,195.66
2020-12-31,197.31,203.43,196.0,203.21
2021-01-08,206.5,235.39,199.66,229.58
2021-01-15,226.3,248.91,223.7,240.51
2021-01-22,244.5,246.1,225.0,228.89
2021-01-29,225.03,225.85,210.12,210.67
2021-02-05,212.16,236.74,211.5,233.0
2021-02-12,234.5,246.2,234.0,245.82
2021-02-19,249.5,256.28,247.084,255.12
2021-02-26,252.5,275.313,250.08,258.98
2021-03-05,265.75,280.85,257.215,268.12
2021-03-12,272.11,290.75,266.32,289.56
2021-03-19,290.19,297.6,278.5,284.95
2021-03-26,281.81,283.63,262.67,268.14
2021-04-01,261.1,276.5,258.47,268.39
2021-04-09,273.6,275.65,263.715,271.56
2021-04-16,273.42,285.219,264.93,283.06
2021-04-23,280.75,285.18,268.31,280.1
2021-04-30,282.69,294.58,281.64,289.2
2021-05-07,291.09,312.4,283.32,311.64
2021-05-14,314.25,317.73,294.0,309.52
2021-05-21,308.53,313.83,294.1,307.01
2021-05-28,308.07,315.07,302.66,314.02
2021-06-04,319.7,334.05,318.31,333.45
2021-06-11,335.0,335.26,314.345,320.05
2021-06-18,319.43,320.75,290.125,290.83
2021-06-25,294.89,313.15,293.04,310.77
2021-07-02,309.8,323.64,305.86,316.16
2021-07-09,315.23,315.631,297.592,313.76
2021-07-16,312.31,327.33,305.83,306.8
2021-07-23,296.0,320.0,291.0,316.05
2021-07-30,315.18,321.95,311.22,316.88
2021-08-06,318.17,340.86,313.77,339.89
2021-08-13,338.59,360.62,335.58,352.78
2021-08-20,350.99,350.99,332.91,337.87
2021-08-27,343.89,362.73,341.0,361.69
2021-09-03,361.95,362.76,352.76,355.31
2021-09-10,355.0,358.73,347.16,347.48
2021-09-17,351.41,361.01,332.83,335.46
2021-09-24,321.82,337.74,316.5,334.85
2021-10-01,340.58,348.21,319.845,324.0
2021-10-08,324.21,341.85,316.82,336.81
2021-10-15,336.9,351.272,322.625,350.07
2021-10-22,352.01,359.94,348.615,358.32
2021-10-29,360.21,363.81,353.06,357.35
2021-11-05,361.07,370.158,347.028,351.08
2021-11-12,353.89,357.65,341.245,348.91
2021-11-19,350.0,351.34,325.04,331.39
2021-11-26,337.16,351.48,326.715,333.39
2021-12-03,338.0,340.37,321.26,328.73
2021-12-10,334.67,347.75,329.49,337.06
2021-12-17,337.19,345.84,326.598,327.8
2021-12-23,321.52,333.61,312.65,331.04
2021-12-31,332.99,337.333,326.835,328.55
2022-01-07,335.0,358.66,332.433,343.51
2022-01-14,347.32,350.37,321.0,326.94
2022-01-21,306.04,307.57,286.72,289.91
2022-01-28,283.32,296.48,272.23,293.01
2022-02-04,290.6,316.95,289.44,313.6
2022-02-11,311.49,323.4,306.77,309.06
2022-02-18,309.06,311.89,289.37,292.04
2022-02-25,288.46,296.7,272.947,296.12
2022-03-04,286.25,289.84,272.0,277.67
2022-03-11,274.82,285.465,266.55,275.0
2022-03-18,277.21,294.765,270.9,293.38
2022-03-25,293.26,294.3,282.3,285.49
2022-04-01,286.15,292.0,275.57,278.22
2022-04-08,278.0,279.87,256.2,269.39
2022-04-14,268.61,281.03,262.72,269.64
2022-04-22,268.65,295.35,267.47,267.77
2022-04-29,264.38,270.16,252.71,253.49
2022-05-06,253.81,272.8,250.21,260.96
2022-05-13,256.92,263.15,241.9,254.99
2022-05-20,253.95,262.315,247.41,254.8
2022-05-27,260.72,276.67,254.43,276.58
2022-06-03,274.01,279.72,265.83,268.68
2022-06-10,273.0,275.21,236.85,237.02
2022-06-17,229.0,244.48,228.15,229.79
2022-06-24,237.77,253.13,228.93,252.75
2022-07-01,253.06,258.97,241.72,249.23
2022-07-08,243.0,250.892,238.36,246.47
2022-07-15,243.2,249.08,227.84,243.87
2022-07-22,255.76,279.045,248.71,273.93
2022-07-29,275.97,285.18,267.76,283.39
2022-08-05,281.73,286.91,277.22,284.67
2022-08-12,287.11,306.05,284.34,303.82
2022-08-19,301.0,308.62,297.5,299.27
2022-08-26,292.44,298.74,286.0,286.4
2022-09-02,283.92,292.815,277.12,283.98
2022-09-09,284.82,293.53,275.75,292.6
2022-09-16,294.16,296.865,272.29,278.71
2022-09-23,273.07,282.29,249.96,254.47
2022-09-30,251.5,254.91,241.119,245.55
2022-10-07,249.67,267.66,243.6,253.58
2022-10-14,256.13,264.115,240.25,252.49
2022-10-21,256.91,278.275,256.64,277.6
2022-10-28,281.0,295.08,278.35,294.32
2022-11-04,293.57,310.88,293.07,310.41
2022-11-11,312.51,339.5,311.019,337.67
2022-11-18,336.5,342.078,327.51,331.7
2022-11-25,331.4,341.94,327.92,341.36
2022-12-02,337.93,341.5,330.1,335.58
2022-12-09,333.55,333.87,311.055,314.14
2022-12-16,313.57,333.56,298.406,301.35
2022-12-23,301.27,305.88,294.88,300.51
2022-12-30,301.51,302.75,294.3,298.38
2023-01-06,300.5,305.31,295.14,303.08
2023-01-13,306.88,329.35,304.5,329.0
2023-01-20,319.8,321.79,293.21,296.84
2023-01-27,296.67,310.99,291.158,308.7
2023-02-03,308.29,329.57,307.4,324.95
2023-02-10,324.0,334.68,319.555,326.28
2023-02-17,324.09,332.05,321.86,323.5
2023-02-24,321.72,322.88,313.041,318.85
2023-03-03,323.22,325.3,297.99,314.59
2023-03-10,315.56,316.36,283.53,285.17
2023-03-17,277.17,283.88,259.373,261.04
2023-03-24,264.28,279.721,262.86,270.07
2023-03-31,276.12,284.83,273.62,284.61
2023-04-06,283.64,286.48,276.87,279.9
2023-04-14,279.9,297.13,278.81,294.42
2023-04-21,293.5,299.86,283.63,299.16
2023-04-28,299.49,302.56,292.14,300.94
2023-05-05,301.55,304.96,276.06,284.52
2023-05-12,287.14,287.8,274.82,277.0
2023-05-19,277.92,289.45,275.56,283.65
2023-05-26,283.65,290.37,276.3,289.51
2023-06-02,289.58,290.03,274.02,283.65
2023-06-09,282.93,297.84,280.32,296.02
2023-06-16,298.44,307.73,295.695,298.31
2023-06-23,295.32,295.38,274.07,274.71
2023-06-30,275.13,286.03,270.56,282.54
2023-07-07,282.41,289.4,272.7,275.17
2023-07-14,276.67,293.35,274.58,286.19
2023-07-21,285.89,315.08,284.36,311.96
2023-07-28,312.83,321.62,311.61,313.23
2023-08-04,314.88,318.73,308.62,313.22
2023-08-11,315.4,317.67,297.55,300.73
2023-08-18,297.41,298.45,283.195,284.93
2023-08-25,285.39,287.49,278.0,280.15
2023-09-01,281.34,294.66,281.34,290.15
2023-09-08,290.09,291.23,282.055,288.27
2023-09-15,291.01,308.94,286.75,305.29
2023-09-22,305.29,307.72,289.58,290.64
2023-09-29,289.82,292.035,281.73,286.32
2023-10-06,284.78,286.33,266.23,275.23
2023-10-13,271.65,279.6,270.77,272.05
2023-10-20,275.93,278.93,260.85,262.8
2023-10-27,261.04,266.3,252.107,252.66
2023-11-03,256.2,292.08,256.04,290.37
2023-11-10,289.41,291.65,282.41,288.26
2023-11-17,286.91,304.525,286.28,301.94
2023-11-24,302.75,304.065,297.3,301.9
2023-12-01,301.94,314.39,297.62,313.93
2023-12-08,311.8,317.79,306.04,316.33
2023-12-15,316.94,351.7,314.55,346.01
2023-12-22,346.76,350.63,340.045,346.15
2023-12-29,346.15,353.26,345.55,351.27
2024-01-05,348.5,354.97,342.263,351.94
2024-01-12,351.47,354.58,340.18,343.25
2024-01-19,343.86,350.51,337.57,347.7
2024-01-26,351.86,358.23,342.25,343.29
2024-02-02,341.39,359.41,339.74,353.36
2024-02-09,350.1,353.61,346.5,349.76
2024-02-16,350.5,361.85,340.7,349.94
2024-02-23,346.45,362.29,346.35,356.55
2024-03-01,356.55,364.23,353.5,356.35
2024-03-08,357.06,365.74,352.77,355.24
2024-03-15,353.92,364.63,349.67,355.46
2024-03-22,356.9,385.01,351.66,375.07
2024-03-28,375.12,387.45,372.11,385.94
2024-04-05,384.93,387.25,369.72,376.32
2024-04-12,377.35,381.471,355.37,357.74
2024-04-19,375.25,381.115,363.43,372.25
2024-04-26,375.19,396.78,372.82,395.82
2024-05-03,395.82,410.55,393.44,406.43
2024-05-10,410.0,427.0,407.93,422.98
2024-05-17,424.52,436.909,421.57,435.97
2024-05-24,436.45,439.73,425.66,429.43
2024-05-31,428.19,431.94,418.6,427.52
2024-06-07,429.87,435.52,420.21,425.91
2024-06-14,423.33,428.64,410.15,417.46
2024-06-21,416.1,431.41,414.39,421.18
2024-06-28,422.25,435.08,413.8,423.32
2024-07-05,425.51,440.89,425.01,435.75
2024-07-12,438.65,454.44,432.58,450.88
2024-07-19,451.25,480.475,447.307,455.93
2024-07-26,455.56,475.0,453.381,470.03
2024-08-02,471.42,488.26,438.21,441.64
2024-08-09,418.59,463.0,408.37,461.26
2024-08-16,461.26,477.91,454.75,475.26
2024-08-23,476.0,483.44,465.033,480.42
2024-08-30,483.34,485.185,469.47,484.25
2024-09-06,481.47,483.7,451.06,453.61
2024-09-13,459.53,468.28,431.48,452.99
2024-09-20,455.43,480.41,453.49,472.43
2024-09-27,472.21,479.4,464.395,472.51
2024-10-04,468.89,470.515,458.2,469.16
2024-10-11,468.63,491.97,464.79,490.3
2024-10-18,491.65,514.51,489.51,502.5
2024-10-25,502.0,503.85,484.74,486.6
2024-11-01,489.4,504.785,488.53,493.35
2024-11-08,492.0,572.605,484.51,563.26
2024-11-15,572.9,581.15,560.24,567.54
2024-11-22,568.71,577.94,549.51,576.78
2024-11-29,582.79,586.73,567.0,582.57
2024-12-06,585.0,588.91,571.37,576.68
2024-12-13,575.99,580.0,560.76,562.48
2024-12-20,565.0,565.27,521.49,543.1
2024-12-27,542.0,559.79,538.8,553.18
2025-01-03,544.27,561.31,542.1,557.13
2025-01-10,561.98,570.65,535.01,537.0
2025-01-17,534.88,604.0,533.76,602.94
2025-01-24,593.81,622.538,586.0,613.9
2025-01-31,602.0,627.0,601.46,617.4
2025-02-07,603.0,640.87,599.48,632.9
2025-02-14,636.02,640.26,616.105,637.55
2025-02-21,639.59,649.19,600.435,602.6
2025-02-28,610.51,614.3,583.0,602.29
2025-03-07,602.4,608.783,524.91,539.67
2025-03-14,522.3,526.465,500.06,521.41
2025-03-21,521.23,548.436,520.0,545.14
2025-03-28,555.0,572.64,517.71,523.12
2025-04-04,513.82,547.32,440.0,450.81
2025-04-11,426.9,502.0,419.38,474.44
2025-04-17,490.0,498.65,472.69,489.49
2025-04-25,485.4,531.79,474.68,524.86
2025-05-02,524.86,549.78,511.45,546.1
2025-05-09,538.36,552.16,527.06,547.1
2025-05-16,576.255,600.79,568.08,599.03
2025-05-23,589.19,599.38,562.5,578.54
2025-05-30,585.895,598.63,576.83,583.45
2025-06-06,581.6,604.375,575.17,597.0
2025-06-13,597.75,612.84,592.311,596.54
2025-06-20,602.0,625.64,601.0,623.8
2025-06-27,622.26,677.197,613.01,673.81
2025-07-03,697.265,709.0,683.61,706.68
2025-07-11,704.7,706.97,676.77,687.95
2025-07-18,687.74,700.45,674.3,691.26
2025-07-25,692.14,712.89,674.88,711.98
2025-08-01,711.0,720.88,677.05,692.57
2025-08-08,698.2,715.94,697.55,704.27
2025-08-15,705.2,732.05,698.74,713.72
2025-08-22,712.5,727.835,688.55,724.89
2025-08-29,724.89,736.33,716.86,732.25
2025-09-05,723.385,744.35,708.157,725.21
2025-09-12,726.42,780.17,720.57,767.06
2025-09-19,769.95,796.66,766.69,792.0
2025-09-26,788.14,812.25,769.01,789.51
2025-10-03,794.8,796.62,759.445,776.98
2025-10-10,782.0,792.322,751.0,751.36
2025-10-17,764.88,778.05,727.01,737.77
2025-10-24,744.0,771.61,730.11,770.88
2025-10-31,776.0,794.14,765.82,776.37
2025-11-07,776.57,793.0,749.8,773.34
2025-11-14,783.08,828.28,765.0,777.91
2025-11-21,777.0,803.0,741.0,761.03
2025-11-28,765.635,817.57,762.363,813.04
2025-12-05,805.59,847.2,796.61,845.56
2025-12-12,852.1,910.098,847.3,878.96
2025-12-19,883.0,895.47,859.441,884.48
2025-12-26,887.52,904.318,884.7,898.04
2026-01-02,897.45,905.44,867.79,905.34
