日期,Open,High,Low,Close
2020-07-24,10.62,11.83,10.29,11.62
2020-07-31,11.61,12.02,11.01,11.24
2020-08-07,11.24,12.66,11.16,11.8
2020-08-14,11.89,13.73,11.84,13.54
2020-08-21,13.43,13.8,12.52,12.65
2020-08-28,12.79,13.6,12.49,13.18
2020-09-04,13.11,13.635,12.445,12.945
2020-09-11,12.445,12.535,10.945,11.225
2020-09-18,11.265,12.305,11.045,11.405
2020-09-25,10.675,10.775,8.965,9.325
2020-10-02,9.655,9.875,7.555,8.265
2020-10-09,8.505,9.915,8.365,9.535
2020-10-16,9.535,10.135,9.165,9.205
2020-10-23,9.185,10.455,8.805,10.265
2020-10-30,9.995,10.025,7.945,9.015
2020-11-06,9.305,10.215,8.935,9.235
2020-11-13,11.155,12.075,10.735,11.285
2020-11-20,11.995,13.235,11.755,12.855
2020-11-27,13.215,15.235,13.105,14.515
2020-12-04,14.315,16.53,13.515,16.43
2020-12-11,16.41,17.36,15.53,16.83
2020-12-18,17.13,17.54,15.83,16.68
2020-12-24,15.82,16.98,15.58,16.21
2020-12-31,16.25,16.59,15.33,15.9
2021-01-08,16.22,18.21,15.57,17.12
2021-01-15,16.38,19.23,16.27,17.74
2021-01-22,18.11,18.39,15.45,16.24
2021-01-29,15.99,16.14,14.23,14.63
2021-02-05,15.02,16.67,14.57,15.98
2021-02-12,16.26,17.31,16.03,17.17
2021-02-19,17.59,17.95,16.385,17.2
2021-02-26,17.2,19.73,16.4,18.83
2021-03-05,19.33,20.945,18.125,20.885
2021-03-12,20.995,21.785,20.365,21.065
2021-03-19,21.135,21.475,18.755,18.835
2021-03-26,18.795,18.865,17.075,18.835
2021-04-01,18.595,18.995,17.925,18.965
2021-04-09,18.965,19.045,17.717,18.115
2021-04-16,18.325,19.03,17.585,17.735
2021-04-23,17.665,18.095,15.395,16.105
2021-04-30,16.085,17.655,15.685,16.605
2021-05-07,17.175,20.035,17.005,19.995
2021-05-14,20.165,20.665,18.835,20.105
2021-05-21,19.935,21.02,18.945,19.505
2021-05-28,19.635,19.87,18.95,19.495
2021-06-04,20.09,22.09,20.05,21.81
2021-06-11,21.765,22.05,20.75,21.12
2021-06-18,21.26,21.53,19.01,19.08
2021-06-25,19.35,21.49,19.31,21.03
2021-07-02,20.91,21.26,19.725,20.87
2021-07-09,20.71,20.785,18.12,19.47
2021-07-16,19.13,19.75,17.1,17.15
2021-07-23,16.22,18.24,15.98,17.2
2021-07-30,17.16,18.6,17.16,17.77
2021-08-06,17.79,18.46,16.235,17.09
2021-08-13,16.67,17.87,16.348,17.22
2021-08-20,16.83,16.89,14.908,15.3
2021-08-27,15.91,17.84,15.815,17.64
2021-09-03,18.03,18.07,16.755,17.305
2021-09-10,17.095,17.505,16.225,16.665
2021-09-17,16.975,18.19,16.97,17.405
2021-09-24,16.695,18.325,16.255,18.135
2021-10-01,18.705,20.34,18.585,19.415
2021-10-08,20.005,21.25,19.565,21.075
2021-10-15,21.61,23.21,20.945,23.145
2021-10-22,23.265,23.815,22.265,23.025
2021-10-29,23.415,23.885,21.965,22.125
2021-11-05,22.425,22.82,21.265,21.825
2021-11-12,21.945,22.475,20.387,20.705
2021-11-19,20.585,21.075,18.815,19.175
2021-11-26,19.085,20.775,18.365,18.785
2021-12-03,19.525,19.695,17.905,19.135
2021-12-10,19.495,21.16,19.222,21.11
2021-12-17,20.73,20.8,18.69,19.29
