日期,Open,High,Low,Close
2011-07-29,-0.045,0.135,-0.685,-0.565
2011-08-31,-0.455,-0.445,-2.135,-1.585
2011-09-30,-1.585,-1.395,-2.145,-1.765
2011-10-31,-1.795,-0.975,-2.045,-1.385
2011-11-30,-1.575,-1.045,-1.905,-1.315
2011-12-30,-1.355,-0.835,-1.595,-1.035
2012-01-31,-0.895,-0.415,-0.965,-0.805
2012-02-29,-0.785,-0.375,-0.825,-0.685
2012-03-30,-0.635,0.095,-1.035,-0.045
2012-04-30,-0.035,0.255,-0.335,0.205
2012-05-31,0.205,0.345,-0.375,0.055
2012-06-29,-0.105,0.005,-0.655,-0.045
2012-07-31,-0.045,0.345,-0.285,-0.235
2012-08-31,-0.215,0.205,-0.335,0.145
2012-09-28,0.135,0.835,0.035,0.485
2012-10-31,0.545,0.845,-0.135,-0.015
2012-11-30,-0.015,0.165,-0.595,-0.245
2012-12-31,-0.225,0.145,-0.415,0.025
2013-01-31,0.225,0.735,0.115,0.595
2013-02-28,0.655,0.875,0.385,0.665
2013-03-28,0.635,1.225,0.575,1.045
2013-04-30,1.075,1.185,0.495,0.845
2013-05-31,0.825,1.625,0.725,1.425
2013-06-28,1.425,1.685,1.105,1.595
2013-07-31,1.675,2.385,1.625,2.275
2013-08-30,2.325,2.505,1.865,1.965
2013-09-30,2.055,2.505,1.875,2.035
2013-10-31,2.075,2.835,1.815,2.575
2013-11-29,2.655,3.025,2.405,2.945
2013-12-31,2.945,3.555,2.695,3.475
2014-01-31,3.425,3.735,2.895,2.895
2014-02-28,2.845,3.415,2.485,3.355
2014-03-31,3.325,3.985,3.265,3.845
2014-04-30,3.895,4.165,2.865,3.035
2014-05-30,3.055,3.345,2.765,3.145
2014-06-30,3.155,3.645,3.085,3.465
2014-07-31,3.485,3.935,3.215,3.745
2014-08-29,3.705,3.875,3.335,3.765
2014-09-30,3.815,4.275,3.635,3.705
2014-10-31,3.705,3.885,2.775,3.875
2014-11-28,3.925,4.315,3.755,4.085
2014-12-31,4.085,4.775,3.885,4.555
2015-01-30,4.635,4.635,3.665,4.045
2015-02-27,4.125,5.055,4.015,4.975
2015-03-31,4.945,5.395,4.725,5.145
2015-04-30,5.125,5.415,4.765,4.955
2015-05-29,5.055,5.585,4.895,5.215
2015-06-30,5.245,5.875,5.035,5.465
2015-07-31,5.595,6.055,5.165,5.835
2015-08-31,5.855,6.035,4.155,5.065
2015-09-30,4.855,5.265,4.375,4.815
2015-10-30,4.835,5.655,4.425,5.185
2015-11-30,5.255,6.005,5.215,5.915
2015-12-31,5.965,6.085,4.895,5.315
2016-01-29,5.045,5.095,2.115,2.865
2016-02-29,2.845,3.275,2.225,3.035
2016-03-31,3.135,4.175,3.085,3.895
2016-04-29,3.865,4.715,3.575,4.415
2016-05-31,4.495,5.005,3.975,4.805
2016-06-30,4.685,4.955,2.615,3.365
2016-07-29,3.315,3.955,2.655,3.925
2016-08-31,3.965,4.435,3.625,4.435
2016-09-30,4.475,4.535,4.015,4.355
2016-10-31,4.325,5.355,4.065,5.095
2016-11-30,5.145,7.165,4.565,6.955
2016-12-30,7.095,8.135,7.035,7.795
2017-01-31,8.035,8.745,7.435,8.105
2017-02-28,8.275,8.915,7.735,8.715
2017-03-31,9.055,9.315,7.025,8.045
2017-04-28,8.175,8.175,7.175,7.515
2017-05-31,7.595,7.985,6.875,7.195
2017-06-30,7.255,8.515,6.975,8.255
2017-07-31,8.375,8.655,7.635,7.985
2017-08-31,8.075,8.295,7.205,7.325
2017-09-29,7.365,8.865,6.875,8.775
2017-10-31,8.825,9.085,8.415,8.615
2017-11-30,8.755,9.585,7.855,9.215
2017-12-29,9.265,9.845,8.735,9.485
2018-01-31,9.635,11.245,9.415,11.105
2018-02-28,11.065,11.455,9.895,10.625
2018-03-29,10.645,11.525,9.715,10.135
2018-04-30,10.105,10.285,9.415,9.945
2018-05-31,9.865,10.545,9.295,9.905
2018-06-29,10.195,10.945,9.875,9.905
2018-07-31,9.995,10.865,9.645,10.585
2018-08-31,10.695,11.535,10.505,11.355
2018-09-28,11.325,11.665,10.135,10.205
2018-10-31,10.345,10.955,8.415,9.615
2018-11-30,9.695,10.255,9.355,9.875
2018-12-31,10.095,10.135,6.545,7.345
2019-01-31,7.205,9.145,7.145,8.665
2019-02-28,8.755,10.035,8.615,9.835
2019-03-29,9.875,10.035,7.715,8.245
2019-04-30,8.335,9.625,8.335,9.485
2019-05-31,9.445,9.675,8.195,8.215
2019-06-28,8.165,9.705,8.145,9.525
2019-07-31,9.705,10.375,9.145,9.955
2019-08-30,9.925,10.035,8.035,8.955
2019-09-30,8.845,10.675,8.475,10.125
2019-10-31,10.205,10.495,9.255,9.985
2019-11-29,10.145,11.015,10.055,10.745
2019-12-31,10.825,11.485,10.305,11.085
2020-01-31,11.125,11.165,9.365,9.575
2020-02-28,9.705,10.245,7.915,8.275
2020-03-31,8.235,9.365,3.005,4.365
2020-04-30,3.955,5.935,2.975,5.395
2020-05-29,5.125,5.875,3.145,5.045
2020-06-30,5.075,7.835,4.965,5.345
2020-07-31,5.325,6.135,4.315,5.575
2020-08-31,5.675,6.725,5.385,5.715
2020-09-30,5.615,6.585,4.975,5.625
2020-10-30,5.745,7.015,5.365,6.895
2020-11-30,7.055,9.415,6.515,8.535
2020-12-31,8.965,9.685,8.605,9.235
2021-01-29,9.355,11.725,9.025,9.835
2021-02-26,9.875,13.095,9.625,11.945
2021-03-31,12.315,13.665,11.84,12.475
2021-04-30,12.515,13.29,11.055,12.075
2021-05-28,12.275,12.835,11.825,12.615
2021-06-30,12.725,12.945,9.915,11.175
2021-07-30,11.235,11.405,9.975,10.985
2021-08-31,11.055,12.69,10.705,12.435
2021-09-30,12.475,13.015,11.22,12.515
2021-10-29,12.635,13.855,12.44,12.795
2021-11-30,12.915,13.68,11.865,11.895
2021-12-31,12.335,12.89,11.455,12.63
2022-01-31,12.71,15.0,11.92,12.27
2022-02-28,12.28,13.72,11.59,12.73
2022-03-31,12.51,12.945,11.19,11.985
2022-04-29,12.195,12.27,10.485,10.515
2022-05-31,10.585,11.365,9.92,11.245
2022-06-30,11.235,11.326,9.245,9.55
2022-07-29,9.39,11.005,9.19,10.81
2022-08-31,10.72,12.07,10.6,10.92
2022-09-30,10.88,12.1,10.375,10.855
2022-10-31,11.005,12.995,10.445,12.855
2022-11-30,12.975,13.265,12.315,13.155
2022-12-30,13.135,13.415,11.26,11.93
2023-01-31,12.12,13.025,11.58,13.0
2023-02-28,12.83,13.45,12.69,13.15
2023-03-31,13.14,13.19,7.77,9.185
2023-04-28,9.255,10.025,8.695,9.185
2023-05-31,9.195,9.23,7.115,8.295
2023-06-30,8.375,9.475,8.205,8.92
2023-07-31,8.99,10.46,8.59,10.38
2023-08-31,10.35,10.495,8.73,9.23
