日期,Open,High,Low,Close
2020-07-24,127.231,130.095,122.214,122.599
2020-07-31,121.977,128.525,120.199,122.54
2020-08-07,123.29,128.357,119.419,128.208
2020-08-14,128.258,136.247,128.258,134.203
2020-08-21,133.956,134.796,129.196,131.458
2020-08-28,132.05,142.519,130.48,142.203
2020-09-04,142.4,147.575,137.383,140.534
2020-09-11,139.052,141.383,137.186,140.296
2020-09-18,141.837,145.234,140.553,142.519
2020-09-25,138.687,139.042,130.816,135.398
2020-10-02,138.311,141.748,135.26,139.467
2020-10-09,140.83,149.787,140.464,148.128
2020-10-16,148.8,150.696,144.128,148.602
2020-10-23,148.335,152.335,144.839,149.274
2020-10-30,146.963,146.963,133.354,138.815
2020-11-06,143.012,159.604,141.936,157.895
2020-11-13,178.269,183.306,166.932,175.869
2020-11-20,180.264,183.839,174.24,176.323
2020-11-27,177.953,183.651,177.726,183.641
2020-12-04,181.429,187.078,178.22,186.871
2020-12-11,185.715,189.419,183.582,188.797
2020-12-18,190.15,190.841,182.861,184.264
2020-12-24,179.908,186.337,179.138,183.76
2020-12-31,185.212,187.187,182.13,186.891
2021-01-08,187.029,188.184,180.629,184.254
2021-01-15,182.358,184.007,179.484,180.244
2021-01-22,182.486,182.999,175.721,176.57
2021-01-29,175.672,179.632,168.966,169.776
2021-02-05,171.929,178.17,169.687,177.232
2021-02-12,178.121,179.187,175.217,177.874
2021-02-19,179.148,181.093,174.21,177.864
2021-02-26,177.351,186.337,176.738,177.588
2021-03-05,179.543,184.599,175.77,181.765
2021-03-12,182.713,190.466,181.676,189.468
2021-03-19,188.806,194.031,186.535,188.016
2021-03-26,186.239,193.725,183.039,193.567
2021-04-01,192.698,194.692,190.566,191.858
2021-04-09,193.744,202.554,191.7,201.912
2021-04-16,200.588,207.215,200.509,206.978
2021-04-23,206.583,206.973,197.211,199.462
2021-04-30,200.539,200.687,196.045,198.021
2021-05-07,199.206,204.598,195.759,203.699
2021-05-14,203.907,207.511,194.692,203.205
2021-05-21,203.699,203.699,192.757,199.097
2021-05-28,200.381,208.025,199.067,206.711
2021-06-04,208.667,209.783,204.302,205.862
2021-06-11,205.329,206.622,199.848,201.052
2021-06-18,200.796,200.825,187.997,188.53
2021-06-25,190.742,196.105,190.347,194.692
2021-07-02,195.068,197.961,191.414,197.24
2021-07-09,196.026,200.48,191.917,200.223
2021-07-16,198.781,209.625,198.04,206.138
2021-07-23,201.536,210.01,195.947,205.141
2021-07-30,204.315,209.704,201.092,209.556
2021-08-06,210.889,212.587,204.732,205.497
2021-08-13,204.598,210.432,203.393,208.469
2021-08-20,208.568,210.484,202.82,204.46
2021-08-27,204.015,210.242,204.015,207.857
2021-09-03,207.936,209.881,204.529,205.111
2021-09-10,204.46,204.46,198.653,199.196
2021-09-17,201.117,202.494,194.386,195.364
2021-09-24,192.994,198.209,191.117,196.055
2021-10-01,195.808,196.687,188.594,192.559
2021-10-08,192.164,196.717,190.061,194.584
2021-10-15,194.268,198.287,189.883,197.566
2021-10-22,195.453,201.655,194.129,194.288
2021-10-29,193.705,197.319,191.305,195.492
2021-11-05,195.571,204.371,194.954,202.84
2021-11-12,204.563,205.635,197.329,200.183
2021-11-19,200.42,201.814,195.028,196.332
2021-11-26,196.174,198.86,180.61,186.179
2021-12-03,188.155,188.155,177.262,181.528
2021-12-10,183.236,187.987,180.56,187.76
2021-12-17,187.75,189.468,182.723,183.177
2021-12-23,180.165,184.303,176.195,183.227
2021-12-31,183.691,187.147,182.921,186.476
2022-01-07,185.834,195.166,183.562,193.626
2022-01-14,193.547,199.69,189.448,195.502
2022-01-21,192.767,193.813,182.97,183.108
2022-01-28,182.219,183.883,174.17,180.037
