日期,Open,High,Low,Close
2020-07-24,384.41,387.51,371.3,372.55
2020-07-31,371.4,382.1,364.92,372.86
2020-08-07,375.64,399.25,368.31,398.35
2020-08-14,398.42,405.87,393.96,402.43
2020-08-21,401.32,403.83,392.57,399.2
2020-08-28,400.44,403.16,378.0,388.45
2020-09-04,388.16,411.53,387.1,393.6
2020-09-11,391.87,392.39,366.74,371.77
2020-09-18,375.85,387.41,371.93,383.04
2020-09-25,374.37,381.56,363.13,381.26
2020-10-02,384.38,400.095,379.675,389.345
2020-10-09,393.835,416.805,391.675,414.475
2020-10-16,417.635,426.235,399.245,418.755
2020-10-23,418.445,430.465,412.045,425.345
2020-10-30,422.605,426.035,373.525,380.315
2020-11-06,385.035,455.735,379.905,413.585
2020-11-13,429.095,434.995,389.925,414.435
2020-11-20,415.705,418.905,382.705,387.245
2020-11-27,390.365,399.025,381.095,387.525
2020-12-04,385.045,398.585,376.135,393.815
2020-12-11,390.815,393.835,369.525,372.165
2020-12-18,374.395,379.695,366.795,372.655
2020-12-24,367.615,389.085,362.275,385.865
2020-12-31,388.825,395.065,384.555,391.93
2021-01-08,399.48,430.94,382.15,418.43
2021-01-15,416.24,419.95,381.14,388.47
2021-01-22,392.17,400.5,383.74,386.84
2021-01-29,385.82,392.95,356.16,364.77
2021-02-05,367.75,372.96,355.23,360.96
2021-02-12,363.55,367.22,356.3,362.3
2021-02-19,363.17,364.9,351.88,358.57
2021-02-26,355.16,371.69,353.12,361.31
2021-03-05,363.13,382.45,362.67,381.05
2021-03-12,381.66,391.09,379.19,388.19
2021-03-19,390.5,395.41,382.06,391.48
2021-03-26,385.66,405.63,378.72,405.26
2021-04-01,405.16,411.51,393.0,395.18
2021-04-09,398.13,400.35,387.69,400.1
2021-04-16,400.86,419.59,393.91,417.64
2021-04-23,418.15,432.36,416.57,431.0
2021-04-30,431.89,433.97,417.83,427.6
2021-05-07,429.92,450.83,428.68,447.44
2021-05-14,448.24,457.8,433.53,435.11
2021-05-21,436.67,437.36,420.38,428.36
2021-05-28,428.5,429.655,419.1,420.06
2021-06-04,420.21,421.75,407.02,408.69
2021-06-11,410.68,410.68,393.72,401.54
2021-06-18,402.46,417.97,395.29,405.86
2021-06-25,407.35,427.18,405.54,424.07
2021-07-02,425.12,435.48,421.37,434.83
2021-07-09,434.06,441.7,431.62,438.71
2021-07-16,438.03,455.49,437.195,453.96
2021-07-23,450.97,455.74,439.21,454.28
2021-07-30,452.55,455.57,408.413,408.92
2021-08-06,409.06,413.73,392.56,402.27
2021-08-13,401.34,406.315,388.13,393.83
2021-08-20,392.4,398.86,388.74,396.67
2021-08-27,397.06,399.61,383.69,388.82
2021-09-03,388.48,400.98,382.2,398.62
2021-09-10,398.77,405.425,382.64,385.04
2021-09-17,387.43,396.65,380.31,390.85
2021-09-24,387.91,391.44,379.14,381.97
2021-10-01,383.77,388.04,366.85,375.31
2021-10-08,375.71,396.55,365.62,396.52
2021-10-15,396.25,428.33,392.83,424.76
2021-10-22,425.28,448.775,418.58,445.61
2021-10-29,446.82,453.49,441.31,446.92
2021-11-05,449.08,452.75,420.26,437.19
2021-11-12,438.68,441.19,423.38,429.18
2021-11-19,429.25,435.61,417.28,418.63
2021-11-26,420.15,422.14,405.76,412.25
2021-12-03,415.27,415.51,396.39,405.46
2021-12-10,410.07,446.64,407.76,444.95
2021-12-17,444.75,451.24,435.485,437.09
2021-12-23,433.41,446.48,429.56,444.3
2021-12-31,445.74,456.46,441.27,448.32
2022-01-07,445.84,450.315,335.66,347.63
2022-01-14,342.96,384.36,342.96,376.12
2022-01-21,372.11,386.085,356.76,359.71
2022-01-28,358.46,373.83,348.19,370.64
2022-02-04,367.22,423.86,367.15,414.31
2022-02-11,415.04,425.04,406.25,408.43
2022-02-18,406.74,415.58,401.9,406.21
2022-02-25,407.36,419.31,392.66,417.12
2022-03-04,409.91,426.58,409.22,425.85
2022-03-11,425.12,425.85,405.67,410.58
2022-03-18,414.72,431.46,410.28,425.07
