日期,Open,High,Low,Close
2020-07-24,57.35,59.98,56.313,57.081
2020-07-31,57.448,59.064,57.208,59.03
2020-08-07,59.584,60.659,58.504,59.218
2020-08-14,59.15,59.226,57.119,58.354
2020-08-21,58.79,61.043,58.658,60.477
2020-08-28,60.987,65.338,60.193,64.976
2020-09-04,64.812,67.393,59.25,61.381
2020-09-11,59.378,62.241,58.668,59.334
2020-09-18,60.337,62.039,58.358,59.51
2020-09-25,58.706,62.025,58.594,61.587
2020-10-02,62.693,63.692,61.749,62.151
2020-10-09,62.687,65.358,62.397,65.282
2020-10-16,66.267,67.241,64.978,66.323
2020-10-23,66.865,67.207,63.824,65.462
2020-10-30,65.002,65.438,60.281,60.907
2020-11-06,61.579,66.923,59.78,66.761
2020-11-13,65.278,66.915,61.227,64.112
2020-11-20,63.706,66.017,63.37,65.358
2020-11-27,65.558,67.395,64.63,67.219
2020-12-04,67.419,67.865,65.49,67.617
2020-12-11,67.801,68.675,66.219,67.945
2020-12-18,68.125,71.754,68.067,71.754
2020-12-24,70.944,73.181,70.506,72.051
2020-12-31,72.573,72.741,70.232,70.796
2021-01-08,70.668,71.158,67.793,71.002
2021-01-15,70.198,70.954,69.336,69.554
2021-01-22,70.098,72.263,69.774,71.742
2021-01-29,72.201,72.915,68.97,69.748
2021-02-05,70.634,75.466,70.016,75.406
2021-02-12,75.766,77.156,75.194,77.15
2021-02-19,77.328,77.861,74.858,76.08
2021-02-26,75.144,75.376,70.004,70.896
2021-03-05,72.011,73.513,64.609,67.279
2021-03-12,67.231,70.106,65.236,69.108
2021-03-19,69.108,70.588,66.365,67.375
2021-03-26,68.835,69.238,65.312,67.665
2021-04-01,67.077,70.304,65.882,69.888
2021-04-09,70.644,72.741,70.072,72.727
2021-04-16,72.691,74.752,72.019,74.159
2021-04-23,73.629,74.256,71.869,73.667
2021-04-30,73.933,74.613,72.079,72.293
2021-05-07,72.075,72.491,67.646,69.276
2021-05-14,69.24,69.24,65.979,68.495
2021-05-21,67.955,70.68,66.529,69.748
2021-05-28,70.47,72.435,70.312,71.756
2021-06-04,72.229,72.235,70.084,72.095
2021-06-11,72.107,74.926,71.803,74.872
2021-06-18,74.974,76.126,73.331,75.848
2021-06-25,75.54,78.143,74.798,77.695
2021-07-02,78.937,79.161,77.472,79.049
2021-07-09,79.253,80.527,78.143,79.685
2021-07-16,80.185,80.391,77.168,77.713
2021-07-23,77.01,81.6,76.638,81.502
2021-07-30,81.184,81.654,79.125,80.608
2021-08-06,81.306,82.322,79.855,81.884
2021-08-13,82.114,82.446,80.137,81.744
2021-08-20,81.266,81.988,79.455,81.766
2021-08-27,81.932,84.903,81.92,84.737
2021-09-03,85.081,85.751,84.239,85.605
2021-09-10,85.319,85.677,83.406,83.494
2021-09-17,84.037,84.095,81.95,83.386
2021-09-24,81.594,84.577,80.768,84.447
2021-10-01,83.953,83.953,79.271,80.976
2021-10-08,80.369,82.19,77.745,80.796
2021-10-15,80.62,84.881,80.317,84.715
2021-10-22,84.573,87.195,84.521,86.61
2021-10-29,86.886,88.076,85.975,87.782
2021-11-05,88.088,89.19,86.49,87.772
2021-11-12,88.13,89.727,86.249,88.6
2021-11-19,88.788,89.288,87.086,87.842
2021-11-26,88.0,88.0,82.308,83.609
2021-12-03,84.153,85.638,76.474,78.061
2021-12-10,77.799,82.28,76.206,81.18
2021-12-17,81.402,82.168,76.114,78.117
2021-12-23,76.75,80.275,76.474,79.987
2021-12-31,80.297,81.434,79.245,79.503
2022-01-07,79.397,79.765,71.916,72.531
2022-01-14,71.428,75.872,70.134,71.384
2022-01-21,70.634,72.196,67.687,67.703
2022-01-28,66.165,69.214,64.388,68.383
2022-02-04,68.663,71.803,67.719,70.188
2022-02-11,70.434,73.419,68.908,69.238
2022-02-18,68.958,70.682,65.318,65.496
2022-02-25,64.844,67.777,61.293,67.715
2022-03-04,67.329,69.458,65.216,65.646
2022-03-11,65.488,66.175,61.311,62.237
2022-03-18,62.049,67.993,60.147,67.979
2022-03-25,67.581,69.478,66.401,67.601
2022-04-01,67.685,71.08,67.431,69.082
2022-04-08,69.202,70.89,65.989,66.093
2022-04-14,65.484,67.239,64.636,64.688
2022-04-22,64.314,66.447,61.037,61.135
2022-04-29,60.701,62.845,59.856,59.97
2022-05-06,59.872,62.471,56.173,57.013
2022-05-13,55.723,56.215,51.418,55.933
2022-05-20,55.535,56.361,53.088,54.939
2022-05-27,55.499,58.308,52.989,58.308
2022-06-03,58.028,60.203,56.833,58.716
2022-06-10,59.531,59.942,55.07,55.28
2022-06-17,53.36,54.644,51.079,52.446
2022-06-24,53.116,57.859,52.676,57.829
2022-07-01,57.783,57.977,52.926,54.792
2022-07-08,53.966,57.637,53.834,57.221
2022-07-15,56.647,56.846,52.049,54.514
2022-07-22,55.134,59.202,53.99,57.435
2022-07-29,57.413,59.158,54.772,59.047
2022-08-05,58.427,61.441,58.045,61.208
2022-08-12,61.414,63.463,59.978,63.057
2022-08-19,62.706,63.573,60.323,60.598
2022-08-26,59.496,59.92,57.541,57.581
2022-09-02,56.881,57.627,54.346,55.072
2022-09-09,55.248,58.267,54.278,58.127
