日期,Open,High,Low,Close
2023-07-24,24.29,24.34,23.81,23.944
2023-07-25,24.26,24.775,24.22,24.775
2023-07-26,23.972,24.39,23.85,24.39
2023-07-27,23.99,23.99,23.46,23.5
2023-07-28,23.0,23.27,22.77,22.77
2023-07-31,22.41,22.643,22.23,22.23
2023-08-01,22.75,22.93,22.57,22.74
2023-08-02,22.4,22.725,22.4,22.63
2023-08-03,22.61,22.74,22.41,22.41
2023-08-04,23.51,23.54,22.25,22.25
2023-08-07,23.5,23.52,23.13,23.16
2023-08-08,23.55,23.72,23.46,23.64
2023-08-09,23.68,23.97,23.68,23.895
2023-08-10,24.01,24.11,22.58,23.15
2023-08-11,23.17,23.55,23.0,23.338
2023-08-14,23.24,23.26,22.96,22.96
2023-08-15,23.25,23.25,22.72,22.72
2023-08-16,22.92,23.221,22.75,22.79
2023-08-17,22.9,23.25,22.75,22.79
2023-08-18,22.4,22.49,22.13,22.15
2023-08-21,23.22,23.5,22.974,23.49
2023-08-22,23.5,23.55,23.06,23.06
2023-08-23,23.07,23.455,23.07,23.18
2023-08-24,22.58,23.01,22.32,22.36
2023-08-25,21.82,22.18,21.79,21.93
2023-08-28,21.6,22.86,21.6,22.53
2023-08-29,22.17,23.89,22.17,22.75
2023-08-30,22.77,23.13,22.66,22.99
2023-08-31,23.07,23.264,22.065,22.24
2023-09-01,22.75,23.347,21.88,22.74
2023-09-05,22.85,22.865,22.61,22.624
2023-09-06,22.47,22.6,22.12,22.12
2023-09-07,22.51,23.09,22.25,22.25
2023-09-08,22.78,22.96,22.26,22.45
2023-09-11,22.56,22.846,22.5,22.57
2023-09-12,22.57,22.89,22.43,22.43
2023-09-13,22.71,22.865,22.3,22.34
2023-09-14,22.79,23.0,22.79,22.905
2023-09-15,22.58,22.64,22.1,22.1
2023-09-18,21.745,21.94,21.64,21.7
2023-09-19,21.7,21.755,21.51,21.697
2023-09-20,21.92,22.21,21.13,21.97
2023-09-21,21.595,22.02,21.53,22.01
2023-09-22,21.93,22.39,21.85,22.29
2023-09-25,21.55,22.28,21.51,21.51
2023-09-26,21.65,21.795,21.55,21.55
2023-09-27,21.43,22.57,21.31,21.31
2023-09-28,21.55,21.82,21.427,21.75
2023-09-29,21.99,23.12,21.75,23.07
2023-10-02,21.24,22.24,21.03,21.87
2023-10-03,20.5,21.04,20.0,20.78
2023-10-04,20.15,20.765,19.72,19.98
2023-10-05,19.95,20.34,19.825,20.32
2023-10-06,19.82,21.0,19.81,20.99
2023-10-09,19.91,20.4,19.69,20.4
2023-10-10,20.52,20.85,20.37,20.77
2023-10-11,20.39,20.84,20.1,20.2
2023-10-12,20.06,20.39,19.658,20.3
2023-10-13,19.35,19.9,18.99,19.4
2023-10-16,19.09,19.4,18.96,19.4
2023-10-17,19.23,19.906,19.18,19.84
2023-10-18,18.81,20.185,18.79,19.2
2023-10-19,18.61,19.485,18.28,19.3
2023-10-20,18.6,19.2,18.33,18.6
2023-10-23,19.33,19.7,19.19,19.7
2023-10-24,19.41,20.5,19.07,20.4
2023-10-25,20.01,20.42,19.93,20.31
2023-10-26,19.68,19.8,19.44,19.8
2023-10-27,19.4,20.425,19.25,20.385
2023-10-30,19.2,19.6,19.2,19.6
2023-10-31,19.32,19.41,18.0,18.38
2023-11-01,19.24,19.51,19.23,19.49
2023-11-02,20.04,20.22,19.84,19.84
2023-11-03,20.19,20.429,19.71,20.09
2023-11-06,19.74,19.74,19.546,19.546
2023-11-07,19.23,19.45,19.229,19.45
2023-11-08,19.07,20.275,19.0,19.295
2023-11-09,18.0,18.24,17.0,18.24
2023-11-10,15.86,16.32,15.77,15.965
2023-11-13,15.49,15.96,15.25,15.73
2023-11-14,16.35,17.99,16.35,17.48
2023-11-15,16.18,17.915,16.18,17.8
2023-11-16,16.11,16.5,16.11,16.29
2023-11-17,16.71,16.84,16.37,16.8
2023-11-20,16.92,17.275,16.89,17.19
2023-11-21,17.03,17.034,16.821,16.99
2023-11-22,16.71,17.315,16.6,17.315
2023-11-24,16.74,16.82,16.54,16.74
2023-11-27,16.29,16.29,16.05,16.09
2023-11-28,15.55,15.98,15.55,15.98
2023-11-29,16.38,17.21,16.29,17.21
2023-11-30,16.4,17.21,16.181,16.92
2023-12-01,16.34,17.0,16.315,16.819
2023-12-04,16.63,17.0,16.59,17.0
2023-12-05,16.25,16.25,15.8,15.99
2023-12-06,15.49,15.49,14.6,15.05
2023-12-07,15.03,15.71,14.756,15.69
2023-12-08,14.93,15.15,14.87,15.15
2023-12-11,14.99,15.1,14.86,15.09
2023-12-12,14.51,14.82,14.381,14.82
2023-12-13,14.63,15.235,14.485,14.88
2023-12-14,15.6,16.45,15.5,16.39
2023-12-15,14.86,15.564,14.56,14.83
2023-12-18,14.65,15.18,14.5,14.56
2023-12-19,14.46,15.511,14.44,15.14
2023-12-20,15.14,15.16,14.61,15.0
2023-12-21,14.74,15.7,14.67,15.7
2023-12-22,15.99,15.99,15.02,15.05
2023-12-26,15.18,15.48,15.0,15.0
2023-12-27,15.15,15.8,15.09,15.765
2023-12-28,15.02,15.226,15.0,15.1
2023-12-29,15.02,15.41,15.02,15.27
2024-01-02,15.31,15.52,15.19,15.47
2024-01-03,15.17,15.75,15.141,15.27
2024-01-04,15.22,15.52,15.077,15.425
2024-01-05,15.05,15.36,15.0,15.24
2024-01-08,15.24,15.65,15.18,15.58
2024-01-09,15.34,15.46,15.305,15.4
2024-01-10,15.37,16.0,15.3,15.9
2024-01-11,15.74,15.99,15.408,15.61
2024-01-12,15.72,15.91,15.72,15.87
2024-01-16,15.59,16.98,15.45,16.81
2024-01-17,15.51,15.93,15.425,15.5
2024-01-18,15.42,15.52,15.1,15.35
2024-01-19,15.49,16.04,15.44,15.93
2024-01-22,16.12,16.96,16.08,16.93
2024-01-23,17.05,18.16,17.0,17.41
2024-01-24,17.73,18.33,17.67,17.77
2024-01-25,17.94,17.94,17.69,17.85
2024-01-26,17.9,17.95,17.53,17.79
2024-01-29,17.53,17.69,17.28,17.61
2024-01-30,17.45,17.64,17.157,17.61
2024-01-31,17.73,17.9,17.38,17.64
2024-02-01,17.57,17.82,17.25,17.36
2024-02-02,17.53,17.53,17.21,17.51
2024-02-05,17.41,17.427,17.043,17.4
2024-02-06,17.42,18.28,17.35,18.28
2024-02-07,17.52,17.68,17.34,17.39
2024-02-08,17.43,17.79,17.32,17.79
2024-02-09,17.82,17.87,17.62,17.73
2024-02-12,17.63,18.08,17.59,17.85
2024-02-13,17.64,17.76,17.44,17.51
2024-02-14,17.86,17.98,17.796,17.85
2024-02-15,17.98,18.25,17.97,18.09
2024-02-16,17.92,17.95,17.54,17.56
2024-02-20,16.9,16.92,16.55,16.66
2024-02-21,16.45,18.16,16.44,17.5
2024-02-22,20.06,21.48,19.65,21.3
2024-02-23,21.29,21.74,20.87,21.28
2024-02-26,21.73,21.99,21.18,21.4
2024-02-27,21.29,22.25,21.27,22.25
2024-02-28,21.83,22.1,21.64,21.9
2024-02-29,22.13,22.13,21.34,21.43
2024-03-01,22.25,23.22,22.05,23.0
2024-03-04,22.15,22.2,21.91,22.09
2024-03-05,21.88,21.96,21.51,21.69
2024-03-06,21.73,22.13,21.24,21.28
2024-03-07,21.82,22.38,21.81,22.05
2024-03-08,21.38,21.72,21.28,21.3
2024-03-11,21.06,22.17,20.69,22.15
2024-03-12,21.32,21.8,21.04,21.16
2024-03-13,21.2,21.34,20.77,21.2
2024-03-14,21.07,21.1,20.56,20.75
2024-03-15,20.92,21.04,20.48,20.72
2024-03-18,20.66,20.68,20.45,20.6
2024-03-19,20.56,21.15,20.49,21.01
2024-03-20,21.05,21.21,20.57,21.04
2024-03-21,21.05,21.27,20.74,20.85
2024-03-22,20.6,20.89,20.6,20.87
2024-03-25,20.94,21.01,20.68,20.72
2024-03-26,20.86,21.08,20.57,20.57
2024-03-27,21.22,21.53,21.19,21.41
2024-03-28,21.67,21.71,21.18,21.42
2024-04-01,21.83,21.83,20.86,21.03
2024-04-02,20.79,21.03,20.79,20.84
2024-04-03,21.4,22.21,21.4,22.0
2024-04-04,22.12,22.53,21.385,21.43
2024-04-05,21.42,21.87,21.32,21.59
2024-04-08,21.51,21.64,21.24,21.29
2024-04-09,21.01,21.25,20.57,21.1
2024-04-10,20.82,20.85,20.17,20.37
2024-04-11,20.67,20.67,20.23,20.34
2024-04-12,19.74,19.74,19.09,19.32
2024-04-15,19.74,20.1,19.59,19.74
2024-04-16,19.41,19.78,19.16,19.39
2024-04-17,19.51,19.51,19.05,19.26
2024-04-18,19.07,19.09,18.42,18.76
2024-04-19,18.65,18.87,18.36,18.52
2024-04-22,18.41,18.66,18.33,18.54
2024-04-23,18.48,18.86,18.48,18.63
2024-04-24,19.11,19.13,18.59,18.81
2024-04-25,17.94,17.94,17.12,17.25
2024-04-26,17.28,17.79,17.23,17.58
2024-04-29,17.77,18.23,17.77,17.93
2024-04-30,18.23,18.36,17.5,17.56
2024-05-01,17.8,17.92,17.52,17.63
2024-05-02,17.97,18.0,17.76,17.93
2024-05-03,18.43,18.45,17.88,17.95
2024-05-06,17.96,18.24,17.92,18.15
2024-05-07,18.18,18.23,17.66,17.7
2024-05-08,17.52,17.91,17.52,17.78
2024-05-09,17.89,18.08,17.85,17.87
2024-05-10,18.02,18.04,17.72,17.73
2024-05-13,17.66,18.085,17.66,17.87
2024-05-14,18.07,18.13,17.53,17.53
2024-05-15,17.79,17.85,17.52,17.52
2024-05-16,17.23,17.46,16.975,17.34
2024-05-17,17.18,17.2,16.97,16.97
2024-05-20,17.02,17.16,16.92,17.09
2024-05-21,16.7,17.19,16.67,17.05
2024-05-22,16.6,17.049,16.6,16.76
2024-05-23,17.47,17.47,16.61,16.72
2024-05-24,16.98,17.374,16.85,17.37
2024-05-28,17.85,18.52,17.815,18.48
2024-05-29,18.02,18.22,18.0,18.04
2024-05-30,18.38,18.38,18.04,18.07
2024-05-31,18.46,18.59,18.18,18.32
2024-06-03,18.12,18.41,18.07,18.36
2024-06-04,18.36,18.5,18.07,18.07
2024-06-05,18.05,18.05,17.73,17.81
2024-06-06,16.94,17.05,16.66,16.82
2024-06-07,16.28,16.6,16.16,16.35
2024-06-10,16.43,16.97,16.38,16.97
2024-06-11,16.68,16.94,16.63,16.87
2024-06-12,17.07,17.09,16.79,16.85
2024-06-13,16.6,16.6,16.1,16.29
2024-06-14,16.35,16.69,16.35,16.53
2024-06-17,16.45,16.53,16.11,16.34
2024-06-18,16.16,16.18,15.8,15.86
2024-06-20,16.25,16.38,16.02,16.09
2024-06-21,16.61,16.975,16.48,16.79
2024-06-24,16.37,16.69,16.37,16.62
2024-06-25,16.04,16.6,16.02,16.28
2024-06-26,16.18,16.61,16.17,16.49
2024-06-27,16.45,16.5,16.35,16.38
2024-06-28,15.91,16.24,15.71,16.12
2024-07-01,15.41,15.91,15.38,15.75
2024-07-02,15.53,15.55,15.2,15.27
2024-07-03,15.21,15.3,14.94,15.26
2024-07-05,15.11,15.19,14.92,15.1
2024-07-08,15.06,15.5,15.047,15.34
2024-07-09,9.24,10.373,9.14,10.19
2024-07-10,9.9,10.51,9.89,10.51
2024-07-11,10.56,11.46,10.56,11.33
2024-07-12,10.8,10.93,10.57,10.84
2024-07-15,10.25,10.5,10.01,10.4
2024-07-16,10.15,10.355,10.11,10.31
2024-07-17,10.36,10.93,10.35,10.77
2024-07-18,10.73,10.89,10.4,10.46
2024-07-19,10.39,10.42,10.3,10.41
2024-07-22,10.32,10.58,10.12,10.56
2024-07-23,10.57,11.12,10.44,11.02
2024-07-24,11.01,11.05,10.74,10.88
2024-07-25,12.67,13.16,12.25,13.09
2024-07-26,12.75,12.98,12.55,12.79
2024-07-29,12.54,13.19,12.5,13.04
2024-07-30,12.98,13.73,12.9,13.65
2024-07-31,13.81,13.97,13.67,13.75
2024-08-01,13.59,13.72,13.55,13.62
2024-08-02,13.8,13.86,13.425,13.57
2024-08-05,12.64,13.4,12.6,13.17
2024-08-06,13.07,13.56,13.05,13.52
2024-08-07,13.36,13.47,13.04,13.22
2024-08-08,13.04,13.25,13.0,13.09
2024-08-09,12.64,12.84,12.44,12.6
2024-08-12,12.67,12.68,12.19,12.385
2024-08-13,12.31,12.425,12.135,12.25
2024-08-14,12.31,12.34,12.08,12.18
2024-08-15,12.93,12.95,12.19,12.22
2024-08-16,12.3,12.71,12.21,12.64
2024-08-19,12.59,12.64,12.376,12.61
2024-08-20,12.33,12.5,12.21,12.29
2024-08-21,12.43,12.53,12.29,12.35
2024-08-22,12.3,12.3,11.97,12.12
2024-08-23,12.06,12.55,12.06,12.3
2024-08-26,12.49,12.65,12.425,12.45
2024-08-27,12.44,12.74,12.37,12.74
2024-08-28,12.45,12.54,12.3,12.37
2024-08-29,12.39,12.42,12.3,12.36
2024-08-30,12.37,12.52,12.24,12.5
2024-09-03,12.24,12.3,12.0,12.17
2024-09-04,11.85,12.23,11.79,12.14
2024-09-05,12.46,12.5,11.03,11.09
2024-09-06,10.66,11.04,10.32,10.35
2024-09-09,10.4,10.575,9.99,10.02
2024-09-10,9.63,9.7,9.47,9.68
2024-09-11,9.56,9.595,9.33,9.58
2024-09-12,9.65,9.69,9.4,9.62
2024-09-13,9.72,9.965,9.7,9.9
2024-09-16,9.93,9.93,9.505,9.54
2024-09-17,9.68,9.75,9.47,9.51
2024-09-18,9.62,9.97,9.55,9.77
2024-09-19,9.8,9.835,9.65,9.68
2024-09-20,9.51,9.54,9.36,9.48
2024-09-23,9.42,9.47,9.05,9.27
2024-09-24,9.21,9.4,9.14,9.32
2024-09-25,9.25,9.495,9.21,9.46
2024-09-26,9.54,9.93,9.51,9.92
2024-09-27,9.91,10.12,9.89,10.04
2024-09-30,9.93,10.2,9.68,9.75
2024-10-01,9.67,9.815,9.48,9.76
2024-10-02,9.95,10.09,9.91,10.01
2024-10-03,9.92,9.93,9.75,9.9
2024-10-04,10.08,10.49,10.08,10.42
2024-10-07,10.22,10.47,10.13,10.37
2024-10-08,9.99,10.04,9.73,9.82
2024-10-09,9.83,9.86,9.33,9.44
2024-10-10,7.85,8.02,7.46,7.98
2024-10-11,7.63,7.73,7.39,7.46
2024-10-14,7.49,7.93,7.33,7.9
2024-10-15,7.78,8.02,7.69,8.0
2024-10-16,8.03,8.165,7.94,8.14
2024-10-17,8.29,8.76,8.285,8.59
2024-10-18,8.53,8.66,8.38,8.56
2024-10-21,8.53,8.57,8.27,8.27
2024-10-22,8.35,8.74,8.35,8.71
2024-10-23,8.73,8.765,8.365,8.56
2024-10-24,9.12,9.41,8.77,8.77
2024-10-25,9.16,9.25,8.945,9.0
2024-10-28,8.99,9.12,8.9,8.92
2024-10-29,9.02,9.22,8.95,9.16
2024-10-30,9.12,9.38,9.11,9.3
2024-10-31,9.11,9.19,8.83,9.01
2024-11-01,9.1,9.395,9.07,9.35
2024-11-04,9.31,9.33,9.08,9.18
2024-11-05,9.18,9.26,9.15,9.21
2024-11-06,9.08,9.38,9.06,9.3
2024-11-07,9.33,10.83,9.25,10.82
2024-11-08,10.39,10.46,10.19,10.25
2024-11-11,10.26,10.54,10.22,10.51
2024-11-12,10.31,10.4,9.99,10.18
2024-11-13,10.27,10.38,10.09,10.15
2024-11-14,10.19,10.28,10.0,10.15
2024-11-15,10.11,10.13,9.81,9.82
2024-11-18,9.77,10.05,9.62,10.01
2024-11-19,9.91,10.46,9.9,10.455
2024-11-20,10.36,10.6,10.3,10.58
2024-11-21,10.52,10.78,10.445,10.76
2024-11-22,10.56,10.9,10.54,10.88
2024-11-25,10.86,10.99,10.705,10.89
2024-11-26,10.8,11.363,10.62,11.18
2024-11-27,11.06,11.47,10.94,11.33
2024-11-29,11.34,11.45,11.14,11.21
2024-12-02,11.11,11.26,10.94,11.23
2024-12-03,11.158,11.23,11.0,11.2
2024-12-04,11.25,11.59,11.17,11.36
2024-12-05,11.31,11.34,11.15,11.25
2024-12-06,11.19,11.35,11.04,11.35
2024-12-09,11.2,11.6,11.18,11.45
2024-12-10,11.54,11.78,11.52,11.71
2024-12-11,11.55,11.67,11.4,11.65
2024-12-12,11.62,11.815,11.5,11.5
2024-12-13,11.52,11.62,11.47,11.57
2024-12-16,11.68,12.2,11.65,12.08
2024-12-17,12.09,12.09,11.75,11.85
2024-12-18,12.02,12.15,11.5,11.51
2024-12-19,11.52,11.605,11.281,11.54
2024-12-20,11.31,11.78,11.285,11.66
2024-12-23,11.8,11.92,11.75,11.9
2024-12-24,12.0,12.0,11.86,11.99
2024-12-26,12.05,12.46,11.97,12.32
2024-12-27,12.4,12.59,12.33,12.38
2024-12-30,12.17,12.25,12.065,12.18
2024-12-31,12.54,12.75,12.34,12.43
2025-01-02,12.72,12.72,12.33,12.5
2025-01-03,12.37,12.58,12.25,12.49
2025-01-06,12.43,12.44,11.945,11.97
2025-01-07,12.03,12.44,12.02,12.4
2025-01-08,12.05,12.17,11.72,12.09
2025-01-10,11.99,12.02,11.79,11.85
2025-01-13,11.4,11.62,11.31,11.51
2025-01-14,11.35,11.415,11.07,11.21
2025-01-15,11.51,11.64,11.44,11.6
2025-01-16,11.62,11.7,11.39,11.66
2025-01-17,11.77,11.81,11.56,11.65
2025-01-21,12.24,12.39,12.135,12.23
2025-01-22,11.95,12.13,11.95,12.08
2025-01-23,11.79,12.04,11.76,11.93
2025-01-24,12.04,12.055,11.86,11.99
2025-01-27,12.16,12.275,11.92,12.02
2025-01-28,12.39,12.43,11.93,12.22
2025-01-29,12.28,12.295,11.9,12.15
2025-01-30,12.36,12.39,12.045,12.2
2025-01-31,12.17,12.17,11.76,11.9
2025-02-03,11.74,11.86,11.52,11.73
2025-02-04,11.6,11.65,11.37,11.4
2025-02-05,11.38,11.4,10.76,11.02
2025-02-06,10.395,10.8,10.36,10.65
2025-02-07,10.24,10.32,9.45,9.58
2025-02-10,9.58,9.63,9.395,9.54
2025-02-11,9.5,10.09,9.48,10.085
2025-02-12,10.07,10.19,9.745,9.83
2025-02-13,9.8,10.09,9.74,10.08
2025-02-14,10.18,10.19,9.755,9.83
2025-02-18,10.4,10.84,10.37,10.83
2025-02-19,10.64,11.27,10.525,10.91
2025-02-20,8.98,9.69,8.98,8.99
2025-02-21,8.82,9.015,8.38,8.45
2025-02-24,8.47,8.47,8.13,8.25
2025-02-25,7.88,8.29,7.62,8.26
2025-02-26,8.21,8.6,8.04,8.58
2025-02-27,8.49,9.02,8.39,8.88
2025-02-28,8.445,9.37,8.34,9.24
2025-03-03,9.54,10.01,9.45,9.55
2025-03-04,9.47,10.24,9.15,10.1
2025-03-05,9.94,10.1,9.64,10.01
2025-03-06,9.8,9.99,9.565,9.89
2025-03-07,9.79,9.8,9.42,9.7
2025-03-10,9.26,9.58,9.02,9.52
2025-03-11,9.23,9.78,9.2,9.77
2025-03-12,10.04,10.095,9.65,9.76
2025-03-13,9.63,9.81,9.5,9.59
2025-03-14,9.7,9.92,9.59,9.68
2025-03-17,9.73,10.03,9.64,9.99
2025-03-18,9.97,9.97,9.63,9.74
2025-03-19,9.77,10.0,9.72,9.95
2025-03-20,9.91,9.91,9.65,9.68
2025-03-21,9.56,9.83,9.525,9.82
2025-03-24,9.93,10.11,9.89,10.1
2025-03-25,10.18,10.18,9.535,9.58
2025-03-26,9.58,9.78,9.535,9.69
2025-03-27,9.58,9.98,9.56,9.8
2025-03-28,9.71,9.82,9.42,9.56
2025-03-31,9.37,9.67,9.29,9.53
2025-04-01,9.57,9.67,9.38,9.38
2025-04-02,9.3,9.7,9.3,9.52
2025-04-03,9.6,9.73,9.28,9.38
2025-04-04,9.11,9.365,8.92,9.15
2025-04-07,8.67,9.6,8.64,9.39
2025-04-08,9.61,9.75,8.94,9.11
2025-04-09,9.01,9.705,8.67,9.69
2025-04-10,9.44,9.47,8.83,8.94
2025-04-11,8.97,9.185,8.91,9.11
2025-04-14,9.25,9.535,9.07,9.44
2025-04-15,9.44,9.46,9.08,9.11
2025-04-16,9.0,9.15,8.97,9.06
2025-04-17,9.05,9.25,9.0,9.01
2025-04-21,9.23,9.23,8.72,8.81
2025-04-22,8.89,9.0,8.69,8.81
2025-04-23,8.96,9.45,8.92,9.45
2025-04-24,10.4,10.92,10.21,10.76
2025-04-25,10.76,11.58,10.52,11.56
2025-04-28,11.46,11.77,11.45,11.57
2025-04-29,11.61,11.77,11.36,11.75
2025-04-30,11.6,11.6,11.31,11.51
2025-05-01,11.61,11.98,11.515,11.55
2025-05-02,11.65,12.16,11.635,11.98
2025-05-05,12.26,12.26,11.9,11.9
2025-05-06,11.83,11.92,11.58,11.7
2025-05-07,11.68,11.69,11.41,11.48
2025-05-08,11.45,11.49,10.91,10.98
2025-05-09,11.18,11.3,10.95,11.08
2025-05-12,10.96,11.36,10.94,11.34
2025-05-13,11.34,11.34,11.09,11.19
2025-05-14,11.24,11.29,10.96,11.03
2025-05-15,10.67,11.11,10.63,11.07
2025-05-16,11.07,11.43,11.04,11.34
2025-05-19,11.12,11.685,11.065,11.68
2025-05-20,11.42,11.58,11.3,11.44
2025-05-21,11.38,11.52,11.2,11.29
2025-05-22,11.18,11.31,11.13,11.21
2025-05-23,11.17,11.54,11.08,11.26
2025-05-27,11.68,11.84,11.49,11.825
2025-05-28,11.96,12.16,11.83,12.04
2025-05-29,12.21,12.42,12.04,12.41
2025-05-30,12.5,12.979,12.417,12.86
2025-06-02,12.58,12.66,12.3,12.46
2025-06-03,12.38,13.16,12.36,12.675
2025-06-04,12.81,13.77,12.81,13.67
2025-06-05,13.53,13.86,13.435,13.59
2025-06-06,13.51,14.1,13.49,14.07
2025-06-09,14.12,14.135,13.42,13.43
2025-06-10,13.5,13.96,13.44,13.69
2025-06-11,13.84,13.9,13.485,13.66
2025-06-12,13.7,13.98,13.54,13.93
2025-06-13,13.78,14.13,13.66,13.89
2025-06-16,13.97,14.23,13.815,14.18
2025-06-17,14.13,14.185,13.701,13.77
2025-06-18,13.94,14.05,13.685,13.9
2025-06-20,13.92,14.47,13.89,14.01
2025-06-23,13.76,14.08,13.45,13.95
2025-06-24,14.0,14.07,13.86,13.92
2025-06-25,13.91,13.93,13.705,13.73
2025-06-26,13.78,13.97,13.58,13.69
2025-06-27,13.53,13.98,13.47,13.95
2025-06-30,14.185,15.23,14.14,14.74
2025-07-01,14.66,14.9,14.52,14.66
2025-07-02,14.59,15.45,14.55,15.4
2025-07-03,15.38,15.58,15.19,15.41
2025-07-07,15.41,15.88,15.31,15.55
2025-07-08,15.51,15.61,15.1,15.17
2025-07-09,15.14,15.25,14.93,15.14
2025-07-10,15.17,15.39,15.03,15.37
2025-07-11,15.28,15.5,15.24,15.47
2025-07-14,15.51,15.91,15.47,15.62
2025-07-15,15.64,15.68,15.34,15.38
2025-07-16,15.29,15.66,15.0,15.6
2025-07-17,15.5,16.33,15.48,16.16
2025-07-18,16.19,16.335,15.975,16.01
2025-07-21,15.87,15.985,15.55,15.6
