日期,Open,High,Low,Close
2023-07-24,6.47,6.855,6.31,6.69
2023-07-25,6.69,6.98,6.49,6.59
2023-07-26,6.55,6.9,6.471,6.76
2023-07-27,6.97,7.099,6.15,6.26
2023-07-28,6.5,6.6,6.27,6.52
2023-07-31,6.63,6.95,6.4,6.66
2023-08-01,6.44,6.53,6.03,6.24
2023-08-02,6.16,6.319,5.9,6.09
2023-08-03,5.99,6.07,5.695,5.73
2023-08-04,5.74,5.79,5.5,5.56
2023-08-07,5.52,5.533,5.11,5.38
2023-08-08,5.5,5.98,5.44,5.79
2023-08-09,5.95,5.95,5.47,5.5
2023-08-10,5.59,5.93,5.47,5.5
2023-08-11,5.41,5.8,5.25,5.66
2023-08-14,5.6,5.629,5.03,5.15
2023-08-15,5.18,5.33,4.95,5.06
2023-08-16,4.99,5.04,4.79,4.87
2023-08-17,4.8,4.84,4.57,4.65
2023-08-18,4.37,4.53,4.22,4.41
2023-08-21,4.48,4.48,4.23,4.26
2023-08-22,4.38,4.38,4.11,4.18
2023-08-23,4.23,4.5,4.07,4.46
2023-08-24,4.58,4.67,4.252,4.3
2023-08-25,4.35,4.56,4.07,4.18
2023-08-28,4.2,4.42,4.2,4.31
2023-08-29,4.46,5.38,4.42,5.24
2023-08-30,5.25,5.4,5.02,5.32
2023-08-31,5.28,5.4,4.83,4.86
2023-09-01,4.9,4.919,4.49,4.55
2023-09-05,4.5,4.501,4.26,4.41
2023-09-06,4.41,4.74,4.41,4.49
2023-09-07,4.42,4.56,4.26,4.48
2023-09-08,4.55,4.71,4.36,4.67
2023-09-11,4.78,4.8,4.15,4.18
2023-09-12,4.41,4.85,4.305,4.4
2023-09-13,4.48,4.51,4.24,4.43
2023-09-14,4.52,5.25,4.45,5.01
2023-09-15,4.95,4.98,4.48,4.49
2023-09-18,4.68,4.78,4.55,4.76
2023-09-19,4.63,4.88,4.53,4.55
2023-09-20,4.5,4.54,4.19,4.21
2023-09-21,4.02,4.12,3.82,3.86
2023-09-22,3.96,3.96,3.78,3.83
2023-09-25,3.65,3.87,3.63,3.78
2023-09-26,3.7,3.82,3.54,3.56
2023-09-27,3.64,3.75,3.53,3.61
2023-09-28,3.65,3.86,3.53,3.77
2023-09-29,3.95,4.0,3.64,3.71
2023-10-02,3.91,4.09,3.51,3.6
2023-10-03,3.5,3.56,3.23,3.25
2023-10-04,3.23,3.35,2.96,3.32
2023-10-05,3.33,3.35,3.02,3.15
2023-10-06,3.1,3.495,3.09,3.46
2023-10-09,3.35,3.416,3.215,3.28
2023-10-10,3.25,3.425,3.24,3.27
2023-10-11,3.49,3.67,3.205,3.22
2023-10-12,3.2,3.25,3.04,3.1
2023-10-13,3.15,3.19,2.985,3.04
2023-10-16,3.25,3.435,2.96,3.31
2023-10-17,3.24,3.535,3.17,3.5
2023-10-18,3.43,3.49,3.145,3.18
2023-10-19,3.2,3.28,3.09,3.1
2023-10-20,3.3,3.35,3.08,3.14
2023-10-23,3.2,3.361,3.122,3.2
2023-10-24,3.61,4.035,3.38,3.5
2023-10-25,3.49,3.68,3.279,3.37
2023-10-26,3.3,3.31,2.94,3.06
2023-10-27,3.04,3.29,3.04,3.2
2023-10-30,3.25,3.25,2.96,3.01
2023-10-31,3.05,3.13,2.801,3.08
2023-11-01,3.16,3.2,2.995,3.04
2023-11-02,3.17,3.53,3.15,3.48
2023-11-03,3.42,3.65,3.39,3.49
2023-11-06,3.58,3.615,3.255,3.34
2023-11-07,3.25,3.35,3.09,3.33
2023-11-08,3.32,3.35,3.08,3.08
2023-11-09,3.37,3.49,2.95,2.97
2023-11-10,3.03,3.07,2.81,2.96
2023-11-13,2.95,3.02,2.79,2.99
2023-11-14,3.07,3.1,2.84,2.91
2023-11-15,2.98,3.18,2.905,3.11
2023-11-16,3.05,3.056,2.83,2.85
2023-11-17,2.85,2.9,2.79,2.83
2023-11-20,2.92,3.025,2.85,2.94
2023-11-21,2.93,2.995,2.84,2.87
2023-11-22,2.88,3.175,2.84,3.16
2023-11-24,3.2,3.55,3.185,3.54
2023-11-27,3.48,3.925,3.415,3.8
2023-11-28,3.85,4.415,3.85,4.37
2023-11-29,4.52,4.93,4.35,4.84
2023-11-30,4.97,5.27,4.8,4.935
2023-12-01,5.11,5.71,4.88,5.57
2023-12-04,6.17,6.27,5.13,5.38
2023-12-05,5.3,5.92,5.21,5.56
2023-12-06,5.6,5.67,5.24,5.4
2023-12-07,5.35,6.12,5.21,5.81
2023-12-08,5.9,6.22,5.68,5.82
2023-12-11,5.64,5.67,4.94,5.01
2023-12-12,5.13,5.2,4.94,5.15
2023-12-13,5.15,5.855,4.95,5.79
2023-12-14,5.9,6.0,5.6,5.87
2023-12-15,5.8,6.15,5.57,6.01
2023-12-18,5.8,6.397,5.7,6.0
2023-12-19,6.2,6.385,5.26,5.72
2023-12-20,5.93,5.988,5.465,5.53
2023-12-21,5.85,7.73,5.78,7.68
2023-12-22,7.74,8.8,7.285,8.37
2023-12-26,8.335,8.97,8.19,8.79
2023-12-27,8.97,9.69,8.83,9.56
2023-12-28,9.23,9.275,8.28,8.54
2023-12-29,8.71,8.735,6.66,7.15
2024-01-02,7.86,7.89,6.75,6.8
2024-01-03,6.25,6.84,6.03,6.54
2024-01-04,6.75,7.13,6.563,6.74
2024-01-05,6.79,6.8,6.12,6.19
2024-01-08,6.36,6.72,5.78,6.42
2024-01-09,6.28,6.4,6.07,6.08
2024-01-10,5.97,6.68,5.78,6.45
2024-01-11,7.0,7.14,5.76,6.04
2024-01-12,5.82,5.85,5.13,5.15
2024-01-16,5.12,5.12,4.685,4.81
2024-01-17,4.81,4.87,4.52,4.71
2024-01-18,4.81,4.875,4.295,4.33
2024-01-19,4.38,4.5,4.01,4.32
2024-01-22,4.25,4.61,4.07,4.3
2024-01-23,4.17,4.27,4.07,4.15
2024-01-24,4.25,4.45,3.98,4.0
2024-01-25,4.0,4.11,3.92,4.06
2024-01-26,4.3,4.36,4.19,4.27
2024-01-29,4.36,4.6,4.22,4.48
2024-01-30,4.47,4.621,4.23,4.33
2024-01-31,4.17,4.24,3.88,3.92
2024-02-01,3.95,3.96,3.64,3.75
2024-02-02,3.71,3.93,3.65,3.79
2024-02-05,3.8,3.87,3.56,3.65
2024-02-06,3.66,3.89,3.59,3.84
2024-02-07,3.87,4.18,3.76,4.12
2024-02-08,4.47,5.11,4.4,5.1
2024-02-09,5.79,6.045,5.5,5.94
2024-02-12,6.07,7.15,6.04,6.93
