日期,Open,High,Low,Close
2023-07-24,336.76,337.85,322.64,323.56
2023-07-25,322.76,331.555,322.46,330.9
2023-07-26,328.27,331.02,326.56,329.37
2023-07-27,331.71,333.68,322.66,323.56
2023-07-28,327.4,328.7,324.93,326.53
2023-07-31,325.89,326.27,321.91,324.4
2023-08-01,322.0,324.52,321.7,323.95
2023-08-02,320.59,322.615,313.34,313.87
2023-08-03,310.38,313.285,306.09,311.28
2023-08-04,311.9,313.27,308.25,309.31
2023-08-07,310.0,312.86,307.66,309.24
2023-08-08,306.24,306.27,297.17,302.87
2023-08-09,302.87,307.4,302.47,304.1
2023-08-10,305.75,308.6,303.822,304.67
2023-08-11,302.93,306.091,302.52,304.49
2023-08-14,304.86,305.89,303.23,305.08
2023-08-15,306.09,312.3,305.93,306.62
2023-08-16,305.6,306.27,299.1,299.32
2023-08-17,298.06,299.57,289.11,290.08
2023-08-18,287.46,291.06,284.88,285.95
2023-08-21,286.12,286.88,282.5,286.67
2023-08-22,287.73,289.08,285.725,287.16
2023-08-23,287.56,292.7,287.56,290.39
2023-08-24,292.88,293.49,285.47,285.64
2023-08-25,287.28,298.36,286.74,297.55
2023-08-28,301.22,304.91,300.0,301.48
2023-08-29,301.5,311.08,301.5,310.39
2023-08-30,312.05,319.525,312.05,318.58
2023-08-31,319.6,321.31,312.46,312.68
2023-09-01,317.55,318.2,309.2,310.41
2023-09-05,310.0,311.38,306.68,307.68
2023-09-06,309.48,309.65,303.802,307.84
2023-09-07,305.53,305.97,295.01,297.22
2023-09-08,297.55,300.22,296.575,298.22
2023-09-11,300.0,304.185,298.697,302.35
2023-09-12,300.92,302.88,300.0,301.55
2023-09-13,301.05,304.95,300.14,302.7
2023-09-14,305.23,305.87,299.81,303.74
2023-09-15,303.74,304.04,294.845,295.54
2023-09-18,296.13,303.795,296.0,298.17
2023-09-19,298.17,300.48,295.25,299.65
2023-09-20,303.17,303.39,291.79,291.96
2023-09-21,290.06,290.66,283.74,284.35
2023-09-22,286.49,293.92,284.42,288.2
2023-09-25,286.4,293.39,285.74,293.25
2023-09-26,291.73,292.85,288.95,290.74
2023-09-27,292.0,297.455,288.55,291.43
2023-09-28,292.13,297.4,292.13,296.15
2023-09-29,297.87,298.35,291.7,292.29
